Date,Open,High,Low,Close,Volume,AdjClose
27-Feb-1995,0,3.08,3,3.04,2052600,3.04
28-Feb-1995,0,3.06,2.98,2.98,3112800,2.98
01-Mar-1995,0,3.04,2.98,3.04,604200,3.04
02-Mar-1995,0,3.04,2.98,3.04,244200,3.04
03-Mar-1995,0,3.46,3,3.35,2022600,3.35
06-Mar-1995,0,3.54,3.27,3.44,784200,3.44
07-Mar-1995,0,3.48,3.29,3.38,636000,3.38
08-Mar-1995,0,3.42,3.29,3.38,451200,3.38
09-Mar-1995,0,3.38,3.29,3.38,417600,3.38
10-Mar-1995,0,3.38,3.29,3.31,155400,3.31
13-Mar-1995,0,3.44,3.29,3.44,361200,3.44
14-Mar-1995,0,3.44,3.33,3.35,271800,3.35
15-Mar-1995,0,3.42,3.35,3.4,84600,3.4
16-Mar-1995,0,3.42,3.35,3.38,649800,3.38
17-Mar-1995,0,3.42,3.38,3.38,205200,3.38
20-Mar-1995,0,3.42,3.35,3.35,461400,3.35
21-Mar-1995,0,3.46,3.38,3.38,187800,3.38
22-Mar-1995,0,3.44,3.27,3.27,462600,3.27
23-Mar-1995,0,3.31,3.23,3.29,370200,3.29
24-Mar-1995,0,3.31,3.25,3.31,125400,3.31
27-Mar-1995,0,3.31,3.25,3.31,165000,3.31
28-Mar-1995,0,3.56,3.31,3.5,486000,3.5
29-Mar-1995,0,3.92,3.46,3.5,1274400,3.5
30-Mar-1995,0,3.58,3.48,3.56,336000,3.56
31-Mar-1995,0,3.56,3.48,3.48,269400,3.48
03-Apr-1995,0,3.52,3.48,3.52,44400,3.52
04-Apr-1995,0,3.52,3.47,3.47,204000,3.47
05-Apr-1995,0,3.46,3.4,3.4,61200,3.4
06-Apr-1995,0,3.4,3.33,3.4,115800,3.4
07-Apr-1995,0,3.42,3.33,3.4,93600,3.4
10-Apr-1995,0,3.46,3.4,3.46,120000,3.46
11-Apr-1995,0,3.46,3.4,3.46,97800,3.46
12-Apr-1995,0,3.46,3.33,3.33,136200,3.33
13-Apr-1995,0,3.4,3.33,3.33,28200,3.33
17-Apr-1995,0,3.4,3.31,3.33,142200,3.33
18-Apr-1995,0,3.33,3.19,3.25,121200,3.25
19-Apr-1995,0,3.25,3.17,3.17,85800,3.17
20-Apr-1995,0,3.21,3.15,3.15,88200,3.15
21-Apr-1995,0,3.31,3.12,3.28,627000,3.28
24-Apr-1995,0,3.29,3.25,3.29,37200,3.29
25-Apr-1995,0,3.31,3.25,3.29,79800,3.29
26-Apr-1995,0,3.31,3.25,3.31,70200,3.31
27-Apr-1995,0,3.35,3.25,3.33,101400,3.33
28-Apr-1995,0,3.46,3.31,3.44,234600,3.44
01-May-1995,0,3.6,3.4,3.6,246600,3.6
02-May-1995,0,3.6,3.54,3.54,80400,3.54
03-May-1995,0,3.6,3.54,3.54,3600,3.54
04-May-1995,0,3.71,3.48,3.48,289800,3.48
05-May-1995,0,3.52,3.42,3.48,36000,3.48
08-May-1995,0,3.46,3.21,3.31,154800,3.31
