Date,Open,High,Low,Close,Volume,AdjClose
02-Jan-2003,NaN,22.85,21.9,22.37,301900,21.46
03-Jan-2003,NaN,22.45,22.11,22.27,145500,21.36
06-Jan-2003,NaN,23.1,22.25,22.89,340600,21.96
07-Jan-2003,NaN,22.7,22.16,22.22,1111900,21.31
08-Jan-2003,NaN,22.2,21.72,22.05,1110300,21.15
09-Jan-2003,NaN,22.07,21.77,21.96,404500,21.06
10-Jan-2003,NaN,22.1,21.76,22,451400,21.1
13-Jan-2003,NaN,22.03,21.68,21.74,675800,20.85
14-Jan-2003,NaN,20.46,18.08,18.7,5550700,17.94
15-Jan-2003,NaN,19.5,18.17,18.35,2810800,17.6
16-Jan-2003,NaN,18.65,17.05,17.8,3490900,17.07
17-Jan-2003,NaN,18.67,17.77,18.51,2046900,17.75
21-Jan-2003,NaN,18.93,18,18.1,1475700,17.36
22-Jan-2003,NaN,18.48,17.86,18.2,690200,17.46
23-Jan-2003,NaN,18.67,18.2,18.43,687600,17.68
24-Jan-2003,NaN,18.6,17.78,18.17,542900,17.43
27-Jan-2003,NaN,17.96,17,17.51,835900,16.79
28-Jan-2003,NaN,18,17.55,17.91,1097100,17.18
29-Jan-2003,NaN,18,17.35,17.5,767700,16.79
30-Jan-2003,NaN,18.01,17.27,17.7,665300,16.98
31-Jan-2003,NaN,18.05,17.55,17.9,748600,17.17
03-Feb-2003,NaN,18.21,17.83,18.04,842200,17.3
04-Feb-2003,NaN,18.15,17.57,18.15,1094100,17.41
05-Feb-2003,NaN,18.61,17.99,18.02,770900,17.28
06-Feb-2003,NaN,18.74,16.75,17.05,2319100,16.35
07-Feb-2003,NaN,18.25,17.67,17.83,1364600,17.1
10-Feb-2003,NaN,17.8,17.1,17.36,631300,16.65
11-Feb-2003,NaN,17.73,17.2,17.34,1180600,16.63
12-Feb-2003,NaN,17.38,16.5,16.64,962100,15.96
13-Feb-2003,NaN,16.97,16.3,16.64,403000,15.96
14-Feb-2003,NaN,17.07,16.46,16.82,324300,16.13
18-Feb-2003,NaN,17.14,16.81,16.88,422400,16.19
19-Feb-2003,NaN,17.1,16.5,16.83,391000,16.14
20-Feb-2003,NaN,16.83,16.33,16.42,383500,15.75
21-Feb-2003,NaN,16.55,16.15,16.39,494900,15.72
24-Feb-2003,NaN,16.4,15.65,16.07,744200,15.41
25-Feb-2003,NaN,16.01,15.65,15.75,823300,15.11
26-Feb-2003,NaN,16.23,15.63,16.09,770400,15.43
27-Feb-2003,NaN,16.23,16,16,516900,15.35
28-Feb-2003,NaN,16.45,16,16.24,724600,15.58
03-Mar-2003,NaN,16.48,16.07,16.09,571900,15.43
04-Mar-2003,NaN,16.15,15.6,15.89,689600,15.24
05-Mar-2003,NaN,16,15.47,15.69,402600,15.05
06-Mar-2003,NaN,15.8,15.5,15.6,460700,14.96
07-Mar-2003,NaN,16.12,15.6,15.98,515100,15.33
10-Mar-2003,NaN,15.98,15.46,15.49,496500,14.86
11-Mar-2003,NaN,15.53,14.89,14.98,611000,14.37
12-Mar-2003,NaN,14.95,14.3,14.41,1014500,13.82
13-Mar-2003,NaN,14.96,14.6,14.74,670100,14.14
14-Mar-2003,NaN,15.13,14.69,15.1,622900,14.48
17-Mar-2003,NaN,16.25,15,16.16,832900,15.5
18-Mar-2003,NaN,16.38,15.92,15.95,653900,15.3
19-Mar-2003,NaN,16.4,15.95,16.22,1011200,15.56
20-Mar-2003,NaN,16.4,16.06,16.35,611500,15.68
21-Mar-2003,NaN,17.38,16.3,17.28,1024700,16.57
24-Mar-2003,NaN,16.85,15.91,15.94,815600,15.29
25-Mar-2003,NaN,16.99,15.93,16.9,968200,16.21
26-Mar-2003,NaN,16.7,16.3,16.39,772100,15.72
27-Mar-2003,NaN,16.95,16.25,16.7,1301200,16.02
28-Mar-2003,NaN,16.65,16.4,16.56,804100,15.88
31-Mar-2003,NaN,16.31,15.71,16.1,596800,15.44
01-Apr-2003,NaN,16.48,16.05,16.3,335300,15.63
02-Apr-2003,NaN,17.3,16.55,17.02,603800,16.32
03-Apr-2003,NaN,17.4,16.89,17.08,401000,16.38
04-Apr-2003,NaN,17.34,17,17,534400,16.31
07-Apr-2003,NaN,17.69,17.25,17.32,842700,16.61
08-Apr-2003,NaN,17.44,17.05,17.25,439200,16.55
09-Apr-2003,NaN,17.4,17.01,17.21,387700,16.51
10-Apr-2003,NaN,17.28,16.95,17.18,362800,16.48
11-Apr-2003,NaN,17.38,16.86,16.98,655500,16.29
14-Apr-2003,NaN,16.75,15.99,16.05,1587700,15.39
15-Apr-2003,NaN,16.25,15.8,16.05,902900,15.39
16-Apr-2003,NaN,16.3,15.95,15.98,432000,15.33
17-Apr-2003,NaN,16.14,15.85,16.03,690800,15.38
21-Apr-2003,NaN,16.12,15.85,16.08,353300,15.42
22-Apr-2003,NaN,16.63,16.05,16.48,1155100,15.81
23-Apr-2003,NaN,17.15,16.4,17,1090700,16.31
24-Apr-2003,NaN,18.01,16.8,17.46,1875100,16.75
25-Apr-2003,NaN,17.52,17.02,17.47,968000,16.76
28-Apr-2003,NaN,18.08,17.43,17.94,786300,17.21
29-Apr-2003,NaN,18.6,17.35,17.76,1489100,17.03
30-Apr-2003,NaN,18.26,17.45,18.21,750500,17.47
01-May-2003,NaN,18.13,17.67,18,779500,17.26
02-May-2003,NaN,18.7,18.05,18.4,1061000,17.65
05-May-2003,NaN,18.63,18.1,18.19,742400,17.45
06-May-2003,NaN,18.62,18.2,18.6,478700,17.84
07-May-2003,NaN,18.95,18.42,18.8,1564100,18.03
08-May-2003,NaN,18.92,18.56,18.8,785200,18.03
09-May-2003,NaN,19.08,18.7,19.08,552900,18.3
12-May-2003,NaN,19.39,18.86,18.99,847000,18.21
13-May-2003,NaN,18.99,18.07,18.19,1650000,17.45
14-May-2003,NaN,18.28,17.86,18,971000,17.26
15-May-2003,NaN,18.74,17.93,18.7,853900,17.94
16-May-2003,NaN,18.75,18.07,18.29,310800,17.54
19-May-2003,NaN,18.49,18.03,18.16,420300,17.42
20-May-2003,NaN,18.26,17.9,18.06,545000,17.32
