Date,Open,High,Low,Close,Volume,AdjClose
19-Apr-2004,3.5,3.6,3.2,3.45,31000,3.45
20-Apr-2004,3,3.5,2.75,3.5,61400,3.5
21-Apr-2004,3.49,3.5,3.1,3.45,29900,3.45
22-Apr-2004,3.47,3.53,3.45,3.48,37100,3.48
23-Apr-2004,3.45,3.5,3.45,3.48,64300,3.48
26-Apr-2004,3.47,3.51,3.35,3.5,86600,3.5
27-Apr-2004,3.35,3.52,3.35,3.35,37200,3.35
28-Apr-2004,3.3,3.45,3.05,3.45,6200,3.45
29-Apr-2004,3.45,3.45,3.45,3.45,200,3.45
30-Apr-2004,3.21,3.5,3,3.45,66400,3.45
03-May-2004,3.2,3.45,3.1,3.41,64100,3.41
04-May-2004,3.25,3.35,3.1,3.35,8900,3.35
05-May-2004,3.35,3.4,3.1,3.4,800,3.4
06-May-2004,3.34,3.4,3.1,3.4,16300,3.4
07-May-2004,3.1,3.3,3,3.3,12500,3.3
10-May-2004,3.1,3.4,2.9,3.4,75800,3.4
11-May-2004,3.53,3.53,2.91,3.53,1700,3.53
12-May-2004,3.4,3.4,3.4,3.4,9500,3.4
13-May-2004,2.9,3.5,2.9,3.49,55400,3.49
14-May-2004,3.45,3.55,3.45,3.5,55800,3.5
17-May-2004,3,3.5,3,3.5,8100,3.5
18-May-2004,3.5,3.5,3.4,3.4,400,3.4
19-May-2004,3.15,3.4,3.15,3.4,2900,3.4
20-May-2004,3.4,3.4,3.1,3.25,13200,3.25
21-May-2004,3.22,3.3,3.22,3.3,9900,3.3
24-May-2004,3.34,3.35,3.16,3.3,10500,3.3
25-May-2004,3.25,3.25,3.13,3.25,4600,3.25
26-May-2004,3.24,3.24,3.2,3.2,22500,3.2
27-May-2004,3.23,3.29,3.23,3.29,1700,3.29
28-May-2004,3.25,3.3,3.25,3.3,3800,3.3
01-Jun-2004,3.3,3.35,3.3,3.35,3100,3.35
02-Jun-2004,3.05,3.35,3.05,3.35,3800,3.35
03-Jun-2004,3.25,3.3,3.05,3.1,92800,3.1
04-Jun-2004,3.1,3.45,3.1,3.41,216000,3.41
07-Jun-2004,3.45,3.63,3.4,3.5,170300,3.5
08-Jun-2004,3.62,3.78,3.6,3.6,97900,3.6
09-Jun-2004,3.6,3.6,3.55,3.59,34000,3.59
10-Jun-2004,3.55,3.75,3.55,3.75,1300,3.75
14-Jun-2004,3.65,3.65,3.5,3.52,84200,3.52
15-Jun-2004,3.5,3.55,3.45,3.52,31900,3.52
16-Jun-2004,3.5,3.6,3.45,3.6,8900,3.6
17-Jun-2004,3.45,3.5,3.45,3.45,3100,3.45
18-Jun-2004,3.45,3.65,3.45,3.6,22900,3.6
21-Jun-2004,3.55,3.56,3.45,3.45,36700,3.45
22-Jun-2004,3.45,3.45,3.33,3.4,47700,3.4
23-Jun-2004,3.33,3.4,3.33,3.4,3600,3.4
24-Jun-2004,3.33,3.4,3.33,3.36,500,3.36
25-Jun-2004,3.33,3.35,3.25,3.25,2700,3.25
28-Jun-2004,3.25,3.25,3.25,3.25,2000,3.25
29-Jun-2004,3.35,3.4,3.3,3.35,28000,3.35
30-Jun-2004,3.4,3.5,3.4,3.5,130700,3.5
01-Jul-2004,3.51,3.76,3.5,3.76,359200,3.76
02-Jul-2004,3.7,3.7,3.6,3.6,16100,3.6
06-Jul-2004,3.6,3.6,3.4,3.59,10100,3.59
07-Jul-2004,3.4,3.55,3.4,3.5,27500,3.5
08-Jul-2004,3.5,3.58,3.5,3.55,77200,3.55
09-Jul-2004,3.55,3.55,3.47,3.48,66100,3.48
12-Jul-2004,3.45,3.5,3.35,3.35,14900,3.35
13-Jul-2004,3.35,3.35,3.35,3.35,300,3.35
14-Jul-2004,3.35,3.45,3.3,3.3,27500,3.3
15-Jul-2004,3.3,3.3,3.3,3.3,4000,3.3
16-Jul-2004,3.3,3.3,3.3,3.3,2800,3.3
19-Jul-2004,3.3,3.35,3.3,3.3,10800,3.3
