Date,Open,High,Low,Close,Volume,AdjClose
20-Sep-2016,123.27,123.59,122.14,123.12,528283,123.12
21-Sep-2016,123.22,125,123.02,123.3,1484944,123.3
22-Sep-2016,124.32,124.72,121.73,122.29,1404968,122.29
23-Sep-2016,121.92,123.05,117.79,118.22,2026037,118.22
26-Sep-2016,118.09,118.84,116.43,117.98,1062408,117.98
27-Sep-2016,118.23,118.61,117.29,117.49,751978,117.49
28-Sep-2016,117.56,119.67,115.73,117.58,1145814,117.58
29-Sep-2016,116.99,118.1,115.98,116.87,875502,116.87
30-Sep-2016,117.13,117.88,115.88,115.95,1048284,115.95
03-Oct-2016,115.89,115.95,113.25,114.65,1012347,114.65
04-Oct-2016,114.94,115.95,113.15,113.41,766724,113.41
05-Oct-2016,113.4,116.16,113.02,115.96,738533,115.96
06-Oct-2016,115.42,117.97,115.42,117.9,959454,117.9
07-Oct-2016,118.08,119.03,116.57,117.27,781906,117.27
10-Oct-2016,117.83,118.82,116.2,116.37,437853,116.37
11-Oct-2016,116.03,116.41,112.48,112.97,688215,112.97
12-Oct-2016,113.04,114.46,112.17,114.24,432728,114.24
13-Oct-2016,112.96,114.72,111.81,114.17,456594,114.17
14-Oct-2016,114.57,115.13,113.5,114.11,418644,114.11
17-Oct-2016,113.69,114.1,113.26,113.55,508836,113.55
18-Oct-2016,114.8,114.92,113.14,113.96,414146,113.96
19-Oct-2016,113.96,114.4,112.69,113.04,805855,113.04
20-Oct-2016,112.61,113.76,112.08,112.31,568631,112.31
21-Oct-2016,112.1,112.21,110.79,111.88,753761,111.88
24-Oct-2016,113.19,114.5,111.72,113.11,989000,113.11
25-Oct-2016,113.12,113.12,110.85,111.33,805937,111.33
26-Oct-2016,111.1,112.33,109.89,111.93,656655,111.93
27-Oct-2016,112.22,112.28,110.46,111.92,530024,111.92
28-Oct-2016,111.82,113.23,111.17,111.95,449979,111.95
31-Oct-2016,112.31,112.36,111.43,111.73,373872,111.73
01-Nov-2016,112,112.11,110.5,111.54,409005,111.54
02-Nov-2016,111.36,112.11,110.7,111.06,489047,111.06
03-Nov-2016,111.23,112.39,110.71,112.22,358778,112.22
04-Nov-2016,111.99,114.38,110.98,113.01,433536,113.01
07-Nov-2016,114.56,115.11,113.19,113.56,651992,113.56
08-Nov-2016,113.52,115.08,112.88,114.97,481428,114.97
09-Nov-2016,112.49,114.04,105.5,108.84,2108089,108.84
10-Nov-2016,109.14,111.23,107.68,108.16,828754,108.16
11-Nov-2016,108,108.78,106.83,107.54,677756,107.54
14-Nov-2016,107.73,108.42,107.12,108.22,619686,108.22
15-Nov-2016,106.84,108.75,106.82,108.32,366780,108.32
16-Nov-2016,107.74,109.25,107.72,109.15,405209,109.15
17-Nov-2016,109.08,110.41,108.47,109.32,625167,109.32
18-Nov-2016,109.26,111.27,109.26,111.12,456054,111.12
21-Nov-2016,111.18,112.37,111.18,112.18,441201,112.18
22-Nov-2016,112.67,113.73,111.95,113.54,489057,113.54
23-Nov-2016,112.94,114.97,112.51,114.77,466232,114.77
25-Nov-2016,115.07,115.74,114.6,115.12,153506,115.12
28-Nov-2016,115.07,115.72,113.07,113.38,630738,113.38
29-Nov-2016,112.46,115,109.8,114.43,632105,114.43
30-Nov-2016,114.97,115.21,112.42,112.7,863917,112.7
01-Dec-2016,113.44,113.59,109.93,110.35,790734,110.35
02-Dec-2016,110.23,111.34,109.54,110.15,525680,110.15
05-Dec-2016,110.92,112,110.34,111.32,808848,111.32
06-Dec-2016,111.15,112.22,110.88,112.17,513408,112.17
07-Dec-2016,112.13,115.01,112.13,114.7,644491,114.7
08-Dec-2016,115,115.1,114.24,115.03,551706,115.03
09-Dec-2016,115.22,116.86,114.89,116.78,649177,116.78
12-Dec-2016,116.95,117.15,114.62,114.75,656211,114.75
13-Dec-2016,114.92,115.46,113.19,114.53,724411,114.53
14-Dec-2016,114.61,115.25,111.77,112.08,741557,112.08
15-Dec-2016,111.55,113.17,111.2,112.73,704822,112.73
16-Dec-2016,112.71,113.29,110.1,110.1,1499056,110.1
19-Dec-2016,109.99,110.24,107.68,110.17,1014258,110.17
20-Dec-2016,109.84,110.6,109.6,109.87,643360,109.87
21-Dec-2016,109.73,110.14,109.07,109.59,830358,109.59
22-Dec-2016,109.41,109.41,107.59,108.39,564152,108.39
23-Dec-2016,108.23,110.32,108.23,110.02,450421,110.02
27-Dec-2016,110.01,111.25,109.71,111.03,477387,111.03
28-Dec-2016,111.92,111.92,109.3,109.41,551370,109.41
29-Dec-2016,109.4,110.13,109.3,110.1,306063,110.1
30-Dec-2016,109.89,110.93,109.02,109.29,369469,109.29
03-Jan-2017,110.4,110.43,108.15,109.12,502956,109.12
04-Jan-2017,109.67,111.46,108.97,110.97,718436,110.97
05-Jan-2017,110.53,111.48,110.16,111.44,654781,111.44
06-Jan-2017,111.29,112.18,110.8,111.78,207372,111.78
09-Jan-2017,111.34,111.6,110.56,110.84,337289,110.84
10-Jan-2017,111.33,111.83,110.38,110.92,297569,110.92
11-Jan-2017,110.85,110.93,110.06,110.91,336939,110.91
12-Jan-2017,111.01,111.16,109.64,110.99,373055,110.99
13-Jan-2017,111.07,111.63,110.19,111.28,536536,111.28
17-Jan-2017,110.59,111.63,109.04,110.95,393483,110.95
18-Jan-2017,110.99,111.76,110.13,110.45,380623,110.45
19-Jan-2017,110.43,110.69,109.25,109.77,486886,109.77
20-Jan-2017,109.92,110.55,109.43,110,371461,110
23-Jan-2017,110.52,111.05,109.49,111.01,485228,111.01
24-Jan-2017,111.48,113.97,110.08,113.81,648847,113.81
25-Jan-2017,113.71,116.5,113.58,116.48,1042969,116.48
26-Jan-2017,115.9,116.59,115.31,116.25,742569,116.25
27-Jan-2017,118.17,121.79,118.17,118.91,1248775,118.91
30-Jan-2017,117.81,118.43,116.19,118.3,863219,118.3
31-Jan-2017,118.92,119.74,117.67,119.03,624705,119.03
01-Feb-2017,119.06,119.86,117.97,119.4,713293,119.4
02-Feb-2017,119.05,119.11,117.33,117.62,519031,117.62
03-Feb-2017,118.13,119.2,115.59,118.7,319557,118.7
06-Feb-2017,118.22,118.56,117.27,117.66,259726,117.66
07-Feb-2017,117.44,118.2,117.07,117.57,285208,117.57
08-Feb-2017,117.29,117.78,116.6,117.65,224336,117.65
09-Feb-2017,117.71,118.17,116.79,117.9,346389,117.9
10-Feb-2017,118.13,119.1,117.53,118.68,235439,118.68
13-Feb-2017,119.13,121.11,118.59,120.64,412817,120.64
14-Feb-2017,120.41,120.76,119.34,120.48,379284,120.48
15-Feb-2017,120.01,120.94,119.56,120.78,404385,120.78
16-Feb-2017,121.17,121.94,120.35,120.79,348840,120.79
17-Feb-2017,120.43,121.82,119.96,121.81,394841,121.81
21-Feb-2017,121.98,123.48,121.81,123.18,618172,123.18
22-Feb-2017,122.73,124.16,122.37,122.96,410503,122.96
23-Feb-2017,123.47,123.71,122.05,122.55,316658,122.55
24-Feb-2017,121.68,122.25,119.4,121.87,239690,121.87
27-Feb-2017,121.57,122.04,120.54,120.99,324394,120.99
28-Feb-2017,120.75,121.24,119.14,120.66,306098,120.66
01-Mar-2017,122.48,123.6,122.06,122.51,405777,122.51
02-Mar-2017,121.62,123.09,121.62,122.02,302001,122.02
03-Mar-2017,122.33,122.75,121.46,122.34,275640,122.34
06-Mar-2017,121.04,121.9,120.25,120.31,415240,120.31
07-Mar-2017,120.58,120.71,118.85,119.25,480934,119.25
08-Mar-2017,119.19,120.91,119.02,120.8,466584,120.8
09-Mar-2017,120.68,121.17,119.81,119.92,278495,119.92
10-Mar-2017,121.05,121.22,119.72,120.59,302605,120.59
13-Mar-2017,120.9,122.44,120.35,122,290369,122
14-Mar-2017,121.56,122.14,120.65,121.88,352977,121.88
15-Mar-2017,122.93,124.18,122.72,123.66,385650,123.66
16-Mar-2017,123.99,123.99,122.41,123.05,517027,123.05
17-Mar-2017,123.61,124.88,123.01,124.36,523415,124.36
20-Mar-2017,124.2,124.2,122.87,122.94,294575,122.94
21-Mar-2017,123.25,123.63,120.77,120.9,523513,120.9
22-Mar-2017,121.07,121.9,120.28,121.83,698593,121.83
23-Mar-2017,121.84,122.97,121.5,122.76,240900,122.76
24-Mar-2017,122.72,123.48,121.47,121.85,436794,121.85
27-Mar-2017,120.12,122.79,120,122.61,310437,122.61
28-Mar-2017,122.77,123.6,122.03,123.24,528285,123.24
