Date,Open,High,Low,Close,Volume,AdjClose
29-Nov-1999,0,25.75,25,25.25,30700,16.97
30-Nov-1999,0,25.94,25.19,25.19,218800,16.93
01-Dec-1999,0,25.19,23.25,23.5,815400,15.79
02-Dec-1999,0,24.38,23.75,24.19,341100,16.26
03-Dec-1999,0,24.88,24.31,24.69,425600,16.59
06-Dec-1999,0,24.69,24.25,24.69,319400,16.59
07-Dec-1999,0,24.31,23.56,23.69,419900,15.92
08-Dec-1999,0,23.88,22.94,22.94,559100,15.42
09-Dec-1999,0,23.25,22.62,22.69,409100,15.25
10-Dec-1999,0,22.75,22.19,22.75,559800,15.29
13-Dec-1999,0,22.62,21.94,21.94,337200,14.75
14-Dec-1999,0,22.12,21.38,21.62,524700,14.53
15-Dec-1999,0,21.75,20.62,21.12,1119200,14.19
16-Dec-1999,0,21.69,20.44,21.69,2292800,14.58
17-Dec-1999,0,22.06,21.5,21.94,681800,14.75
20-Dec-1999,0,21.88,21.19,21.56,639700,14.49
21-Dec-1999,0,21.56,20.31,20.31,423700,13.65
22-Dec-1999,0,21,20.25,20.75,313100,13.95
23-Dec-1999,0,21.12,20.88,21.06,323400,14.15
27-Dec-1999,0,21.25,20.44,20.44,248100,13.74
28-Dec-1999,0,21.31,20.38,21.25,235900,14.28
29-Dec-1999,0,22.06,21.12,22,160500,14.79
30-Dec-1999,0,22.69,21.88,22,307800,14.79
31-Dec-1999,0,22.5,22,22.44,100000,15.08
03-Jan-2000,22.31,22.5,22.12,22.19,401800,14.91
04-Jan-2000,22.44,23.56,22.31,22.88,564500,15.38
05-Jan-2000,22.88,23.75,22.75,23.62,452800,15.88
06-Jan-2000,23.5,23.69,23.38,23.5,506100,15.79
07-Jan-2000,23.44,23.75,23.31,23.5,197800,15.79
10-Jan-2000,23.44,23.75,23.19,23.31,334100,15.67
11-Jan-2000,23,23.06,22.81,22.81,391400,15.33
12-Jan-2000,22.94,22.94,22.62,22.81,391400,15.33
13-Jan-2000,23,23.12,22.69,22.81,371800,15.33
14-Jan-2000,22.56,23.5,22.56,23.44,521100,15.75
18-Jan-2000,23.06,23.44,22.5,23.38,345600,15.71
19-Jan-2000,23.25,23.31,22.75,22.75,236300,15.29
20-Jan-2000,22.75,23,22.5,22.5,384500,15.12
21-Jan-2000,22.88,22.88,22.06,22.06,351100,14.83
24-Jan-2000,22.75,22.75,21.44,21.5,207700,14.45
25-Jan-2000,21.38,21.62,21.19,21.62,375800,14.53
26-Jan-2000,21.5,21.62,21.31,21.62,178900,14.53
27-Jan-2000,21.38,21.75,21.31,21.44,255400,14.41
28-Jan-2000,21.31,21.56,21.12,21.12,172300,14.19
31-Jan-2000,21.06,21.25,20.75,20.88,302500,14.03
01-Feb-2000,20.81,20.81,20.19,20.75,378100,13.95
02-Feb-2000,20.62,20.69,19.5,19.5,592800,13.11
03-Feb-2000,19.56,19.56,18.5,18.88,634800,12.69
04-Feb-2000,19.06,19.06,18.5,18.62,393800,12.51
07-Feb-2000,18.56,18.75,18,18.56,300700,12.47
08-Feb-2000,19,19.19,17.81,18.19,453900,12.23
09-Feb-2000,18.19,18.75,18,18.31,617600,12.31
10-Feb-2000,18.19,18.25,17.81,17.88,252800,12.02
11-Feb-2000,17.5,17.88,16.62,17.31,377200,11.63
14-Feb-2000,17.06,17.56,17,17.31,331600,11.63
15-Feb-2000,17.38,17.75,17.25,17.62,315600,11.84
16-Feb-2000,17.5,17.69,17.31,17.5,211900,11.76
17-Feb-2000,17.88,17.88,17.25,17.56,258800,11.8
18-Feb-2000,17.31,17.44,16.88,17.38,332100,11.68
22-Feb-2000,17.25,18.19,17,17.69,297300,11.89
23-Feb-2000,17.75,18,16.94,17.81,437400,11.97
24-Feb-2000,17.62,17.62,16.12,16.81,545600,11.43
25-Feb-2000,16.56,17.12,16.44,16.69,296200,11.34
28-Feb-2000,16.69,17.38,16.62,17.12,242000,11.64
29-Feb-2000,17,17.06,16.69,16.94,410600,11.51
01-Mar-2000,0,17.25,16.25,17.06,314000,11.6
