Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,6.05,5.86,5.86,290400,2.66
04-Jan-1978,0,5.94,5.78,5.92,379200,2.68
05-Jan-1978,0,5.98,5.84,5.84,432800,2.65
06-Jan-1978,0,5.86,5.8,5.81,401600,2.63
09-Jan-1978,0,5.81,5.72,5.8,324800,2.63
10-Jan-1978,0,5.88,5.75,5.78,456000,2.62
11-Jan-1978,0,5.81,5.75,5.78,436800,2.62
12-Jan-1978,0,5.81,5.69,5.7,544000,2.58
13-Jan-1978,0,5.78,5.69,5.73,163200,2.6
16-Jan-1978,0,5.77,5.7,5.72,275200,2.59
17-Jan-1978,0,5.77,5.72,5.72,448800,2.59
18-Jan-1978,0,5.8,5.73,5.78,627200,2.62
19-Jan-1978,0,5.78,5.72,5.73,510400,2.6
20-Jan-1978,0,5.78,5.7,5.77,164000,2.62
23-Jan-1978,0,5.78,5.72,5.73,584000,2.6
24-Jan-1978,0,5.75,5.7,5.7,766400,2.58
25-Jan-1978,0,5.73,5.7,5.7,228800,2.58
26-Jan-1978,0,5.75,5.5,5.53,511200,2.51
27-Jan-1978,0,5.58,5.48,5.53,611200,2.51
30-Jan-1978,0,5.67,5.55,5.67,228000,2.57
31-Jan-1978,0,5.7,5.52,5.59,367200,2.53
01-Feb-1978,0,5.72,5.61,5.64,521600,2.56
02-Feb-1978,0,5.75,5.62,5.66,332000,2.57
03-Feb-1978,0,5.66,5.56,5.56,369600,2.52
06-Feb-1978,0,5.59,5.52,5.59,188000,2.53
07-Feb-1978,0,5.72,5.59,5.72,716800,2.59
08-Feb-1978,0,5.7,5.66,5.69,481600,2.58
09-Feb-1978,0,5.67,5.62,5.66,432000,2.57
10-Feb-1978,0,5.67,5.62,5.62,535200,2.55
13-Feb-1978,0,5.64,5.59,5.62,360800,2.55
14-Feb-1978,0,5.64,5.61,5.61,252000,2.54
15-Feb-1978,0,5.64,5.61,5.61,343200,2.54
16-Feb-1978,0,5.61,5.53,5.55,614400,2.52
17-Feb-1978,0,5.62,5.58,5.59,336000,2.53
21-Feb-1978,0,5.62,5.58,5.59,283200,2.53
22-Feb-1978,0,5.66,5.61,5.64,377600,2.56
23-Feb-1978,0,5.66,5.59,5.66,360000,2.57
24-Feb-1978,0,5.75,5.67,5.75,276000,2.61
27-Feb-1978,0,5.73,5.66,5.66,123200,2.57
28-Feb-1978,0,5.67,5.64,5.66,219200,2.57
01-Mar-1978,0,5.66,5.62,5.64,550400,2.56
02-Mar-1978,0,5.64,5.58,5.59,646400,2.53
03-Mar-1978,0,5.66,5.62,5.62,194400,2.55
06-Mar-1978,0,5.62,5.58,5.58,345600,2.53
07-Mar-1978,0,5.59,5.56,5.59,208000,2.53
08-Mar-1978,0,5.67,5.61,5.66,492000,2.57
09-Mar-1978,0,5.67,5.64,5.66,312000,2.57
10-Mar-1978,0,5.7,5.66,5.66,342400,2.57
13-Mar-1978,0,5.77,5.7,5.73,556800,2.6
14-Mar-1978,0,5.75,5.69,5.73,472000,2.6
15-Mar-1978,0,5.77,5.7,5.77,455200,2.62
16-Mar-1978,0,5.78,5.72,5.78,151200,2.62
17-Mar-1978,0,5.89,5.75,5.81,450400,2.63
20-Mar-1978,0,5.91,5.81,5.88,335200,2.67
21-Mar-1978,0,5.86,5.8,5.81,353600,2.63
22-Mar-1978,0,5.81,5.77,5.78,273600,2.62
23-Mar-1978,0,5.78,5.75,5.75,268800,2.61
27-Mar-1978,0,5.73,5.67,5.69,481600,2.58
28-Mar-1978,0,5.78,5.69,5.78,784000,2.62
29-Mar-1978,0,5.83,5.77,5.81,270400,2.63
30-Mar-1978,0,5.86,5.8,5.86,719200,2.66
31-Mar-1978,0,5.86,5.83,5.83,758400,2.64
03-Apr-1978,0,5.84,5.8,5.83,642400,2.64
04-Apr-1978,0,5.86,5.81,5.81,244800,2.63
05-Apr-1978,0,5.83,5.7,5.78,3943200,2.62
06-Apr-1978,0,5.78,5.73,5.73,825600,2.6
07-Apr-1978,0,5.83,5.75,5.81,885600,2.63
10-Apr-1978,0,5.81,5.73,5.81,779200,2.63
11-Apr-1978,0,5.8,5.75,5.77,571200,2.62
12-Apr-1978,0,5.8,5.73,5.8,1024000,2.63
13-Apr-1978,0,5.92,5.8,5.92,622400,2.68
14-Apr-1978,0,6.25,6.02,6.25,1220000,2.83
17-Apr-1978,0,6.5,6.3,6.31,2935200,2.86
18-Apr-1978,0,6.36,6.23,6.25,1133600,2.83
19-Apr-1978,0,6.33,6.17,6.28,779200,2.85
20-Apr-1978,0,6.41,6.27,6.28,1335200,2.85
21-Apr-1978,0,6.3,6.22,6.27,692800,2.84
24-Apr-1978,0,6.52,6.27,6.5,1098400,2.95
25-Apr-1978,0,6.64,6.5,6.5,1941600,2.95
26-Apr-1978,0,6.56,6.47,6.5,1131200,2.95
27-Apr-1978,0,6.48,6.34,6.42,684000,2.91
28-Apr-1978,0,6.61,6.39,6.61,738400,3
01-May-1978,0,6.77,6.61,6.69,1322400,3.03
02-May-1978,0,6.77,6.66,6.75,1285600,3.06
03-May-1978,0,6.81,6.67,6.7,759200,3.04
04-May-1978,0,6.67,6.55,6.61,951200,3
05-May-1978,0,6.78,6.62,6.73,559200,3.05
08-May-1978,0,6.83,6.66,6.69,482400,3.03
09-May-1978,0,6.64,6.55,6.59,846400,2.99
10-May-1978,0,6.67,6.56,6.64,752800,3.01
11-May-1978,0,7.06,6.58,7.06,924000,3.2
12-May-1978,0,7.09,6.91,6.92,1542400,3.14
15-May-1978,0,6.91,6.7,6.91,1358400,3.13
16-May-1978,0,7,6.84,6.89,1200000,3.12
17-May-1978,0,6.92,6.77,6.77,1419200,3.07
18-May-1978,0,6.86,6.75,6.8,411200,3.08
19-May-1978,0,6.8,6.69,6.73,387200,3.05
22-May-1978,0,6.83,6.73,6.8,398400,3.08
23-May-1978,0,6.81,6.73,6.78,252800,3.07
24-May-1978,0,6.7,6.66,6.66,399200,3.02
25-May-1978,0,6.67,6.53,6.55,302400,2.97
26-May-1978,0,6.59,6.52,6.56,349600,2.97
30-May-1978,0,6.67,6.48,6.66,408000,3.02
31-May-1978,0,6.69,6.56,6.56,601600,2.97
01-Jun-1978,0,6.64,6.53,6.62,479200,3
02-Jun-1978,0,6.73,6.62,6.72,661600,3.05
05-Jun-1978,0,7,6.8,6.98,1276800,3.16
06-Jun-1978,0,7.12,6.98,6.98,921600,3.16
07-Jun-1978,0,7.03,6.94,6.97,1013600,3.16
08-Jun-1978,0,7.09,6.95,6.95,816000,3.15
09-Jun-1978,0,7,6.92,6.92,582400,3.14
12-Jun-1978,0,6.95,6.84,6.84,428000,3.1
13-Jun-1978,0,6.84,6.78,6.83,747200,3.1
14-Jun-1978,0,6.92,6.75,6.75,920000,3.06
15-Jun-1978,0,6.73,6.61,6.62,552000,3
16-Jun-1978,0,6.73,6.59,6.59,453600,2.99
19-Jun-1978,0,6.61,6.53,6.58,375200,2.98
20-Jun-1978,0,6.62,6.44,6.45,590400,2.92
21-Jun-1978,0,6.53,6.42,6.42,510400,2.91
22-Jun-1978,0,6.61,6.47,6.55,637600,2.97
23-Jun-1978,0,6.62,6.48,6.5,802400,2.95
26-Jun-1978,0,6.5,6.44,6.44,458400,2.92
27-Jun-1978,0,6.53,6.42,6.53,477600,2.96
28-Jun-1978,0,6.66,6.44,6.64,496000,3.01
29-Jun-1978,0,6.72,6.59,6.67,488000,3.02
30-Jun-1978,0,6.72,6.62,6.64,152800,3.01
03-Jul-1978,0,6.67,6.59,6.62,211200,3
05-Jul-1978,0,6.66,6.56,6.61,368800,3
06-Jul-1978,0,6.75,6.59,6.7,627200,3.04
07-Jul-1978,0,6.83,6.73,6.81,432000,3.09
10-Jul-1978,0,6.91,6.75,6.89,559200,3.12
11-Jul-1978,0,6.91,6.81,6.84,536000,3.1
12-Jul-1978,0,6.92,6.84,6.84,348800,3.1
13-Jul-1978,0,6.84,6.8,6.81,228000,3.09
14-Jul-1978,0,6.91,6.66,6.88,404800,3.12
17-Jul-1978,0,6.97,6.89,6.92,553600,3.14
18-Jul-1978,0,6.91,6.81,6.83,297600,3.1
19-Jul-1978,0,6.91,6.83,6.89,281600,3.12
20-Jul-1978,0,6.92,6.83,6.86,366400,3.11
21-Jul-1978,0,7,6.88,6.97,406400,3.16
24-Jul-1978,0,7,6.92,6.95,396800,3.15
25-Jul-1978,0,7.05,6.89,7.05,284000,3.2
26-Jul-1978,0,7.11,7,7.08,764800,3.21
27-Jul-1978,0,7.12,7.05,7.11,203200,3.22
28-Jul-1978,0,7.25,7.09,7.19,533600,3.26
31-Jul-1978,0,7.23,7.17,7.19,264800,3.26
01-Aug-1978,0,7.27,7.2,7.25,464000,3.29
02-Aug-1978,0,7.36,7.19,7.31,974400,3.31
03-Aug-1978,0,7.62,7.45,7.45,1761600,3.38
04-Aug-1978,0,7.61,7.48,7.56,652000,3.43
07-Aug-1978,0,7.64,7.5,7.59,389600,3.44
08-Aug-1978,0,7.67,7.55,7.66,908800,3.47
09-Aug-1978,0,7.88,7.64,7.7,988800,3.49
10-Aug-1978,0,7.69,7.58,7.62,2282400,3.45
11-Aug-1978,0,7.59,7.38,7.58,775200,3.44
14-Aug-1978,0,7.55,7.47,7.5,549600,3.4
15-Aug-1978,0,7.52,7.41,7.52,760000,3.41
16-Aug-1978,0,7.56,7.47,7.53,644000,3.41
17-Aug-1978,0,7.69,7.59,7.61,1258400,3.45
18-Aug-1978,0,7.72,7.59,7.59,1942400,3.44
21-Aug-1978,0,7.61,7.34,7.45,468800,3.38
22-Aug-1978,0,7.5,7.33,7.41,763200,3.36
23-Aug-1978,0,7.55,7.47,7.53,579200,3.41
24-Aug-1978,0,7.53,7.39,7.42,236800,3.36
25-Aug-1978,0,7.48,7.38,7.42,333600,3.36
28-Aug-1978,0,7.44,7.22,7.22,682400,3.27
29-Aug-1978,0,7.28,7.2,7.22,617600,3.27
30-Aug-1978,0,7.34,7.22,7.3,253600,3.31
31-Aug-1978,0,7.3,7.23,7.27,293600,3.3
01-Sep-1978,0,7.47,7.27,7.44,243200,3.37
05-Sep-1978,0,7.59,7.45,7.59,618400,3.44
06-Sep-1978,0,7.72,7.62,7.64,643200,3.46
07-Sep-1978,0,7.66,7.48,7.56,407200,3.43
08-Sep-1978,0,7.67,7.59,7.64,868000,3.46
11-Sep-1978,0,7.73,7.53,7.56,355200,3.43
12-Sep-1978,0,7.59,7.5,7.53,258400,3.41
13-Sep-1978,0,7.58,7.47,7.47,612000,3.39
14-Sep-1978,0,7.47,7.25,7.28,296000,3.3
15-Sep-1978,0,7.27,7.09,7.19,553600,3.26
18-Sep-1978,0,7.33,7.09,7.14,621600,3.24
19-Sep-1978,0,7.19,7.06,7.06,408000,3.2
20-Sep-1978,0,7.08,6.92,7.02,548000,3.18
21-Sep-1978,0,7.03,6.88,7.03,908000,3.19
22-Sep-1978,0,7.05,6.94,6.97,828800,3.16
25-Sep-1978,0,7.09,6.88,6.91,370400,3.13
26-Sep-1978,0,7.03,6.94,6.98,452800,3.16
27-Sep-1978,0,7.05,6.84,6.84,596000,3.1
28-Sep-1978,0,6.84,6.8,6.83,458400,3.1
29-Sep-1978,0,6.92,6.8,6.88,483200,3.12
02-Oct-1978,0,6.91,6.84,6.89,176000,3.12
03-Oct-1978,0,6.97,6.83,6.83,416800,3.1
04-Oct-1978,0,6.83,6.75,6.81,539200,3.09
05-Oct-1978,0,6.97,6.77,6.83,798400,3.1
06-Oct-1978,0,7,6.88,6.97,725600,3.16
09-Oct-1978,0,7.16,6.97,7.16,532800,3.25
10-Oct-1978,0,7.25,7.11,7.14,744800,3.24
11-Oct-1978,0,7.34,7.14,7.34,421600,3.33
12-Oct-1978,0,7.38,7.25,7.3,534400,3.31
13-Oct-1978,0,7.3,7.25,7.27,442400,3.3
16-Oct-1978,0,7.31,7.08,7.09,388000,3.21
17-Oct-1978,0,7.05,6.84,6.92,746400,3.14
18-Oct-1978,0,6.97,6.86,6.94,586400,3.15
19-Oct-1978,0,7,6.75,6.77,1106400,3.07
20-Oct-1978,0,6.73,6.59,6.72,965600,3.05
23-Oct-1978,0,6.81,6.64,6.73,656800,3.05
24-Oct-1978,0,6.75,6.66,6.7,752800,3.04
25-Oct-1978,0,6.77,6.61,6.64,868800,3.01
26-Oct-1978,0,6.7,6.58,6.59,557600,2.99
27-Oct-1978,0,6.75,6.58,6.61,592000,3
30-Oct-1978,0,6.81,6.33,6.72,794400,3.05
31-Oct-1978,0,6.75,6.64,6.66,911200,3.02
01-Nov-1978,0,7.02,6.8,7,1038400,3.17
02-Nov-1978,0,7.06,6.88,6.88,1010400,3.12
03-Nov-1978,0,6.98,6.88,6.91,560000,3.13
06-Nov-1978,0,6.91,6.81,6.81,172000,3.09
07-Nov-1978,0,6.77,6.66,6.72,474400,3.05
08-Nov-1978,0,6.78,6.67,6.78,694400,3.07
09-Nov-1978,0,6.73,6.64,6.64,584000,3.01
10-Nov-1978,0,6.66,6.58,6.59,304800,2.99
13-Nov-1978,0,6.61,6.5,6.5,480800,2.95
14-Nov-1978,0,6.5,6.31,6.41,1074400,2.91
15-Nov-1978,0,6.61,6.45,6.47,1232800,2.93
16-Nov-1978,0,6.59,6.48,6.59,581600,2.99
17-Nov-1978,0,6.64,6.56,6.56,653600,2.97
20-Nov-1978,0,6.73,6.58,6.66,335200,3.02
21-Nov-1978,0,6.67,6.58,6.64,828800,3.01
22-Nov-1978,0,6.53,6.44,6.52,2000000,2.96
24-Nov-1978,0,6.56,6.48,6.56,732000,2.97
27-Nov-1978,0,6.69,6.55,6.69,720800,3.03
28-Nov-1978,0,6.67,6.48,6.5,538400,2.95
29-Nov-1978,0,6.45,6.39,6.41,580000,2.91
30-Nov-1978,0,6.5,6.42,6.48,254400,2.94
01-Dec-1978,0,6.66,6.53,6.66,691200,3.02
04-Dec-1978,0,6.72,6.62,6.69,867200,3.03
05-Dec-1978,0,6.8,6.67,6.75,417600,3.06
06-Dec-1978,0,6.84,6.7,6.75,544000,3.06
07-Dec-1978,0,6.77,6.59,6.67,657600,3.02
08-Dec-1978,0,6.64,6.5,6.52,899200,2.96
11-Dec-1978,0,6.59,6.48,6.56,654400,2.97
12-Dec-1978,0,6.61,6.55,6.58,360000,2.98
13-Dec-1978,0,6.58,6.53,6.56,629600,2.97
14-Dec-1978,0,6.59,6.55,6.59,351200,2.99
15-Dec-1978,0,6.62,6.55,6.58,400800,2.98
18-Dec-1978,0,6.42,6.33,6.41,522400,2.91
19-Dec-1978,0,6.5,6.34,6.41,625600,2.91
20-Dec-1978,0,6.45,6.34,6.44,399200,2.92
21-Dec-1978,0,6.5,6.41,6.44,472000,2.92
22-Dec-1978,0,6.62,6.47,6.62,285600,3
26-Dec-1978,0,6.75,6.59,6.75,241600,3.06
27-Dec-1978,0,6.75,6.66,6.66,231200,3.02
28-Dec-1978,0,6.72,6.58,6.58,264000,2.98
29-Dec-1978,0,6.61,6.34,6.34,279200,2.87
02-Jan-1979,0,6.38,6.3,6.38,708800,2.89
03-Jan-1979,0,6.61,6.47,6.58,664000,2.98
04-Jan-1979,0,6.7,6.56,6.61,658400,3
05-Jan-1979,0,6.67,6.59,6.64,349600,3.01
08-Jan-1979,0,6.66,6.5,6.62,605600,3
09-Jan-1979,0,6.77,6.62,6.62,498400,3
10-Jan-1979,0,6.66,6.52,6.55,244800,2.97
11-Jan-1979,0,6.64,6.47,6.64,368800,3.01
12-Jan-1979,0,6.81,6.72,6.77,735200,3.07
15-Jan-1979,0,6.92,6.81,6.88,512800,3.12
16-Jan-1979,0,6.86,6.72,6.72,418400,3.05
17-Jan-1979,0,6.69,6.56,6.59,394400,2.99
18-Jan-1979,0,6.73,6.59,6.72,330400,3.05
19-Jan-1979,0,6.78,6.7,6.72,370400,3.05
22-Jan-1979,0,6.73,6.67,6.73,236800,3.05
23-Jan-1979,0,6.78,6.69,6.77,263200,3.07
24-Jan-1979,0,6.8,6.72,6.73,345600,3.05
25-Jan-1979,0,6.8,6.72,6.73,365600,3.05
26-Jan-1979,0,6.84,6.73,6.81,373600,3.09
29-Jan-1979,0,7,6.83,6.86,713600,3.11
30-Jan-1979,0,6.89,6.81,6.81,395200,3.09
31-Jan-1979,0,6.81,6.64,6.69,532800,3.03
01-Feb-1979,0,6.69,6.5,6.5,1711200,2.95
