Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.65,0.65,0.65,112000,0.3
04-Jan-1978,0,0.65,0.65,0.65,6400,0.3
05-Jan-1978,0,0.65,0.64,0.65,6400,0.3
06-Jan-1978,0,0.64,0.63,0.63,22400,0.29
09-Jan-1978,0,0.64,0.62,0.62,137600,0.29
10-Jan-1978,0,0.62,0.62,0.62,41600,0.29
11-Jan-1978,0,0.62,0.61,0.61,67200,0.28
12-Jan-1978,0,0.62,0.62,0.62,3200,0.29
13-Jan-1978,0,0.62,0.62,0.62,9600,0.29
16-Jan-1978,0,0.62,0.61,0.62,166400,0.29
17-Jan-1978,0,0.62,0.61,0.62,140800,0.29
18-Jan-1978,0,0.62,0.61,0.62,86400,0.29
19-Jan-1978,0,0.62,0.62,0.62,19200,0.29
20-Jan-1978,0,0.62,0.61,0.61,44800,0.28
23-Jan-1978,0,0.6,0.59,0.59,35200,0.27
24-Jan-1978,0,0.6,0.59,0.6,16000,0.28
25-Jan-1978,0,0.61,0.61,0.61,6400,0.28
26-Jan-1978,0,0.61,0.61,0.61,12800,0.28
27-Jan-1978,0,0.6,0.6,0.6,3200,0.28
30-Jan-1978,0,0.6,0.59,0.59,137600,0.27
31-Jan-1978,0,0.59,0.58,0.58,76800,0.27
01-Feb-1978,0,0.59,0.59,0.59,25600,0.27
02-Feb-1978,0,0.6,0.59,0.6,19200,0.28
03-Feb-1978,0,0.62,0.61,0.62,102400,0.29
06-Feb-1978,0,0.61,0.61,0.61,25600,0.28
07-Feb-1978,0,0.62,0.62,0.62,3200,0.29
08-Feb-1978,0,0.63,0.62,0.63,160000,0.29
09-Feb-1978,0,0.64,0.64,0.64,9600,0.3
10-Feb-1978,0,0.64,0.63,0.64,22400,0.3
13-Feb-1978,0,0.65,0.64,0.65,35200,0.3
14-Feb-1978,0,0.65,0.63,0.64,198400,0.3
15-Feb-1978,NaN,NaN,NaN,0.64,0,0.3
16-Feb-1978,0,0.64,0.63,0.63,89600,0.29
17-Feb-1978,0,0.64,0.63,0.64,137600,0.3
21-Feb-1978,0,0.65,0.64,0.64,35200,0.3
22-Feb-1978,0,0.66,0.65,0.66,99200,0.31
23-Feb-1978,0,0.65,0.65,0.65,9600,0.3
24-Feb-1978,0,0.65,0.64,0.64,259200,0.3
27-Feb-1978,0,0.65,0.63,0.65,38400,0.3
28-Feb-1978,0,0.63,0.62,0.63,73600,0.29
01-Mar-1978,0,0.63,0.63,0.63,16000,0.29
02-Mar-1978,0,0.64,0.63,0.64,32000,0.3
03-Mar-1978,0,0.64,0.62,0.62,57600,0.29
06-Mar-1978,0,0.62,0.62,0.62,32000,0.29
07-Mar-1978,0,0.63,0.63,0.63,6400,0.29
08-Mar-1978,0,0.64,0.63,0.63,57600,0.29
09-Mar-1978,0,0.62,0.62,0.62,64000,0.29
10-Mar-1978,0,0.62,0.62,0.62,16000,0.29
13-Mar-1978,0,0.63,0.62,0.62,19200,0.29
14-Mar-1978,0,0.63,0.62,0.63,44800,0.29
15-Mar-1978,0,0.63,0.63,0.63,9600,0.29
16-Mar-1978,0,0.64,0.63,0.63,12800,0.29
17-Mar-1978,0,0.64,0.63,0.64,28800,0.3
20-Mar-1978,0,0.65,0.63,0.63,124800,0.29
21-Mar-1978,0,0.64,0.63,0.64,185600,0.3
22-Mar-1978,0,0.63,0.63,0.63,96000,0.29
23-Mar-1978,0,0.62,0.62,0.62,220800,0.29
27-Mar-1978,0,0.63,0.62,0.62,9600,0.29
28-Mar-1978,0,0.62,0.62,0.62,16000,0.29
29-Mar-1978,0,0.63,0.63,0.63,12800,0.29
30-Mar-1978,0,0.64,0.62,0.64,92800,0.3
31-Mar-1978,0,0.63,0.63,0.63,22400,0.29
03-Apr-1978,0,0.62,0.62,0.62,44800,0.29
04-Apr-1978,NaN,NaN,NaN,0.62,0,0.29
05-Apr-1978,0,0.63,0.62,0.62,25600,0.29
06-Apr-1978,0,0.64,0.62,0.64,268800,0.3
07-Apr-1978,0,0.63,0.62,0.62,41600,0.29
10-Apr-1978,NaN,NaN,NaN,0.62,0,0.29
11-Apr-1978,0,0.63,0.63,0.63,80000,0.29
12-Apr-1978,0,0.64,0.63,0.64,6400,0.3
13-Apr-1978,0,0.64,0.63,0.63,35200,0.29
14-Apr-1978,0,0.65,0.63,0.65,115200,0.3
17-Apr-1978,0,0.66,0.65,0.66,16000,0.31
18-Apr-1978,0,0.66,0.65,0.65,54400,0.3
19-Apr-1978,0,0.65,0.63,0.64,51200,0.3
20-Apr-1978,0,0.66,0.64,0.66,198400,0.31
