Date,Open,High,Low,Close,Volume,AdjClose
22-Mar-2007,18.1,20.25,18,20.1,2908400,20.1
23-Mar-2007,20.1,22.9,20.05,20.33,3550900,20.33
26-Mar-2007,20.33,20.75,20.15,20.67,859900,20.67
27-Mar-2007,20.75,20.83,20.3,20.35,470400,20.35
28-Mar-2007,20.3,20.3,19.7,19.9,324100,19.9
29-Mar-2007,19.9,20.13,19.5,19.7,1799300,19.7
30-Mar-2007,19.8,19.95,19.64,19.7,12230800,19.7
02-Apr-2007,19.7,19.7,18.82,19.51,9470300,19.51
03-Apr-2007,19.48,19.5,18.49,19.07,7892900,19.07
04-Apr-2007,19.02,19.16,18.8,18.91,4738000,18.91
05-Apr-2007,18.75,19.81,18.7,19.38,4602900,19.38
09-Apr-2007,19.57,19.57,18.9,19.06,3600900,19.06
10-Apr-2007,18.68,19.44,18.6,19.22,3130800,19.22
11-Apr-2007,19.25,20.06,18.95,19.11,3356100,19.11
12-Apr-2007,19.06,19.27,18.89,19.2,2666300,19.2
13-Apr-2007,20.05,20.05,19.1,19.58,2981000,19.58
16-Apr-2007,19.62,19.9,19.62,19.86,1455800,19.86
17-Apr-2007,19.45,20.58,19.3,20.42,1567200,20.42
18-Apr-2007,20.23,20.72,19.96,20.68,1958200,20.68
19-Apr-2007,20.2,21.46,20.18,21.14,1890100,21.14
20-Apr-2007,21.37,21.77,21,21.08,2671300,21.08
23-Apr-2007,20.88,21.1,20.53,20.7,1531800,20.7
24-Apr-2007,20.7,20.7,20.5,20.61,1752700,20.61
25-Apr-2007,20.61,20.67,20.22,20.26,1029512,20.26
26-Apr-2007,19.78,20.14,19.7,20.06,1193200,20.06
27-Apr-2007,20,20.27,19.81,20.22,734500,20.22
30-Apr-2007,20.2,20.2,19.96,20.04,1581800,20.04
01-May-2007,19.96,20.11,19.86,20.04,1468800,20.04
02-May-2007,19.97,20.11,19.85,20.02,1460100,20.02
03-May-2007,20.05,20.44,20.01,20.3,1246500,20.3
04-May-2007,20.2,21,20.13,20.78,1242300,20.78
07-May-2007,20.76,21.04,20.52,21.01,1482300,21.01
08-May-2007,20.6,21.32,20.54,21.27,1294300,21.27
09-May-2007,21.12,21.85,21.08,21.4,2454100,21.4
10-May-2007,21.2,21.55,20.94,21.12,1278800,21.12
11-May-2007,21.13,21.45,21.1,21.43,468283,21.43
14-May-2007,21.33,21.36,21.12,21.31,662453,21.31
15-May-2007,21.31,21.41,20.84,20.84,1811800,20.84
16-May-2007,20.7,20.7,20.42,20.5,1595876,20.5
17-May-2007,20.12,20.73,20.1,20.65,893700,20.65
18-May-2007,20.6,20.75,20.3,20.46,1201800,20.46
