Date,Open,High,Low,Close,Volume,AdjClose
30-Dec-2010,NaN,NaN,NaN,15.25,0,15.25
31-Dec-2010,15.15,15.64,15.1,15.56,996455,15.56
03-Jan-2011,15.77,15.82,14.52,14.82,3521596,14.82
04-Jan-2011,14.94,15.16,14.19,14.47,3988748,14.47
05-Jan-2011,14.4,14.81,14.35,14.71,2175152,14.71
06-Jan-2011,14.75,14.85,14.42,14.6,1470957,14.6
07-Jan-2011,14.6,14.83,14.21,14.48,1050919,14.48
10-Jan-2011,14.41,14.53,14.08,14.28,1336649,14.28
11-Jan-2011,14.5,14.78,14.32,14.52,2135933,14.52
12-Jan-2011,14.74,14.79,14.41,14.52,1270678,14.52
13-Jan-2011,14.45,14.68,14.31,14.56,872815,14.56
14-Jan-2011,14.57,14.67,14.23,14.54,970052,14.54
18-Jan-2011,14.55,14.65,14.45,14.52,877561,14.52
19-Jan-2011,14.52,14.55,13.72,13.9,1873252,13.9
20-Jan-2011,13.79,13.99,13.56,13.69,1529013,13.69
21-Jan-2011,13.8,13.92,13.68,13.76,1535357,13.76
24-Jan-2011,13.7,14.43,13.51,14.01,2110596,14.01
25-Jan-2011,13.85,13.96,13.71,13.94,1234684,13.94
26-Jan-2011,13.93,14.5,13.9,14.39,2052114,14.39
27-Jan-2011,14.35,14.68,14.21,14.6,991919,14.6
28-Jan-2011,14.22,14.6,13.8,13.93,2218363,13.93
31-Jan-2011,14.09,14.13,13.73,13.84,1592468,13.84
01-Feb-2011,13.81,14.51,13.81,14.3,1708454,14.3
02-Feb-2011,14.2,14.56,14.08,14.12,842962,14.12
03-Feb-2011,14.14,14.35,13.85,14.27,901396,14.27
04-Feb-2011,14.29,14.63,14.22,14.58,1148910,14.58
07-Feb-2011,14.63,15.33,14.59,14.95,1818387,14.95
08-Feb-2011,14.89,15.17,14.78,15.17,1670992,15.17
09-Feb-2011,15.05,15.47,15,15.2,1147332,15.2
10-Feb-2011,15.09,15.51,14.82,15.4,2379256,15.4
11-Feb-2011,15.34,15.57,15.19,15.5,836036,15.5
14-Feb-2011,15.45,15.63,15.34,15.52,1146050,15.52
15-Feb-2011,15.41,15.61,15.27,15.54,1358345,15.54
16-Feb-2011,15.65,15.95,15.57,15.66,1736429,15.66
17-Feb-2011,15.74,16.75,15.62,16.52,3096298,16.52
18-Feb-2011,16.22,16.5,16.11,16.2,2949178,16.2
22-Feb-2011,15.95,16.07,15.63,15.81,2098862,15.81
23-Feb-2011,15.79,16,14.59,15.27,2967879,15.27
24-Feb-2011,15.25,15.28,14.76,15.02,2013319,15.02
25-Feb-2011,15.18,15.39,14.95,15.26,1367551,15.26
28-Feb-2011,15.35,15.35,15,15.32,1011355,15.32
01-Mar-2011,15.32,15.53,14.68,14.82,1854718,14.82
02-Mar-2011,14.85,15.33,14.8,15.21,1104667,15.21
03-Mar-2011,15.41,16.33,15.36,16.16,2488547,16.16
04-Mar-2011,16.06,16.16,15.78,16,1122271,16
07-Mar-2011,16.04,16.11,15.33,15.37,1522971,15.37
08-Mar-2011,15.32,16.09,15.21,15.94,1335024,15.94
09-Mar-2011,15.9,16.04,15.6,15.88,3296859,15.88
10-Mar-2011,15.55,15.9,15.22,15.42,3230006,15.42
11-Mar-2011,15.36,15.75,15.17,15.61,2171302,15.61
14-Mar-2011,15.32,15.65,15.16,15.6,1576331,15.6
15-Mar-2011,14.73,15.77,14.72,15.61,1627251,15.61
16-Mar-2011,15.62,16.03,15.23,15.43,1973840,15.43
17-Mar-2011,15.61,15.8,15.45,15.7,1599918,15.7
18-Mar-2011,15.82,16.35,15.74,16.18,2857321,16.18
21-Mar-2011,16.23,16.58,16.07,16.48,1952137,16.48
22-Mar-2011,16.95,17.22,16.45,16.47,2072545,16.47
23-Mar-2011,16.46,17.07,16.29,16.97,2153134,16.97
24-Mar-2011,17.13,18.05,17.01,17.76,3450961,17.76
25-Mar-2011,17.85,18.44,17.72,18,2287455,18
28-Mar-2011,18.16,18.37,17.89,18.26,1336478,18.26
29-Mar-2011,18.19,18.33,17.93,18.08,2014749,18.08
30-Mar-2011,18.25,18.34,18.1,18.22,1266527,18.22
31-Mar-2011,18.2,18.2,17.62,17.91,2175505,17.91
01-Apr-2011,18.33,18.34,17.6,17.94,1538179,17.94
04-Apr-2011,17.96,18.2,17.88,18.13,2065102,18.13
05-Apr-2011,18.14,18.45,18.03,18.15,1312336,18.15
06-Apr-2011,18.31,18.64,18.31,18.45,912307,18.45
07-Apr-2011,18.41,18.72,18.21,18.47,972351,18.47
08-Apr-2011,18.68,18.75,18.19,18.37,926145,18.37
11-Apr-2011,18.34,18.49,18,18.09,828648,18.09
12-Apr-2011,17.91,18.16,17.91,18.05,1156877,18.05
13-Apr-2011,18.14,18.43,17.97,18.19,954278,18.19
14-Apr-2011,18.08,18.35,17.97,18.29,942679,18.29
15-Apr-2011,18.19,18.62,18.19,18.47,1206906,18.47
18-Apr-2011,18.11,18.26,17.91,18.24,1596031,18.24
19-Apr-2011,18.28,18.38,17.98,18.29,1103300,18.29
20-Apr-2011,18.62,19.21,18.54,19.16,2143603,19.16
21-Apr-2011,19.2,19.38,18.99,19.2,1010487,19.2
25-Apr-2011,19.15,19.36,19.05,19.2,1276728,19.2
26-Apr-2011,19.38,19.49,19.13,19.18,1477910,19.18
27-Apr-2011,19.23,19.37,18.77,19,1618008,19
28-Apr-2011,19.02,19.09,18.86,19.01,1093290,19.01
29-Apr-2011,19.11,19.14,18.77,18.96,980839,18.96
02-May-2011,19.08,19.08,18.63,18.7,866129,18.7
03-May-2011,18.59,18.76,17.98,18.06,2052630,18.06
04-May-2011,18.25,18.9,18.12,18.49,2404048,18.49
05-May-2011,18.23,18.65,18.12,18.25,1625174,18.25
06-May-2011,18.59,18.64,18.18,18.41,1072388,18.41
09-May-2011,18.31,18.61,17.81,18.47,1940874,18.47
10-May-2011,18.67,19.1,18.5,19.04,1777483,19.04
11-May-2011,19,19.24,18.39,18.46,1522501,18.46
12-May-2011,18.35,18.7,18.1,18.42,1282524,18.42
13-May-2011,18.52,18.53,18.1,18.21,1145797,18.21
16-May-2011,18.12,18.16,17.69,17.78,1697309,17.78
17-May-2011,17.55,17.61,17.3,17.39,1914656,17.39
18-May-2011,17.47,17.8,17.37,17.71,1207140,17.71
19-May-2011,17.87,17.92,17.36,17.65,1332032,17.65
20-May-2011,17.57,17.65,16.99,17.3,1334940,17.3
23-May-2011,17.07,17.12,16.65,16.81,1485165,16.81
24-May-2011,16.9,17.21,16.71,16.73,2297021,16.73
25-May-2011,16.78,16.97,16.56,16.78,1782384,16.78
