Date,Open,High,Low,Close,Volume,AdjClose
18-May-2017,19.9,24.72,19.9,24.68,8692966,24.68
19-May-2017,24.01,24.7,23.75,24.6,1295135,24.6
22-May-2017,24.45,25.68,24.4,25,437533,25
23-May-2017,25.11,26.09,25,25.8,368725,25.8
24-May-2017,25.85,27.26,25.75,27.05,541750,27.05
25-May-2017,27.05,28.16,27.05,27.3,2039948,27.3
26-May-2017,27.72,27.85,26.36,26.62,1841034,26.62
30-May-2017,26.4,26.91,25.52,25.9,1408479,25.9
31-May-2017,25.95,26.22,25.3,25.59,1850429,25.59
02-Jun-2017,26.81,27.86,26.69,27.05,5202984,27.05
05-Jun-2017,27,27.99,26.84,27.89,2241586,27.89
06-Jun-2017,27.89,29.47,27.52,29.14,3271407,29.14
07-Jun-2017,29.14,29.32,27.08,27.15,4820315,27.15
08-Jun-2017,26.87,27.2,25.35,25.81,6762409,25.81
09-Jun-2017,25.74,26.2,25.37,25.81,3119084,25.81
12-Jun-2017,25.58,26.45,25.44,25.94,2198644,25.94
13-Jun-2017,25.75,26.22,25.53,25.87,1954455,25.87
14-Jun-2017,25.8,26.02,25.51,25.59,1361251,25.59
15-Jun-2017,25.44,25.61,25.18,25.34,1328350,25.34
16-Jun-2017,25.34,26.2,25.29,26.16,2498267,26.16
19-Jun-2017,26.37,27.29,26.33,27,2568020,27
20-Jun-2017,26.75,27.24,26.74,26.9,1221351,26.9
21-Jun-2017,26.84,27.19,26.79,27.05,1481013,27.05
22-Jun-2017,27.2,27.7,27.12,27.58,1386735,27.58
23-Jun-2017,27.68,28.31,27.68,28.2,8111121,28.2
26-Jun-2017,28.22,28.35,27.96,28.21,1228563,28.21
27-Jun-2017,28.2,28.24,27.27,27.55,1843951,27.55
28-Jun-2017,27.64,27.85,27.47,27.56,1445507,27.56
29-Jun-2017,27.6,27.6,26.71,26.87,958840,26.87
30-Jun-2017,26.86,26.92,26.45,26.63,1143196,26.63
03-Jul-2017,26.63,27.17,26.55,27.08,336938,27.08
05-Jul-2017,26.96,27.21,26.86,27.04,1046882,27.04
06-Jul-2017,26.82,26.82,26.28,26.38,699474,26.38
07-Jul-2017,26.5,26.5,25.78,25.83,1514476,25.83
10-Jul-2017,25.62,26.12,25.5,25.95,1081706,25.95
11-Jul-2017,26.01,26.03,25.16,25.25,1172256,25.25
12-Jul-2017,25.44,25.88,24.84,25.41,1671400,25.41
13-Jul-2017,25.32,25.38,24.98,25.05,2320315,25.05
14-Jul-2017,25.1,25.35,24.01,24.13,2079331,24.13
17-Jul-2017,24.16,24.77,24,24.33,1124342,24.33
18-Jul-2017,24.29,24.58,23.94,23.96,1116142,23.96
19-Jul-2017,24.06,24.06,23.21,23.25,1882671,23.25
20-Jul-2017,23.43,23.51,23.1,23.12,3528255,23.12
21-Jul-2017,23.25,24.15,22.95,24.02,2545279,24.02
24-Jul-2017,24.17,24.17,23.42,23.76,1252558,23.76
25-Jul-2017,23.78,24.32,23.57,24.14,2062441,24.14
26-Jul-2017,24.22,24.94,24.03,24.76,1090648,24.76
27-Jul-2017,24.79,24.84,23.8,24.13,1200758,24.13
28-Jul-2017,23.98,24.49,23.98,24.29,720705,24.29
31-Jul-2017,NaN,NaN,NaN,24.3,1070980,24.3
01-Aug-2017,24.42,24.7,24.03,24.56,1126115,24.56
02-Aug-2017,24.43,24.64,24.14,24.22,3248796,24.22
03-Aug-2017,24.2,24.8,24.09,24.71,1606222,24.71
04-Aug-2017,24.66,24.66,23.92,24.63,867631,24.63
07-Aug-2017,24.67,24.7,24.41,24.6,1803544,24.6
08-Aug-2017,24.45,24.68,24.1,24.2,2449746,24.2
