Date,Open,High,Low,Close,Volume,AdjClose
20-Oct-1983,0,1.27,1.25,1.25,2710404,0.99
21-Oct-1983,0,1.21,1.17,1.17,1674396,0.93
24-Oct-1983,0,1.15,1.12,1.12,238404,0.89
25-Oct-1983,0,1.15,1.12,1.12,43200,0.89
26-Oct-1983,0,1.15,1.12,1.12,264804,0.89
27-Oct-1983,0,1.15,1.12,1.12,52800,0.89
28-Oct-1983,0,1.15,1.12,1.12,77604,0.89
31-Oct-1983,0,1.15,1.12,1.12,60804,0.89
01-Nov-1983,0,1.17,1.12,1.12,63204,0.89
02-Nov-1983,0,1.17,1.12,1.12,57600,0.89
03-Nov-1983,0,1.17,1.12,1.12,120000,0.89
04-Nov-1983,0,1.17,1.12,1.12,26400,0.89
07-Nov-1983,0,1.17,1.12,1.12,32004,0.89
08-Nov-1983,0,1.17,1.12,1.12,72000,0.89
09-Nov-1983,0,1.17,1.12,1.12,45600,0.89
10-Nov-1983,0,1.17,1.12,1.12,20004,0.89
11-Nov-1983,0,1.17,1.12,1.12,360000,0.89
14-Nov-1983,0,1.17,1.12,1.12,26400,0.89
15-Nov-1983,0,1.17,1.12,1.12,19200,0.89
16-Nov-1983,0,1.17,1.12,1.12,17604,0.89
17-Nov-1983,0,1.17,1.12,1.12,8004,0.89
18-Nov-1983,0,1.17,1.12,1.12,48804,0.89
21-Nov-1983,0,1.12,1.09,1.09,48804,0.87
22-Nov-1983,0,1.11,1.06,1.06,56004,0.84
23-Nov-1983,0,1.05,1,1,60000,0.79
25-Nov-1983,0,1.05,1,1,48804,0.79
28-Nov-1983,0,1.05,1,1,9600,0.79
29-Nov-1983,0,1.05,1,1,9600,0.79
30-Nov-1983,0,1.05,1,1,34404,0.79
01-Dec-1983,0,1.05,1,1,4800,0.79
02-Dec-1983,0,1.05,1,1,24000,0.79
05-Dec-1983,0,1.02,0.98,0.98,34404,0.78
06-Dec-1983,0,0.96,0.92,0.92,67200,0.73
07-Dec-1983,0,0.96,0.9,0.9,22404,0.71
08-Dec-1983,0,0.96,0.9,0.9,39204,0.71
09-Dec-1983,0,0.98,0.92,0.92,228804,0.73
12-Dec-1983,0,0.96,0.92,0.92,20004,0.73
13-Dec-1983,0,0.96,0.92,0.92,9600,0.73
14-Dec-1983,0,0.96,0.92,0.92,16800,0.73
15-Dec-1983,0,0.96,0.9,0.9,28800,0.71
16-Dec-1983,0,0.96,0.9,0.9,45600,0.71
19-Dec-1983,0,0.96,0.9,0.9,22404,0.71
20-Dec-1983,0,0.92,0.88,0.88,124800,0.7
21-Dec-1983,0,0.92,0.88,0.88,60804,0.7
22-Dec-1983,0,0.92,0.88,0.88,20004,0.7
23-Dec-1983,0,0.92,0.88,0.88,32004,0.7
27-Dec-1983,0,0.92,0.88,0.88,26400,0.7
28-Dec-1983,0,0.92,0.88,0.88,58404,0.7
