Date,Open,High,Low,Close,Volume,AdjClose
05-Nov-1981,0,0.6,0.58,0.58,1018402,0.38
06-Nov-1981,0,0.61,0.58,0.58,586105,0.38
09-Nov-1981,0,0.6,0.58,0.58,365696,0.38
10-Nov-1981,0,0.58,0.57,0.57,743796,0.38
11-Nov-1981,0,0.58,0.57,0.57,234897,0.38
12-Nov-1981,0,0.6,0.57,0.57,171201,0.38
13-Nov-1981,0,0.6,0.57,0.57,224703,0.38
16-Nov-1981,0,0.58,0.56,0.56,174801,0.37
17-Nov-1981,0,0.58,0.56,0.56,60906,0.37
18-Nov-1981,0,0.58,0.56,0.56,54903,0.37
19-Nov-1981,0,0.58,0.56,0.56,33705,0.37
20-Nov-1981,0,0.57,0.56,0.56,77798,0.37
23-Nov-1981,0,0.58,0.56,0.56,102106,0.37
24-Nov-1981,0,0.58,0.56,0.56,127404,0.37
25-Nov-1981,0,0.58,0.56,0.56,68799,0.37
27-Nov-1981,0,0.58,0.56,0.56,9397,0.37
30-Nov-1981,0,0.57,0.54,0.54,86398,0.36
01-Dec-1981,0,0.56,0.53,0.53,113496,0.35
02-Dec-1981,0,0.56,0.53,0.53,323403,0.35
03-Dec-1981,0,0.56,0.53,0.53,103097,0.35
04-Dec-1981,0,0.56,0.51,0.51,81899,0.34
07-Dec-1981,0,0.54,0.51,0.51,109396,0.34
08-Dec-1981,0,0.51,0.5,0.5,200395,0.33
09-Dec-1981,0,0.51,0.5,0.5,36598,0.33
10-Dec-1981,0,0.53,0.51,0.51,81899,0.34
11-Dec-1981,0,0.53,0.5,0.5,129500,0.33
14-Dec-1981,0,0.51,0.49,0.49,62102,0.33
15-Dec-1981,0,0.53,0.5,0.5,115603,0.33
16-Dec-1981,0,0.53,0.5,0.5,45403,0.33
17-Dec-1981,0,0.53,0.5,0.5,9397,0.33
18-Dec-1981,0,0.53,0.51,0.51,71100,0.34
21-Dec-1981,0,0.53,0.51,0.51,31598,0.34
22-Dec-1981,0,0.53,0.51,0.51,9397,0.34
23-Dec-1981,0,0.53,0.5,0.5,27098,0.33
24-Dec-1981,0,0.53,0.5,0.5,45403,0.33
28-Dec-1981,0,0.51,0.49,0.49,58901,0.33
29-Dec-1981,0,0.51,0.49,0.49,9397,0.33
30-Dec-1981,0,0.51,0.49,0.49,34605,0.33
31-Dec-1981,0,0.51,0.49,0.49,68105,0.33
04-Jan-1982,0,0.51,0.49,0.49,10901,0.33
05-Jan-1982,0,0.51,0.49,0.49,54903,0.33
06-Jan-1982,0,0.51,0.49,0.49,20196,0.33
07-Jan-1982,0,0.51,0.49,0.49,50495,0.33
08-Jan-1982,0,0.51,0.5,0.5,13498,0.33
11-Jan-1982,0,0.51,0.49,0.49,84997,0.33
12-Jan-1982,0,0.51,0.49,0.49,58901,0.33
13-Jan-1982,0,0.51,0.49,0.49,13498,0.33
14-Jan-1982,0,0.5,0.46,0.46,58901,0.31
15-Jan-1982,0,0.5,0.47,0.47,18100,0.31
18-Jan-1982,0,0.5,0.46,0.46,50495,0.31
19-Jan-1982,0,0.49,0.46,0.46,47396,0.31
20-Jan-1982,0,0.49,0.46,0.46,2802,0.31
21-Jan-1982,0,0.47,0.46,0.46,41405,0.31
22-Jan-1982,0,0.49,0.46,0.46,7301,0.31
25-Jan-1982,0,0.46,0.43,0.43,54595,0.29
26-Jan-1982,0,0.46,0.43,0.43,9397,0.29
27-Jan-1982,0,0.46,0.43,0.43,38398,0.29
28-Jan-1982,0,0.46,0.43,0.43,20196,0.29
29-Jan-1982,0,0.46,0.43,0.43,48604,0.29
01-Feb-1982,0,0.49,0.46,0.46,45403,0.31
02-Feb-1982,0,0.49,0.46,0.46,4203,0.31
03-Feb-1982,0,0.49,0.46,0.46,14102,0.31
04-Feb-1982,NaN,NaN,NaN,0.46,0,0.31
05-Feb-1982,0,0.5,0.46,0.46,71100,0.31
08-Feb-1982,0,0.53,0.5,0.5,62102,0.33
09-Feb-1982,0,0.53,0.49,0.49,36598,0.33
10-Feb-1982,0,0.53,0.5,0.5,30299,0.33
11-Feb-1982,0,0.53,0.5,0.5,72900,0.33
12-Feb-1982,0,0.53,0.5,0.5,7301,0.33
16-Feb-1982,0,0.51,0.5,0.5,24399,0.33
17-Feb-1982,0,0.51,0.5,0.5,21095,0.33
18-Feb-1982,0,0.51,0.5,0.5,40596,0.33
19-Feb-1982,0,0.51,0.5,0.5,34605,0.33
22-Feb-1982,0,0.51,0.5,0.5,60906,0.33
23-Feb-1982,0,0.51,0.5,0.5,9397,0.33
24-Feb-1982,0,0.51,0.5,0.5,33705,0.33
25-Feb-1982,0,0.51,0.5,0.5,48604,0.33
26-Feb-1982,0,0.51,0.5,0.5,10901,0.33
01-Mar-1982,0,0.53,0.5,0.5,48604,0.33
02-Mar-1982,0,0.53,0.5,0.5,30299,0.33
03-Mar-1982,0,0.53,0.5,0.5,9397,0.33
04-Mar-1982,0,0.53,0.5,0.5,36598,0.33
05-Mar-1982,0,0.53,0.5,0.5,27599,0.33
08-Mar-1982,0,0.53,0.5,0.5,18100,0.33
09-Mar-1982,0,0.51,0.49,0.49,36598,0.33
10-Mar-1982,0,0.51,0.49,0.49,10901,0.33
11-Mar-1982,0,0.51,0.49,0.49,6299,0.33
12-Mar-1982,0,0.51,0.49,0.49,7301,0.33
15-Mar-1982,0,0.51,0.49,0.49,7301,0.33
16-Mar-1982,0,0.51,0.5,0.5,24399,0.33
17-Mar-1982,0,0.53,0.5,0.5,16300,0.33
18-Mar-1982,0,0.53,0.5,0.5,6299,0.33
19-Mar-1982,0,0.53,0.5,0.5,14102,0.33
22-Mar-1982,0,0.53,0.51,0.51,34605,0.34
23-Mar-1982,0,0.54,0.51,0.51,62102,0.34
24-Mar-1982,0,0.54,0.51,0.51,21095,0.34
25-Mar-1982,0,0.54,0.53,0.53,7301,0.35
26-Mar-1982,0,0.54,0.53,0.53,9397,0.35
29-Mar-1982,0,0.54,0.51,0.51,64004,0.34
30-Mar-1982,0,0.54,0.51,0.51,4203,0.34
31-Mar-1982,0,0.53,0.51,0.51,30299,0.34
01-Apr-1982,0,0.54,0.51,0.51,20196,0.34
02-Apr-1982,0,0.54,0.51,0.51,7301,0.34
