Date,Open,High,Low,Close,Volume,AdjClose
10-Aug-2010,NaN,NaN,NaN,9.95,0,9.83
11-Aug-2010,NaN,NaN,NaN,9.95,0,9.83
12-Aug-2010,NaN,NaN,NaN,9.95,0,9.83
13-Aug-2010,9.63,9.63,9.63,9.63,463,9.51
16-Aug-2010,NaN,NaN,NaN,9.58,0,9.47
17-Aug-2010,NaN,NaN,NaN,9.58,0,9.47
18-Aug-2010,NaN,NaN,NaN,9.58,0,9.47
19-Aug-2010,NaN,NaN,NaN,9.58,0,9.47
20-Aug-2010,NaN,NaN,NaN,9.58,0,9.47
23-Aug-2010,NaN,NaN,NaN,9.58,0,9.47
24-Aug-2010,NaN,NaN,NaN,9.4,0,9.29
26-Aug-2010,NaN,NaN,NaN,9.42,0,9.31
27-Aug-2010,NaN,NaN,NaN,9.42,0,9.31
30-Aug-2010,NaN,NaN,NaN,9.42,0,9.31
31-Aug-2010,NaN,NaN,NaN,9.42,0,9.31
01-Sep-2010,NaN,NaN,NaN,9.42,0,9.31
02-Sep-2010,NaN,NaN,NaN,9.68,0,9.56
07-Sep-2010,NaN,NaN,NaN,9.68,0,9.56
08-Sep-2010,NaN,NaN,NaN,9.68,0,9.56
09-Sep-2010,NaN,NaN,NaN,9.68,0,9.56
10-Sep-2010,NaN,NaN,NaN,9.68,0,9.56
13-Sep-2010,NaN,NaN,NaN,9.74,0,9.62
15-Sep-2010,9.9,9.9,9.9,9.9,1838,9.78
16-Sep-2010,9.8,9.8,9.8,9.8,1800,9.68
17-Sep-2010,NaN,NaN,NaN,9.79,0,9.67
24-Sep-2010,NaN,NaN,NaN,9.98,0,9.86
29-Sep-2010,9.88,9.9,9.88,9.9,5500,9.78
30-Sep-2010,NaN,NaN,NaN,9.89,0,9.77
04-Oct-2010,NaN,NaN,NaN,9.8,0,9.68
06-Oct-2010,NaN,NaN,NaN,9.91,0,9.79
12-Oct-2010,9.95,10.06,9.95,10.06,3500,9.94
13-Oct-2010,10.11,10.11,10.11,10.11,1900,9.99
14-Oct-2010,NaN,NaN,NaN,10.05,0,9.93
18-Oct-2010,NaN,NaN,NaN,10.12,0,10
26-Oct-2010,NaN,NaN,NaN,10.12,0,10
01-Nov-2010,NaN,NaN,NaN,10.15,0,10.03
03-Nov-2010,NaN,NaN,NaN,10.2,0,10.08
09-Nov-2010,NaN,NaN,NaN,10.35,0,10.23
11-Nov-2010,NaN,NaN,NaN,10.3,0,10.18
15-Nov-2010,NaN,NaN,NaN,10.23,0,10.11
23-Nov-2010,10.15,10.15,10.15,10.15,7500,10.03
24-Nov-2010,NaN,NaN,NaN,10.22,0,10.1
07-Dec-2010,NaN,NaN,NaN,10.52,0,10.39
13-Dec-2010,NaN,NaN,NaN,10.52,0,10.39
15-Dec-2010,NaN,NaN,NaN,10.5,0,10.37
20-Dec-2010,10.55,10.55,10.55,10.55,762,10.42
21-Dec-2010,10.32,10.61,10.24,10.61,26000,10.48
22-Dec-2010,NaN,NaN,NaN,10.63,0,10.5
29-Dec-2010,NaN,NaN,NaN,10.61,0,10.48
03-Jan-2011,NaN,NaN,NaN,10.66,0,10.53
10-Jan-2011,NaN,NaN,NaN,10.67,0,10.54
13-Jan-2011,10.76,10.77,10.76,10.76,9142,10.63
14-Jan-2011,NaN,NaN,NaN,10.81,0,10.68
19-Jan-2011,NaN,NaN,NaN,10.81,0,10.68
21-Jan-2011,10.51,10.81,10.51,10.78,3700,10.65
24-Jan-2011,10.76,10.86,10.76,10.86,4400,10.73
25-Jan-2011,10.8,10.8,10.8,10.8,2300,10.67
26-Jan-2011,10.87,10.87,10.87,10.87,2100,10.74
27-Jan-2011,NaN,NaN,NaN,10.88,0,10.75
01-Feb-2011,NaN,NaN,NaN,10.95,0,10.82
04-Feb-2011,10.95,10.95,10.95,10.95,370,10.82
07-Feb-2011,11.04,11.04,11.04,11.04,10000,10.91
08-Feb-2011,NaN,NaN,NaN,11.04,0,10.91
14-Feb-2011,11.13,11.13,11.13,11.13,2200,11
15-Feb-2011,NaN,NaN,NaN,11.14,0,11.01
23-Feb-2011,NaN,NaN,NaN,11.05,0,10.92
07-Mar-2011,NaN,NaN,NaN,10.99,0,10.86
09-Mar-2011,NaN,NaN,NaN,11.07,0,10.94
14-Mar-2011,10.93,10.93,10.93,10.93,4200,10.8
15-Mar-2011,NaN,NaN,NaN,10.85,0,10.72
17-Mar-2011,10.5,10.8,10.45,10.8,4400,10.67
18-Mar-2011,10.9,10.9,10.9,10.9,100,10.77
21-Mar-2011,10.97,10.97,10.97,10.97,23300,10.84
22-Mar-2011,10.98,10.98,10.98,10.98,2200,10.85
23-Mar-2011,10.98,11,10.98,11,6400,10.87
24-Mar-2011,NaN,NaN,NaN,11.06,0,10.93
29-Mar-2011,11.08,11.08,11.08,11.08,2500,10.95
30-Mar-2011,11.14,11.14,11.14,11.14,1060,11.01
31-Mar-2011,NaN,NaN,NaN,11.15,0,11.02
06-Apr-2011,NaN,NaN,NaN,11.23,0,11.1
11-Apr-2011,NaN,NaN,NaN,11.16,0,11.03
13-Apr-2011,NaN,NaN,NaN,11.1,0,10.97
20-Apr-2011,NaN,NaN,NaN,11.21,0,11.08
25-Apr-2011,11.23,11.23,11.23,11.23,2000,11.1
26-Apr-2011,NaN,NaN,NaN,11.3,0,11.16
29-Apr-2011,11.35,11.35,11.35,11.35,1200,11.21
03-May-2011,NaN,NaN,NaN,11.32,0,11.18
06-May-2011,NaN,NaN,NaN,11.29,0,11.16
11-May-2011,11.31,11.31,11.29,11.31,6000,11.17
12-May-2011,11.29,11.44,11.29,11.34,3565,11.2
13-May-2011,11.33,11.4,11.33,11.4,2250,11.26
16-May-2011,11.29,11.29,11.27,11.27,1200,11.14
17-May-2011,11.23,11.23,11.23,11.23,800,11.1
18-May-2011,11.41,11.41,11.3,11.3,2890,11.16
19-May-2011,11.42,11.42,11.33,11.33,3210,11.19
20-May-2011,11.3,11.3,11.3,11.3,1750,11.16
23-May-2011,11.22,11.26,11.22,11.26,2500,11.13
24-May-2011,NaN,NaN,NaN,11.23,0,11.1
26-May-2011,NaN,NaN,NaN,11.29,0,11.16
31-May-2011,11.37,11.5,11.37,11.39,9850,11.25
01-Jun-2011,NaN,NaN,NaN,11.33,0,11.19
03-Jun-2011,11.23,11.28,11.22,11.24,13738,11.11
06-Jun-2011,11.2,11.23,11.2,11.22,3538,11.09
07-Jun-2011,11.22,11.22,11.22,11.22,500,11.09
08-Jun-2011,11.37,11.37,11.18,11.18,1650,11.05
09-Jun-2011,11.22,11.22,11.22,11.22,200,11.09
10-Jun-2011,11.16,11.16,11.16,11.16,3400,11.03
13-Jun-2011,NaN,NaN,NaN,11.15,0,11.02
16-Jun-2011,11.09,11.09,11.09,11.09,3300,10.96
17-Jun-2011,NaN,NaN,NaN,11.1,0,10.97
21-Jun-2011,11.24,11.24,11.22,11.22,8300,11.09
22-Jun-2011,11.25,11.25,11.25,11.25,1600,11.12
23-Jun-2011,NaN,NaN,NaN,11.11,0,10.98
28-Jun-2011,NaN,NaN,NaN,11.23,0,11.1
07-Jul-2011,11.49,11.52,11.49,11.52,338,11.38
08-Jul-2011,11.48,11.48,11.48,11.48,5550,11.34
11-Jul-2011,11.39,11.39,11.39,11.39,600,11.25
12-Jul-2011,11.39,11.39,11.39,11.39,2833,11.25
13-Jul-2011,11.38,11.38,11.38,11.38,2000,11.24
14-Jul-2011,NaN,NaN,NaN,11.34,0,11.2
19-Jul-2011,11.35,11.39,11.35,11.39,10738,11.25
20-Jul-2011,11.41,11.41,11.41,11.41,3550,11.27
21-Jul-2011,11.48,11.48,11.48,11.48,1500,11.34
22-Jul-2011,11.18,11.18,11.18,11.18,500,11.05
25-Jul-2011,11.48,11.48,11.46,11.46,64780,11.32
26-Jul-2011,NaN,NaN,NaN,11.44,0,11.3
28-Jul-2011,11.33,11.33,11.33,11.33,2900,11.19
29-Jul-2011,11.17,11.27,11.17,11.27,3600,11.14
01-Aug-2011,11.24,11.24,11.24,11.24,445,11.11
02-Aug-2011,11.17,11.17,11.17,11.17,2500,11.04
03-Aug-2011,11.06,11.06,11.06,11.06,4700,10.93
04-Aug-2011,11,11,10.94,10.94,5000,10.81
05-Aug-2011,10.58,10.58,10.58,10.58,4000,10.45
08-Aug-2011,10.49,10.49,10.48,10.48,6300,10.35
10-Aug-2011,10.21,10.21,10.21,10.21,2500,10.09
11-Aug-2011,NaN,NaN,NaN,10.27,0,10.15
15-Aug-2011,NaN,NaN,NaN,10.36,0,10.24
17-Aug-2011,10.34,10.37,10.34,10.37,5225,10.25
18-Aug-2011,10.2,10.34,10.08,10.34,6810,10.22
19-Aug-2011,10.25,10.25,10,10,800,9.88
22-Aug-2011,10.15,10.15,9.98,9.98,12200,9.86
23-Aug-2011,9.91,10.13,9.91,10.13,32750,10.01
24-Aug-2011,10.17,10.17,10.15,10.15,3200,10.03
25-Aug-2011,10.37,10.37,10.2,10.2,12000,10.08
26-Aug-2011,10.2,10.29,10.2,10.29,6500,10.17
29-Aug-2011,NaN,NaN,NaN,10.43,0,10.31
31-Aug-2011,NaN,NaN,NaN,10.51,0,10.38
02-Sep-2011,10.57,10.57,10.29,10.29,6000,10.17
06-Sep-2011,10.17,10.19,10.17,10.19,2050,10.07
07-Sep-2011,10.37,10.45,10.37,10.45,4500,10.33
08-Sep-2011,NaN,NaN,NaN,10.41,0,10.29
12-Sep-2011,NaN,NaN,NaN,10.2,0,10.08
14-Sep-2011,10.23,10.3,10.23,10.3,7000,10.18
15-Sep-2011,NaN,NaN,NaN,10.6,0,10.47
19-Sep-2011,10.4,10.4,10.37,10.37,4650,10.25
20-Sep-2011,NaN,NaN,NaN,10.42,0,10.3
22-Sep-2011,10.15,10.15,9.95,9.95,6900,9.83
23-Sep-2011,9.9,10.05,9.9,10,3500,9.88
26-Sep-2011,10,10,9.79,10,12955,9.88
27-Sep-2011,NaN,NaN,NaN,10.09,0,9.97
04-Oct-2011,9.6,9.6,9.42,9.42,4600,9.31
05-Oct-2011,9.69,9.76,9.69,9.76,2300,9.64
06-Oct-2011,10,10.08,10,10.08,600,9.96
07-Oct-2011,10,10,10,10,1745,9.88
10-Oct-2011,NaN,NaN,NaN,10.15,0,10.03
14-Oct-2011,NaN,NaN,NaN,10.34,0,10.22
20-Oct-2011,10.39,10.39,10.39,10.39,1200,10.27
21-Oct-2011,NaN,NaN,NaN,10.46,0,10.33
25-Oct-2011,NaN,NaN,NaN,10.58,0,10.45
28-Oct-2011,10.68,10.68,10.65,10.65,3000,10.52
31-Oct-2011,10.95,10.97,10.95,10.97,3000,10.84
01-Nov-2011,NaN,NaN,NaN,10.65,0,10.52
03-Nov-2011,10.75,10.75,10.75,10.75,300,10.62
04-Nov-2011,10.91,10.91,10.91,10.91,110,10.78
07-Nov-2011,NaN,NaN,NaN,10.91,0,10.78
09-Nov-2011,NaN,NaN,NaN,10.91,0,10.78
15-Nov-2011,NaN,NaN,NaN,10.85,0,10.72
18-Nov-2011,10.62,10.62,10.62,10.62,716,10.49
21-Nov-2011,10.46,10.49,10.46,10.49,3700,10.36
22-Nov-2011,10.47,10.47,10.47,10.47,9500,10.34
23-Nov-2011,NaN,NaN,NaN,10.39,0,10.27
28-Nov-2011,NaN,NaN,NaN,10.46,0,10.33
01-Dec-2011,10.81,10.81,10.79,10.81,10600,10.68
02-Dec-2011,10.88,10.88,10.88,10.88,5000,10.75
05-Dec-2011,NaN,NaN,NaN,10.94,0,10.81
07-Dec-2011,10.94,10.94,10.9,10.9,10000,10.77
08-Dec-2011,NaN,NaN,NaN,10.81,0,10.68
12-Dec-2011,10.83,10.83,10.81,10.81,1658,10.68
13-Dec-2011,10.97,10.97,10.75,10.75,6400,10.62
14-Dec-2011,10.73,10.73,10.7,10.7,2900,10.57
15-Dec-2011,10.76,10.76,10.76,10.76,2500,10.63
16-Dec-2011,10.78,10.78,10.78,10.78,10000,10.65
19-Dec-2011,10.82,10.82,10.82,10.82,4905,10.69
20-Dec-2011,10.93,10.93,10.93,10.93,3000,10.8
21-Dec-2011,NaN,NaN,NaN,10.95,0,10.82
23-Dec-2011,NaN,NaN,NaN,11.1,0,10.97
27-Dec-2011,NaN,NaN,NaN,11.11,0,10.98
30-Dec-2011,NaN,NaN,NaN,11.5,0,11.36
06-Jan-2012,NaN,NaN,NaN,11.27,0,11.14
10-Jan-2012,11.37,11.37,11.37,11.37,12000,11.23
11-Jan-2012,NaN,NaN,NaN,11.52,0,11.38
13-Jan-2012,NaN,NaN,NaN,11.4,0,11.26
17-Jan-2012,NaN,NaN,NaN,11.42,0,11.28
23-Jan-2012,11.56,11.56,11.56,11.56,8000,11.42
24-Jan-2012,11.57,11.57,11.57,11.57,31418,11.43
25-Jan-2012,11.6,11.63,11.6,11.63,8000,11.49
26-Jan-2012,NaN,NaN,NaN,11.65,0,11.51
31-Jan-2012,11.67,11.67,11.59,11.6,6000,11.46
01-Feb-2012,NaN,NaN,NaN,11.68,0,11.54
03-Feb-2012,NaN,NaN,NaN,12.12,0,11.98
07-Feb-2012,11.77,11.8,11.77,11.8,6996,11.66
08-Feb-2012,11.83,11.83,11.83,11.83,1000,11.69
09-Feb-2012,11.83,11.83,11.83,11.83,500,11.69
10-Feb-2012,NaN,NaN,NaN,11.83,0,11.69
13-Feb-2012,NaN,NaN,NaN,11.83,0,11.69
14-Feb-2012,11.83,11.83,11.83,11.83,2430,11.69
15-Feb-2012,NaN,NaN,NaN,11.83,0,11.69
17-Feb-2012,11.8,11.81,11.8,11.81,2000,11.67
21-Feb-2012,NaN,NaN,NaN,11.81,0,11.67
22-Feb-2012,11.79,11.86,11.79,11.86,23900,11.72
23-Feb-2012,11.78,11.86,11.78,11.84,4490,11.7
24-Feb-2012,11.9,11.94,11.87,11.87,5000,11.73
27-Feb-2012,11.89,11.95,11.89,11.89,6300,11.75
28-Feb-2012,11.89,11.89,11.89,11.89,1250,11.75
29-Feb-2012,11.91,11.91,11.91,11.91,900,11.77
01-Mar-2012,12.27,12.27,11.91,11.91,1830,11.77
06-Mar-2012,11.97,11.97,11.97,11.97,2000,11.83
07-Mar-2012,11.97,11.97,11.97,11.97,1200,11.83
08-Mar-2012,NaN,NaN,NaN,11.97,0,11.83
09-Mar-2012,11.97,11.97,11.97,11.97,1500,11.83
12-Mar-2012,12.05,12.05,11.98,11.98,1500,11.84
14-Mar-2012,12.03,12.03,12.02,12.02,3200,11.88
15-Mar-2012,NaN,NaN,NaN,12.02,0,11.88
16-Mar-2012,NaN,NaN,NaN,12.02,0,11.88
19-Mar-2012,12.05,12.05,12.05,12.05,1000,11.91
20-Mar-2012,12.2,12.2,12.2,12.2,100,12.05
21-Mar-2012,12.08,12.08,12.08,12.08,100,11.94
22-Mar-2012,12.07,12.07,12.07,12.07,10000,11.93
23-Mar-2012,12.07,12.07,12.06,12.06,9350,11.92
26-Mar-2012,NaN,NaN,NaN,12.06,0,11.92
27-Mar-2012,12.14,12.14,12.14,12.14,108,11.99
28-Mar-2012,12.14,12.14,12.14,12.14,1302,11.99
29-Mar-2012,12.14,12.14,12.08,12.11,19594,11.97
30-Mar-2012,12.16,12.16,12.15,12.15,10900,12
02-Apr-2012,12.19,12.19,12.19,12.19,3000,12.04
03-Apr-2012,12.19,12.21,12.19,12.19,700,12.04
04-Apr-2012,12.19,12.19,12.13,12.13,2250,11.99
05-Apr-2012,NaN,NaN,NaN,12.13,0,11.99
09-Apr-2012,12.13,12.13,12.09,12.09,3542,11.95
10-Apr-2012,12.09,12.09,12.09,12.09,900,11.95
11-Apr-2012,NaN,NaN,NaN,12.09,0,11.95
12-Apr-2012,12.15,12.15,12.15,12.15,1950,12
13-Apr-2012,12.18,12.18,12.18,12.18,10050,12.03
16-Apr-2012,12.14,12.15,12.14,12.15,4000,12
17-Apr-2012,12.17,12.17,12.17,12.17,2500,12.02
18-Apr-2012,12.25,12.25,12.25,12.25,300,12.1
19-Apr-2012,12.16,12.25,12.16,12.25,1541,12.1
20-Apr-2012,12.25,12.25,12.24,12.24,3010,12.09
23-Apr-2012,12.17,12.25,12.17,12.19,11775,12.04
24-Apr-2012,12.25,12.34,12.18,12.2,95628,12.05
25-Apr-2012,12.23,12.23,12.23,12.23,1700,12.08
26-Apr-2012,12.3,12.3,12.3,12.3,1500,12.15
01-May-2012,12.4,12.4,12.4,12.4,14915,12.25
02-May-2012,12.31,12.31,12.31,12.31,1250,12.16
03-May-2012,12.3,12.31,12.3,12.31,2100,12.16
04-May-2012,12.3,12.3,12.24,12.24,3450,12.09
07-May-2012,12.3,12.3,12.3,12.3,1450,12.15
08-May-2012,12.31,12.31,12.31,12.31,8500,12.16
09-May-2012,12.31,12.31,12.31,12.31,2000,12.16
10-May-2012,12.31,12.31,12.31,12.31,3000,12.16
14-May-2012,12.31,12.31,12.31,12.31,2000,12.16
15-May-2012,12.32,12.32,12.32,12.32,300,12.17
17-May-2012,12.34,12.34,12.26,12.26,11271,12.11
18-May-2012,NaN,NaN,NaN,12.26,0,12.11
21-May-2012,12.26,12.3,12.26,12.3,2268,12.15
22-May-2012,12.26,12.26,12.26,12.26,2492,12.11
23-May-2012,12.25,12.25,12.25,12.25,1802,12.1
24-May-2012,12.27,12.27,12.25,12.25,5732,12.1
25-May-2012,12.25,12.25,12.25,12.25,4006,12.1
29-May-2012,NaN,NaN,NaN,12.25,0,12.1
30-May-2012,12.23,12.23,12.23,12.23,4000,12.08
31-May-2012,NaN,NaN,NaN,12.23,0,12.08
01-Jun-2012,NaN,NaN,NaN,12.23,0,12.08
04-Jun-2012,12.23,12.23,12.14,12.14,4100,11.99
07-Jun-2012,12.2,12.2,12.2,12.2,1000,12.05
11-Jun-2012,12.21,12.22,12.21,12.22,4000,12.07
12-Jun-2012,12.17,12.26,12.17,12.26,8620,12.11
13-Jun-2012,12.21,12.21,12.2,12.2,1000,12.05
15-Jun-2012,12.25,12.25,12.24,12.25,6000,12.1
18-Jun-2012,12.28,12.35,12.28,12.35,800,12.2
19-Jun-2012,12.35,12.35,12.35,12.35,2500,12.2
20-Jun-2012,12.35,12.35,12.35,12.35,5600,12.2
21-Jun-2012,12.35,12.35,12.35,12.35,900,12.2
22-Jun-2012,NaN,NaN,NaN,12.35,0,12.2
25-Jun-2012,12.32,12.49,12.31,12.31,3700,12.16
26-Jun-2012,12.33,12.33,12.32,12.32,4000,12.17
27-Jun-2012,NaN,NaN,NaN,12.32,0,12.17
29-Jun-2012,NaN,NaN,NaN,12.32,0,12.17
02-Jul-2012,12.51,12.51,12.51,12.51,1500,12.36
03-Jul-2012,NaN,NaN,NaN,12.51,0,12.36
05-Jul-2012,NaN,NaN,NaN,12.51,0,12.36
10-Jul-2012,12.52,12.52,12.52,12.52,1000,12.37
11-Jul-2012,12.52,12.52,12.52,12.52,1800,12.37
12-Jul-2012,12.53,12.53,12.53,12.53,4100,12.38
16-Jul-2012,12.55,12.55,12.55,12.55,1000,12.4
17-Jul-2012,12.55,12.55,12.55,12.55,4000,12.4
19-Jul-2012,NaN,NaN,NaN,12.55,0,12.4
26-Jul-2012,NaN,NaN,NaN,12.55,0,12.4
