Date,Open,High,Low,Close,Volume,AdjClose
29-Mar-1993,0,32.5,30.5,32.5,15000,24.41
30-Mar-1993,0,33.5,31.5,32.5,15000,24.41
31-Mar-1993,0,33.5,32.5,32.5,12000,24.41
01-Apr-1993,0,32.75,31.5,32.75,5800,24.6
02-Apr-1993,0,32.5,30.5,30.5,6400,22.91
05-Apr-1993,0,31,30,31,4400,23.28
06-Apr-1993,0,31,29.5,29.5,3200,22.16
07-Apr-1993,0,31,29.5,30.5,4000,22.91
08-Apr-1993,0,30.5,29.25,29.25,8800,21.97
12-Apr-1993,0,30.5,29.5,29.5,4400,22.16
13-Apr-1993,0,30.75,29.25,30.75,5000,23.1
14-Apr-1993,0,30.62,29.25,30,10200,22.53
15-Apr-1993,0,30.5,29.5,30.19,10800,22.67
16-Apr-1993,0,30.12,27.44,27.5,24200,20.65
19-Apr-1993,0,28.75,28,28,1000,21.03
20-Apr-1993,0,28.38,27.5,28.38,4000,21.32
21-Apr-1993,0,28.5,28.19,28.38,3000,21.32
22-Apr-1993,0,28.75,27.5,28.5,16200,21.41
23-Apr-1993,0,28.5,28.5,28.5,1200,21.41
26-Apr-1993,0,28.75,28,28.75,5000,21.59
27-Apr-1993,0,28.75,27.25,28,18400,21.03
28-Apr-1993,0,28.75,26.25,26.25,11000,19.72
29-Apr-1993,0,27.75,27,27.75,5600,20.84
30-Apr-1993,NaN,NaN,NaN,27.75,0,20.84
03-May-1993,0,27.75,26.5,27.75,9200,20.84
04-May-1993,0,27.75,26.5,26.5,2800,19.9
05-May-1993,0,27.5,27.5,27.5,400,20.65
06-May-1993,0,27.5,26.5,27,6800,20.28
07-May-1993,0,26.75,25.75,26.75,1400,20.09
10-May-1993,0,27,25.75,27,2600,20.28
11-May-1993,0,27.5,25.75,26.75,17400,20.09
12-May-1993,0,25,24.5,24.5,3400,18.4
13-May-1993,0,26,24.5,26,5800,19.53
14-May-1993,0,26,26,26,400,19.53
17-May-1993,0,25.75,25.75,25.75,200,19.34
18-May-1993,0,26,26,26,200,19.53
19-May-1993,0,24.5,24.5,24.5,200,18.4
20-May-1993,0,26,24.5,26,1200,19.53
21-May-1993,0,24.5,24.5,24.5,400,18.4
24-May-1993,0,24.5,24.5,24.5,200,18.4
25-May-1993,0,24.5,24.5,24.5,200,18.4
26-May-1993,0,25.75,25.75,25.75,200,19.34
27-May-1993,0,26.25,26.25,26.25,400,19.72
28-May-1993,NaN,NaN,NaN,26.25,0,19.72
01-Jun-1993,0,25.75,24.75,25.5,4200,19.15
02-Jun-1993,0,26.25,24.75,26.25,15600,19.72
03-Jun-1993,NaN,NaN,NaN,26.25,0,19.72
04-Jun-1993,0,26.25,25,25.25,13200,18.96
07-Jun-1993,0,25,25,25,200,18.78
08-Jun-1993,NaN,NaN,NaN,25,0,18.78
09-Jun-1993,0,26.25,26.25,26.25,400,19.72
10-Jun-1993,0,25,25,25,2400,18.78
11-Jun-1993,0,25.06,25,25,7000,18.78
14-Jun-1993,0,26.25,26.25,26.25,1000,19.72
15-Jun-1993,0,26.25,25.06,26.25,1600,19.72
16-Jun-1993,0,26.25,25,26.25,2400,19.72
17-Jun-1993,0,25.88,25.75,25.88,400,19.44
18-Jun-1993,0,25.69,25,25.69,31400,19.3
21-Jun-1993,0,26,25,26,7400,19.53
22-Jun-1993,0,26,25,25.5,2000,19.15
23-Jun-1993,0,26,25,26,7400,19.53
24-Jun-1993,0,26,25,26,2200,19.53
25-Jun-1993,0,25.75,25,25.75,2000,19.34
28-Jun-1993,0,25.75,25,25,7200,18.78
29-Jun-1993,0,25.75,25.38,25.75,1600,19.34
30-Jun-1993,0,25.75,25.75,25.75,3200,19.34
01-Jul-1993,0,25.75,25.12,25.12,4600,18.87
02-Jul-1993,0,25.75,25.75,25.75,600,19.34
06-Jul-1993,0,25.75,25,25.75,8400,19.34
07-Jul-1993,0,25.75,25.75,25.75,1600,19.34
08-Jul-1993,0,25.75,25.38,25.75,2200,19.34
09-Jul-1993,0,25.75,25.75,25.75,400,19.34
12-Jul-1993,0,25.75,25.12,25.75,5400,19.34
13-Jul-1993,0,25.62,25.12,25.62,3800,19.24
14-Jul-1993,0,25.75,25,25.5,23800,19.15
15-Jul-1993,0,25.75,25,25.75,5600,19.34
16-Jul-1993,0,25.75,24.75,25.5,110200,19.15
19-Jul-1993,0,25.75,25.75,25.75,3400,19.34
20-Jul-1993,0,25.75,25,25.75,26200,19.34
21-Jul-1993,0,25.75,25.5,25.75,2400,19.34
