Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-2003,7.81,7.81,7.81,7.81,0,6.05
06-Jan-2003,7.8,7.8,7.8,7.8,0,6.04
07-Jan-2003,7.6,7.6,7.6,7.6,0,5.89
08-Jan-2003,7.82,7.82,7.82,7.82,0,6.06
09-Jan-2003,7.97,7.97,7.97,7.97,0,6.17
10-Jan-2003,7.98,7.98,7.98,7.98,0,6.18
13-Jan-2003,8.26,8.26,8.26,8.26,0,6.4
14-Jan-2003,8,8,8,8,0,6.2
15-Jan-2003,8.02,8.02,8.02,8.02,0,6.21
16-Jan-2003,8,8,8,8,0,6.2
17-Jan-2003,7.8,7.8,7.8,7.8,0,6.04
21-Jan-2003,7.68,7.68,7.68,7.68,0,5.95
22-Jan-2003,7.18,7.18,7.18,7.18,0,5.56
23-Jan-2003,7.23,7.23,7.23,7.23,0,5.6
24-Jan-2003,7.48,7.48,7.48,7.48,0,5.79
27-Jan-2003,7.09,7.09,7.09,7.09,0,5.49
28-Jan-2003,6.78,6.78,6.78,6.78,0,5.25
29-Jan-2003,6.99,6.99,6.99,6.99,0,5.42
30-Jan-2003,6.77,6.77,6.77,6.77,0,5.24
31-Jan-2003,6.81,6.81,6.81,6.81,0,5.28
03-Feb-2003,6.8,6.8,6.8,6.8,0,5.27
04-Feb-2003,6.96,6.96,6.96,6.96,0,5.39
05-Feb-2003,6.6,6.6,6.6,6.6,0,5.11
06-Feb-2003,6.5,6.5,6.5,6.5,0,5.04
07-Feb-2003,6.42,6.42,6.42,6.42,0,4.97
10-Feb-2003,6.34,6.34,6.34,6.34,0,4.91
11-Feb-2003,6.4,6.4,6.4,6.4,0,4.96
12-Feb-2003,6.4,6.4,6.4,6.4,0,4.96
13-Feb-2003,6.48,6.48,6.48,6.48,0,5.02
14-Feb-2003,6.36,6.36,6.36,6.36,0,4.93
18-Feb-2003,6.4,6.4,6.4,6.4,0,4.96
19-Feb-2003,6.45,6.45,6.45,6.45,0,5
20-Feb-2003,6.46,6.46,6.46,6.46,0,5
21-Feb-2003,6.49,6.49,6.49,6.49,0,5.03
24-Feb-2003,6.65,6.65,6.65,6.65,0,5.15
25-Feb-2003,6.52,6.52,6.52,6.52,0,5.05
26-Feb-2003,6.78,6.78,6.78,6.78,0,5.25
27-Feb-2003,7.07,7.07,7.07,7.07,0,5.48
28-Feb-2003,6.72,6.72,6.72,6.72,0,5.21
03-Mar-2003,6.52,6.52,6.52,6.52,0,5.05
04-Mar-2003,5.72,5.72,5.72,5.72,0,4.43
05-Mar-2003,5.4,5.4,5.4,5.4,0,4.18
06-Mar-2003,6,6,6,6,0,4.65
07-Mar-2003,6,6,6,6,0,4.65
10-Mar-2003,5.91,5.91,5.91,5.91,0,4.58
11-Mar-2003,6.14,6.14,6.14,6.14,0,4.76
12-Mar-2003,6,6,6,6,0,4.65
13-Mar-2003,6.34,6.34,6.34,6.34,0,4.91
14-Mar-2003,4.47,4.47,4.47,4.47,0,3.46
17-Mar-2003,4.78,4.78,4.78,4.78,0,3.7
18-Mar-2003,4.52,4.52,4.52,4.52,0,3.5
19-Mar-2003,4.8,4.8,4.8,4.8,0,3.72
20-Mar-2003,5.34,5.34,5.34,5.34,0,4.14
21-Mar-2003,5.39,5.39,5.39,5.39,0,4.18
24-Mar-2003,5.74,5.74,5.74,5.74,0,4.45
25-Mar-2003,5.37,5.37,5.37,5.37,0,4.16
26-Mar-2003,5.54,5.54,5.54,5.54,0,4.29
27-Mar-2003,5.8,5.8,5.8,5.8,0,4.49
28-Mar-2003,5.99,5.99,5.99,5.99,0,4.64
31-Mar-2003,6.12,6.12,6.12,6.12,0,4.74
01-Apr-2003,6,6,6,6,0,4.65
02-Apr-2003,7.02,7.02,7.02,7.02,0,5.44
03-Apr-2003,6.94,6.94,6.94,6.94,0,5.38
04-Apr-2003,6.92,6.92,6.92,6.92,0,5.36
07-Apr-2003,6.8,6.8,6.8,6.8,0,5.27
08-Apr-2003,6.76,6.76,6.76,6.76,0,5.24
09-Apr-2003,6.85,6.85,6.85,6.85,0,5.31
10-Apr-2003,6.82,6.82,6.82,6.82,0,5.28
11-Apr-2003,6.88,6.88,6.88,6.88,0,5.33
14-Apr-2003,6.86,6.86,6.86,6.86,0,5.31
15-Apr-2003,7.49,7.49,7.49,7.49,0,5.8
16-Apr-2003,7.52,7.52,7.52,7.52,0,5.83
17-Apr-2003,7.52,7.52,7.52,7.52,0,5.83
21-Apr-2003,7.29,7.29,7.29,7.29,0,5.65
22-Apr-2003,7.1,7.1,7.1,7.1,0,5.5
23-Apr-2003,6.98,6.98,6.98,6.98,0,5.41
24-Apr-2003,7,7,7,7,0,5.42
25-Apr-2003,6.77,6.77,6.77,6.77,0,5.24
28-Apr-2003,6.68,6.68,6.68,6.68,0,5.17
29-Apr-2003,6.6,6.6,6.6,6.6,0,5.11
30-Apr-2003,6.44,6.44,6.44,6.44,0,4.99
01-May-2003,6.18,6.18,6.18,6.18,0,4.79
02-May-2003,6.14,6.14,6.14,6.14,0,4.76
05-May-2003,6.78,6.78,6.78,6.78,0,5.25
06-May-2003,6.92,6.92,6.92,6.92,0,5.36
07-May-2003,6.97,6.97,6.97,6.97,0,5.4
08-May-2003,7.01,7.01,7.01,7.01,0,5.43
09-May-2003,6.97,6.97,6.97,6.97,0,5.4
12-May-2003,6.7,6.7,6.7,6.7,0,5.19
13-May-2003,6.58,6.58,6.58,6.58,0,5.1
14-May-2003,6.44,6.44,6.44,6.44,0,4.99
15-May-2003,5.4,5.4,5.4,5.4,0,4.18
16-May-2003,5.18,5.18,5.18,5.18,0,4.01
19-May-2003,5.04,5.04,5.04,5.04,0,3.9
20-May-2003,4.67,4.67,4.67,4.67,0,3.62
21-May-2003,4.52,4.52,4.52,4.52,0,3.5
22-May-2003,4.86,4.86,4.86,4.86,0,3.77
23-May-2003,4.88,4.88,4.88,4.88,0,3.78
27-May-2003,4.92,4.92,4.92,4.92,0,3.81
28-May-2003,4.82,4.82,4.82,4.82,0,3.73
29-May-2003,4.88,4.88,4.88,4.88,0,3.78
30-May-2003,4.94,4.94,4.94,4.94,0,3.83
02-Jun-2003,5.14,5.14,5.14,5.14,0,3.98
03-Jun-2003,5.1,5.1,5.1,5.1,0,3.95
04-Jun-2003,4.9,4.9,4.9,4.9,0,3.8
05-Jun-2003,4.98,4.98,4.98,4.98,0,3.86
06-Jun-2003,4.92,4.92,4.92,4.92,0,3.81
09-Jun-2003,5,5,5,5,0,3.87
10-Jun-2003,4.74,4.74,4.74,4.74,0,3.67
11-Jun-2003,4.66,4.66,4.66,4.66,0,3.61
12-Jun-2003,4.44,4.44,4.44,4.44,0,3.44
13-Jun-2003,4.56,4.56,4.56,4.56,0,3.53
16-Jun-2003,4.84,4.84,4.84,4.84,0,3.75
17-Jun-2003,4.98,4.98,4.98,4.98,0,3.86
18-Jun-2003,5.02,5.02,5.02,5.02,0,3.89
19-Jun-2003,5,5,5,5,0,3.87
20-Jun-2003,5,5,5,5,0,3.87
23-Jun-2003,5,5,5,5,0,3.87
24-Jun-2003,4.82,4.82,4.82,4.82,0,3.73
25-Jun-2003,4.87,4.87,4.87,4.87,0,3.77
26-Jun-2003,4.88,4.88,4.88,4.88,0,3.78
27-Jun-2003,4.82,4.82,4.82,4.82,0,3.73
30-Jun-2003,4.88,4.88,4.88,4.88,0,3.78
01-Jul-2003,4.76,4.76,4.76,4.76,0,3.69
02-Jul-2003,4.68,4.68,4.68,4.68,0,3.63
03-Jul-2003,4.8,4.8,4.8,4.8,0,3.72
07-Jul-2003,4.72,4.72,4.72,4.72,0,3.66
08-Jul-2003,4.7,4.7,4.7,4.7,0,3.64
09-Jul-2003,4.74,4.74,4.74,4.74,0,3.67
10-Jul-2003,4.66,4.66,4.66,4.66,0,3.61
11-Jul-2003,4.52,4.52,4.52,4.52,0,3.5
14-Jul-2003,4.57,4.57,4.57,4.57,0,3.54
15-Jul-2003,4.53,4.53,4.53,4.53,0,3.51
16-Jul-2003,4.54,4.54,4.54,4.54,0,3.52
17-Jul-2003,4.62,4.62,4.62,4.62,0,3.58
18-Jul-2003,4.56,4.56,4.56,4.56,0,3.53
21-Jul-2003,4.58,4.58,4.58,4.58,0,3.55
22-Jul-2003,4.54,4.54,4.54,4.54,0,3.52
23-Jul-2003,4.56,4.56,4.56,4.56,0,3.53
24-Jul-2003,4.6,4.6,4.6,4.6,0,3.56
25-Jul-2003,4.6,4.6,4.6,4.6,0,3.56
28-Jul-2003,4.7,4.7,4.7,4.7,0,3.64
29-Jul-2003,4.94,4.94,4.94,4.94,0,3.83
30-Jul-2003,4.91,4.91,4.91,4.91,0,3.8
31-Jul-2003,4.92,4.92,4.92,4.92,0,3.81
01-Aug-2003,4.76,4.76,4.76,4.76,0,3.69
04-Aug-2003,4.8,4.8,4.8,4.8,0,3.72
05-Aug-2003,4.91,4.91,4.91,4.91,0,3.8
06-Aug-2003,4.8,4.8,4.8,4.8,0,3.72
07-Aug-2003,4.84,4.84,4.84,4.84,0,3.75
08-Aug-2003,4.8,4.8,4.8,4.8,0,3.72
11-Aug-2003,4.74,4.74,4.74,4.74,0,3.67
12-Aug-2003,4.88,4.88,4.88,4.88,0,3.78
13-Aug-2003,4.8,4.8,4.8,4.8,0,3.72
14-Aug-2003,4.74,4.74,4.74,4.74,0,3.67
15-Aug-2003,3.2,3.2,3.2,3.2,0,2.48
18-Aug-2003,3.06,3.06,3.06,3.06,0,2.37
19-Aug-2003,2.9,2.9,2.9,2.9,0,2.25
20-Aug-2003,2.78,2.78,2.78,2.78,0,2.15
21-Aug-2003,2.53,2.53,2.53,2.53,0,1.96
22-Aug-2003,2.49,2.49,2.49,2.49,0,1.93
25-Aug-2003,2.37,2.37,2.37,2.37,0,1.84
26-Aug-2003,2.24,2.24,2.24,2.24,0,1.74
27-Aug-2003,2.39,2.39,2.39,2.39,0,1.85
28-Aug-2003,2,2,2,2,0,1.55
29-Aug-2003,2.47,2.47,2.47,2.47,0,1.91
