Date,Open,High,Low,Close,Volume,AdjClose
24-Apr-2007,19,19.3,17.74,18.91,18903250,12.32
25-Apr-2007,18.91,19.29,18.91,19.08,3461900,12.43
26-Apr-2007,19.3,20.69,19.2,19.51,1153800,12.71
27-Apr-2007,19.5,19.6,18.96,19,829200,12.38
30-Apr-2007,19.04,19.23,18.9,18.9,1411200,12.31
01-May-2007,18.9,18.99,18.6,18.85,1096400,12.28
02-May-2007,18.85,18.88,18.1,18.43,1659500,12.01
03-May-2007,18.35,18.75,18.05,18.1,778500,11.79
04-May-2007,18.2,18.8,18.18,18.6,717300,12.12
07-May-2007,18.85,19.45,18.7,19.12,761000,12.46
08-May-2007,19.05,19.15,18.9,19.02,130600,12.39
09-May-2007,18.95,19.23,18.81,19,181400,12.38
10-May-2007,19,19.05,18.9,19,506000,12.38
11-May-2007,19,19.16,18.92,19.11,156400,12.45
14-May-2007,19.11,19.31,18.85,19.23,388300,12.53
15-May-2007,19.25,19.85,19.23,19.48,342200,12.69
16-May-2007,19.4,19.5,19.06,19.25,129700,12.54
17-May-2007,19.1,19.15,18.62,19,307500,12.38
18-May-2007,18.96,19.48,18.95,19.33,544000,12.59
21-May-2007,19.15,19.8,19.1,19.7,435800,12.84
22-May-2007,19.6,19.95,19.45,19.54,165700,12.73
23-May-2007,19.45,19.6,19.2,19.31,150300,12.58
24-May-2007,19.3,19.35,19.01,19.23,147800,12.53
25-May-2007,19.19,19.25,19.08,19.18,74400,12.5
29-May-2007,19.05,19.12,18.91,18.95,107500,12.35
30-May-2007,18.92,19.71,18.92,19.17,251700,12.49
31-May-2007,19.04,19.37,19,19.35,397500,12.61
01-Jun-2007,19.3,19.5,19.1,19.46,209400,12.68
04-Jun-2007,19.6,19.8,19.29,19.32,272700,12.59
05-Jun-2007,19.35,19.69,19,19.13,126400,12.46
06-Jun-2007,19.05,19.2,18.89,19.03,172400,12.4
07-Jun-2007,19,19,18.52,18.8,101900,12.25
08-Jun-2007,19,19,18.52,18.7,388900,12.18
11-Jun-2007,18.6,18.6,18.25,18.53,115600,12.07
12-Jun-2007,18.55,18.99,18.38,18.59,411700,12.11
13-Jun-2007,18.59,18.59,18.37,18.5,348300,12.05
14-Jun-2007,18.47,18.6,18.35,18.57,137000,12.1
15-Jun-2007,18.59,18.7,18.35,18.7,81600,12.18
18-Jun-2007,18.7,18.85,18.56,18.7,211500,12.18
19-Jun-2007,18.75,18.89,18.44,18.46,173800,12.03
20-Jun-2007,18.5,18.74,18.33,18.51,328000,12.06
21-Jun-2007,18.46,18.64,18.33,18.55,146900,12.09
22-Jun-2007,18,18.21,17.35,17.42,1872900,11.35
25-Jun-2007,17.36,17.36,16.15,17.04,1790600,11.1
26-Jun-2007,17.2,17.6,17.2,17.37,327500,11.32
27-Jun-2007,17.19,17.62,17.1,17.58,131900,11.45
28-Jun-2007,17.6,18.21,17.57,17.93,237300,11.68
29-Jun-2007,18.04,18.15,17.75,17.89,199800,11.66
02-Jul-2007,17.95,18,17.5,17.53,416700,11.42
03-Jul-2007,17.55,17.56,16.9,16.94,82100,11.04
05-Jul-2007,16.93,17.02,16.67,16.79,354200,10.94
06-Jul-2007,16.79,16.9,16.7,16.86,286600,10.98
09-Jul-2007,16.9,17.41,16.9,17.01,487700,11.08
10-Jul-2007,15.11,17.1,16.7,16.76,212400,10.92
11-Jul-2007,16.75,16.96,16.65,16.79,341400,10.94
12-Jul-2007,16.79,17.5,16.81,17.08,414100,11.13
13-Jul-2007,17.06,17.3,16.94,17.25,434000,11.24
16-Jul-2007,17.2,18.02,17.01,17.99,183000,11.72
17-Jul-2007,17.99,18.15,17.73,17.75,67100,11.56
18-Jul-2007,17.63,18,17.58,17.9,167500,11.66
19-Jul-2007,17.9,18,17.73,17.81,165700,11.6
20-Jul-2007,17.77,17.88,17.22,17.39,371500,11.33
23-Jul-2007,17.4,17.44,17.21,17.3,179200,11.27
24-Jul-2007,17.3,17.32,16.72,16.92,296600,11.02
25-Jul-2007,16.92,17.02,16.77,17.02,257500,11.09
26-Jul-2007,16.8,17.18,16.5,16.99,235800,11.07
27-Jul-2007,16.99,17.16,16.32,16.34,468700,10.65
30-Jul-2007,16.33,16.8,15.9,16.75,427200,10.91
31-Jul-2007,16.75,16.85,16.29,16.35,446400,10.65
01-Aug-2007,16.68,16.71,16.01,16.42,444500,10.7
02-Aug-2007,16.42,16.42,15.32,15.94,280400,10.39
03-Aug-2007,15.9,16.22,15.06,15.7,480800,10.23
06-Aug-2007,15.7,15.94,14.83,15.94,437000,10.39
07-Aug-2007,15.94,16.92,15.86,16.33,356200,10.64
08-Aug-2007,16.25,17.47,16.23,17.4,364200,11.34
09-Aug-2007,17.1,17.68,16.95,17,302700,11.08
10-Aug-2007,17,17.98,16.13,16.98,161400,11.06
