Date,Open,High,Low,Close,Volume,AdjClose
19-Sep-1994,0,13.25,13.25,13.25,2300,13.25
20-Sep-1994,0,13.5,13.25,13.25,3400,13.25
21-Sep-1994,0,13.5,13.25,13.25,12600,13.25
22-Sep-1994,0,13.5,12.5,12.5,17400,12.5
23-Sep-1994,0,13,13,13,700,13
26-Sep-1994,0,12.25,11.25,11.25,11400,11.25
27-Sep-1994,0,11.75,11.25,11.25,3600,11.25
28-Sep-1994,0,11.25,11.25,11.25,200,11.25
29-Sep-1994,0,11.25,11.25,11.25,100,11.25
30-Sep-1994,0,12.75,11.25,12.75,20200,12.75
03-Oct-1994,0,12.5,12.5,12.5,200,12.5
04-Oct-1994,0,12.75,12.5,12.5,6300,12.5
05-Oct-1994,0,12.75,12,12.75,3000,12.75
06-Oct-1994,0,12.75,12,12.75,200,12.75
07-Oct-1994,0,12.5,12.5,12.5,1000,12.5
10-Oct-1994,0,12,12,12,400,12
11-Oct-1994,0,12.75,12.25,12.75,8800,12.75
12-Oct-1994,0,12.75,12.25,12.25,11600,12.25
13-Oct-1994,0,12.5,12.25,12.5,3500,12.5
14-Oct-1994,0,12.75,12.25,12.25,4200,12.25
17-Oct-1994,0,12.25,12,12,6300,12
18-Oct-1994,0,12.25,12,12.25,4900,12.25
19-Oct-1994,0,12.5,12,12,28300,12
20-Oct-1994,0,12,11.5,11.5,6000,11.5
21-Oct-1994,0,11.5,11.5,11.5,900,11.5
24-Oct-1994,0,11.5,11.5,11.5,5200,11.5
25-Oct-1994,0,11.5,11,11,3000,11
26-Oct-1994,0,11.5,11,11,3600,11
27-Oct-1994,0,11.5,11,11,12500,11
28-Oct-1994,0,11,11,11,500,11
31-Oct-1994,0,11.12,11,11,10100,11
01-Nov-1994,0,11,11,11,1900,11
02-Nov-1994,0,11,11,11,500,11
03-Nov-1994,0,11,11,11,2900,11
04-Nov-1994,0,11.5,11,11.5,14100,11.5
07-Nov-1994,0,11.12,11.12,11.12,500,11.12
08-Nov-1994,0,11.12,11.12,11.12,2200,11.12
09-Nov-1994,0,11.12,11.12,11.12,2700,11.12
10-Nov-1994,0,11.12,11.12,11.12,500,11.12
11-Nov-1994,0,11.12,11.12,11.12,900,11.12
14-Nov-1994,0,11.38,11.12,11.12,23900,11.12
15-Nov-1994,0,11.38,11.12,11.38,11200,11.38
16-Nov-1994,0,11.38,11.12,11.12,11400,11.12
17-Nov-1994,0,11.12,11.12,11.12,1100,11.12
18-Nov-1994,0,11.25,11.12,11.12,13300,11.12
21-Nov-1994,0,11.38,11.12,11.12,7300,11.12
22-Nov-1994,0,11.12,11,11,6200,11
23-Nov-1994,0,10.75,10.75,10.75,300,10.75
25-Nov-1994,NaN,NaN,NaN,10.75,0,10.75
28-Nov-1994,0,10.75,10.75,10.75,300,10.75
29-Nov-1994,0,11.25,10.75,10.88,1900,10.88
30-Nov-1994,0,11.25,10.88,11.25,72400,11.25
01-Dec-1994,NaN,NaN,NaN,11.25,0,11.25
02-Dec-1994,0,11.25,10.88,11.25,400,11.25
05-Dec-1994,NaN,NaN,NaN,11.25,0,11.25
06-Dec-1994,0,11,10.88,10.88,2700,10.88
07-Dec-1994,0,10.88,10.88,10.88,2100,10.88
08-Dec-1994,0,10.88,10.88,10.88,200,10.88
09-Dec-1994,0,10.88,10.88,10.88,6700,10.88
12-Dec-1994,0,10.88,10.88,10.88,500,10.88
13-Dec-1994,0,10.88,10.88,10.88,9200,10.88
14-Dec-1994,0,11,10.5,10.5,2800,10.5
15-Dec-1994,0,10.5,10.5,10.5,800,10.5
16-Dec-1994,0,10.56,10.5,10.56,3200,10.56
19-Dec-1994,0,10.5,10.5,10.5,700,10.5
20-Dec-1994,0,11,10.62,11,2100,11
21-Dec-1994,0,10.62,10.62,10.62,9000,10.62
22-Dec-1994,0,11,10.62,10.75,14300,10.75
23-Dec-1994,0,10.88,10.75,10.75,5900,10.75
27-Dec-1994,0,10.75,10.75,10.75,700,10.75
28-Dec-1994,0,11,10.75,10.75,5900,10.75
29-Dec-1994,0,10.75,10.75,10.75,2800,10.75
30-Dec-1994,0,10.88,10.75,10.88,12200,10.88
03-Jan-1995,0,10.75,10.75,10.75,3000,10.75
04-Jan-1995,0,11,10.75,10.75,9300,10.75
05-Jan-1995,0,10.75,10.75,10.75,3600,10.75
06-Jan-1995,0,10.75,10.75,10.75,2800,10.75
09-Jan-1995,0,10.75,10.38,10.38,51600,10.38
10-Jan-1995,0,10.38,10.38,10.38,600,10.38
11-Jan-1995,0,10.38,10.38,10.38,2600,10.38
12-Jan-1995,0,10.38,10.38,10.38,4000,10.38
13-Jan-1995,NaN,NaN,NaN,10.38,0,10.38
16-Jan-1995,0,10.38,10.38,10.38,2900,10.38
17-Jan-1995,0,10.38,10,10.38,11900,10.38
18-Jan-1995,0,10,10,10,200,10
19-Jan-1995,0,10,10,10,3400,10
20-Jan-1995,0,10.25,10,10.25,200,10.25
23-Jan-1995,0,10.12,10,10,3000,10
24-Jan-1995,0,10,10,10,4500,10
25-Jan-1995,0,10,10,10,100,10
26-Jan-1995,0,10.06,10.06,10.06,3500,10.06
27-Jan-1995,0,10,10,10,1300,10
30-Jan-1995,0,10.06,10.06,10.06,3500,10.06
31-Jan-1995,0,10,10,10,1000,10
01-Feb-1995,0,10,10,10,800,10
02-Feb-1995,0,10,10,10,1000,10
03-Feb-1995,0,10,10,10,4900,10
06-Feb-1995,0,10,10,10,5500,10
07-Feb-1995,0,10.06,10,10,7900,10
08-Feb-1995,0,10.25,10.12,10.25,21000,10.25
09-Feb-1995,0,10,10,10,600,10
10-Feb-1995,NaN,NaN,NaN,10,0,10
13-Feb-1995,0,10.25,10,10,2400,10
14-Feb-1995,0,10.25,10.06,10.25,14200,10.25
15-Feb-1995,0,10.25,10,10.25,3100,10.25
16-Feb-1995,0,10.25,10,10.25,4000,10.25
17-Feb-1995,0,10,10,10,1400,10
21-Feb-1995,0,10,9.5,9.5,14600,9.5
22-Feb-1995,0,9.5,9.5,9.5,3600,9.5
23-Feb-1995,0,9.62,9.5,9.62,8100,9.62
24-Feb-1995,0,9.75,9.5,9.75,11700,9.75
27-Feb-1995,0,9.5,9.5,9.5,300,9.5
28-Feb-1995,NaN,NaN,NaN,9.5,0,9.5
01-Mar-1995,0,9.62,9.5,9.62,300,9.62
02-Mar-1995,0,9.75,9.75,9.75,1000,9.75
03-Mar-1995,0,10.25,9.75,10.25,1600,10.25
06-Mar-1995,NaN,NaN,NaN,10.25,0,10.25
07-Mar-1995,0,10.25,10.25,10.25,100,10.25
08-Mar-1995,0,9.75,9.75,9.75,3400,9.75
09-Mar-1995,0,9.75,9.75,9.75,100,9.75
10-Mar-1995,0,9.75,9.75,9.75,1200,9.75
13-Mar-1995,0,9.75,9.75,9.75,5400,9.75
14-Mar-1995,0,9.75,9.75,9.75,2200,9.75
15-Mar-1995,0,9.75,9.75,9.75,300,9.75
16-Mar-1995,0,9.75,9.75,9.75,200,9.75
17-Mar-1995,NaN,NaN,NaN,9.75,0,9.75
20-Mar-1995,0,9.88,9.88,9.88,4300,9.88
21-Mar-1995,0,9.75,9.75,9.75,300,9.75
