Date,Open,High,Low,Close,Volume,AdjClose
17-Oct-1988,0,7.09,6.98,7.01,122000,7.01
18-Oct-1988,0,7.27,7.01,7.16,447400,7.16
19-Oct-1988,0,7.16,6.83,6.94,148000,6.94
20-Oct-1988,0,7.12,6.83,7.12,471099,7.12
21-Oct-1988,0,7.2,7.05,7.2,98698,7.2
24-Oct-1988,0,7.34,7.05,7.23,303099,7.23
25-Oct-1988,0,7.27,7.12,7.23,40601,7.23
26-Oct-1988,0,7.2,7.01,7.12,261201,7.12
27-Oct-1988,0,7.12,6.94,6.98,155301,6.98
28-Oct-1988,0,7.09,6.94,6.94,235501,6.94
31-Oct-1988,0,7.09,6.94,7.09,112600,7.09
01-Nov-1988,0,7.27,7.05,7.05,210300,7.05
02-Nov-1988,0,6.98,6.9,6.94,247998,6.94
03-Nov-1988,0,7.23,6.9,7.12,370501,7.12
04-Nov-1988,0,7.23,7.05,7.16,221400,7.16
07-Nov-1988,0,7.2,6.94,6.98,571198,6.98
08-Nov-1988,0,7.05,6.87,6.9,174700,6.9
09-Nov-1988,0,6.94,6.78,6.9,59501,6.9
10-Nov-1988,0,7.05,6.9,6.94,195099,6.94
11-Nov-1988,0,6.98,6.72,6.72,531201,6.72
14-Nov-1988,0,7.05,6.72,6.72,267901,6.72
15-Nov-1988,0,6.9,6.56,6.9,371102,6.9
16-Nov-1988,0,6.9,6.6,6.67,855799,6.67
17-Nov-1988,0,6.72,6.56,6.67,448899,6.67
18-Nov-1988,0,6.78,6.6,6.65,99900,6.65
21-Nov-1988,0,6.76,6.56,6.76,120201,6.76
22-Nov-1988,0,6.78,6.6,6.65,90001,6.65
23-Nov-1988,0,6.72,6.6,6.6,118000,6.6
25-Nov-1988,0,6.67,6.56,6.56,55498,6.56
28-Nov-1988,0,6.67,6.53,6.67,116201,6.67
29-Nov-1988,0,6.87,6.72,6.76,143201,6.76
30-Nov-1988,0,6.9,6.67,6.72,62100,6.72
01-Dec-1988,0,6.78,6.56,6.6,58198,6.6
02-Dec-1988,0,6.67,6.49,6.56,68401,6.56
05-Dec-1988,0,6.67,6.49,6.6,44499,6.6
06-Dec-1988,0,6.87,6.67,6.87,122901,6.87
07-Dec-1988,0,6.87,6.6,6.65,124301,6.65
08-Dec-1988,0,6.78,6.65,6.78,47398,6.78
09-Dec-1988,0,6.94,6.72,6.72,62100,6.72
12-Dec-1988,0,6.87,6.72,6.76,16801,6.76
13-Dec-1988,0,6.83,6.72,6.72,44101,6.72
14-Dec-1988,0,6.78,6.72,6.78,93298,6.78
15-Dec-1988,0,6.87,6.72,6.83,90598,6.83
16-Dec-1988,0,7.01,6.72,6.94,207201,6.94
19-Dec-1988,0,7.16,6.94,6.98,199601,6.98
20-Dec-1988,0,6.98,6.72,6.76,178001,6.76
21-Dec-1988,0,6.83,6.76,6.78,151899,6.78
22-Dec-1988,0,6.94,6.72,6.9,186401,6.9
23-Dec-1988,0,6.94,6.76,6.78,37300,6.78
27-Dec-1988,0,6.98,6.76,6.9,79201,6.9
28-Dec-1988,0,7.01,6.87,6.9,87301,6.9
29-Dec-1988,0,7.01,6.94,6.98,136401,6.98
30-Dec-1988,0,7.05,6.9,6.9,59400,6.9
03-Jan-1989,0,6.94,6.67,6.9,72400,6.9
04-Jan-1989,0,7.09,6.83,7.05,40500,7.05
05-Jan-1989,0,7.05,6.76,6.78,145699,6.78
06-Jan-1989,0,6.98,6.78,6.83,145000,6.83
09-Jan-1989,0,6.94,6.83,6.94,45100,6.94
10-Jan-1989,0,7.01,6.94,6.98,109900,6.98
11-Jan-1989,0,7.09,6.98,7.09,58900,7.09
12-Jan-1989,0,7.16,7.05,7.09,262801,7.09
13-Jan-1989,0,7.12,7.05,7.12,84601,7.12
16-Jan-1989,0,7.12,7.05,7.12,213800,7.12
17-Jan-1989,0,7.12,6.98,6.98,147700,6.98
18-Jan-1989,0,7.05,6.9,6.98,662702,6.98
19-Jan-1989,0,7.05,6.94,7.05,139900,7.05
20-Jan-1989,0,7.12,6.98,7.05,73501,7.05
23-Jan-1989,0,7.01,6.94,6.94,231501,6.94
24-Jan-1989,0,7.16,6.98,7.09,154400,7.09
25-Jan-1989,0,7.2,7.09,7.16,158601,7.16
26-Jan-1989,0,7.38,7.16,7.31,131001,7.31
27-Jan-1989,0,7.38,7.27,7.31,123700,7.31
30-Jan-1989,0,7.49,7.34,7.49,112101,7.49
31-Jan-1989,0,7.42,7.38,7.38,66099,7.38
01-Feb-1989,0,7.67,7.49,7.54,345401,7.54
02-Feb-1989,0,7.56,7.49,7.56,153100,7.56
03-Feb-1989,0,7.67,7.56,7.65,264198,7.65
06-Feb-1989,0,7.67,7.56,7.56,142999,7.56
07-Feb-1989,0,7.67,7.45,7.65,140501,7.65
08-Feb-1989,0,7.79,7.54,7.72,97200,7.72
09-Feb-1989,0,7.76,7.65,7.72,150400,7.72
10-Feb-1989,0,7.65,7.38,7.42,122799,7.42
13-Feb-1989,0,7.56,7.38,7.42,135500,7.42
14-Feb-1989,0,7.54,7.34,7.34,79201,7.34
15-Feb-1989,0,7.49,7.38,7.45,39298,7.45
16-Feb-1989,0,7.54,7.42,7.45,83200,7.45
17-Feb-1989,0,7.72,7.42,7.72,68998,7.72
21-Feb-1989,0,7.72,7.6,7.67,161200,7.67
