Date,Open,High,Low,Close,Volume,AdjClose
09-Feb-1993,0,1.28,1.14,1.22,8805600,1.22
10-Feb-1993,0,1.42,1.2,1.38,2012000,1.38
11-Feb-1993,0,1.53,1.38,1.44,1430400,1.44
12-Feb-1993,0,1.47,1.34,1.39,820000,1.39
16-Feb-1993,0,1.42,1.23,1.25,1018400,1.25
17-Feb-1993,0,1.28,1.17,1.23,750400,1.23
18-Feb-1993,0,1.27,1.14,1.19,323200,1.19
19-Feb-1993,0,1.23,1.16,1.2,328000,1.2
22-Feb-1993,0,1.31,1.22,1.3,345600,1.3
23-Feb-1993,0,1.44,1.31,1.31,464000,1.31
24-Feb-1993,0,1.38,1.27,1.28,200000,1.28
25-Feb-1993,0,1.34,1.28,1.3,96800,1.3
26-Feb-1993,0,1.34,1.28,1.28,88000,1.28
01-Mar-1993,0,1.34,1.28,1.31,69600,1.31
02-Mar-1993,0,1.31,1.25,1.31,103200,1.31
03-Mar-1993,0,1.31,1.25,1.25,136000,1.25
04-Mar-1993,0,1.31,1.19,1.28,499200,1.28
05-Mar-1993,0,1.41,1.31,1.38,679200,1.38
08-Mar-1993,0,1.58,1.38,1.56,689600,1.56
09-Mar-1993,0,1.81,1.56,1.67,1300000,1.67
10-Mar-1993,0,1.97,1.66,1.97,2397600,1.97
11-Mar-1993,0,2.16,1.91,1.98,1314400,1.98
12-Mar-1993,0,2.06,1.97,2.03,421600,2.03
15-Mar-1993,0,2.09,1.81,2.03,898400,2.03
16-Mar-1993,0,2.25,1.97,2.19,1124800,2.19
17-Mar-1993,0,2.41,2.25,2.34,812800,2.34
18-Mar-1993,0,2.38,2.09,2.09,960000,2.09
19-Mar-1993,0,2.22,2.03,2.06,402400,2.06
22-Mar-1993,0,2.06,1.88,2.03,665600,2.03
23-Mar-1993,0,2.03,1.91,2,174400,2
24-Mar-1993,0,2.03,1.78,2,581600,2
25-Mar-1993,0,2.09,2,2.03,138400,2.03
