Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,0.44,0.44,0.44,22400,0.24
04-Jan-1978,0,0.44,0.42,0.42,48000,0.23
05-Jan-1978,0,0.44,0.42,0.44,86400,0.24
06-Jan-1978,0,0.44,0.42,0.42,73600,0.23
09-Jan-1978,0,0.44,0.42,0.42,28800,0.23
10-Jan-1978,0,0.42,0.42,0.42,48000,0.23
11-Jan-1978,0,0.44,0.42,0.42,19200,0.23
12-Jan-1978,0,0.44,0.42,0.42,44800,0.23
13-Jan-1978,0,0.42,0.42,0.42,19200,0.23
16-Jan-1978,0,0.44,0.42,0.42,25600,0.23
17-Jan-1978,0,0.42,0.42,0.42,16000,0.23
18-Jan-1978,0,0.42,0.42,0.42,16000,0.23
19-Jan-1978,0,0.44,0.42,0.44,102400,0.24
20-Jan-1978,0,0.44,0.44,0.44,9600,0.24
23-Jan-1978,0,0.45,0.44,0.44,96000,0.24
24-Jan-1978,0,0.44,0.44,0.44,35200,0.24
25-Jan-1978,0,0.44,0.44,0.44,9600,0.24
26-Jan-1978,0,0.44,0.44,0.44,3200,0.24
27-Jan-1978,0,0.45,0.44,0.44,38400,0.24
30-Jan-1978,0,0.45,0.44,0.44,16000,0.24
31-Jan-1978,0,0.45,0.44,0.44,48000,0.24
01-Feb-1978,0,0.45,0.45,0.45,19200,0.24
02-Feb-1978,0,0.45,0.45,0.45,329600,0.24
03-Feb-1978,0,0.45,0.45,0.45,25600,0.24
06-Feb-1978,0,0.45,0.45,0.45,19200,0.24
07-Feb-1978,0,0.45,0.44,0.44,60800,0.24
08-Feb-1978,NaN,NaN,NaN,0.44,0,0.24
09-Feb-1978,0,0.44,0.44,0.44,3200,0.24
10-Feb-1978,0,0.44,0.44,0.44,16000,0.24
13-Feb-1978,0,0.44,0.44,0.44,12800,0.24
14-Feb-1978,0,0.44,0.44,0.44,6400,0.24
15-Feb-1978,0,0.45,0.44,0.44,57600,0.24
16-Feb-1978,0,0.44,0.44,0.44,22400,0.24
17-Feb-1978,0,0.44,0.44,0.44,19200,0.24
21-Feb-1978,0,0.44,0.44,0.44,80000,0.24
22-Feb-1978,0,0.44,0.44,0.44,54400,0.24
23-Feb-1978,0,0.45,0.45,0.45,227200,0.24
24-Feb-1978,0,0.45,0.44,0.45,48000,0.24
27-Feb-1978,0,0.44,0.44,0.44,121600,0.24
28-Feb-1978,0,0.44,0.44,0.44,348800,0.24
01-Mar-1978,0,0.44,0.44,0.44,60800,0.24
02-Mar-1978,0,0.44,0.44,0.44,19200,0.24
03-Mar-1978,0,0.44,0.44,0.44,12800,0.24
06-Mar-1978,0,0.44,0.44,0.44,22400,0.24
07-Mar-1978,0,0.44,0.44,0.44,32000,0.24
08-Mar-1978,0,0.44,0.42,0.42,32000,0.23
09-Mar-1978,0,0.42,0.42,0.42,12800,0.23
10-Mar-1978,0,0.44,0.42,0.44,51200,0.24
13-Mar-1978,0,0.44,0.44,0.44,9600,0.24
14-Mar-1978,0,0.44,0.44,0.44,3200,0.24
15-Mar-1978,0,0.44,0.42,0.42,25600,0.23
16-Mar-1978,0,0.44,0.42,0.44,25600,0.24
17-Mar-1978,0,0.42,0.42,0.42,28800,0.23
20-Mar-1978,0,0.44,0.42,0.44,64000,0.24
21-Mar-1978,0,0.44,0.42,0.42,19200,0.23
22-Mar-1978,0,0.42,0.42,0.42,25600,0.23
23-Mar-1978,0,0.42,0.42,0.42,19200,0.23
27-Mar-1978,0,0.42,0.42,0.42,25600,0.23
28-Mar-1978,0,0.42,0.42,0.42,22400,0.23
29-Mar-1978,0,0.42,0.41,0.41,38400,0.22
30-Mar-1978,0,0.41,0.39,0.39,67200,0.21
31-Mar-1978,0,0.39,0.38,0.38,80000,0.21
03-Apr-1978,0,0.39,0.38,0.38,89600,0.21
04-Apr-1978,0,0.38,0.38,0.38,108800,0.21
05-Apr-1978,0,0.38,0.38,0.38,9600,0.21
06-Apr-1978,0,0.39,0.39,0.39,35200,0.21
07-Apr-1978,0,0.39,0.39,0.39,38400,0.21
10-Apr-1978,0,0.39,0.38,0.39,67200,0.21
11-Apr-1978,0,0.39,0.39,0.39,35200,0.21
12-Apr-1978,0,0.39,0.39,0.39,57600,0.21
13-Apr-1978,0,0.39,0.39,0.39,51200,0.21
14-Apr-1978,0,0.39,0.39,0.39,86400,0.21
17-Apr-1978,0,0.41,0.39,0.39,246400,0.21
18-Apr-1978,0,0.41,0.39,0.41,89600,0.22
19-Apr-1978,0,0.39,0.39,0.39,57600,0.21
20-Apr-1978,0,0.41,0.41,0.41,48000,0.22
21-Apr-1978,0,0.42,0.41,0.41,76800,0.22
24-Apr-1978,0,0.41,0.41,0.41,44800,0.22
25-Apr-1978,0,0.42,0.41,0.42,105600,0.23
26-Apr-1978,0,0.42,0.41,0.41,73600,0.22
27-Apr-1978,0,0.41,0.41,0.41,38400,0.22
28-Apr-1978,0,0.41,0.41,0.41,28800,0.22
01-May-1978,0,0.42,0.41,0.41,44800,0.22
02-May-1978,0,0.41,0.41,0.41,99200,0.22
03-May-1978,0,0.41,0.41,0.41,32000,0.22
04-May-1978,0,0.41,0.39,0.41,32000,0.22
05-May-1978,0,0.41,0.41,0.41,6400,0.22
08-May-1978,0,0.41,0.41,0.41,54400,0.22
09-May-1978,0,0.41,0.41,0.41,64000,0.22
