Date,Open,High,Low,Close,Volume,AdjClose
31-Jul-2014,20,20.33,19.3,19.99,14208657,19.99
01-Aug-2014,20,20.1,19.34,19.85,2125626,19.85
04-Aug-2014,19.85,20.1,19.6,20.01,592817,20.01
05-Aug-2014,19.94,20.48,19.77,20.21,1077591,20.21
06-Aug-2014,20.2,20.33,20.05,20.33,900913,20.33
07-Aug-2014,20.33,20.49,20.3,20.42,546020,20.42
08-Aug-2014,20.49,20.68,20.4,20.53,402530,20.53
11-Aug-2014,20.51,20.6,20.44,20.5,442471,20.5
12-Aug-2014,20.45,20.55,20.45,20.5,240691,20.5
13-Aug-2014,20.5,20.6,20.47,20.53,438485,20.53
14-Aug-2014,20.5,20.59,20.45,20.5,200595,20.5
15-Aug-2014,20.68,20.68,20.45,20.51,143341,20.51
18-Aug-2014,21.2,21.2,20.41,20.66,186915,20.66
19-Aug-2014,20.5,20.68,20.5,20.63,403960,20.63
20-Aug-2014,20.51,20.75,20.5,20.58,291124,20.58
21-Aug-2014,20.54,20.74,20.54,20.72,221909,20.72
22-Aug-2014,20.75,20.91,20.66,20.85,259679,20.85
25-Aug-2014,20.74,21.31,20.55,21.2,558939,21.2
26-Aug-2014,21.15,21.45,21.15,21.32,691048,21.32
27-Aug-2014,21.2,21.35,21.15,21.27,265050,21.27
28-Aug-2014,21.1,21.7,21.02,21.5,3070248,21.5
29-Aug-2014,21.5,21.74,21.33,21.5,1271821,21.5
02-Sep-2014,21.35,21.79,21.32,21.7,665741,21.7
03-Sep-2014,21.64,21.8,21.52,21.68,329716,21.68
04-Sep-2014,21.59,21.95,21.21,21.5,445570,21.5
05-Sep-2014,21.5,22.55,21.5,22.4,835298,22.4
08-Sep-2014,22.35,22.8,22.26,22.5,654132,22.5
09-Sep-2014,22.53,23.09,22.19,22.48,945831,22.48
10-Sep-2014,22.48,23.18,22.4,22.99,976551,22.99
11-Sep-2014,22.81,23.7,22.6,23.25,929995,23.25
12-Sep-2014,23,23.9,23,23.49,691089,23.49
15-Sep-2014,23.58,24.88,23.58,24.84,1157503,24.84
16-Sep-2014,25.05,25.4,23.82,24.22,974557,24.22
17-Sep-2014,24.29,24.9,24.15,24.31,750612,24.31
18-Sep-2014,24.31,24.44,23.96,24.19,751328,24.19
19-Sep-2014,24.12,24.63,23.09,23.68,2784756,23.68
22-Sep-2014,23.64,24.06,23.41,23.99,713002,23.99
23-Sep-2014,24.12,24.2,23.58,23.97,1185737,23.97
24-Sep-2014,23.97,25,23.83,24.84,1333045,24.84
25-Sep-2014,24.91,25.15,24.65,24.68,1202611,24.68
26-Sep-2014,24.6,25.12,24.5,25.04,927525,25.04
29-Sep-2014,24.72,25.23,24.52,25.17,876229,25.17
30-Sep-2014,25.13,25.3,24.67,25.03,4606484,25.03
01-Oct-2014,24.93,25.1,23.21,23.85,1214517,23.85
02-Oct-2014,23.9,25.69,23.88,25.35,945367,25.35
03-Oct-2014,25.66,25.74,25.1,25.13,339000,25.13
06-Oct-2014,25.17,25.19,24.64,24.98,520482,24.98
07-Oct-2014,24.84,25.03,24.54,24.73,396031,24.73
08-Oct-2014,24.65,25.59,24.58,25.48,425469,25.48
09-Oct-2014,25.35,25.48,24.38,24.42,469145,24.42
10-Oct-2014,24.22,24.22,23.64,23.67,639781,23.67
13-Oct-2014,23.66,23.98,23.43,23.52,451025,23.52
14-Oct-2014,23.57,23.91,23.43,23.73,468492,23.73
15-Oct-2014,23.49,24.3,23.22,24.22,337632,24.22
16-Oct-2014,24.01,24.59,23.8,24.25,395210,24.25
17-Oct-2014,24.44,24.67,23.53,23.63,225338,23.63
20-Oct-2014,23.63,24.21,23.46,23.96,246863,23.96
21-Oct-2014,23.99,25.28,23.85,25.19,624832,25.19
22-Oct-2014,25.13,25.24,24.04,24.07,284252,24.07
23-Oct-2014,24.2,24.4,24.11,24.26,509883,24.26
24-Oct-2014,24.37,25.04,24.22,24.94,241807,24.94
27-Oct-2014,24.68,24.79,23.45,24.46,308615,24.46
28-Oct-2014,24.5,25.46,24.4,25.2,488658,25.2
29-Oct-2014,25.28,25.62,25.04,25.55,254099,25.55
30-Oct-2014,25.38,26,24.87,25.64,305996,25.64
31-Oct-2014,26.03,26.34,25.6,26.03,367141,26.03
03-Nov-2014,26,26.25,25.5,25.9,228162,25.9
04-Nov-2014,25.85,25.89,25.25,25.35,157957,25.35
05-Nov-2014,25.44,25.44,24.87,25.09,262966,25.09
06-Nov-2014,25.04,25.28,24.44,24.74,255064,24.74
07-Nov-2014,24.58,24.92,24.37,24.73,272083,24.73
10-Nov-2014,24.81,25.01,24.42,24.77,251066,24.77
11-Nov-2014,24.81,24.97,24.17,24.21,354720,24.21
12-Nov-2014,24.15,24.3,23.64,23.72,776548,23.72
13-Nov-2014,23.86,24.54,23.74,23.81,458358,23.81
14-Nov-2014,24.14,24.4,22.85,24.05,743829,24.05
17-Nov-2014,23.93,26.16,23.7,25.64,514327,25.64
18-Nov-2014,25.81,26.04,25.16,25.43,330593,25.43
19-Nov-2014,25.43,26.39,24.88,25.7,478675,25.7
20-Nov-2014,25.57,26.38,25.55,26.06,449806,26.06
21-Nov-2014,26.44,26.75,26.04,26.55,634889,26.55
24-Nov-2014,26.61,27.48,26.56,26.97,489245,26.97
25-Nov-2014,27.08,27.89,26.56,27.85,552908,27.85
26-Nov-2014,28.23,28.72,27.77,28.72,711323,28.72
28-Nov-2014,28.64,29.09,28.42,28.79,161236,28.79
01-Dec-2014,28.79,29.04,27.91,28.3,406491,28.3
02-Dec-2014,28.38,29.52,27.43,28.43,811860,28.43
03-Dec-2014,28.4,28.83,28.03,28.51,443027,28.51
04-Dec-2014,28.57,29.2,28.13,28.93,584714,28.93
05-Dec-2014,28.93,29.42,28.67,29.16,264057,29.16
08-Dec-2014,29.01,29.44,28.7,28.91,243730,28.91
09-Dec-2014,28.56,29.6,28.5,29.13,284775,29.13
10-Dec-2014,29.25,29.53,28.77,29.42,368953,29.42
11-Dec-2014,29.46,30.18,28.75,29.02,385381,29.02
12-Dec-2014,28.74,29.04,28.15,28.58,368897,28.58
15-Dec-2014,28.74,29.32,27.91,28.94,381039,28.94
16-Dec-2014,28.81,29.12,28.22,28.57,464249,28.57
17-Dec-2014,28.56,29.23,27.95,29.18,458030,29.18
18-Dec-2014,29.49,29.87,28.4,28.69,487906,28.69
19-Dec-2014,28.77,29.5,28.46,29.19,1718753,29.19
22-Dec-2014,29.17,29.98,28.55,28.63,280757,28.63
23-Dec-2014,28.71,28.71,27.06,27.15,424424,27.15
24-Dec-2014,27.23,27.63,26.62,27.38,186034,27.38
26-Dec-2014,27.54,28.68,27.54,28.49,169201,28.49
29-Dec-2014,28.41,28.64,27.49,27.94,200494,27.94
30-Dec-2014,27.71,28.26,27.66,28.06,145467,28.06
31-Dec-2014,28.05,28.88,27.78,27.88,186086,27.88
02-Jan-2015,28.04,28.04,27.17,27.51,187260,27.51
05-Jan-2015,27.43,28.5,27.22,28.08,455243,28.08
06-Jan-2015,28.08,28.23,26.32,26.55,622116,26.55
