Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,NaN,NaN,NaN,0.27,0,0.05
04-Jan-1978,0,0.31,0.27,0.27,21600,0.05
05-Jan-1978,0,0.31,0.27,0.27,5400,0.05
06-Jan-1978,0,0.31,0.27,0.27,50100,0.05
09-Jan-1978,0,0.31,0.27,0.27,54900,0.05
10-Jan-1978,0,0.31,0.27,0.27,6000,0.05
11-Jan-1978,0,0.31,0.27,0.27,16300,0.05
12-Jan-1978,0,0.31,0.27,0.27,28900,0.05
13-Jan-1978,0,0.31,0.27,0.27,18900,0.05
16-Jan-1978,0,0.31,0.27,0.27,58200,0.05
17-Jan-1978,NaN,NaN,NaN,0.27,0,0.05
18-Jan-1978,0,0.31,0.27,0.27,100,0.05
19-Jan-1978,0,0.31,0.27,0.27,3300,0.05
20-Jan-1978,0,0.31,0.27,0.27,100,0.05
23-Jan-1978,NaN,NaN,NaN,0.27,0,0.05
24-Jan-1978,0,0.31,0.27,0.27,100,0.05
25-Jan-1978,0,0.31,0.27,0.27,8200,0.05
26-Jan-1978,0,0.31,0.27,0.27,25600,0.05
27-Jan-1978,0,0.31,0.27,0.27,21600,0.05
30-Jan-1978,0,0.31,0.27,0.27,4200,0.05
31-Jan-1978,NaN,NaN,NaN,0.27,0,0.05
01-Feb-1978,0,0.31,0.27,0.27,4200,0.05
02-Feb-1978,0,0.31,0.27,0.27,33300,0.05
03-Feb-1978,0,0.31,0.27,0.27,5400,0.05
06-Feb-1978,0,0.31,0.27,0.27,100,0.05
07-Feb-1978,0,0.31,0.29,0.29,49900,0.06
08-Feb-1978,0,0.31,0.29,0.29,6700,0.06
09-Feb-1978,0,0.33,0.31,0.31,43800,0.06
10-Feb-1978,0,0.35,0.31,0.31,20400,0.06
13-Feb-1978,0,0.35,0.31,0.31,138500,0.06
14-Feb-1978,0,0.35,0.31,0.31,4200,0.06
15-Feb-1978,0,0.35,0.31,0.31,412400,0.06
16-Feb-1978,0,0.35,0.31,0.31,27000,0.06
17-Feb-1978,0,0.35,0.31,0.31,21600,0.06
21-Feb-1978,0,0.35,0.31,0.31,21600,0.06
22-Feb-1978,0,0.35,0.31,0.31,17100,0.06
23-Feb-1978,0,0.35,0.31,0.31,4200,0.06
24-Feb-1978,0,0.35,0.31,0.31,6000,0.06
27-Feb-1978,NaN,NaN,NaN,0.31,0,0.06
28-Feb-1978,0,0.33,0.31,0.31,67600,0.06
01-Mar-1978,0,0.31,0.29,0.29,44700,0.06
02-Mar-1978,0,0.31,0.27,0.27,10000,0.05
03-Mar-1978,0,0.31,0.27,0.27,25600,0.05
06-Mar-1978,0,0.31,0.27,0.27,1900,0.05
07-Mar-1978,0,0.31,0.27,0.27,8200,0.05
08-Mar-1978,0,0.31,0.27,0.27,4200,0.05
09-Mar-1978,NaN,NaN,NaN,0.27,0,0.05
10-Mar-1978,0,0.33,0.31,0.31,204900,0.06
13-Mar-1978,0,0.33,0.31,0.31,414200,0.06
14-Mar-1978,NaN,NaN,NaN,0.31,0,0.06
15-Mar-1978,0,0.33,0.31,0.31,8200,0.06
16-Mar-1978,NaN,NaN,NaN,0.31,0,0.06
17-Mar-1978,0,0.35,0.31,0.31,397600,0.06
20-Mar-1978,0,0.35,0.31,0.31,131800,0.06
21-Mar-1978,NaN,NaN,NaN,0.31,0,0.06
22-Mar-1978,0,0.35,0.31,0.31,39700,0.06
23-Mar-1978,0,0.35,0.31,0.31,20400,0.06
27-Mar-1978,0,0.35,0.31,0.31,16300,0.06
28-Mar-1978,0,0.38,0.33,0.33,109400,0.06
29-Mar-1978,0,0.38,0.35,0.35,89100,0.07
30-Mar-1978,0,0.38,0.35,0.35,39100,0.07
31-Mar-1978,0,0.38,0.35,0.35,23500,0.07
03-Apr-1978,0,0.38,0.35,0.35,48100,0.07
04-Apr-1978,0,0.38,0.35,0.35,13000,0.07
05-Apr-1978,0,0.4,0.38,0.38,16300,0.07
06-Apr-1978,0,0.4,0.38,0.38,3300,0.07
07-Apr-1978,0,0.44,0.4,0.4,70200,0.08
10-Apr-1978,0,0.44,0.4,0.4,13000,0.08
11-Apr-1978,0,0.44,0.4,0.4,31600,0.08
12-Apr-1978,0,0.48,0.44,0.44,52600,0.08
13-Apr-1978,0,0.48,0.46,0.46,45400,0.09
14-Apr-1978,0,0.48,0.46,0.46,44700,0.09
17-Apr-1978,0,0.48,0.46,0.46,23100,0.09
18-Apr-1978,0,0.48,0.44,0.44,25600,0.08
19-Apr-1978,0,0.46,0.44,0.44,68800,0.08
20-Apr-1978,0,0.44,0.4,0.4,92700,0.08
21-Apr-1978,0,0.44,0.4,0.4,22900,0.08
24-Apr-1978,0,0.44,0.4,0.4,8200,0.08
25-Apr-1978,0,0.44,0.4,0.4,6000,0.08
26-Apr-1978,0,0.44,0.4,0.4,3300,0.08
27-Apr-1978,0,0.44,0.4,0.4,45400,0.08
28-Apr-1978,0,0.44,0.4,0.4,9600,0.08
01-May-1978,0,0.44,0.4,0.4,46500,0.08
02-May-1978,0,0.44,0.4,0.4,1900,0.08
03-May-1978,0,0.44,0.4,0.4,112900,0.08
04-May-1978,0,0.44,0.4,0.4,7600,0.08
05-May-1978,0,0.44,0.4,0.4,6700,0.08
08-May-1978,0,0.46,0.44,0.44,75700,0.08
09-May-1978,0,0.46,0.44,0.44,1900,0.08
10-May-1978,0,0.46,0.44,0.44,20400,0.08
11-May-1978,0,0.48,0.44,0.44,12700,0.08
12-May-1978,0,0.48,0.44,0.44,12700,0.08
15-May-1978,0,0.48,0.44,0.44,3300,0.08
16-May-1978,0,0.48,0.44,0.44,8200,0.08
17-May-1978,0,0.48,0.44,0.44,1900,0.08
18-May-1978,0,0.48,0.44,0.44,3300,0.08
19-May-1978,0,0.48,0.44,0.44,13000,0.08
22-May-1978,0,0.48,0.44,0.44,100,0.08
23-May-1978,0,0.48,0.44,0.44,17100,0.08
24-May-1978,0,0.48,0.44,0.44,25200,0.08
25-May-1978,0,0.48,0.44,0.44,67600,0.08
26-May-1978,0,0.48,0.44,0.44,12100,0.08
30-May-1978,0,0.48,0.44,0.44,13600,0.08
31-May-1978,0,0.48,0.44,0.44,125600,0.08
01-Jun-1978,0,0.48,0.44,0.44,18400,0.08
02-Jun-1978,0,0.46,0.44,0.44,42400,0.08
05-Jun-1978,0,0.46,0.44,0.44,7600,0.08
06-Jun-1978,0,0.46,0.44,0.44,4200,0.08
07-Jun-1978,0,0.46,0.44,0.44,30600,0.08
08-Jun-1978,0,0.44,0.4,0.4,86400,0.08
09-Jun-1978,0,0.44,0.4,0.4,30600,0.08
12-Jun-1978,0,0.44,0.4,0.4,42400,0.08
13-Jun-1978,0,0.44,0.4,0.4,26500,0.08
14-Jun-1978,0,0.44,0.4,0.4,26500,0.08
15-Jun-1978,0,0.44,0.4,0.4,36400,0.08
16-Jun-1978,NaN,NaN,NaN,0.4,0,0.08
19-Jun-1978,0,0.44,0.4,0.4,33300,0.08
20-Jun-1978,0,0.44,0.4,0.4,41800,0.08
21-Jun-1978,0,0.44,0.4,0.4,42400,0.08
22-Jun-1978,0,0.44,0.4,0.4,23500,0.08
23-Jun-1978,0,0.44,0.4,0.4,20400,0.08
26-Jun-1978,0,0.44,0.4,0.4,94600,0.08
27-Jun-1978,0,0.44,0.4,0.4,41800,0.08
28-Jun-1978,NaN,NaN,NaN,0.4,0,0.08
29-Jun-1978,0,0.44,0.4,0.4,35700,0.08
30-Jun-1978,0,0.44,0.4,0.4,16300,0.08
03-Jul-1978,0,0.44,0.4,0.4,13600,0.08
05-Jul-1978,0,0.44,0.4,0.4,100,0.08
06-Jul-1978,0,0.44,0.4,0.4,18400,0.08
07-Jul-1978,0,0.44,0.4,0.4,10300,0.08
10-Jul-1978,0,0.44,0.4,0.4,38400,0.08
11-Jul-1978,0,0.4,0.38,0.38,136300,0.07
12-Jul-1978,0,0.4,0.38,0.38,10300,0.07
13-Jul-1978,0,0.4,0.38,0.38,245700,0.07
14-Jul-1978,0,0.4,0.38,0.38,28900,0.07
17-Jul-1978,0,0.4,0.38,0.38,52600,0.07
18-Jul-1978,0,0.4,0.38,0.38,28900,0.07
19-Jul-1978,0,0.4,0.38,0.38,100,0.07
20-Jul-1978,0,0.4,0.38,0.38,8200,0.07
21-Jul-1978,0,0.4,0.38,0.38,1900,0.07
24-Jul-1978,0,0.4,0.38,0.38,36400,0.07
25-Jul-1978,0,0.4,0.38,0.38,16300,0.07
26-Jul-1978,0,0.4,0.38,0.38,60900,0.07
27-Jul-1978,0,0.4,0.38,0.38,2700,0.07
28-Jul-1978,0,0.4,0.38,0.38,18400,0.07
31-Jul-1978,0,0.4,0.38,0.38,8200,0.07
01-Aug-1978,0,0.4,0.38,0.38,39100,0.07
02-Aug-1978,0,0.4,0.38,0.38,7600,0.07
03-Aug-1978,0,0.4,0.38,0.38,27000,0.07
04-Aug-1978,0,0.4,0.38,0.38,8200,0.07
07-Aug-1978,0,0.44,0.4,0.4,44700,0.08
08-Aug-1978,0,0.44,0.4,0.4,39700,0.08
09-Aug-1978,0,0.46,0.44,0.44,94500,0.08
10-Aug-1978,0,0.46,0.44,0.44,18900,0.08
11-Aug-1978,0,0.48,0.46,0.46,52600,0.09
14-Aug-1978,0,0.48,0.46,0.46,92400,0.09
15-Aug-1978,0,0.52,0.48,0.48,240300,0.09
16-Aug-1978,0,0.6,0.56,0.56,168500,0.11
17-Aug-1978,0,0.6,0.56,0.56,66700,0.11
18-Aug-1978,0,0.6,0.56,0.56,39700,0.11
21-Aug-1978,0,0.6,0.56,0.56,12700,0.11
22-Aug-1978,0,0.6,0.56,0.56,18400,0.11
23-Aug-1978,0,0.6,0.56,0.56,18400,0.11
24-Aug-1978,0,0.6,0.56,0.56,49900,0.11
25-Aug-1978,0,0.63,0.58,0.58,112100,0.11
28-Aug-1978,0,0.65,0.6,0.6,134200,0.12
29-Aug-1978,0,0.65,0.6,0.6,68800,0.12
30-Aug-1978,0,0.63,0.6,0.6,46500,0.12
31-Aug-1978,0,0.69,0.63,0.63,111200,0.12
01-Sep-1978,0,0.69,0.65,0.65,62200,0.12
05-Sep-1978,0,0.69,0.65,0.65,21600,0.12
06-Sep-1978,0,0.69,0.65,0.65,13000,0.12
07-Sep-1978,0,0.71,0.69,0.69,91900,0.13
08-Sep-1978,0,0.69,0.65,0.65,26500,0.12
11-Sep-1978,0,0.69,0.65,0.65,20400,0.12
12-Sep-1978,0,0.65,0.63,0.63,121600,0.12
13-Sep-1978,0,0.65,0.6,0.6,82300,0.12
14-Sep-1978,0,0.6,0.58,0.58,33300,0.11
15-Sep-1978,0,0.6,0.58,0.58,16300,0.11
18-Sep-1978,0,0.58,0.56,0.56,46800,0.11
19-Sep-1978,0,0.58,0.56,0.56,20400,0.11
20-Sep-1978,0,0.56,0.54,0.54,26500,0.1
21-Sep-1978,0,0.56,0.54,0.54,6700,0.1
22-Sep-1978,0,0.56,0.54,0.54,233600,0.1
25-Sep-1978,0,0.56,0.54,0.54,92700,0.1
26-Sep-1978,0,0.56,0.54,0.54,26500,0.1
27-Sep-1978,0,0.56,0.54,0.54,37000,0.1
28-Sep-1978,0,0.56,0.54,0.54,7600,0.1
29-Sep-1978,0,0.56,0.54,0.54,13000,0.1
