Date,Open,High,Low,Close,Volume,AdjClose
01-Feb-2008,12,13.3,11.95,12.7,229300,11.8
04-Feb-2008,13,13.1,12.7,12.75,48800,11.84
05-Feb-2008,12.75,12.75,11.95,11.95,22600,11.1
06-Feb-2008,12,12.7,12,12.4,107000,11.52
07-Feb-2008,12.45,12.45,11.8,11.8,4900,10.96
08-Feb-2008,11.83,11.91,10.05,11.46,17700,10.64
11-Feb-2008,11.55,11.55,10.1,10.23,90360,9.5
12-Feb-2008,10.4,10.5,9.5,10.25,839300,9.52
13-Feb-2008,10.1,10.7,10.1,10.65,88500,9.89
14-Feb-2008,10.72,11.4,10.72,11.15,410700,10.36
15-Feb-2008,11.05,11.75,10.7,11.75,566800,10.91
19-Feb-2008,11.8,11.8,11.35,11.5,111355,10.68
20-Feb-2008,11.47,11.5,11.1,11.35,106500,10.54
21-Feb-2008,11.43,11.8,11.43,11.45,108400,10.63
22-Feb-2008,11.55,11.55,11.25,11.45,185100,10.63
25-Feb-2008,11.5,11.95,11.25,11.5,236652,10.68
26-Feb-2008,11.5,11.8,11.38,11.65,453600,10.82
27-Feb-2008,11.7,12.01,11.65,12,94800,11.14
28-Feb-2008,12,12.01,11.75,11.85,1008700,11.01
29-Feb-2008,12,12,11.76,11.8,136200,10.96
03-Mar-2008,11.75,11.95,11.48,11.6,142600,10.77
04-Mar-2008,11.25,11.89,11.25,11.83,38515,10.99
05-Mar-2008,11.8,12,11.75,11.8,90700,10.96
06-Mar-2008,11.75,11.8,11.19,11.38,163300,10.57
07-Mar-2008,11.15,11.3,10.26,11.3,88000,10.49
10-Mar-2008,11.27,11.27,10.73,11,49200,10.22
11-Mar-2008,11,11.39,9.62,9.9,497200,9.19
12-Mar-2008,10.56,10.56,9.85,10.05,80100,9.33
13-Mar-2008,9.8,10.2,9.75,10,59000,9.29
14-Mar-2008,9.9,10,9.8,9.9,19900,9.19
17-Mar-2008,9.8,10,8.9,9.42,239846,8.75
18-Mar-2008,9.42,9.42,8.61,9.19,642000,8.54
19-Mar-2008,9.25,10.03,8.61,8.92,308397,8.28
20-Mar-2008,8.95,9.25,8.5,8.78,277700,8.15
24-Mar-2008,9.1,9.31,8.99,9.25,1206215,8.59
25-Mar-2008,9.19,9.44,9.16,9.42,1241640,8.75
26-Mar-2008,9.5,9.5,9.31,9.35,288600,8.68
27-Mar-2008,9.4,9.93,9.4,9.8,568300,9.1
28-Mar-2008,9.7,10.07,9.56,10.06,1753550,9.34
31-Mar-2008,10,10.28,9.71,10,225300,9.29
01-Apr-2008,10.5,10.5,10,10.25,332479,9.52
02-Apr-2008,10.25,10.26,9.87,10.08,374706,9.36
03-Apr-2008,10.05,10.29,10,10.25,754600,9.52
04-Apr-2008,10.11,10.35,10.01,10.2,384900,9.47
07-Apr-2008,10.2,10.25,10.15,10.25,219300,9.52
08-Apr-2008,10.23,10.5,10.1,10.5,331900,9.75
09-Apr-2008,10.5,10.75,10.25,10.4,260900,9.66
10-Apr-2008,10.3,10.58,10.05,10.55,187100,9.8
11-Apr-2008,10.34,10.53,10.11,10.33,237900,9.59
14-Apr-2008,10.3,10.31,10.15,10.29,88890,9.56
15-Apr-2008,10.35,10.37,9.59,10.01,811601,9.3
16-Apr-2008,10.11,10.51,10,10,229596,9.29
17-Apr-2008,10.25,10.5,10.22,10.31,489867,9.58
18-Apr-2008,10.5,10.75,10.4,10.66,298159,9.9
21-Apr-2008,10.45,10.59,10.12,10.12,463681,9.4
22-Apr-2008,10.12,10.44,10,10.3,229400,9.57
23-Apr-2008,10.3,10.33,10.1,10.13,214937,9.41
24-Apr-2008,10.25,10.32,10.05,10.3,608350,9.57
25-Apr-2008,10.27,10.75,10.27,10.65,1317251,9.89
28-Apr-2008,10.52,11.4,10.5,11.2,541770,10.4
29-Apr-2008,11.23,12.13,11.2,12.1,1438264,11.24
30-Apr-2008,12,12.5,11.96,11.96,814504,11.11
01-May-2008,12.1,12.32,12,12.2,948790,11.33
02-May-2008,12.3,12.39,12.14,12.21,704404,11.34
05-May-2008,12.35,12.36,11.79,11.93,784997,11.08
06-May-2008,11.98,11.99,11.54,11.68,969918,10.85
07-May-2008,11.65,11.8,11.25,11.41,499633,10.6
08-May-2008,11.38,11.55,11.16,11.33,562970,10.52
09-May-2008,11.3,11.64,11.21,11.44,409994,10.62
12-May-2008,11.47,11.75,11.39,11.7,556198,10.87
13-May-2008,12.05,12.65,11.96,12.25,1093136,11.38
14-May-2008,12.55,12.55,12.04,12.16,551147,11.29
15-May-2008,12.16,12.25,11.87,12.23,363252,11.36
16-May-2008,12.28,12.28,12.04,12.13,1095054,11.27
19-May-2008,12.18,12.22,11.83,11.86,747971,11.01
20-May-2008,11.77,11.88,11.72,11.8,434888,10.96
21-May-2008,11.81,12,11.48,11.55,564667,10.73
22-May-2008,11.5,11.78,10.21,10.58,1558625,9.83
23-May-2008,10.63,10.81,10.16,10.59,616203,9.84
27-May-2008,10.51,10.61,10.35,10.46,405691,9.71
28-May-2008,10.61,10.63,10.35,10.43,408290,9.69
29-May-2008,10.3,10.75,10.25,10.49,245518,9.74
30-May-2008,10.67,10.7,10.49,10.6,136924,9.84
02-Jun-2008,10.45,10.6,10.36,10.51,252743,9.76
03-Jun-2008,10.37,10.68,10.13,10.3,413913,9.57
04-Jun-2008,10.4,10.46,10.06,10.25,204054,9.52
05-Jun-2008,10.25,10.32,10.06,10.18,265077,9.45
06-Jun-2008,10,10.21,9.9,10.09,345313,9.37
09-Jun-2008,10.1,10.21,9.65,9.76,316895,9.06
10-Jun-2008,9.58,9.59,9.19,9.49,1491910,8.81
11-Jun-2008,9.38,9.46,8.62,8.8,1743047,8.17
12-Jun-2008,8.93,9.09,8.67,9,1260398,8.36
13-Jun-2008,9.11,9.11,8.68,8.87,535373,8.24
16-Jun-2008,8.87,8.97,8.67,8.91,302596,8.28
17-Jun-2008,9,9,8.76,8.76,416045,8.14
18-Jun-2008,9,9,8.55,8.64,320782,8.02
19-Jun-2008,8.55,8.72,7.99,8.02,1062121,7.45
20-Jun-2008,8.12,8.14,6.9,7.1,2585327,6.59
23-Jun-2008,7.06,7.09,6.6,6.6,616178,6.13
24-Jun-2008,6.84,6.86,6.04,6.21,1070313,5.77
