Date,Open,High,Low,Close,Volume,AdjClose
13-Dec-2006,204.16,208,196.16,197.6,1582925,117.18
14-Dec-2006,195.2,204.16,192.8,193.6,702688,114.81
15-Dec-2006,192.8,196,184.8,192,297069,113.86
18-Dec-2006,191.2,191.52,178.08,184.64,225325,109.5
19-Dec-2006,182.4,184.96,180,183.2,195694,108.64
20-Dec-2006,181.6,187.2,180.96,186.88,117069,112.4
21-Dec-2006,184,188,182.72,185.28,87494,111.43
22-Dec-2006,184,185.6,182.56,184.16,104456,110.76
26-Dec-2006,182.56,185.28,181.6,184.96,47931,111.24
27-Dec-2006,184.16,187.84,184,187.2,61194,112.59
28-Dec-2006,184.8,186.88,184.32,186.4,63125,112.11
29-Dec-2006,185.12,188.8,185.12,188.8,73331,113.55
03-Jan-2007,180.8,188.8,180.8,188.8,184169,113.55
04-Jan-2007,184.8,187.2,184.8,185.6,102038,111.63
05-Jan-2007,185.6,186.08,182.4,184,96012,110.66
08-Jan-2007,183.2,184.8,180,180.96,111750,108.84
09-Jan-2007,182.4,183.04,179.04,182.08,93381,109.51
10-Jan-2007,181.12,184,180.16,182.88,141888,109.99
11-Jan-2007,183.68,184.64,182.56,183.36,125219,110.28
12-Jan-2007,182.56,185.6,181.44,185.28,116006,111.43
16-Jan-2007,182.4,185.28,181.92,184.16,112906,110.76
17-Jan-2007,184,187.04,184,186.4,119869,112.11
18-Jan-2007,186.4,190.08,185.44,189.28,141081,113.84
19-Jan-2007,188,192.8,187.2,192.8,216112,115.96
22-Jan-2007,192.8,192.8,186.08,187.2,94938,112.59
23-Jan-2007,187.2,190.08,185.92,187.2,92812,112.59
24-Jan-2007,186.88,189.28,186.56,188.8,70588,113.55
25-Jan-2007,188.32,190.4,188.32,190.08,113088,114.32
26-Jan-2007,189.12,190.08,187.52,188,65719,113.07
29-Jan-2007,187.2,189.12,186.4,188.32,79488,113.26
30-Jan-2007,188.32,189.12,187.68,188.48,121069,113.36
31-Jan-2007,188,189.28,188,189.12,86900,113.74
01-Feb-2007,188.96,189.92,188.48,188.8,72512,113.55
02-Feb-2007,188.64,189.6,188.32,188.8,83081,113.55
05-Feb-2007,188,189.44,182.4,186.56,92162,112.2
06-Feb-2007,185.6,188.8,185.6,188.8,80719,113.55
07-Feb-2007,187.68,192.48,187.68,191.52,289369,115.19
08-Feb-2007,190.4,191.84,188.32,190.4,80912,114.51
09-Feb-2007,189.92,192,185.28,188,107369,113.07
12-Feb-2007,186.4,189.76,184.8,187.36,73206,112.69
13-Feb-2007,185.6,190.24,185.6,189.76,71362,114.13
14-Feb-2007,188.8,190.08,187.36,188.96,64008,113.65
15-Feb-2007,188.16,191.2,187.52,190.4,69981,114.51
16-Feb-2007,188.8,190.4,181.76,187.84,74125,112.97
20-Feb-2007,184.32,189.12,184.32,188.8,57250,113.55
21-Feb-2007,188.8,188.8,185.92,188,54869,113.07
22-Feb-2007,188.32,191.2,188,188.8,76700,113.55
23-Feb-2007,187.36,188,183.36,186.72,60644,112.3
26-Feb-2007,186.72,188.8,185.44,186.08,43019,111.92
27-Feb-2007,184.8,185.92,167.68,180,129369,108.26
28-Feb-2007,179.2,181.6,178.4,180.96,49419,108.84
01-Mar-2007,181.6,181.92,176.96,178.88,47879,107.59
02-Mar-2007,182.4,182.72,177.44,179.36,49138,107.87
05-Mar-2007,174.88,176.48,171.36,174.4,74044,104.89
06-Mar-2007,173.12,178.72,173.12,177.28,58488,106.62
07-Mar-2007,176.32,178.4,175.68,177.92,44906,107.01
08-Mar-2007,175.2,183.04,174.4,181.92,57406,109.41
09-Mar-2007,182.72,184.8,181.6,184.8,76169,111.15
12-Mar-2007,183.2,184,181.44,183.84,38394,110.57
13-Mar-2007,182.4,183.36,179.36,180,34044,108.26
14-Mar-2007,178.72,183.36,176,183.36,75119,110.28
15-Mar-2007,182.4,186.4,182.4,186.24,58738,112.01
16-Mar-2007,184.8,192,184,191.84,380469,115.38
19-Mar-2007,190.4,191.2,187.2,188.8,72375,113.55
20-Mar-2007,186.4,189.6,186.08,188.32,63356,113.26
