Date,Open,High,Low,Close,Volume,AdjClose
24-Oct-2006,23.75,24,23.5,23.65,22282400,17.12
25-Oct-2006,23.57,23.9,23.5,23.83,4310700,17.25
26-Oct-2006,23.73,24,23.53,24,2403900,17.38
27-Oct-2006,24,24,23.69,23.93,1675700,17.33
30-Oct-2006,24,24.2,23.75,23.89,1101800,17.3
31-Oct-2006,23.85,24,23.75,23.85,2199500,17.27
01-Nov-2006,23.78,23.92,23.77,23.9,1585200,17.3
02-Nov-2006,23.9,23.95,23.55,23.64,2192900,17.12
03-Nov-2006,23.58,23.6,23,23.2,2997700,16.8
06-Nov-2006,23.05,23.26,22.99,23.03,2595700,16.67
07-Nov-2006,23.02,23.5,23.02,23.3,1179700,16.87
08-Nov-2006,23.25,23.54,23.17,23.38,1369400,16.93
09-Nov-2006,23.35,23.68,23.32,23.6,887100,17.09
10-Nov-2006,23.65,24.15,23.6,24.1,1051500,17.45
13-Nov-2006,24.2,24.6,24.13,24.31,1472100,17.6
14-Nov-2006,24.31,24.66,24.26,24.54,1088000,17.77
15-Nov-2006,24.5,24.65,24.33,24.44,778300,17.69
16-Nov-2006,24.35,24.5,24.32,24.47,1089500,17.72
17-Nov-2006,24.45,24.5,24.08,24.44,490700,17.69
20-Nov-2006,25.75,25.87,25.03,25.3,2497100,18.32
21-Nov-2006,25.18,25.95,25.1,25.88,850600,18.74
22-Nov-2006,25.9,26.8,25.88,25.99,575000,18.82
24-Nov-2006,26,26.54,26,26.36,206400,19.08
27-Nov-2006,26.41,26.6,25.7,25.87,547200,18.73
28-Nov-2006,25.75,25.76,24.88,25.35,937300,18.35
29-Nov-2006,25.36,26.1,25.36,25.87,413700,18.73
30-Nov-2006,25.75,26.6,25.57,26.3,252800,19.04
01-Dec-2006,26.35,26.52,25.94,26.02,373000,18.84
04-Dec-2006,26.13,26.7,26.03,26.49,702400,19.18
05-Dec-2006,26.39,26.7,26.3,26.6,555900,19.26
06-Dec-2006,26.45,26.49,25.32,26.15,402600,18.93
07-Dec-2006,26.15,26.22,25.96,26.09,239100,18.89
08-Dec-2006,26.1,26.1,25.32,25.58,368300,18.52
11-Dec-2006,25.73,26.4,25.73,26,437300,18.82
12-Dec-2006,26,26.4,25.87,26.12,514200,18.91
13-Dec-2006,25.9,26.14,25.81,26.07,231100,18.87
14-Dec-2006,26.14,26.69,26.14,26.25,1878900,19
15-Dec-2006,26.35,27.07,26.35,26.5,4067300,19.19
18-Dec-2006,26.73,26.76,26.39,26.57,456200,19.24
19-Dec-2006,26.47,26.47,25.99,26.29,732200,19.03
20-Dec-2006,26.17,26.45,26,26.19,265000,18.96
21-Dec-2006,26.05,26.37,26.02,26.23,515400,18.99
22-Dec-2006,26.2,26.24,25.5,25.7,337100,18.61
26-Dec-2006,25.8,26.02,25.61,25.66,166800,18.58
27-Dec-2006,25.5,26.27,25.39,26.18,792000,19.04
28-Dec-2006,26.13,26.29,25.81,26.26,941100,19.1
29-Dec-2006,26.29,26.77,26.01,26.59,526900,19.34
03-Jan-2007,26.59,26.97,26.41,26.68,558900,19.41
04-Jan-2007,26.4,26.41,25.79,26.22,851300,19.07
05-Jan-2007,26.13,26.29,25.64,25.7,440600,18.69
08-Jan-2007,25.9,25.9,25.3,25.46,608500,18.52
09-Jan-2007,25.05,25.5,25.05,25.24,598700,18.36
10-Jan-2007,25.23,25.77,25.19,25.64,286600,18.65
11-Jan-2007,25.75,26.64,25.75,26.32,775100,19.15
12-Jan-2007,26.3,26.54,26.06,26.1,382700,18.99
16-Jan-2007,26.55,26.68,26.2,26.54,438500,19.31
17-Jan-2007,26.5,27.15,26.47,27.14,516600,19.74
18-Jan-2007,27.21,27.72,27.21,27.45,322500,19.97
19-Jan-2007,27.41,27.86,27.29,27.65,189400,20.11
22-Jan-2007,27.88,27.93,26.86,27.24,917600,19.81
23-Jan-2007,27.14,27.18,26.65,26.88,606700,19.55
24-Jan-2007,26.97,27.22,26.76,26.95,837300,19.6
25-Jan-2007,27.02,27.62,26.97,27.39,1506500,19.92
26-Jan-2007,27.28,27.42,26.96,27.15,804400,19.75
29-Jan-2007,27.25,27.35,27.09,27.3,506200,19.86
30-Jan-2007,27.45,27.5,26.97,27.23,914400,19.81
31-Jan-2007,27.17,27.57,27.05,27.36,1439500,19.9
01-Feb-2007,27.37,27.73,27.35,27.73,616200,20.17
02-Feb-2007,28.08,28.97,28.03,28.8,1087500,20.95
05-Feb-2007,28.8,28.8,28.45,28.7,534800,20.88
06-Feb-2007,28.62,28.81,28.51,28.79,992800,20.94
07-Feb-2007,28.66,29.16,28.66,28.76,323800,20.92
08-Feb-2007,28.72,29.02,28.64,29.01,298900,21.1
09-Feb-2007,29,29,28.17,28.5,291800,20.73
12-Feb-2007,28.46,28.46,27,27.85,679081,20.26
13-Feb-2007,27.9,28.14,27.52,28.03,691480,20.39
