Date,Open,High,Low,Close,Volume,AdjClose
27-Jul-2011,25,29.62,24.97,27.85,45407627,24.49
28-Jul-2011,29.21,30.49,27.1,28.39,7423201,24.96
29-Jul-2011,28.99,29.2,28.01,28.93,2200730,25.44
01-Aug-2011,31.37,31.94,28.3,29.66,3158652,26.08
02-Aug-2011,29.86,27.97,25.75,27.08,4294216,23.81
03-Aug-2011,27.04,27.97,25.75,26.59,2865529,23.38
04-Aug-2011,26.49,26.49,25.1,25.52,2359029,22.44
05-Aug-2011,27.49,27.5,25.6,26.87,1841135,23.63
08-Aug-2011,25,26.5,25,25.7,1647805,22.6
09-Aug-2011,26.68,27.99,25.75,27.43,1769167,24.12
10-Aug-2011,27.79,28.5,26.87,27.37,1417250,24.06
11-Aug-2011,27.95,27.95,26.8,27.23,917612,23.94
12-Aug-2011,27.29,27.5,26.34,26.6,695894,23.39
15-Aug-2011,27.49,27.5,26.3,26.63,373718,23.41
16-Aug-2011,26.49,27.28,26.15,27.21,422861,23.92
17-Aug-2011,27.42,27.75,27.1,27.65,534964,24.31
18-Aug-2011,27.03,27.49,26.42,26.88,566351,23.63
19-Aug-2011,26.58,27.4,25.5,25.77,869840,22.66
22-Aug-2011,26.83,26.84,25.2,25.66,453522,22.56
23-Aug-2011,26.5,26.5,25.12,26.05,698277,22.9
24-Aug-2011,25.85,26.43,25.69,26.33,372928,23.15
25-Aug-2011,26.5,26.5,25.5,26.2,403725,23.04
26-Aug-2011,26.2,26.28,25.81,26.28,269621,23.11
29-Aug-2011,26,26.39,25.55,26.2,610564,23.04
30-Aug-2011,25.82,26.98,25.8,26.48,391841,23.28
31-Aug-2011,26.64,26.73,25.92,26.34,522768,23.16
01-Sep-2011,26.21,27.95,26.01,26.89,1684391,23.64
02-Sep-2011,26.98,27.68,26.5,27,975783,23.74
06-Sep-2011,25.74,27.24,25.46,27.02,1522540,23.76
07-Sep-2011,27.08,27.29,26.63,26.83,713893,23.59
08-Sep-2011,26.45,26.7,25.87,26,721373,22.86
09-Sep-2011,26.04,26.04,25,25.1,787318,22.07
12-Sep-2011,25,25.81,25,25.18,469293,22.14
13-Sep-2011,25.34,25.7,25.1,25.29,349520,22.24
14-Sep-2011,25.18,25.87,25.14,25.72,589716,22.61
15-Sep-2011,25.8,26.25,25.6,26.04,437618,22.9
16-Sep-2011,26.17,26.93,25.8,26.86,642182,23.62
19-Sep-2011,26.41,28.14,26.13,27.47,835847,24.15
20-Sep-2011,27.45,28.9,27.1,27.98,1091713,24.6
21-Sep-2011,28.25,28.89,28,28.3,775721,24.88
