Date,Open,High,Low,Close,Volume,AdjClose
06-Jan-1984,0,0.9,0.88,0.88,4157396,0.65
09-Jan-1984,0,0.99,0.97,0.97,3632094,0.71
10-Jan-1984,0,1.06,1.04,1.04,4386097,0.76
11-Jan-1984,0,1.06,1.05,1.05,2162499,0.77
12-Jan-1984,0,1.06,1.04,1.04,718897,0.76
13-Jan-1984,0,1.01,0.99,0.99,1753701,0.73
16-Jan-1984,0,1.03,1.01,1.01,682503,0.74
17-Jan-1984,0,1.06,1.04,1.04,678004,0.76
18-Jan-1984,0,1.1,1.08,1.08,863102,0.79
19-Jan-1984,0,1.08,1.08,1.08,423196,0.79
20-Jan-1984,0,1.07,1.06,1.06,427297,0.78
23-Jan-1984,0,1.04,1.04,1.04,406896,0.76
24-Jan-1984,0,1.06,1.04,1.04,307604,0.76
25-Jan-1984,0,1.06,1.04,1.04,190998,0.76
26-Jan-1984,0,1.07,1.06,1.06,300302,0.78
27-Jan-1984,0,1.07,1.06,1.06,122802,0.78
30-Jan-1984,0,1.01,1,1,362404,0.73
31-Jan-1984,0,1,0.99,0.99,239602,0.73
01-Feb-1984,0,1,0.99,0.99,314404,0.73
02-Feb-1984,0,1,0.99,0.99,255196,0.73
03-Feb-1984,0,0.94,0.91,0.91,280403,0.67
06-Feb-1984,0,0.85,0.82,0.82,814806,0.6
07-Feb-1984,0,0.94,0.91,0.91,846301,0.67
08-Feb-1984,0,0.94,0.92,0.92,309700,0.68
09-Feb-1984,0,0.99,0.97,0.97,374695,0.71
10-Feb-1984,0,0.99,0.98,0.98,91296,0.72
13-Feb-1984,0,0.97,0.95,0.95,157703,0.7
14-Feb-1984,0,1,0.97,0.97,323403,0.71
15-Feb-1984,0,0.94,0.92,0.92,466606,0.68
16-Feb-1984,0,0.9,0.88,0.88,391598,0.65
17-Feb-1984,0,0.94,0.91,0.91,631599,0.67
21-Feb-1984,0,0.94,0.92,0.92,38398,0.68
22-Feb-1984,0,0.92,0.91,0.91,132405,0.67
23-Feb-1984,0,0.92,0.91,0.91,282305,0.67
24-Feb-1984,0,0.97,0.95,0.95,202195,0.7
27-Feb-1984,0,0.99,0.97,0.97,89200,0.71
28-Feb-1984,0,0.95,0.94,0.94,187000,0.69
29-Feb-1984,0,0.94,0.92,0.92,71100,0.68
01-Mar-1984,0,0.95,0.92,0.92,122802,0.68
02-Mar-1984,0,0.95,0.94,0.94,75702,0.69
05-Mar-1984,0,0.94,0.92,0.92,140902,0.68
06-Mar-1984,0,0.92,0.91,0.91,202195,0.67
07-Mar-1984,0,0.92,0.91,0.91,129500,0.67
08-Mar-1984,0,0.95,0.92,0.92,178001,0.68
09-Mar-1984,0,0.94,0.92,0.92,41405,0.68
12-Mar-1984,0,0.94,0.92,0.92,65701,0.68
13-Mar-1984,0,0.95,0.92,0.92,81899,0.68
14-Mar-1984,0,0.94,0.92,0.92,36598,0.68
15-Mar-1984,0,0.94,0.92,0.92,54595,0.68
16-Mar-1984,0,0.95,0.94,0.94,136403,0.69
19-Mar-1984,0,0.95,0.92,0.92,71100,0.68
20-Mar-1984,0,0.95,0.92,0.92,13498,0.68
21-Mar-1984,0,0.95,0.94,0.94,54903,0.69
22-Mar-1984,0,0.95,0.94,0.94,65701,0.69
23-Mar-1984,0,0.95,0.94,0.94,191499,0.69
26-Mar-1984,0,0.95,0.94,0.94,102106,0.69
27-Mar-1984,0,0.95,0.94,0.94,106605,0.69
28-Mar-1984,0,0.94,0.92,0.92,139604,0.68
29-Mar-1984,0,0.91,0.88,0.88,386700,0.65
30-Mar-1984,0,0.9,0.87,0.87,132405,0.64
02-Apr-1984,0,0.85,0.82,0.82,327401,0.6
03-Apr-1984,0,0.85,0.82,0.82,62102,0.6
04-Apr-1984,0,0.88,0.85,0.85,163900,0.62
05-Apr-1984,0,0.85,0.84,0.84,423105,0.62
06-Apr-1984,0,0.82,0.8,0.8,284105,0.59
09-Apr-1984,0,0.78,0.76,0.76,552297,0.56
10-Apr-1984,0,0.82,0.8,0.8,256699,0.59
11-Apr-1984,0,0.84,0.8,0.8,245696,0.59
12-Apr-1984,0,0.84,0.82,0.82,24399,0.6
13-Apr-1984,0,0.87,0.85,0.85,231799,0.62
16-Apr-1984,0,0.94,0.92,0.92,559701,0.68
17-Apr-1984,0,0.95,0.92,0.92,74802,0.68
18-Apr-1984,0,0.94,0.92,0.92,139604,0.68
19-Apr-1984,0,0.92,0.91,0.91,122802,0.67
23-Apr-1984,0,0.92,0.91,0.91,20196,0.67
24-Apr-1984,0,0.92,0.91,0.91,145903,0.67
25-Apr-1984,0,0.9,0.88,0.88,289504,0.65
26-Apr-1984,0,0.91,0.88,0.88,118702,0.65
27-Apr-1984,0,0.9,0.88,0.88,9397,0.65
30-Apr-1984,0,0.9,0.88,0.88,420405,0.65
01-May-1984,0,0.92,0.91,0.91,133703,0.67
02-May-1984,0,0.94,0.91,0.91,75702,0.67
03-May-1984,0,0.91,0.9,0.9,180200,0.66
04-May-1984,0,0.9,0.88,0.88,82297,0.65
07-May-1984,0,0.88,0.85,0.85,171201,0.62
08-May-1984,0,0.84,0.82,0.82,180200,0.6
09-May-1984,0,0.87,0.84,0.84,221400,0.62
10-May-1984,0,0.87,0.84,0.84,16300,0.62
11-May-1984,0,0.84,0.82,0.82,241698,0.6
14-May-1984,0,0.84,0.8,0.8,133703,0.59
15-May-1984,0,0.84,0.82,0.82,102106,0.6
16-May-1984,0,0.85,0.82,0.82,24399,0.6
17-May-1984,0,0.82,0.8,0.8,227699,0.59
18-May-1984,0,0.8,0.79,0.79,272897,0.58
21-May-1984,0,0.82,0.8,0.8,102106,0.59
22-May-1984,0,0.84,0.8,0.8,95396,0.59
23-May-1984,0,0.84,0.82,0.82,194199,0.6
24-May-1984,0,0.84,0.82,0.82,95396,0.6
25-May-1984,0,0.84,0.82,0.82,348405,0.6
29-May-1984,0,0.84,0.8,0.8,24399,0.59
30-May-1984,0,0.84,0.8,0.8,64004,0.59
31-May-1984,0,0.84,0.82,0.82,136403,0.6
01-Jun-1984,0,0.84,0.82,0.82,416897,0.6
04-Jun-1984,0,0.84,0.82,0.82,102106,0.6
05-Jun-1984,0,0.84,0.8,0.8,259797,0.59
06-Jun-1984,0,0.84,0.82,0.82,33705,0.6
07-Jun-1984,0,0.84,0.82,0.82,48604,0.6
08-Jun-1984,0,0.84,0.82,0.82,103,0.6
11-Jun-1984,0,0.84,0.8,0.8,21095,0.59
12-Jun-1984,0,0.84,0.8,0.8,6299,0.59
13-Jun-1984,0,0.84,0.8,0.8,103,0.59
14-Jun-1984,0,0.8,0.79,0.79,242996,0.58
15-Jun-1984,0,0.8,0.79,0.79,38398,0.58
18-Jun-1984,0,0.79,0.78,0.78,72900,0.57
