Date,Open,High,Low,Close,Volume,AdjClose
18-Nov-1997,0,19.75,19.5,19.5,3531800,4.39
19-Nov-1997,0,19.88,19.5,19.75,616400,4.45
20-Nov-1997,0,19.75,19,19.25,280500,4.34
21-Nov-1997,0,19.62,19.25,19.56,195600,4.41
24-Nov-1997,0,19.44,19.31,19.31,87000,4.35
25-Nov-1997,0,19.38,19.12,19.19,172600,4.32
26-Nov-1997,0,19.5,19.12,19.38,202200,4.37
28-Nov-1997,0,19.38,19.12,19.25,277500,4.34
01-Dec-1997,0,19.38,18.88,19,148000,4.28
02-Dec-1997,0,19.25,19.12,19.25,74800,4.34
03-Dec-1997,0,19.38,19.19,19.25,99800,4.34
04-Dec-1997,0,19.31,19.12,19.19,170800,4.32
05-Dec-1997,0,19.38,19.06,19.38,146200,4.37
08-Dec-1997,0,19.5,19.25,19.5,123100,4.39
09-Dec-1997,0,19.62,19.38,19.5,93500,4.39
10-Dec-1997,0,19.62,19.44,19.56,71000,4.41
11-Dec-1997,0,19.5,19.31,19.38,118800,4.37
12-Dec-1997,0,19.5,19.25,19.38,107200,4.37
15-Dec-1997,0,19.75,19.38,19.69,153300,4.44
16-Dec-1997,0,19.69,19.5,19.5,55600,4.39
17-Dec-1997,0,19.56,19.31,19.44,101100,4.38
18-Dec-1997,0,19.56,19.31,19.38,211400,4.37
19-Dec-1997,0,19.56,19,19.44,167000,4.38
22-Dec-1997,0,19.88,19.44,19.56,96000,4.41
23-Dec-1997,0,19.88,19,19.38,102900,4.37
24-Dec-1997,0,19.38,19.12,19.19,70700,4.37
26-Dec-1997,0,19.25,19.06,19.25,76600,4.38
29-Dec-1997,0,19.44,19.25,19.31,77000,4.39
30-Dec-1997,0,19.88,19.31,19.44,124400,4.42
31-Dec-1997,0,19.44,19.25,19.38,126100,4.41
02-Jan-1998,0,19.62,19.38,19.62,14400,4.46
05-Jan-1998,0,20,19.62,19.88,267300,4.52
06-Jan-1998,0,20.06,19.75,19.88,151500,4.52
07-Jan-1998,0,19.88,19.62,19.75,120700,4.49
08-Jan-1998,0,20,19.62,19.75,185100,4.49
09-Jan-1998,0,19.75,19.38,19.38,90000,4.41
12-Jan-1998,0,19.5,19,19.25,140100,4.38
13-Jan-1998,0,19.62,19.25,19.56,80000,4.45
14-Jan-1998,0,19.5,19.38,19.5,99800,4.44
15-Jan-1998,0,19.5,19.31,19.44,43100,4.42
16-Jan-1998,0,19.5,19.25,19.38,108600,4.41
20-Jan-1998,0,20,19.62,19.88,76100,4.52
21-Jan-1998,0,20,19.62,19.88,31000,4.52
22-Jan-1998,0,19.88,19.5,19.69,57900,4.48
23-Jan-1998,0,20,19.75,19.75,42400,4.49
26-Jan-1998,0,20,19.81,19.88,40700,4.52
27-Jan-1998,0,20,19.62,19.75,95900,4.49
28-Jan-1998,0,20,19.56,19.94,80600,4.54
29-Jan-1998,0,20,19.75,20,76000,4.55
30-Jan-1998,0,19.88,19.75,19.75,46400,4.49
02-Feb-1998,0,19.88,19.5,19.88,84700,4.52
03-Feb-1998,0,19.88,19.44,19.75,75800,4.49
04-Feb-1998,0,19.88,19.56,19.69,148500,4.48
05-Feb-1998,0,20,19.75,20,103400,4.55
06-Feb-1998,0,19.88,19.5,19.62,72300,4.46
09-Feb-1998,0,19.62,19.25,19.44,61500,4.42
10-Feb-1998,0,19.5,19.38,19.38,37500,4.41
11-Feb-1998,0,19.5,19.25,19.38,42300,4.41
12-Feb-1998,0,19.44,19.12,19.25,36400,4.38
13-Feb-1998,0,19.62,19.31,19.38,31800,4.41
17-Feb-1998,0,19.5,19.19,19.44,27800,4.42
18-Feb-1998,0,19.75,19.25,19.38,65100,4.41
19-Feb-1998,0,19.62,19.25,19.25,19900,4.38
20-Feb-1998,0,19.25,19,19.25,16900,4.38
23-Feb-1998,0,19.88,19.38,19.88,188800,4.52
24-Feb-1998,0,19.94,19.44,19.62,68100,4.46
25-Feb-1998,0,19.88,19.44,19.5,74900,4.44
26-Feb-1998,0,19.62,19.44,19.62,27700,4.46
27-Feb-1998,0,19.62,19.38,19.62,28600,4.46
02-Mar-1998,0,19.75,19.25,19.75,45800,4.49
03-Mar-1998,0,19.88,19.5,19.5,22700,4.44
04-Mar-1998,0,19.25,19.12,19.19,61000,4.37
05-Mar-1998,0,19.75,19.06,19.5,24500,4.44
06-Mar-1998,0,19.88,19.5,19.56,104500,4.45
09-Mar-1998,0,19.88,19.5,19.75,101400,4.49
10-Mar-1998,0,19.88,19.62,19.75,8500,4.49
11-Mar-1998,0,19.88,19.62,19.81,42400,4.51
12-Mar-1998,0,19.88,19.75,19.75,16700,4.49
13-Mar-1998,0,19.88,19.69,19.81,18100,4.51
16-Mar-1998,0,19.75,19.38,19.44,198600,4.42
17-Mar-1998,0,19.5,19.31,19.38,97800,4.41
18-Mar-1998,0,19.75,19.5,19.62,23700,4.46
19-Mar-1998,0,19.88,19.56,19.81,31300,4.51
20-Mar-1998,0,20.12,19.56,19.69,65000,4.48
23-Mar-1998,0,20.06,19.81,20,29800,4.55
24-Mar-1998,0,20.12,19.88,19.88,21900,4.52
25-Mar-1998,0,20,19.56,19.75,32000,4.49
26-Mar-1998,0,20.12,19.81,20,65700,4.55
27-Mar-1998,0,19.69,19.38,19.5,35000,4.53
30-Mar-1998,0,19.75,18.94,19.75,110900,4.58
31-Mar-1998,0,19.75,19.5,19.62,16700,4.55
01-Apr-1998,0,19.81,19.38,19.38,52800,4.5
02-Apr-1998,0,20.06,19.38,19.81,128800,4.6
03-Apr-1998,0,19.88,19.62,19.75,91900,4.58
06-Apr-1998,0,19.75,19.5,19.62,62900,4.55
07-Apr-1998,0,19.75,19.62,19.75,47900,4.58
08-Apr-1998,0,19.88,19.56,19.75,65900,4.58
09-Apr-1998,0,19.88,19.62,19.62,75400,4.55
13-Apr-1998,0,19.75,19.5,19.62,101800,4.55
14-Apr-1998,0,19.69,19.25,19.25,57000,4.47
15-Apr-1998,0,19.56,19.31,19.5,142900,4.53
16-Apr-1998,0,19.62,19.38,19.5,44200,4.53
17-Apr-1998,0,19.5,19.31,19.44,17900,4.51
20-Apr-1998,0,19.75,19.19,19.31,43200,4.48
21-Apr-1998,0,19.5,19.31,19.38,26700,4.5
22-Apr-1998,0,19.5,19.31,19.31,48900,4.48
23-Apr-1998,0,19.75,19.44,19.75,97100,4.58
24-Apr-1998,0,19.75,19.5,19.62,54500,4.55
27-Apr-1998,0,19.69,19.38,19.69,42800,4.57
28-Apr-1998,0,19.75,19.5,19.62,36800,4.55
29-Apr-1998,0,19.69,19.5,19.56,33700,4.54
30-Apr-1998,0,19.75,19.62,19.69,102800,4.57
01-May-1998,0,19.75,19.56,19.69,24400,4.57
04-May-1998,0,19.81,19.38,19.38,137500,4.5
05-May-1998,0,19.5,19.38,19.5,14200,4.53
06-May-1998,0,19.62,19.25,19.31,64200,4.48
07-May-1998,0,19.69,19.25,19.5,30600,4.53
08-May-1998,0,19.62,19.44,19.44,13800,4.51
11-May-1998,0,19.5,19.25,19.5,11800,4.53
12-May-1998,0,19.44,19.31,19.31,12600,4.48
13-May-1998,0,19.31,19.06,19.25,44000,4.47
14-May-1998,0,19.31,19.19,19.25,12400,4.47
15-May-1998,0,19.38,19.19,19.19,19400,4.45
18-May-1998,0,19.25,19.06,19.06,28900,4.42
19-May-1998,0,19.44,19.06,19.44,25100,4.51
20-May-1998,0,19.44,19.25,19.44,16300,4.51
21-May-1998,0,19.44,19.19,19.25,15200,4.47
22-May-1998,0,19.38,19.19,19.38,26800,4.5
26-May-1998,0,19.38,18.94,19.12,57400,4.44
27-May-1998,0,19.25,18.81,19.25,21800,4.47
28-May-1998,0,19.38,19.12,19.25,50000,4.47
29-May-1998,0,19.44,19.19,19.44,82200,4.51
01-Jun-1998,0,19.5,19.31,19.5,16200,4.53
02-Jun-1998,0,19.5,19.31,19.44,34500,4.51
03-Jun-1998,0,19.38,19.12,19.31,38400,4.48
04-Jun-1998,0,19.44,19,19.19,64100,4.45
05-Jun-1998,0,19.25,19.12,19.25,16300,4.47
08-Jun-1998,0,19.38,19,19.38,13000,4.5
09-Jun-1998,0,19.12,18.88,19,17300,4.41
10-Jun-1998,0,19.25,18.94,18.94,31800,4.4
11-Jun-1998,0,19.19,18.94,19.12,24900,4.44
12-Jun-1998,0,19.06,18.88,19,28100,4.41
15-Jun-1998,0,19.44,18.94,19.38,27800,4.5
16-Jun-1998,0,19.5,19.12,19.38,24700,4.5
17-Jun-1998,0,19.31,19.12,19.12,33000,4.44
18-Jun-1998,0,19.5,19.06,19.25,25100,4.47
19-Jun-1998,0,19.69,19,19.44,41200,4.51
22-Jun-1998,0,19.38,19.12,19.25,24500,4.47
23-Jun-1998,0,19.44,19.12,19.19,54500,4.45
24-Jun-1998,0,19.44,19.12,19.38,30900,4.5
25-Jun-1998,0,19.31,19.12,19.12,11400,4.44
26-Jun-1998,0,18.88,18.5,18.56,17100,4.4
29-Jun-1998,0,18.69,18.12,18.5,183100,4.39
30-Jun-1998,0,18.88,18.25,18.25,72400,4.33
01-Jul-1998,0,18.88,18.25,18.69,22100,4.43
02-Jul-1998,0,18.75,18.25,18.75,94000,4.45
06-Jul-1998,0,18.62,18.12,18.19,153700,4.31
07-Jul-1998,0,18.19,17.25,17.5,106300,4.15
08-Jul-1998,0,18.56,18,18.44,355900,4.37
09-Jul-1998,0,19,18.5,18.88,93600,4.48
10-Jul-1998,0,18.44,18,18.12,133600,4.3
13-Jul-1998,0,18.44,17.94,18.44,23300,4.37
14-Jul-1998,0,18.5,18.12,18.38,35900,4.36
15-Jul-1998,0,18.62,18,18.19,54600,4.31
16-Jul-1998,0,18.5,18.06,18.5,56100,4.39
17-Jul-1998,0,18.88,18.25,18.88,122700,4.48
20-Jul-1998,0,18.88,18.56,18.69,7500,4.43
21-Jul-1998,0,18.56,18.38,18.5,34800,4.39
22-Jul-1998,0,18.5,18.38,18.38,42300,4.36
23-Jul-1998,0,18.88,18.38,18.75,41000,4.45
24-Jul-1998,0,18.75,18.25,18.31,20700,4.34
27-Jul-1998,0,18.31,17.81,18,19200,4.27
28-Jul-1998,0,18.5,17.62,18.5,27100,4.39
29-Jul-1998,0,18.75,18.19,18.75,19900,4.45
30-Jul-1998,0,18.75,18.38,18.38,24200,4.36
31-Jul-1998,0,18.5,18.25,18.38,11400,4.36
03-Aug-1998,0,18.5,18,18.5,16300,4.39
04-Aug-1998,0,18.38,17.88,17.88,17400,4.24
05-Aug-1998,0,18,17.88,18,17000,4.27
06-Aug-1998,0,18,17.62,17.69,18700,4.19
07-Aug-1998,0,17.75,17,17.69,58500,4.19
10-Aug-1998,0,17.56,17.25,17.5,85800,4.15
11-Aug-1998,0,17.5,17.38,17.44,13400,4.13
12-Aug-1998,0,17.88,17.38,17.44,35800,4.13
13-Aug-1998,0,17.69,17.38,17.38,38800,4.12
14-Aug-1998,0,17.62,17.31,17.31,34500,4.1
17-Aug-1998,0,17.62,17.12,17.31,55300,4.1
18-Aug-1998,0,17.75,17.44,17.5,42300,4.15
19-Aug-1998,0,17.56,17.44,17.5,10500,4.15
20-Aug-1998,0,17.5,17.12,17.25,39200,4.09
21-Aug-1998,0,17.38,16.81,17.25,26300,4.09
24-Aug-1998,0,18.12,17.5,17.62,46700,4.18
25-Aug-1998,0,17.75,17.5,17.5,13900,4.15
26-Aug-1998,0,17.5,16.94,17,32400,4.03
27-Aug-1998,0,16.94,16.5,16.5,26000,3.91
28-Aug-1998,0,16.75,15.88,15.88,85400,3.76
31-Aug-1998,0,15.94,14.62,14.88,65100,3.53
01-Sep-1998,0,15.25,14.69,15,46800,3.56
02-Sep-1998,0,15.25,14.88,15,63100,3.56
03-Sep-1998,0,15.25,14.62,14.81,61700,3.51
04-Sep-1998,0,15.62,15,15.12,29600,3.58
08-Sep-1998,0,15.88,15.12,15.44,40300,3.66
09-Sep-1998,0,15.69,15.06,15.25,60000,3.62
10-Sep-1998,0,15.25,15,15.19,35900,3.6
11-Sep-1998,0,15.19,14,14.81,80700,3.51
14-Sep-1998,0,15.62,14.5,15.06,47200,3.57
15-Sep-1998,0,15.75,15,15.38,37700,3.65
16-Sep-1998,0,16,15.12,15.38,75700,3.65
17-Sep-1998,0,15.38,15,15.12,48700,3.58
18-Sep-1998,0,15.38,15.06,15.38,46900,3.65
21-Sep-1998,0,15.38,15.12,15.19,20400,3.6
22-Sep-1998,0,15.31,15.12,15.25,68200,3.62
23-Sep-1998,0,16,15.25,16,107800,3.79
24-Sep-1998,0,16.5,16.12,16.38,43600,3.88
25-Sep-1998,0,16.88,15.88,16.88,18500,4
28-Sep-1998,0,17.38,16.5,17.25,50200,4.19
29-Sep-1998,0,17.19,16.75,17.19,33300,4.17
30-Sep-1998,0,18.5,16.94,18.5,44200,4.49
01-Oct-1998,0,18.38,17.56,17.69,39100,4.3
02-Oct-1998,0,18.62,17.38,18.25,48300,4.43
05-Oct-1998,0,18,17.62,17.69,16800,4.3
06-Oct-1998,0,18.25,16.5,16.56,43700,4.02
07-Oct-1998,0,16.75,16.12,16.44,25900,3.99
08-Oct-1998,0,16.62,15.25,16.62,51200,4.04
09-Oct-1998,0,16.5,16,16.25,25400,3.95
12-Oct-1998,0,16.5,16,16,18800,3.89
13-Oct-1998,0,16.19,16,16,7100,3.89
14-Oct-1998,0,16.75,15.75,16.62,32900,4.04
15-Oct-1998,0,17.88,16.44,17.88,41200,4.34
16-Oct-1998,0,18.25,17.12,17.25,57500,4.19
19-Oct-1998,0,17.5,17,17.5,13700,4.25
20-Oct-1998,0,17.81,17.06,17.06,101700,4.14
21-Oct-1998,0,17.06,16.5,16.69,138100,4.05
22-Oct-1998,0,17.31,16.75,17.31,15100,4.2
23-Oct-1998,0,17.38,17,17.12,21700,4.16
26-Oct-1998,0,17,16.75,17,30700,4.13
27-Oct-1998,0,17,16.88,17,19100,4.13
28-Oct-1998,0,17,16.69,17,72700,4.13
29-Oct-1998,0,17,16.88,17,14000,4.13
30-Oct-1998,0,17,16.62,16.62,48300,4.04
02-Nov-1998,0,16.75,16.38,16.62,33900,4.04
03-Nov-1998,0,16.62,16.19,16.25,106100,3.95
04-Nov-1998,0,16.75,16.25,16.75,120000,4.07
05-Nov-1998,0,16.81,16.56,16.75,41200,4.07
06-Nov-1998,0,16.88,16.62,16.81,28900,4.08
09-Nov-1998,0,17.62,17.06,17.5,45900,4.25
10-Nov-1998,0,18.5,18,18.31,97200,4.45
11-Nov-1998,0,18.5,18.12,18.5,48600,4.49
12-Nov-1998,0,18.5,18.19,18.38,22700,4.46
13-Nov-1998,0,18.38,18.25,18.38,19900,4.46
16-Nov-1998,0,18.56,18.31,18.56,31100,4.51
17-Nov-1998,0,18.56,18.25,18.5,27100,4.49
18-Nov-1998,0,18.75,18.5,18.62,34600,4.52
19-Nov-1998,0,18.69,18.25,18.5,20100,4.49
20-Nov-1998,0,18.75,18.38,18.75,12000,4.55
23-Nov-1998,0,19.19,18.75,18.94,33800,4.6
24-Nov-1998,0,18.88,18.38,18.81,21800,4.57
25-Nov-1998,0,18.88,18.5,18.56,16400,4.51
27-Nov-1998,0,18.88,18.5,18.75,12700,4.55
30-Nov-1998,0,18.62,18.25,18.44,19300,4.48
01-Dec-1998,0,18.62,18.12,18.19,26900,4.42
02-Dec-1998,0,18.44,17.94,18.19,26500,4.42
03-Dec-1998,0,18.5,18.25,18.5,20000,4.49
04-Dec-1998,0,18.75,18.31,18.5,11100,4.49
07-Dec-1998,0,18.62,17.88,18,33100,4.37
08-Dec-1998,0,18.12,17.81,17.81,20200,4.32
09-Dec-1998,0,18,17.75,18,27000,4.37
10-Dec-1998,0,17.94,17.5,17.69,14200,4.3
11-Dec-1998,0,17.56,17,17.25,35800,4.19
14-Dec-1998,0,17.88,17.12,17.88,27000,4.34
15-Dec-1998,0,18,17.75,17.94,25700,4.36
16-Dec-1998,0,17.94,17.5,17.62,28200,4.28
17-Dec-1998,0,17.5,17.06,17.19,55500,4.17
18-Dec-1998,0,17.62,17,17.12,48300,4.16
21-Dec-1998,0,17.56,17.12,17.25,67300,4.19
22-Dec-1998,0,17.25,16.62,17,51100,4.13
23-Dec-1998,0,17.62,16.62,17.62,25300,4.28
24-Dec-1998,0,17.88,17.62,17.75,3700,4.31
28-Dec-1998,0,17.88,17,17.31,43300,4.2
29-Dec-1998,0,17.31,16.56,16.56,66200,4.12
30-Dec-1998,0,17.25,16.5,17.25,58600,4.29
31-Dec-1998,0,17.19,16.75,17,28400,4.23
04-Jan-1999,0,17.62,17.25,17.31,22800,4.3
05-Jan-1999,0,17.62,17,17.44,27500,4.34
06-Jan-1999,0,17.62,17.12,17.25,12400,4.29
07-Jan-1999,0,17.38,16.56,16.88,156300,4.2
08-Jan-1999,0,17,16.12,16.5,142700,4.1
11-Jan-1999,0,16.62,16.38,16.38,18200,4.07
12-Jan-1999,0,16.62,16.31,16.31,39300,4.05
13-Jan-1999,0,16.5,16.12,16.5,34900,4.1
14-Jan-1999,0,16.62,16.25,16.38,37500,4.07
15-Jan-1999,0,16.5,16.31,16.44,15500,4.09
19-Jan-1999,0,16.62,16.31,16.62,33400,4.13
20-Jan-1999,0,16.88,16.56,16.69,23400,4.15
21-Jan-1999,0,16.75,16.5,16.62,24900,4.13
22-Jan-1999,0,16.62,16.44,16.5,38300,4.1
25-Jan-1999,0,16.5,16.25,16.44,32400,4.09
26-Jan-1999,0,16.5,16.31,16.5,37200,4.1
27-Jan-1999,0,16.62,16.38,16.38,18200,4.07
28-Jan-1999,0,16.56,16.31,16.31,15500,4.05
29-Jan-1999,0,16.5,16.12,16.5,23800,4.1
01-Feb-1999,0,16.5,15.88,15.94,27700,3.96
02-Feb-1999,0,16,15.56,16,31900,3.98
03-Feb-1999,0,16.12,15.88,16.12,16200,4.01
04-Feb-1999,0,16.5,16.12,16.38,21500,4.07
05-Feb-1999,0,16.5,16.25,16.31,9200,4.05
08-Feb-1999,0,16.56,16.12,16.31,12400,4.05
09-Feb-1999,0,16.62,16,16,24800,3.98
10-Feb-1999,0,16,15.69,15.88,19800,3.95
11-Feb-1999,0,16.12,15.62,15.81,37400,3.93
12-Feb-1999,0,16.06,15.56,16,46500,3.98
16-Feb-1999,0,16.12,15.62,15.62,18400,3.88
17-Feb-1999,0,16,15.75,16,26800,3.98
18-Feb-1999,0,16,15.75,15.88,29800,3.95
19-Feb-1999,0,16.19,15.69,15.94,43900,3.96
22-Feb-1999,0,16.19,15.75,16,41500,3.98
23-Feb-1999,0,16.62,16.12,16.38,38400,4.07
24-Feb-1999,0,16.69,16.19,16.5,21000,4.1
25-Feb-1999,0,17,16.62,17,23200,4.23
26-Feb-1999,0,17.44,17,17.12,31600,4.26
01-Mar-1999,0,17.25,16.5,16.56,39100,4.12
02-Mar-1999,0,17.19,16.5,16.62,29100,4.13
03-Mar-1999,0,17,16.56,16.75,29600,4.16
04-Mar-1999,0,17,16.75,16.88,13400,4.2
05-Mar-1999,0,17,16.75,16.81,26600,4.18
08-Mar-1999,0,16.94,16.75,16.75,39500,4.16
09-Mar-1999,0,16.94,16.62,16.81,31100,4.18
10-Mar-1999,0,17,16.81,17,36100,4.23
11-Mar-1999,0,17,16.88,16.94,41500,4.21
12-Mar-1999,0,17.25,16.81,17.25,50700,4.29
15-Mar-1999,0,17.44,17,17.25,39000,4.29
16-Mar-1999,0,17.44,17,17.19,62400,4.27
17-Mar-1999,0,17.25,16.5,16.75,56800,4.16
18-Mar-1999,0,17,16.5,16.75,30400,4.16
19-Mar-1999,0,17.12,16.88,17.12,17000,4.26
22-Mar-1999,0,17.38,17,17.12,16900,4.26
23-Mar-1999,0,17.19,16.62,16.69,24200,4.15
24-Mar-1999,0,17.25,16.88,17.06,50500,4.24
25-Mar-1999,0,17.25,16.75,16.75,25400,4.16
26-Mar-1999,0,17.25,16.88,17.06,32200,4.24
29-Mar-1999,0,17.19,16.81,17.06,31600,4.35
30-Mar-1999,0,17.19,16.94,17.12,5700,4.36
31-Mar-1999,0,17.25,16.81,17.25,34900,4.4
01-Apr-1999,0,17.25,16.62,16.69,32500,4.25
05-Apr-1999,0,16.94,16.5,16.62,19100,4.24
06-Apr-1999,0,17.06,16.62,16.75,19200,4.27
07-Apr-1999,0,16.75,16.25,16.25,15500,4.14
08-Apr-1999,0,16.38,16.06,16.25,71200,4.14
09-Apr-1999,0,17,16.38,16.94,22600,4.32
12-Apr-1999,0,17.38,16.94,17.31,28000,4.41
13-Apr-1999,0,17.44,17.12,17.38,19100,4.43
14-Apr-1999,0,17.44,17.19,17.38,25800,4.43
15-Apr-1999,0,17.5,17,17.38,35500,4.43
16-Apr-1999,0,17.94,17.38,17.88,77400,4.56
19-Apr-1999,0,18,17.5,17.94,35000,4.57
20-Apr-1999,0,18,17.75,17.94,11400,4.57
21-Apr-1999,0,18.25,17.88,18.12,38800,4.62
22-Apr-1999,0,18.25,17.81,17.94,24900,4.57
23-Apr-1999,0,18.25,18.06,18.12,14800,4.62
26-Apr-1999,0,18.19,17.81,17.81,97100,4.54
27-Apr-1999,0,18.25,17.69,18.12,69000,4.62
28-Apr-1999,0,18.25,18,18.06,18800,4.6
29-Apr-1999,0,18.25,17.88,18.12,27400,4.62
30-Apr-1999,0,18.5,18.12,18.38,56600,4.68
03-May-1999,0,18.75,18.5,18.62,69100,4.75
04-May-1999,0,18.94,18.69,18.69,80900,4.76
05-May-1999,0,18.88,18.25,18.69,30200,4.76
06-May-1999,0,19,18.5,18.81,43500,4.79
07-May-1999,0,19,18.81,19,31300,4.84
10-May-1999,0,19.5,18.88,19.5,45900,4.97
