Date,Open,High,Low,Close,Volume,AdjClose
02-Jan-2003,NaN,42.74,42,42.51,324100,41.92
03-Jan-2003,NaN,43.05,42.45,43.05,256500,42.45
06-Jan-2003,NaN,43.35,42.58,43.25,387000,42.65
07-Jan-2003,NaN,43.9,43.05,43.47,331200,42.87
08-Jan-2003,NaN,43.51,43.1,43.36,230300,42.76
09-Jan-2003,NaN,45.14,43.36,44.83,437000,44.21
10-Jan-2003,NaN,46.33,44.6,45.2,501500,44.57
13-Jan-2003,NaN,45.64,44.97,45,512200,44.38
14-Jan-2003,NaN,45.18,44.62,45,272000,44.38
15-Jan-2003,NaN,45.08,44.61,44.63,249300,44.01
16-Jan-2003,NaN,45,43.86,44.12,470500,43.51
17-Jan-2003,NaN,44.12,43.29,43.48,246300,42.88
21-Jan-2003,NaN,43.63,42.8,42.8,331500,42.21
22-Jan-2003,NaN,45.5,42.25,45.5,966900,44.87
23-Jan-2003,NaN,47.42,45.97,47.4,1238000,46.74
24-Jan-2003,NaN,47.41,46.52,47.15,448000,46.5
27-Jan-2003,NaN,47.73,46.75,47.51,709300,46.85
28-Jan-2003,NaN,48.6,47.11,48.4,818200,47.73
29-Jan-2003,NaN,49.48,48.15,48.8,907000,48.13
30-Jan-2003,NaN,49,48.16,48.16,672500,47.49
31-Jan-2003,NaN,49.75,48.05,49.75,592900,49.06
03-Feb-2003,NaN,50.2,48.65,48.69,769800,48.02
04-Feb-2003,NaN,48.97,47.9,48.42,687700,47.75
05-Feb-2003,NaN,49.42,48.42,48.85,565600,48.17
06-Feb-2003,NaN,48.84,48.01,48.25,521200,47.58
07-Feb-2003,NaN,49,48.17,48.33,573700,47.66
10-Feb-2003,NaN,48.5,47.88,48.38,523400,47.71
11-Feb-2003,NaN,48.78,48,48.47,464600,47.8
12-Feb-2003,NaN,48.4,46.64,46.83,1172200,46.18
13-Feb-2003,NaN,47.2,45.49,45.89,922500,45.26
14-Feb-2003,NaN,46.72,45.89,46.72,541400,46.07
18-Feb-2003,NaN,47.9,46.81,47.55,443200,46.89
19-Feb-2003,NaN,47.41,46.9,47.14,308600,46.49
20-Feb-2003,NaN,47.24,46.83,47.02,347900,46.37
