Date,Open,High,Low,Close,Volume,AdjClose
08-Sep-1986,0,3.68,3.68,3.68,400,1.61
09-Sep-1986,NaN,NaN,NaN,3.68,0,1.61
10-Sep-1986,0,3.73,3.73,3.73,8300,1.63
11-Sep-1986,0,3.73,3.73,3.73,7500,1.63
12-Sep-1986,0,3.79,3.79,3.79,10601,1.66
15-Sep-1986,0,3.79,3.79,3.79,13601,1.66
16-Sep-1986,0,3.79,3.79,3.79,23001,1.66
17-Sep-1986,0,3.73,3.73,3.73,44900,1.63
18-Sep-1986,0,3.9,3.9,3.9,38500,1.7
19-Sep-1986,0,3.9,3.9,3.9,900,1.7
22-Sep-1986,0,3.79,3.79,3.79,32799,1.66
23-Sep-1986,0,3.68,3.68,3.68,17399,1.61
24-Sep-1986,0,3.73,3.73,3.73,400,1.63
25-Sep-1986,0,3.73,3.73,3.73,1300,1.63
26-Sep-1986,0,3.73,3.73,3.73,1700,1.63
29-Sep-1986,0,3.73,3.73,3.73,6800,1.63
30-Sep-1986,0,3.79,3.79,3.79,900,1.66
01-Oct-1986,0,3.79,3.79,3.79,1500,1.66
02-Oct-1986,0,3.79,3.79,3.79,11100,1.66
03-Oct-1986,0,3.9,3.9,3.9,6400,1.7
06-Oct-1986,0,3.9,3.9,3.9,6400,1.7
07-Oct-1986,0,3.9,3.9,3.9,14199,1.7
08-Oct-1986,0,3.9,3.9,3.9,7500,1.7
09-Oct-1986,0,3.9,3.9,3.9,7201,1.7
10-Oct-1986,0,3.9,3.9,3.9,20201,1.7
13-Oct-1986,0,3.79,3.79,3.79,8700,1.66
14-Oct-1986,0,3.68,3.68,3.68,10000,1.61
15-Oct-1986,0,3.68,3.68,3.68,800,1.61
16-Oct-1986,NaN,NaN,NaN,3.68,0,1.61
17-Oct-1986,0,3.68,3.68,3.68,5300,1.61
20-Oct-1986,0,3.68,3.68,3.68,600,1.61
21-Oct-1986,0,3.68,3.68,3.68,400,1.61
22-Oct-1986,0,3.68,3.68,3.68,7201,1.61
23-Oct-1986,0,3.79,3.79,3.79,15699,1.66
24-Oct-1986,0,3.79,3.79,3.79,1100,1.66
27-Oct-1986,0,3.79,3.79,3.79,200,1.66
28-Oct-1986,0,3.79,3.79,3.79,1100,1.66
29-Oct-1986,0,3.79,3.79,3.79,33199,1.66
30-Oct-1986,0,3.79,3.79,3.79,900,1.66
31-Oct-1986,0,3.79,3.79,3.79,200,1.66
03-Nov-1986,0,3.79,3.79,3.79,15101,1.66
04-Nov-1986,0,3.85,3.85,3.85,1500,1.68
05-Nov-1986,0,3.9,3.9,3.9,1500,1.7
06-Nov-1986,0,3.9,3.9,3.9,14900,1.7
07-Nov-1986,0,3.97,3.97,3.97,15699,1.73
10-Nov-1986,NaN,NaN,NaN,3.97,0,1.73
11-Nov-1986,0,3.97,3.97,3.97,6400,1.73
12-Nov-1986,0,3.9,3.9,3.9,400,1.7
13-Nov-1986,0,3.9,3.9,3.9,23201,1.7
14-Nov-1986,0,3.9,3.9,3.9,7900,1.7
17-Nov-1986,0,3.9,3.9,3.9,900,1.7
18-Nov-1986,0,3.9,3.9,3.9,800,1.7
19-Nov-1986,0,3.9,3.9,3.9,10601,1.7
20-Nov-1986,0,3.9,3.9,3.9,5701,1.7
21-Nov-1986,0,3.9,3.9,3.9,14199,1.7
24-Nov-1986,0,3.9,3.9,3.9,6000,1.7
25-Nov-1986,0,3.9,3.9,3.9,8300,1.7
26-Nov-1986,0,3.9,3.9,3.9,11700,1.7
28-Nov-1986,0,3.9,3.9,3.9,17199,1.7
01-Dec-1986,0,3.9,3.9,3.9,1700,1.7
02-Dec-1986,0,3.9,3.9,3.9,20001,1.7
03-Dec-1986,0,3.9,3.9,3.9,24501,1.7
04-Dec-1986,0,3.9,3.9,3.9,10601,1.7
05-Dec-1986,0,3.9,3.9,3.9,8300,1.7
08-Dec-1986,0,3.9,3.9,3.9,1700,1.7
09-Dec-1986,0,3.9,3.9,3.9,6400,1.7
10-Dec-1986,0,3.9,3.9,3.9,45799,1.7
11-Dec-1986,0,3.9,3.9,3.9,600,1.7
12-Dec-1986,0,3.9,3.9,3.9,1700,1.7
15-Dec-1986,0,3.9,3.9,3.9,9400,1.7
16-Dec-1986,0,3.9,3.9,3.9,51700,1.7
17-Dec-1986,0,3.9,3.9,3.9,800,1.7
18-Dec-1986,0,3.9,3.9,3.9,55800,1.7
19-Dec-1986,0,3.9,3.9,3.9,38100,1.7
22-Dec-1986,0,3.79,3.79,3.79,15699,1.66
23-Dec-1986,0,3.55,3.55,3.55,7900,1.55
24-Dec-1986,0,3.55,3.55,3.55,5100,1.55
26-Dec-1986,0,3.55,3.55,3.55,6000,1.55
29-Dec-1986,0,3.44,3.44,3.44,13401,1.5
30-Dec-1986,0,3.44,3.44,3.44,7500,1.5
31-Dec-1986,0,3.44,3.44,3.44,5300,1.5
02-Jan-1987,0,3.44,3.44,3.44,400,1.5
05-Jan-1987,NaN,NaN,NaN,3.44,0,1.5
06-Jan-1987,0,3.55,3.55,3.55,200,1.55
07-Jan-1987,0,3.55,3.55,3.55,8300,1.55
08-Jan-1987,0,3.68,3.68,3.68,5300,1.61
09-Jan-1987,0,3.68,3.68,3.68,800,1.61
12-Jan-1987,0,3.68,3.68,3.68,200,1.61
13-Jan-1987,NaN,NaN,NaN,3.68,0,1.61
14-Jan-1987,0,3.79,3.79,3.79,200,1.66
15-Jan-1987,0,3.79,3.79,3.79,7500,1.66
16-Jan-1987,0,3.79,3.79,3.79,1100,1.66
19-Jan-1987,0,3.79,3.79,3.79,13401,1.66
20-Jan-1987,0,3.79,3.79,3.79,6800,1.66
21-Jan-1987,0,3.79,3.79,3.79,5500,1.66
22-Jan-1987,0,3.85,3.85,3.85,800,1.68
23-Jan-1987,0,3.85,3.85,3.85,200,1.68
26-Jan-1987,0,3.85,3.85,3.85,7201,1.68
27-Jan-1987,0,3.9,3.9,3.9,33199,1.7
28-Jan-1987,0,3.9,3.9,3.9,1100,1.7
29-Jan-1987,0,3.9,3.9,3.9,800,1.7
30-Jan-1987,0,3.9,3.9,3.9,23399,1.7
02-Feb-1987,0,3.85,3.85,3.85,12800,1.68
03-Feb-1987,0,3.9,3.9,3.9,1300,1.7
04-Feb-1987,0,3.9,3.9,3.9,800,1.7
05-Feb-1987,0,3.9,3.9,3.9,10000,1.7
06-Feb-1987,0,3.9,3.9,3.9,400,1.7
09-Feb-1987,0,3.9,3.9,3.9,1100,1.7
10-Feb-1987,0,3.9,3.9,3.9,400,1.7
11-Feb-1987,0,3.9,3.9,3.9,6000,1.7
12-Feb-1987,0,3.9,3.9,3.9,900,1.7
13-Feb-1987,0,3.9,3.9,3.9,1300,1.7
17-Feb-1987,0,3.97,3.97,3.97,6000,1.73
18-Feb-1987,0,3.97,3.97,3.97,6400,1.73
19-Feb-1987,0,4.02,4.02,4.02,44299,1.76
20-Feb-1987,0,4.02,4.02,4.02,6800,1.76
23-Feb-1987,NaN,NaN,NaN,4.02,0,1.76
24-Feb-1987,0,4.08,4.08,4.08,5701,1.78
25-Feb-1987,0,4.13,4.13,4.13,1300,1.8
26-Feb-1987,0,4.13,4.13,4.13,5100,1.8
27-Feb-1987,0,4.13,4.13,4.13,900,1.8
02-Mar-1987,0,4.13,4.13,4.13,32300,1.8
03-Mar-1987,0,4.19,4.19,4.19,1100,1.83
