Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,17.75,17.62,17.75,3000,16.96
04-Jan-1978,0,17.62,17.56,17.56,400,16.78
05-Jan-1978,0,17.75,17.44,17.44,9600,16.67
06-Jan-1978,0,17.5,17.25,17.31,4400,16.54
09-Jan-1978,0,17.25,16.62,16.62,7000,15.88
10-Jan-1978,0,16.62,15.81,15.81,6200,15.11
11-Jan-1978,0,16,15.75,15.88,3000,15.17
12-Jan-1978,0,16.12,15.94,16.12,1000,15.4
13-Jan-1978,0,16.12,16,16.12,600,15.4
16-Jan-1978,0,16.19,16.06,16.19,600,15.47
17-Jan-1978,0,16.19,16.19,16.19,1000,15.47
18-Jan-1978,0,16.25,16,16.25,12800,15.53
19-Jan-1978,NaN,NaN,NaN,16.25,0,15.53
20-Jan-1978,NaN,NaN,NaN,16.25,0,15.53
23-Jan-1978,0,15.94,15.69,15.69,2200,14.99
24-Jan-1978,0,15.88,15.69,15.75,1800,15.05
25-Jan-1978,0,15.69,15.62,15.69,600,14.99
26-Jan-1978,0,15.69,15.56,15.69,600,14.99
27-Jan-1978,0,15.75,15.69,15.75,3000,15.05
30-Jan-1978,0,15.81,15.5,15.69,4400,14.99
31-Jan-1978,0,15.81,15.75,15.81,1200,15.11
01-Feb-1978,0,16.06,15.81,16,7800,15.29
02-Feb-1978,0,16.19,16.12,16.19,600,15.47
03-Feb-1978,0,16.19,16.19,16.19,200,15.47
06-Feb-1978,0,16.19,15.94,15.94,2200,15.23
07-Feb-1978,0,15.88,15.75,15.88,3200,15.17
08-Feb-1978,0,16,16,16,8400,15.29
09-Feb-1978,0,16.19,16.19,16.19,3200,15.47
10-Feb-1978,0,16.25,16.25,16.25,800,15.53
13-Feb-1978,0,16.19,16.06,16.12,1600,15.4
14-Feb-1978,0,16.25,16.19,16.19,2200,15.47
15-Feb-1978,0,16.12,16.12,16.12,2800,15.4
16-Feb-1978,0,16.25,16.25,16.25,400,15.53
17-Feb-1978,0,16.38,16.25,16.25,3200,15.53
21-Feb-1978,0,16.25,16.25,16.25,400,15.53
22-Feb-1978,0,16.25,16.25,16.25,3000,15.53
23-Feb-1978,0,16.19,16.19,16.19,1200,15.47
24-Feb-1978,NaN,NaN,NaN,16.19,0,15.47
27-Feb-1978,0,16.19,16.12,16.19,5000,15.47
28-Feb-1978,0,16.19,16.06,16.06,2600,15.35
01-Mar-1978,0,16,15.88,15.88,2800,15.17
02-Mar-1978,0,16,15.88,16,1200,15.29
03-Mar-1978,0,16,16,16,400,15.29
06-Mar-1978,0,16,16,16,400,15.29
07-Mar-1978,0,16.25,16,16.12,8600,15.4
08-Mar-1978,0,16.06,16,16,2200,15.29
09-Mar-1978,NaN,NaN,NaN,16,0,15.29
10-Mar-1978,0,16,15.88,15.88,1600,15.17
13-Mar-1978,0,15.69,15.62,15.69,3400,14.99
14-Mar-1978,0,15.69,15.56,15.56,2400,14.87
15-Mar-1978,0,15.75,15.69,15.75,2400,15.05
16-Mar-1978,0,15.94,15.75,15.94,3000,15.23
17-Mar-1978,0,16.25,16.06,16.25,9400,15.53
20-Mar-1978,0,16.5,16.38,16.44,1600,15.71
21-Mar-1978,0,16.75,16.62,16.62,1400,15.88
22-Mar-1978,0,16.62,16.31,16.31,2800,15.59
23-Mar-1978,0,16.38,16.31,16.38,2400,15.65
27-Mar-1978,0,16.62,16.56,16.62,1400,15.88
28-Mar-1978,0,16.75,16.75,16.75,5400,16.01
29-Mar-1978,0,17.12,16.88,16.94,2800,16.19
30-Mar-1978,0,17.19,17,17.19,2800,16.43
31-Mar-1978,0,17.25,17.19,17.25,2200,16.48
03-Apr-1978,NaN,NaN,NaN,17.25,0,16.48
04-Apr-1978,NaN,NaN,NaN,17.25,0,16.48
05-Apr-1978,0,17.12,17,17.06,2400,16.3
06-Apr-1978,0,17.12,17.12,17.12,2000,16.36
07-Apr-1978,0,17.38,17.25,17.38,800,16.61
10-Apr-1978,0,17.5,17.38,17.38,6000,16.61
11-Apr-1978,0,17.5,17.5,17.5,1200,16.72
12-Apr-1978,0,17.81,17.75,17.75,3800,16.96
13-Apr-1978,0,18.31,18.06,18.25,7200,17.44
14-Apr-1978,0,19.06,18.31,18.94,4000,18.1
17-Apr-1978,0,19.75,19.19,19.69,4200,18.82
18-Apr-1978,0,19.88,19.56,19.88,4000,19
19-Apr-1978,0,19.88,19.75,19.75,6400,18.87
20-Apr-1978,0,20.69,19.62,20.69,14400,19.77
21-Apr-1978,0,20.69,20.5,20.62,10200,19.7
24-Apr-1978,0,20.5,20.5,20.5,6200,19.59
25-Apr-1978,0,20.5,20.44,20.5,2200,19.59
26-Apr-1978,0,20.38,20.12,20.12,39200,19.23
27-Apr-1978,0,20.12,19.88,19.88,1600,19
28-Apr-1978,0,19.88,19.75,19.88,1800,19
01-May-1978,0,19.94,19.81,19.81,1600,18.93
02-May-1978,0,19.94,19.75,19.94,2800,19.05
03-May-1978,0,20,19.81,19.88,800,19
04-May-1978,0,19.88,19.75,19.88,800,19
05-May-1978,NaN,NaN,NaN,19.88,0,19
08-May-1978,0,20.12,20,20,3200,19.11
09-May-1978,0,20.12,20,20.12,1000,19.23
10-May-1978,0,20.38,20.25,20.38,800,19.47
11-May-1978,0,20.25,20.12,20.12,800,19.23
12-May-1978,0,20.5,20.12,20.5,5600,19.59
15-May-1978,0,20.56,20.38,20.56,600,19.65
16-May-1978,0,20.88,20.62,20.88,4800,19.95
17-May-1978,0,21.38,21,21.25,5800,20.31
18-May-1978,0,21.5,21.5,21.5,400,20.54
19-May-1978,0,21.88,21.62,21.88,600,20.91
22-May-1978,0,22.12,22,22.12,1600,21.14
23-May-1978,0,22.25,22.12,22.12,2800,21.14
24-May-1978,0,22,21.81,21.81,1400,20.84
25-May-1978,0,21.69,21.5,21.5,5400,20.54
26-May-1978,0,21.38,20.94,20.94,3800,20.01
30-May-1978,0,20.81,20.69,20.69,1200,19.77
31-May-1978,0,20.5,20.25,20.25,7400,19.35
01-Jun-1978,0,20.44,20.31,20.44,1200,19.53
02-Jun-1978,0,20.62,20.44,20.62,4200,19.7
05-Jun-1978,0,21.12,20.5,21,3200,20.07
06-Jun-1978,0,21.25,21.12,21.25,600,20.31
07-Jun-1978,0,21.12,21.06,21.06,400,20.12
08-Jun-1978,0,22,21.12,22,3200,21.02
09-Jun-1978,0,22.12,21.88,22,1000,21.02
12-Jun-1978,0,22.12,22.12,22.12,200,21.14
13-Jun-1978,0,22.12,22,22,6400,21.02
14-Jun-1978,0,22,21.75,21.75,1200,20.78
15-Jun-1978,0,21.62,21.44,21.5,1400,20.54
16-Jun-1978,0,21.38,21.12,21.12,8600,20.18
19-Jun-1978,0,21.12,20.88,21,3400,20.07
20-Jun-1978,0,20.81,20.5,20.5,7600,19.59
21-Jun-1978,0,20.56,20.56,20.56,400,19.65
22-Jun-1978,0,20.44,20.44,20.44,200,19.53
23-Jun-1978,0,20.5,20.5,20.5,6000,19.59
26-Jun-1978,0,20.25,19.19,19.19,5000,18.34
27-Jun-1978,0,19.31,19.25,19.25,600,18.39
28-Jun-1978,0,19.38,19.25,19.38,2600,18.52
29-Jun-1978,0,19.5,19.38,19.5,2000,18.63
30-Jun-1978,0,19.88,19.62,19.88,3000,19
03-Jul-1978,0,19.94,19.81,19.81,400,18.93
05-Jul-1978,0,19.75,19.69,19.69,1000,18.82
06-Jul-1978,0,19.69,19.69,19.69,1800,18.82
07-Jul-1978,0,19.81,19.81,19.81,200,18.93
10-Jul-1978,0,19.75,19.75,19.75,1000,18.87
11-Jul-1978,0,19.88,19.88,19.88,200,19
12-Jul-1978,0,19.94,19.81,19.94,1400,19.05
13-Jul-1978,0,20.31,20.12,20.31,800,19.41
14-Jul-1978,0,20.31,20.25,20.25,4200,19.35
17-Jul-1978,0,20.5,20.38,20.5,3200,19.59
18-Jul-1978,0,20.5,20.5,20.5,200,19.59
19-Jul-1978,0,20.5,20.5,20.5,1400,19.59
20-Jul-1978,0,20.5,20.5,20.5,1000,19.59
21-Jul-1978,0,20.62,20.5,20.62,400,19.7
24-Jul-1978,0,20.62,20.62,20.62,200,19.7
25-Jul-1978,0,20.5,20.5,20.5,400,19.59
26-Jul-1978,0,20.69,20.5,20.62,2000,19.7
27-Jul-1978,0,21.31,20.75,21.31,5600,20.36
28-Jul-1978,0,21.5,21.38,21.38,4400,20.43
31-Jul-1978,0,21.5,21.5,21.5,200,20.54
01-Aug-1978,0,21.62,21.62,21.62,200,20.66
02-Aug-1978,0,22.12,21.75,22.12,1800,21.14
03-Aug-1978,0,22.38,22.12,22.38,1200,21.39
04-Aug-1978,0,23.19,22.69,23.19,2800,22.16
07-Aug-1978,0,23.31,23.31,23.31,200,22.27
08-Aug-1978,0,23.25,23.25,23.25,200,22.22
09-Aug-1978,0,23.38,23.31,23.31,1000,22.27
10-Aug-1978,0,23.31,23.31,23.31,400,22.27
11-Aug-1978,0,23.44,23.44,23.44,200,22.4
14-Aug-1978,0,23.94,23.5,23.81,2800,22.75
15-Aug-1978,0,24.38,24,24.06,3000,22.99
16-Aug-1978,0,24.12,23.81,23.81,2200,22.75
17-Aug-1978,0,23.69,22.94,22.94,3000,21.92
18-Aug-1978,0,23.06,23.06,23.06,400,22.04
21-Aug-1978,0,23.06,22.69,22.69,4400,21.68
22-Aug-1978,0,22.56,22.38,22.38,800,21.39
23-Aug-1978,0,22.44,22.38,22.38,1600,21.39
24-Aug-1978,NaN,NaN,NaN,22.38,0,21.39
25-Aug-1978,0,22.25,21.88,21.94,4200,20.97
