Date,Open,High,Low,Close,Volume,AdjClose
13-Feb-2002,9.62,10.06,9.52,10.05,19054000,7.74
14-Feb-2002,10.18,10.2,9.92,10,2801400,7.71
15-Feb-2002,10,10.02,9.85,9.95,2097400,7.67
19-Feb-2002,9.9,9.9,9.38,9.55,1643000,7.36
20-Feb-2002,9.6,9.88,9.52,9.88,1723200,7.61
21-Feb-2002,9.84,9.92,9.75,9.85,1144200,7.59
22-Feb-2002,9.92,9.92,9.6,9.68,881400,7.46
25-Feb-2002,9.65,9.82,9.54,9.75,863400,7.51
26-Feb-2002,9.7,9.85,9.54,9.75,690400,7.51
27-Feb-2002,9.68,9.68,9.5,9.58,1022800,7.38
28-Feb-2002,9.6,9.72,9.55,9.55,681400,7.36
01-Mar-2002,9.52,9.78,9.49,9.68,478400,7.46
04-Mar-2002,9.72,9.9,9.71,9.85,795200,7.59
05-Mar-2002,9.8,9.82,9.58,9.62,861200,7.41
06-Mar-2002,9.62,9.72,9.6,9.68,329200,7.46
07-Mar-2002,9.68,10.3,9.68,10.21,675200,7.87
08-Mar-2002,10.15,10.5,10.15,10.45,400200,8.05
11-Mar-2002,10.4,10.7,10.38,10.58,791200,8.15
12-Mar-2002,10.5,10.95,10.5,10.6,1453800,8.17
13-Mar-2002,10.6,10.75,10.32,10.51,1256200,8.1
14-Mar-2002,10.51,10.6,10.42,10.5,424200,8.09
15-Mar-2002,10.5,10.55,9.95,10.18,427000,7.84
18-Mar-2002,10.2,10.2,9.52,9.65,551800,7.44
19-Mar-2002,9.72,9.75,9.3,9.35,807400,7.21
20-Mar-2002,9.28,9.28,8.5,9.01,2309000,6.94
21-Mar-2002,9.01,9.62,9.01,9.38,1156600,7.23
22-Mar-2002,9.38,9.8,9.26,9.65,623600,7.44
25-Mar-2002,9.75,9.9,9.59,9.86,1892800,7.6
26-Mar-2002,10,10.05,9.89,9.99,454200,7.7
27-Mar-2002,9.99,10.5,9.95,10.3,342400,7.94
28-Mar-2002,10.25,10.3,10.05,10.1,428600,7.78
01-Apr-2002,10.02,10.02,9.5,9.52,470000,7.34
02-Apr-2002,9.5,9.5,9.18,9.32,524600,7.18
03-Apr-2002,9.32,9.4,9.22,9.3,141800,7.17
04-Apr-2002,9.28,9.52,9.28,9.48,190800,7.31
05-Apr-2002,9.48,9.7,9.24,9.24,209400,7.12
08-Apr-2002,9.3,9.3,8.88,9.15,389600,7.05
09-Apr-2002,9.1,9.6,9.1,9.48,890600,7.31
10-Apr-2002,9.45,9.52,9.38,9.46,324800,7.29
11-Apr-2002,9.46,9.46,9.25,9.25,361000,7.13
12-Apr-2002,9.32,9.32,9.03,9.12,309000,7.03
15-Apr-2002,9.1,9.28,9.1,9.28,389800,7.15
16-Apr-2002,9.38,9.6,9.38,9.5,306400,7.32
17-Apr-2002,9.62,10.12,9.62,9.9,837200,7.63
18-Apr-2002,9.9,10.08,9.87,9.9,246200,7.63
19-Apr-2002,9.9,10.18,9.9,10.14,161600,7.81
22-Apr-2002,10.08,10.08,9.9,10,193200,7.71
23-Apr-2002,9.98,10.12,9.75,9.78,204400,7.54
24-Apr-2002,9.76,9.8,9.7,9.7,266200,7.48
25-Apr-2002,9.7,9.7,9.58,9.7,431800,7.48
26-Apr-2002,9.65,9.79,9.62,9.62,413400,7.41
29-Apr-2002,9.58,9.58,9.4,9.45,640600,7.28
30-Apr-2002,9.38,9.65,9.35,9.52,1700800,7.34
01-May-2002,9.65,10.25,9.65,10.25,418000,7.9
02-May-2002,10.2,10.5,10.2,10.42,829000,8.03
03-May-2002,10.4,10.4,10.28,10.4,115800,8.01
06-May-2002,10.4,11.3,10.4,10.88,536600,8.38
07-May-2002,10.82,11,10.72,10.75,113200,8.28
08-May-2002,10.85,11.25,10.85,11.2,164600,8.63
09-May-2002,11.25,11.6,11.25,11.42,211800,8.8
10-May-2002,11.5,11.72,11,11.03,174000,8.5
13-May-2002,11.04,11.04,10.42,10.75,482400,8.28
14-May-2002,11,11.2,10.4,10.4,989600,8.01
15-May-2002,10.35,10.5,9.92,9.92,1457000,7.64
16-May-2002,9.92,10.35,9.92,10.3,1321600,7.94
17-May-2002,10.38,10.75,10.38,10.62,1047800,8.18
20-May-2002,10.62,10.75,10.55,10.69,577600,8.24
21-May-2002,11.3,11.32,10.22,10.25,968000,7.9
22-May-2002,10.23,10.75,10.15,10.62,461800,8.18
23-May-2002,10.62,11.35,10.62,11.2,539400,8.63
24-May-2002,11.17,11.85,11.17,11.73,553000,9.04
28-May-2002,11.78,12.14,11.65,12.1,520400,9.32
29-May-2002,12.1,12.1,11.75,11.8,1152000,9.09
30-May-2002,11.8,11.8,11.58,11.63,985400,8.96
31-May-2002,11.63,12.15,11.63,12.1,627000,9.32
03-Jun-2002,12.1,12.1,11.57,11.62,454400,8.95
04-Jun-2002,11.6,11.95,11.45,11.72,483400,9.03
05-Jun-2002,11.75,11.84,11.56,11.62,401800,8.95
06-Jun-2002,11.62,11.82,11.6,11.62,350800,8.95
07-Jun-2002,11.5,11.62,11.28,11.48,438000,8.85
10-Jun-2002,11.48,11.65,11.15,11.25,213600,8.67
11-Jun-2002,11.31,11.38,11.26,11.38,80800,8.77
12-Jun-2002,11.26,11.26,10.91,11.2,133000,8.63
13-Jun-2002,11.2,11.55,11.05,11.48,324400,8.85
14-Jun-2002,11.47,11.47,10.68,11.26,179600,8.68
17-Jun-2002,11.3,11.72,11.3,11.51,234200,8.87
18-Jun-2002,11.51,11.58,11.15,11.26,65000,8.68
19-Jun-2002,11.25,11.58,11.25,11.5,226400,8.86
20-Jun-2002,11.43,11.43,10.9,10.95,127400,8.44
21-Jun-2002,10.88,10.88,10.45,10.5,254000,8.09
24-Jun-2002,10.5,10.5,9.95,10.26,273200,7.91
25-Jun-2002,10.26,10.4,9.99,9.99,207400,7.7
26-Jun-2002,9.88,9.88,9.18,9.48,720600,7.31
27-Jun-2002,9.55,10,9.46,10,408000,7.71
28-Jun-2002,9.98,10.66,9.92,10.5,869800,8.09
01-Jul-2002,10.45,10.5,9.82,9.87,272000,7.61
02-Jul-2002,9.86,9.86,8.94,9.38,409400,7.23
03-Jul-2002,9.35,9.55,8.62,9.25,556600,7.13
05-Jul-2002,9.3,9.73,9.3,9.5,113800,7.32
08-Jul-2002,9.55,10.18,9.49,9.9,358400,7.63
09-Jul-2002,9.85,10.22,9.62,9.75,540600,7.51
10-Jul-2002,9.75,10.05,9.48,9.6,536000,7.4
11-Jul-2002,9.52,9.54,8.88,9.22,610800,7.11
12-Jul-2002,9.22,9.22,8.78,8.84,263200,6.81
15-Jul-2002,8.84,8.84,7.9,8.35,325000,6.43
16-Jul-2002,8.22,8.44,8.04,8.1,311600,6.24
17-Jul-2002,8.12,8.32,7.15,8.04,1599600,6.2
18-Jul-2002,8.04,8.2,7.98,8.02,315400,6.18
19-Jul-2002,7.98,8,7.82,7.89,338400,6.08
22-Jul-2002,7.86,8.24,7.8,7.9,249800,6.09
23-Jul-2002,7.95,8.2,7.62,8,634000,6.17
24-Jul-2002,7.9,8.81,7.5,8.8,445600,6.78
25-Jul-2002,8.8,8.8,8.3,8.49,140200,6.54
26-Jul-2002,8.5,8.85,8.5,8.77,167200,6.76
29-Jul-2002,8.78,9.18,8.78,9.15,234000,7.05
30-Jul-2002,9.15,9.2,8.82,8.98,179200,6.92
31-Jul-2002,8.88,8.88,8.62,8.75,174400,6.74
01-Aug-2002,8.7,8.7,8.1,8.34,232800,6.43
02-Aug-2002,8.28,8.28,7.42,7.55,253800,5.82
05-Aug-2002,7.55,7.84,7.55,7.68,175600,5.92
06-Aug-2002,7.75,7.94,7.75,7.9,422200,6.09
07-Aug-2002,7.91,8,7.72,7.94,369400,6.12
08-Aug-2002,7.9,7.92,6.92,7.45,1234400,5.74
09-Aug-2002,7.45,7.8,7.45,7.62,236600,5.87
12-Aug-2002,7.62,8.12,7.6,8.12,231600,6.26
13-Aug-2002,8.25,8.6,8.13,8.18,440200,6.3
14-Aug-2002,8.18,8.9,8.18,8.65,806200,6.67
15-Aug-2002,9,9.38,9,9.05,851800,6.97
16-Aug-2002,9.05,9.9,9.05,9.46,430800,7.29
19-Aug-2002,9.46,10.22,9.35,9.98,424800,7.69
20-Aug-2002,10.35,10.75,10.1,10.46,1358200,8.06
21-Aug-2002,10.48,10.75,10.26,10.72,498600,8.26
22-Aug-2002,10.6,10.75,10.2,10.25,758800,7.9
23-Aug-2002,10.25,10.26,9.88,9.88,333400,7.61
26-Aug-2002,9.88,10.38,9.86,10.33,517400,7.96
27-Aug-2002,10.35,10.52,10.22,10.3,466200,7.94
28-Aug-2002,10.28,10.62,10.18,10.45,615400,8.05
29-Aug-2002,10.41,10.72,10.24,10.72,347000,8.26
30-Aug-2002,10.8,11,10.4,10.4,194600,8.01
03-Sep-2002,10.4,10.4,9.78,10,271400,7.71
04-Sep-2002,10.1,10.29,9.3,9.3,577200,7.17
05-Sep-2002,9.25,9.75,9.22,9.59,323200,7.39
06-Sep-2002,9.62,9.9,9.62,9.8,334800,7.55
09-Sep-2002,9.82,10.02,9.3,10.02,423800,7.72
10-Sep-2002,10.06,10.24,9.92,10.2,354200,7.86
11-Sep-2002,10.3,10.44,10.3,10.4,149800,8.01
12-Sep-2002,10.52,10.54,10.2,10.2,293000,7.86
13-Sep-2002,10.1,10.1,9.8,9.8,72000,7.55
16-Sep-2002,9.8,10.12,9.8,10.1,120000,7.78
17-Sep-2002,10.23,10.43,9.93,10.21,97200,7.87
18-Sep-2002,10.15,10.2,9.92,10.05,102000,7.74
