Date,Open,High,Low,Close,Volume,AdjClose
27-May-1993,0,19.62,19.5,19.5,1395500,3.09
28-May-1993,0,19.75,19.5,19.75,118700,3.13
01-Jun-1993,0,19.88,19.62,19.75,122200,3.13
02-Jun-1993,0,19.88,19.62,19.62,116300,3.11
03-Jun-1993,0,19.75,19.5,19.5,51800,3.09
04-Jun-1993,0,19.88,19.5,19.62,48000,3.11
07-Jun-1993,0,19.75,19.5,19.62,32700,3.11
08-Jun-1993,0,19.62,19.5,19.62,42000,3.11
09-Jun-1993,0,19.62,19.5,19.5,29200,3.09
10-Jun-1993,0,19.62,19.5,19.5,45300,3.09
11-Jun-1993,0,19.62,19.5,19.5,24500,3.09
14-Jun-1993,0,19.62,19.5,19.62,11900,3.11
15-Jun-1993,0,19.62,19.5,19.5,7200,3.09
16-Jun-1993,0,19.5,19,19,57900,3.01
17-Jun-1993,0,18.75,17.75,18.5,89200,2.93
18-Jun-1993,0,18.88,18.5,18.5,25000,2.93
21-Jun-1993,0,18.75,18.5,18.5,44300,2.93
22-Jun-1993,0,18.75,18.5,18.75,11000,2.97
23-Jun-1993,0,19.25,18.88,19,194900,3.01
24-Jun-1993,0,19.12,18.75,19,38900,3.01
25-Jun-1993,0,19.25,19,19,23100,3.01
28-Jun-1993,0,19.25,19,19.12,34800,3.03
29-Jun-1993,0,19.38,19,19,42000,3.01
30-Jun-1993,0,19.25,18.75,19.25,41300,3.05
01-Jul-1993,0,19.75,19.25,19.62,122300,3.11
02-Jul-1993,0,19.75,19.5,19.75,45300,3.13
06-Jul-1993,0,19.88,19.75,19.75,95600,3.13
07-Jul-1993,0,20,19.75,20,60500,3.17
08-Jul-1993,0,20.5,20,20.5,112300,3.25
09-Jul-1993,0,20.5,20.25,20.5,34000,3.25
12-Jul-1993,0,20.5,20.25,20.5,68700,3.25
13-Jul-1993,0,20.62,20.5,20.5,83100,3.25
14-Jul-1993,0,20.88,20.5,20.75,112700,3.29
15-Jul-1993,0,20.88,20.75,20.75,30500,3.29
16-Jul-1993,0,21,20.62,20.88,36900,3.31
19-Jul-1993,0,21.12,20.75,21,34100,3.33
20-Jul-1993,0,21.12,20.88,20.88,11400,3.31
21-Jul-1993,0,20.88,20.5,20.62,43700,3.27
22-Jul-1993,0,20.62,20,20.38,50500,3.23
23-Jul-1993,0,20.38,20.12,20.12,7700,3.19
26-Jul-1993,0,20.12,19.75,20,56900,3.17
27-Jul-1993,0,20.25,20,20.25,9200,3.21
28-Jul-1993,0,20.25,20,20,146100,3.17
29-Jul-1993,0,20.25,20,20.25,22500,3.21
30-Jul-1993,0,20.25,20.25,20.25,500,3.21
02-Aug-1993,0,20.5,20.12,20.5,15500,3.25
03-Aug-1993,0,20.5,20.25,20.25,9200,3.21
04-Aug-1993,0,20.38,20.12,20.38,9200,3.23
05-Aug-1993,0,20.62,20.25,20.25,11800,3.21
06-Aug-1993,0,20.5,20.38,20.38,10000,3.23
09-Aug-1993,0,20.62,20,20,13200,3.17
10-Aug-1993,0,20.12,19.62,19.75,29700,3.13
11-Aug-1993,0,20.12,19.62,20,12600,3.17
12-Aug-1993,0,20.12,19.88,20,24200,3.17
13-Aug-1993,0,20.12,19.75,19.88,7700,3.15
16-Aug-1993,0,19.88,19.62,19.75,6600,3.13
17-Aug-1993,0,19.75,19.62,19.75,3900,3.13
18-Aug-1993,0,20,19.75,20,20300,3.17
19-Aug-1993,0,20.5,20,20.5,44700,3.25
20-Aug-1993,0,21.12,20.62,21.12,23800,3.34
23-Aug-1993,0,21,20.62,20.88,30600,3.31
24-Aug-1993,0,21.12,20.62,21.12,12700,3.34
25-Aug-1993,0,21.5,20.62,20.88,32500,3.31
26-Aug-1993,0,21.25,20.75,21,17400,3.33
27-Aug-1993,0,21.75,21.25,21.62,26100,3.42
30-Aug-1993,0,22.25,21.75,22,27000,3.48
31-Aug-1993,0,22.38,22,22.38,32100,3.54
01-Sep-1993,0,22.5,21.88,22.5,10100,3.56
02-Sep-1993,0,22.88,22.25,22.75,24400,3.6
03-Sep-1993,0,22.5,22.38,22.5,19800,3.56
07-Sep-1993,0,22.5,22.25,22.5,18500,3.56
08-Sep-1993,0,22.5,22.12,22.25,25100,3.52
09-Sep-1993,0,22.5,22.25,22.5,37800,3.56
10-Sep-1993,0,22.75,22.5,22.62,14100,3.58
13-Sep-1993,0,22.75,22.5,22.75,7800,3.6
14-Sep-1993,0,22.75,22.5,22.75,14700,3.6
15-Sep-1993,0,22.88,22.25,22.25,51100,3.52
16-Sep-1993,0,22.75,22.25,22.75,7400,3.6
17-Sep-1993,0,22.88,22.5,22.88,12500,3.62
20-Sep-1993,0,23.25,22.75,23.12,14500,3.66
21-Sep-1993,0,23.5,22.62,22.62,12600,3.58
22-Sep-1993,0,22.62,22.38,22.5,8900,3.56
23-Sep-1993,0,22.75,22.5,22.5,12000,3.56
24-Sep-1993,0,22.88,22.5,22.75,6300,3.6
27-Sep-1993,0,22.88,22.75,22.88,2600,3.62
28-Sep-1993,0,22.88,22.62,22.75,8000,3.6
29-Sep-1993,0,22.88,22.62,22.88,2100,3.62
30-Sep-1993,0,23.38,22.88,23.38,5300,3.7
