Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.22,1.2,1.2,9600,1.04
04-Jan-1978,0,1.22,1.2,1.2,171200,1.04
05-Jan-1978,0,1.2,1.17,1.17,36800,1.01
06-Jan-1978,0,1.19,1.17,1.19,52800,1.03
09-Jan-1978,0,1.2,1.17,1.19,56000,1.03
10-Jan-1978,0,1.2,1.17,1.17,54400,1.01
11-Jan-1978,0,1.22,1.19,1.22,11200,1.06
12-Jan-1978,0,1.22,1.19,1.19,6400,1.03
13-Jan-1978,0,1.2,1.19,1.19,22400,1.03
16-Jan-1978,0,1.2,1.19,1.2,35200,1.04
17-Jan-1978,0,1.19,1.19,1.19,48000,1.03
18-Jan-1978,0,1.2,1.19,1.2,14400,1.04
19-Jan-1978,0,1.2,1.2,1.2,8000,1.04
20-Jan-1978,0,1.2,1.19,1.2,17600,1.04
23-Jan-1978,0,1.19,1.19,1.19,4800,1.03
24-Jan-1978,0,1.2,1.19,1.2,32000,1.04
25-Jan-1978,0,1.2,1.19,1.2,4800,1.04
26-Jan-1978,0,1.2,1.2,1.2,4800,1.04
27-Jan-1978,0,1.19,1.19,1.19,8000,1.03
30-Jan-1978,0,1.2,1.2,1.2,33600,1.04
31-Jan-1978,0,1.2,1.2,1.2,11200,1.04
01-Feb-1978,0,1.2,1.2,1.2,11200,1.04
02-Feb-1978,0,1.23,1.2,1.23,43200,1.06
03-Feb-1978,0,1.25,1.23,1.25,19200,1.08
06-Feb-1978,0,1.25,1.25,1.25,3200,1.08
07-Feb-1978,0,1.25,1.23,1.23,44800,1.06
08-Feb-1978,0,1.27,1.25,1.27,9600,1.1
09-Feb-1978,0,1.27,1.25,1.27,24000,1.1
10-Feb-1978,0,1.3,1.28,1.28,27200,1.11
13-Feb-1978,0,1.3,1.28,1.28,49600,1.11
14-Feb-1978,0,1.28,1.28,1.28,41600,1.11
15-Feb-1978,0,1.28,1.28,1.28,8000,1.11
16-Feb-1978,0,1.31,1.28,1.3,91200,1.12
17-Feb-1978,0,1.3,1.3,1.3,16000,1.12
21-Feb-1978,0,1.33,1.3,1.33,36800,1.15
22-Feb-1978,0,1.33,1.31,1.31,24000,1.13
23-Feb-1978,0,1.33,1.31,1.33,150400,1.15
24-Feb-1978,0,1.36,1.31,1.36,163200,1.18
27-Feb-1978,0,1.38,1.34,1.36,14400,1.18
28-Feb-1978,0,1.33,1.31,1.31,49600,1.13
01-Mar-1978,0,1.31,1.3,1.3,24000,1.12
02-Mar-1978,0,1.31,1.3,1.31,6400,1.13
03-Mar-1978,0,1.36,1.31,1.36,30400,1.18
06-Mar-1978,0,1.38,1.33,1.33,184000,1.15
07-Mar-1978,0,1.36,1.34,1.34,22400,1.16
08-Mar-1978,0,1.34,1.33,1.34,22400,1.16
09-Mar-1978,0,1.34,1.33,1.33,24000,1.15
10-Mar-1978,0,1.33,1.33,1.33,6400,1.15
13-Mar-1978,0,1.36,1.33,1.36,73600,1.18
14-Mar-1978,0,1.36,1.34,1.36,46400,1.18
15-Mar-1978,0,1.36,1.36,1.36,27200,1.18
16-Mar-1978,0,1.36,1.36,1.36,6400,1.18
17-Mar-1978,0,1.36,1.34,1.36,30400,1.18
20-Mar-1978,0,1.36,1.34,1.34,9600,1.16
21-Mar-1978,0,1.38,1.36,1.36,59200,1.18
22-Mar-1978,0,1.36,1.34,1.34,12800,1.16
23-Mar-1978,0,1.36,1.36,1.36,14400,1.18
27-Mar-1978,0,1.36,1.34,1.34,36800,1.16
28-Mar-1978,0,1.38,1.36,1.36,43200,1.18
29-Mar-1978,0,1.38,1.36,1.36,28800,1.18
30-Mar-1978,0,1.5,1.36,1.47,606400,1.27
31-Mar-1978,0,1.55,1.48,1.52,408000,1.32
03-Apr-1978,0,1.53,1.48,1.48,65600,1.28
04-Apr-1978,0,1.52,1.48,1.52,116800,1.32
05-Apr-1978,0,1.52,1.5,1.5,41600,1.3
06-Apr-1978,0,1.52,1.48,1.48,86400,1.28
07-Apr-1978,0,1.48,1.48,1.48,22400,1.28
10-Apr-1978,0,1.48,1.47,1.48,41600,1.28
11-Apr-1978,0,1.5,1.5,1.5,62400,1.3
12-Apr-1978,0,1.53,1.5,1.53,33600,1.32
13-Apr-1978,0,1.59,1.55,1.59,243200,1.38
14-Apr-1978,0,1.61,1.61,1.61,43200,1.39
17-Apr-1978,0,1.64,1.61,1.62,107200,1.4
18-Apr-1978,0,1.64,1.61,1.62,206400,1.4
19-Apr-1978,0,1.66,1.61,1.66,147200,1.44
20-Apr-1978,0,1.77,1.66,1.75,112000,1.51
21-Apr-1978,0,1.78,1.73,1.77,121600,1.53
24-Apr-1978,0,1.78,1.73,1.73,49600,1.5
25-Apr-1978,0,1.75,1.72,1.72,65600,1.49
26-Apr-1978,0,1.73,1.69,1.7,60800,1.47
27-Apr-1978,0,1.73,1.7,1.7,40000,1.47
28-Apr-1978,0,1.73,1.72,1.73,20800,1.5
01-May-1978,0,1.73,1.73,1.73,24000,1.5
02-May-1978,0,1.73,1.72,1.72,46400,1.49
03-May-1978,0,1.73,1.72,1.72,44800,1.49
04-May-1978,0,1.72,1.69,1.7,27200,1.47
05-May-1978,0,1.72,1.69,1.7,96000,1.47
08-May-1978,0,1.73,1.7,1.72,65600,1.49
09-May-1978,0,1.73,1.72,1.72,20800,1.49
10-May-1978,0,1.73,1.7,1.72,46400,1.49
11-May-1978,0,1.73,1.7,1.72,35200,1.49
12-May-1978,0,1.73,1.7,1.73,41600,1.5
15-May-1978,0,1.75,1.73,1.73,16000,1.5
16-May-1978,0,1.75,1.72,1.75,41600,1.51
17-May-1978,0,1.75,1.73,1.73,44800,1.5
18-May-1978,0,1.73,1.72,1.72,62400,1.49
19-May-1978,0,1.72,1.72,1.72,3200,1.49
22-May-1978,0,1.73,1.72,1.73,3200,1.5
23-May-1978,0,1.75,1.72,1.72,22400,1.49
24-May-1978,0,1.73,1.72,1.73,113600,1.5
25-May-1978,0,1.73,1.72,1.72,36800,1.49
26-May-1978,0,1.7,1.7,1.7,100800,1.47
30-May-1978,0,1.69,1.67,1.69,22400,1.46
31-May-1978,0,1.67,1.67,1.67,4800,1.45
01-Jun-1978,0,1.69,1.67,1.69,9600,1.46
02-Jun-1978,0,1.69,1.67,1.67,9600,1.45
05-Jun-1978,0,1.69,1.67,1.69,36800,1.46
06-Jun-1978,0,1.7,1.7,1.7,3200,1.47
07-Jun-1978,0,1.69,1.67,1.67,16000,1.45
08-Jun-1978,0,1.7,1.69,1.69,107200,1.46
09-Jun-1978,0,1.7,1.69,1.7,251200,1.47
12-Jun-1978,0,1.72,1.7,1.72,17600,1.49
13-Jun-1978,0,1.73,1.7,1.73,24000,1.5
14-Jun-1978,0,1.75,1.72,1.75,19200,1.51
15-Jun-1978,0,1.75,1.73,1.73,14400,1.5
16-Jun-1978,0,1.73,1.73,1.73,20800,1.5
19-Jun-1978,0,1.75,1.73,1.73,121600,1.5
20-Jun-1978,0,1.78,1.72,1.78,121600,1.54
21-Jun-1978,0,1.81,1.78,1.8,100800,1.56
22-Jun-1978,0,1.88,1.78,1.88,360000,1.63
23-Jun-1978,0,1.89,1.88,1.89,44800,1.64
26-Jun-1978,0,1.89,1.86,1.86,115200,1.61
27-Jun-1978,0,1.88,1.84,1.88,54400,1.63
28-Jun-1978,0,1.89,1.86,1.89,166400,1.64
29-Jun-1978,0,1.92,1.88,1.88,64000,1.63
30-Jun-1978,0,1.89,1.88,1.89,46400,1.64
03-Jul-1978,0,1.89,1.89,1.89,9600,1.64
05-Jul-1978,0,1.89,1.88,1.88,24000,1.63
06-Jul-1978,0,1.89,1.88,1.88,24000,1.63
07-Jul-1978,0,1.88,1.88,1.88,24000,1.63
10-Jul-1978,0,1.88,1.88,1.88,22400,1.63
11-Jul-1978,0,1.89,1.89,1.89,27200,1.64
12-Jul-1978,0,1.91,1.89,1.89,115200,1.64
13-Jul-1978,0,1.89,1.89,1.89,3200,1.64
14-Jul-1978,0,1.88,1.88,1.88,48000,1.63
17-Jul-1978,0,1.89,1.88,1.88,51200,1.63
18-Jul-1978,0,1.88,1.88,1.88,8000,1.63
19-Jul-1978,0,1.88,1.88,1.88,4800,1.63
20-Jul-1978,0,1.89,1.88,1.88,88000,1.63
21-Jul-1978,0,1.88,1.88,1.88,1600,1.63
24-Jul-1978,0,1.86,1.86,1.86,115200,1.61
25-Jul-1978,0,1.83,1.81,1.81,22400,1.57
26-Jul-1978,0,1.83,1.81,1.81,67200,1.57
27-Jul-1978,0,1.86,1.83,1.86,11200,1.61
28-Jul-1978,0,1.88,1.86,1.88,6400,1.63
31-Jul-1978,0,1.98,1.86,1.94,166400,1.68
01-Aug-1978,0,1.92,1.88,1.91,56000,1.65
02-Aug-1978,0,2,1.89,2,99200,1.73
03-Aug-1978,0,1.98,1.97,1.98,4800,1.71
04-Aug-1978,0,1.98,1.97,1.97,6400,1.7
07-Aug-1978,0,1.97,1.95,1.95,17600,1.69
08-Aug-1978,0,1.97,1.95,1.97,8000,1.7
09-Aug-1978,0,1.97,1.92,1.92,36800,1.66
10-Aug-1978,0,1.97,1.94,1.97,80000,1.7
11-Aug-1978,0,1.95,1.94,1.94,6400,1.68
14-Aug-1978,0,1.92,1.92,1.92,16000,1.66
15-Aug-1978,0,1.97,1.94,1.97,238400,1.7
16-Aug-1978,0,2,1.97,2,41600,1.73
17-Aug-1978,0,2.06,2.05,2.06,36800,1.78
18-Aug-1978,0,2.06,2.06,2.06,3200,1.78
21-Aug-1978,0,2.06,2.05,2.05,8000,1.77
22-Aug-1978,0,2.05,2.05,2.05,4800,1.77
23-Aug-1978,0,2.06,2.05,2.06,27200,1.78
24-Aug-1978,0,2.06,2.05,2.05,113600,1.77
25-Aug-1978,0,2.06,2.03,2.05,9600,1.77
28-Aug-1978,0,2.06,2.06,2.06,20800,1.78
29-Aug-1978,0,2.06,2.05,2.05,8000,1.77
30-Aug-1978,0,2.05,2.03,2.03,17600,1.76
31-Aug-1978,0,2.05,2.03,2.05,14400,1.77
01-Sep-1978,0,2.05,2.05,2.05,3200,1.77
05-Sep-1978,0,2.05,2.05,2.05,1600,1.77
06-Sep-1978,0,2.06,2.06,2.06,49600,1.78
07-Sep-1978,0,2.11,2.08,2.11,12800,1.83
08-Sep-1978,0,2.12,2.06,2.06,33600,1.78
11-Sep-1978,0,2.12,2.08,2.09,28800,1.81
12-Sep-1978,0,2.09,2.09,2.09,4800,1.81
13-Sep-1978,0,2.09,2.08,2.08,14400,1.8
14-Sep-1978,0,2.09,2.08,2.09,12800,1.81
15-Sep-1978,0,2.09,2.06,2.06,24000,1.78
18-Sep-1978,0,2.08,2.06,2.06,32000,1.78
19-Sep-1978,0,2.08,2.03,2.03,97600,1.76
20-Sep-1978,0,2.03,2.02,2.02,19200,1.75
21-Sep-1978,0,2,2,2,1600,1.73
22-Sep-1978,0,1.98,1.98,1.98,1600,1.71
25-Sep-1978,0,1.98,1.97,1.97,22400,1.7
26-Sep-1978,0,2,1.95,2,86400,1.73
27-Sep-1978,0,2,1.98,1.98,20800,1.71
28-Sep-1978,0,1.98,1.97,1.97,11200,1.7
29-Sep-1978,0,2,1.98,2,3200,1.73
02-Oct-1978,0,2.02,1.98,2,20800,1.73
03-Oct-1978,NaN,NaN,NaN,2,0,1.73
04-Oct-1978,0,1.98,1.98,1.98,1600,1.71
05-Oct-1978,0,2.03,2,2.03,11200,1.76
06-Oct-1978,0,2.03,2.02,2.03,30400,1.76
09-Oct-1978,0,2.03,2.02,2.03,9600,1.76
10-Oct-1978,0,2.05,2.02,2.05,51200,1.77
11-Oct-1978,0,2.06,2.05,2.06,123200,1.78
12-Oct-1978,0,2.09,2.08,2.08,16000,1.8
13-Oct-1978,0,2.08,2.08,2.08,30400,1.8
16-Oct-1978,0,2.09,2.08,2.08,145600,1.8
17-Oct-1978,0,2.06,2.02,2.02,27200,1.75
18-Oct-1978,0,2.03,1.92,1.92,86400,1.66
19-Oct-1978,0,1.89,1.88,1.88,49600,1.63
20-Oct-1978,0,1.86,1.78,1.8,60800,1.56
23-Oct-1978,0,1.84,1.8,1.83,33600,1.58
24-Oct-1978,0,1.81,1.81,1.81,11200,1.57
