Date,Open,High,Low,Close,Volume,AdjClose
07-Nov-2014,20.1,20.75,19.61,20.49,4853146,20.49
10-Nov-2014,20.3,21.6,20.1,20.67,246722,20.67
11-Nov-2014,20.7,21.49,20.33,20.96,224725,20.96
12-Nov-2014,20.75,21.25,20.55,20.9,144490,20.9
13-Nov-2014,20.84,21.46,20.84,21.35,210113,21.35
14-Nov-2014,21.5,22.71,21.02,22.21,204268,22.21
17-Nov-2014,22.2,22.4,21.56,22.1,154335,22.1
18-Nov-2014,21.85,22.85,21.77,22.69,157236,22.69
19-Nov-2014,22.48,22.83,22.03,22.56,39494,22.56
20-Nov-2014,22.56,22.69,21.76,22.6,183455,22.6
21-Nov-2014,22.27,24,22.27,23.57,186140,23.57
24-Nov-2014,23.46,24.3,23.01,23.99,164073,23.99
25-Nov-2014,23.9,24.11,23.41,23.96,164881,23.96
26-Nov-2014,24.05,24.37,23.69,24,108895,24
28-Nov-2014,24.33,24.42,23.92,24.39,36531,24.39
01-Dec-2014,24.62,24.75,23.06,24,196358,24
02-Dec-2014,23.7,24.5,23.39,24.2,258778,24.2
03-Dec-2014,24.29,25.32,23.9,24.99,145551,24.99
04-Dec-2014,24.95,25.33,23.82,23.98,104520,23.98
05-Dec-2014,24.66,24.85,23.05,23.56,77369,23.56
08-Dec-2014,23.23,25.05,23.05,24.61,180278,24.61
09-Dec-2014,24.29,25.17,24,24.94,148497,24.94
10-Dec-2014,24.72,25.5,24.4,24.84,82763,24.84
11-Dec-2014,24.57,25,24.02,24.15,58333,24.15
12-Dec-2014,23.99,24.42,22.46,22.77,83746,22.77
15-Dec-2014,22.84,24,22.77,23.45,153702,23.45
16-Dec-2014,23.66,24,22.25,23.62,176123,23.62
17-Dec-2014,23.77,24.07,22.63,23.83,183663,23.83
18-Dec-2014,24.06,25.73,23.72,24.48,246720,24.48
19-Dec-2014,24.37,25.59,24.37,24.88,1669886,24.88
22-Dec-2014,24.96,25.5,23.46,25.13,171933,25.13
23-Dec-2014,25.1,26.34,24.64,25.69,147237,25.69
24-Dec-2014,26.28,26.28,25.45,26.13,57067,26.13
26-Dec-2014,26.25,26.25,25.44,25.91,20358,25.91
29-Dec-2014,26.2,26.85,25.58,26.66,74221,26.66
30-Dec-2014,26.02,26.31,25.72,26.07,45553,26.07
31-Dec-2014,25.99,26.04,25.31,25.69,47699,25.69
02-Jan-2015,26,26,24.58,24.93,76305,24.93
05-Jan-2015,24.86,25.69,24.43,25.13,77495,25.13
06-Jan-2015,24.61,25.67,24.36,25.51,202127,25.51
07-Jan-2015,25.5,25.92,24.99,25.6,120721,25.6
08-Jan-2015,25.52,27.05,24.87,26.84,230327,26.84
09-Jan-2015,26.73,27.92,26.27,27.33,55939,27.33
12-Jan-2015,27.43,27.99,26.6,27.59,119810,27.59
13-Jan-2015,27.88,28.73,26.59,26.9,128549,26.9
14-Jan-2015,26.8,27.19,26.4,26.91,150248,26.91
15-Jan-2015,27.07,27.98,26.74,26.88,123050,26.88
16-Jan-2015,26.77,27.83,26.03,26.96,77947,26.96
20-Jan-2015,27.19,28.28,26.04,26.2,66857,26.2
21-Jan-2015,26.22,26.22,25.07,25.5,81678,25.5
22-Jan-2015,25.55,25.55,24.39,24.58,137278,24.58
23-Jan-2015,24.51,25.21,23.6,23.75,181607,23.75
26-Jan-2015,23.91,25.01,23.57,24.85,145946,24.85
27-Jan-2015,24.67,25.19,24.09,24.59,74171,24.59
28-Jan-2015,24.66,25.01,24.09,24.7,98545,24.7
29-Jan-2015,24.81,25,24.09,24.15,84379,24.15
30-Jan-2015,24,25.81,23.25,23.3,56772,23.3
02-Feb-2015,23.43,23.72,22.8,23.11,68629,23.11
03-Feb-2015,23.14,23.37,22.51,23.03,247059,23.03
04-Feb-2015,22.99,23.78,22.82,23.42,62475,23.42
05-Feb-2015,23.41,24.1,23.41,23.94,74448,23.94
06-Feb-2015,23.88,23.99,22.51,22.71,161490,22.71
09-Feb-2015,22.71,23.01,22.53,22.63,82249,22.63
10-Feb-2015,22.75,22.87,22.17,22.82,82345,22.82
11-Feb-2015,22.71,22.94,22.54,22.68,127021,22.68
12-Feb-2015,23.52,25.3,23.3,24.64,321583,24.64
13-Feb-2015,24.75,25.4,24.12,24.19,100862,24.19
17-Feb-2015,24.23,25.3,24.23,25.15,57466,25.15
18-Feb-2015,25.3,25.49,24.74,24.83,41600,24.83
19-Feb-2015,24.85,26.46,24.78,25.56,112489,25.56
20-Feb-2015,25.67,25.77,25.25,25.61,52314,25.61
23-Feb-2015,25.78,26.37,25.71,25.99,69314,25.99
24-Feb-2015,27,28.41,26.5,27.93,234979,27.93
25-Feb-2015,28.38,31.84,27.69,30.89,299953,30.89
26-Feb-2015,31.02,31.2,29.76,30.51,120415,30.51
27-Feb-2015,30.57,30.78,29.92,29.93,97486,29.93
02-Mar-2015,29.79,30.21,29.35,29.98,97431,29.98
03-Mar-2015,29.99,30.41,29.44,29.65,138571,29.65
04-Mar-2015,29.6,30.46,29.05,29.49,104294,29.49
05-Mar-2015,29.94,30.5,29.54,29.89,157923,29.89
06-Mar-2015,29.65,30.93,29.47,30.28,111812,30.28
09-Mar-2015,30.43,30.74,30.03,30.55,89881,30.55
10-Mar-2015,30.08,30.66,30,30.41,94415,30.41
11-Mar-2015,30.34,30.82,30.28,30.71,79989,30.71
12-Mar-2015,30.94,32.29,30.53,31.89,115208,31.89
13-Mar-2015,31.95,32.21,31.39,31.78,178310,31.78
16-Mar-2015,32.05,32.68,31.81,31.98,91944,31.98
