Date,Open,High,Low,Close,Volume,AdjClose
15-Apr-2002,13.46,14.18,12.82,13.42,8176201,13.42
16-Apr-2002,13.38,13.65,12.83,13.59,3919799,13.59
17-Apr-2002,13.59,13.75,13.23,13.38,2690402,13.38
18-Apr-2002,13.4,13.41,12.72,13.12,2781000,13.12
19-Apr-2002,13.18,13.4,12.92,12.95,1179201,12.95
22-Apr-2002,12.93,13.03,12.46,12.46,1945900,12.46
23-Apr-2002,12.44,12.61,12.02,12.58,1810498,12.58
24-Apr-2002,12.65,13.57,12.63,13.53,1557900,13.53
25-Apr-2002,13.53,13.59,12.95,13.34,660899,13.34
26-Apr-2002,13.38,13.83,13.07,13.83,1192998,13.83
29-Apr-2002,13.78,14.36,13.78,14.14,1097601,14.14
30-Apr-2002,14.07,14.98,14.02,14.93,4148698,14.93
01-May-2002,14.64,14.91,14.41,14.78,2391599,14.78
02-May-2002,14.82,14.82,14.27,14.58,787900,14.58
03-May-2002,14.54,15.45,14.39,15.44,1428199,15.44
06-May-2002,15.58,16.37,15.46,16.17,2392399,16.17
07-May-2002,15.85,15.99,14.45,14.72,3359499,14.72
08-May-2002,14.84,14.84,13.59,13.99,1835500,13.99
09-May-2002,13.96,14.79,13.96,14.44,955000,14.44
10-May-2002,14.54,14.69,13.96,14.04,783800,14.04
13-May-2002,13.95,14,13.5,13.95,592798,13.95
14-May-2002,13.91,13.92,13.5,13.86,599900,13.86
15-May-2002,13.75,13.92,13.53,13.65,789801,13.65
16-May-2002,13.71,13.77,13.54,13.55,432101,13.55
17-May-2002,13.6,13.64,13.43,13.52,279001,13.52
20-May-2002,13.52,13.61,12.92,12.94,663599,12.94
21-May-2002,13.01,13.09,12.79,13.02,351699,13.02
22-May-2002,12.97,13.2,12.92,13.18,179300,13.18
23-May-2002,13.2,13.37,13.06,13.34,138999,13.34
24-May-2002,13.34,13.5,13.13,13.13,347500,13.13
28-May-2002,13.13,13.4,13.09,13.4,250401,13.4
29-May-2002,13.4,13.75,13.34,13.62,381301,13.62
30-May-2002,13.61,13.73,13.56,13.71,295701,13.71
31-May-2002,13.74,13.83,13.09,13.15,338101,13.15
03-Jun-2002,13.41,13.69,13.4,13.44,453799,13.44
04-Jun-2002,13.41,13.53,13.29,13.39,499699,13.39
05-Jun-2002,13.38,13.87,13.34,13.65,394801,13.65
06-Jun-2002,13.8,13.95,13.72,13.82,257901,13.82
07-Jun-2002,13.87,14.11,13.4,14.07,515599,14.07
10-Jun-2002,14.09,14.26,14.09,14.15,316501,14.15
11-Jun-2002,14.1,14.64,14.09,14.46,418301,14.46
12-Jun-2002,14.45,14.59,14.1,14.24,463701,14.24
13-Jun-2002,14.39,14.65,14.2,14.57,334601,14.57
14-Jun-2002,14.46,14.46,14.24,14.35,354301,14.35
