Date,Open,High,Low,Close,Volume,AdjClose
23-Jul-1999,0,10.31,9.38,9.5,13917600,8.22
26-Jul-1999,0,9.56,8.12,8.25,2310400,7.14
27-Jul-1999,0,8.75,7.88,8.03,942000,6.95
28-Jul-1999,0,7.81,6.91,7.16,2238800,6.2
29-Jul-1999,0,8,6.44,7.81,716400,6.76
30-Jul-1999,0,8.62,7.78,8.62,852400,7.46
02-Aug-1999,0,8.56,7.72,8.12,410800,7.03
03-Aug-1999,0,8.03,6.94,7,547600,6.06
04-Aug-1999,0,7,6.06,6.12,584000,5.3
05-Aug-1999,0,6.75,5.38,6.59,470400,5.7
06-Aug-1999,0,6.88,6,6.31,273600,5.46
09-Aug-1999,0,6.25,5.69,5.81,272000,5.03
10-Aug-1999,0,6.12,5.53,6,162800,5.19
11-Aug-1999,0,6.38,5.88,5.94,214400,5.14
12-Aug-1999,0,6,5.38,5.59,510800,4.84
13-Aug-1999,0,6.94,5.62,6.88,604800,5.95
16-Aug-1999,0,7.88,6.5,7.53,615600,6.52
17-Aug-1999,0,8,6.62,7.31,406800,6.33
18-Aug-1999,0,8,7.12,7.31,800000,6.33
19-Aug-1999,0,7.38,6.69,6.81,230800,5.89
20-Aug-1999,0,7,6.56,6.66,166800,5.76
23-Aug-1999,0,6.88,6.44,6.5,136000,5.63
24-Aug-1999,0,6.81,6.5,6.53,140000,5.65
25-Aug-1999,0,6.62,6.12,6.31,142400,5.46
26-Aug-1999,0,6.62,5.88,6.44,183200,5.57
27-Aug-1999,0,6.62,6,6.62,75600,5.73
30-Aug-1999,0,7.19,6.5,7.12,386800,6.16
31-Aug-1999,0,7.25,6.75,6.88,196400,5.95
01-Sep-1999,0,7.31,6.62,6.81,328800,5.89
02-Sep-1999,0,7,6.5,6.75,223600,5.84
03-Sep-1999,0,7.12,6.66,6.94,168400,6.01
07-Sep-1999,0,6.94,6.69,6.88,142400,5.95
08-Sep-1999,0,7.62,6.69,6.81,379600,5.89
09-Sep-1999,0,7,6.69,6.78,191200,5.87
10-Sep-1999,0,6.81,6.5,6.69,142800,5.79
13-Sep-1999,0,6.75,6.38,6.47,54000,5.6
14-Sep-1999,0,6.56,6.09,6.22,94800,5.38
15-Sep-1999,0,6.5,6.22,6.38,52800,5.52
16-Sep-1999,0,6.62,6.19,6.25,99600,5.41
17-Sep-1999,0,6.38,5.94,6,160400,5.19
20-Sep-1999,0,6,5.69,5.84,202000,5.05
21-Sep-1999,0,5.84,5.5,5.5,178000,4.76
22-Sep-1999,0,5.62,5.38,5.38,192800,4.66
23-Sep-1999,0,5.5,5,5,345600,4.33
24-Sep-1999,0,5,4.44,4.75,278400,4.11
27-Sep-1999,0,5.19,4.62,4.88,603200,4.22
28-Sep-1999,0,5.06,4.62,4.78,64000,4.14
29-Sep-1999,0,5.12,4.69,4.81,137200,4.16
30-Sep-1999,0,5,4.78,4.97,85200,4.3
01-Oct-1999,0,5.12,4.94,5.12,143200,4.43
04-Oct-1999,0,5.38,4.88,4.91,147200,4.25
05-Oct-1999,0,5.06,4.84,4.88,107200,4.22
06-Oct-1999,0,5.06,4.75,4.88,159200,4.22
07-Oct-1999,0,5.12,4.88,5,108800,4.33
08-Oct-1999,0,5.12,4.94,5,127600,4.33
11-Oct-1999,0,5.75,5,5.22,800000,4.52
12-Oct-1999,0,5.28,4.88,4.94,150000,4.28
13-Oct-1999,0,5.06,4.88,4.91,60800,4.25
14-Oct-1999,0,5,4.62,4.75,117600,4.11
15-Oct-1999,0,5.12,4.25,4.88,424400,4.22
18-Oct-1999,0,5.06,4.38,4.59,166800,3.97
19-Oct-1999,0,5.06,4.72,4.88,190400,4.22
20-Oct-1999,0,5,4.84,4.91,139200,4.25
21-Oct-1999,0,4.81,4.5,4.5,242000,3.89
22-Oct-1999,0,4.62,4.5,4.53,191200,3.92
25-Oct-1999,0,4.88,4.38,4.66,114400,4.03
26-Oct-1999,0,4.66,4.5,4.59,51200,3.97
27-Oct-1999,0,4.69,4.25,4.44,105600,3.84
28-Oct-1999,0,4.5,4.25,4.34,70000,3.76
29-Oct-1999,0,4.62,4.31,4.34,100000,3.76
01-Nov-1999,0,4.47,4.25,4.31,66400,3.73
02-Nov-1999,0,4.38,4,4.06,261200,3.51
03-Nov-1999,0,4.25,4.06,4.06,78000,3.51
04-Nov-1999,0,4.19,3.88,4.12,180400,3.57
05-Nov-1999,0,4.25,3.81,4.19,243600,3.63
08-Nov-1999,0,4.5,4.12,4.25,289600,3.68
09-Nov-1999,0,6.75,4.5,6.75,3818800,5.84
10-Nov-1999,0,8.06,6.38,6.88,3156000,5.95
11-Nov-1999,0,7.69,5.56,6.69,816800,5.79
12-Nov-1999,0,6.94,5.56,6.25,422800,5.41
15-Nov-1999,0,6.19,5.5,5.88,499600,5.09
16-Nov-1999,0,6.06,5.38,5.88,424400,5.09
17-Nov-1999,0,7.31,6.12,6.5,977600,5.63
18-Nov-1999,0,6.97,6.06,6.38,194400,5.52
19-Nov-1999,0,6.5,6.19,6.31,105600,5.46
22-Nov-1999,0,6.34,5.75,5.94,242000,5.14
23-Nov-1999,0,6.03,5.56,6.03,160800,5.22
24-Nov-1999,0,6.5,5.75,6.19,216400,5.36
26-Nov-1999,0,6.5,6.06,6.12,108400,5.3
29-Nov-1999,0,6.25,5.81,5.84,172400,5.05
30-Nov-1999,0,6.12,5.69,5.81,261200,5.03
01-Dec-1999,0,6,5.56,5.88,150400,5.09
02-Dec-1999,0,5.88,5.56,5.62,151600,4.86
03-Dec-1999,0,5.94,5.53,5.53,236000,4.79
06-Dec-1999,0,5.69,5.5,5.5,142000,4.76
07-Dec-1999,0,6.44,5.53,6.12,498800,5.3
08-Dec-1999,0,7.25,5.94,6.56,680800,5.68
09-Dec-1999,0,7.38,6,6.47,472000,5.6
10-Dec-1999,0,6.88,6.25,6.31,204800,5.46
13-Dec-1999,0,6.41,6,6.06,140800,5.24
14-Dec-1999,0,6.16,5.5,5.56,274000,4.81
15-Dec-1999,0,5.84,5.5,5.56,112800,4.81
16-Dec-1999,0,5.69,5.31,5.38,236000,4.66
17-Dec-1999,0,5.38,4.69,4.84,302800,4.19
20-Dec-1999,0,4.88,4.5,4.69,268000,4.06
21-Dec-1999,0,4.88,4.59,4.62,304000,4
22-Dec-1999,0,4.62,4.25,4.28,245200,3.7
23-Dec-1999,0,6.12,4.34,5.88,799200,5.09
27-Dec-1999,0,8.62,7,7.69,3908000,6.66
28-Dec-1999,0,7.81,6,6.44,883600,5.57
29-Dec-1999,0,7,6.5,6.69,157600,5.79
30-Dec-1999,0,7.12,6.12,6.25,222000,5.41
31-Dec-1999,0,7,6.12,6.72,200400,5.82
03-Jan-2000,6.75,6.91,6.38,6.5,245200,5.63
04-Jan-2000,6.44,6.5,6.06,6.12,168800,5.3
05-Jan-2000,6.25,6.38,5.5,5.88,259600,5.09
06-Jan-2000,6.05,6.28,5.97,6.19,129600,5.36
07-Jan-2000,6.12,6.19,6,6.12,114400,5.3
10-Jan-2000,6.12,6.47,5.94,6.19,188800,5.36
11-Jan-2000,6.09,6.5,5.88,5.88,177600,5.09
12-Jan-2000,6.31,6.38,5.5,5.81,205600,5.03
13-Jan-2000,5.78,5.78,5.5,5.75,144400,4.98
14-Jan-2000,5.91,6.25,5.75,5.81,73600,5.03
18-Jan-2000,5.97,6.12,5.62,5.88,120000,5.09
19-Jan-2000,5.91,6.25,5.75,6.25,179600,5.41
20-Jan-2000,6.25,7.12,6.22,7.12,539600,6.16
21-Jan-2000,7.03,7.03,6.06,7,230000,6.06
24-Jan-2000,6.92,7,6.5,6.56,120400,5.68
25-Jan-2000,6.75,6.75,6,6.12,175600,5.3
26-Jan-2000,6.12,6.38,5.75,5.94,192400,5.14
27-Jan-2000,6,6.38,5.81,6.12,227200,5.3
28-Jan-2000,6.12,6.12,5.88,5.94,65600,5.14
31-Jan-2000,6,6.25,5.88,6,187200,5.19
01-Feb-2000,6.38,6.56,6,6,149200,5.19
02-Feb-2000,6.12,6.25,5.62,5.62,287600,4.86
03-Feb-2000,5.69,5.81,5.5,5.56,259600,4.81
04-Feb-2000,5.56,5.69,5.25,5.5,332000,4.76
07-Feb-2000,5.38,5.5,5.25,5.38,186000,4.66
08-Feb-2000,5.34,5.38,5.25,5.28,264000,4.57
09-Feb-2000,5.42,5.44,5,5,375200,4.33
10-Feb-2000,5.12,5.12,4.97,5,298000,4.33
11-Feb-2000,5,5.12,4.94,5.06,238000,4.38
14-Feb-2000,5.03,5.06,4.94,4.94,102000,4.28
15-Feb-2000,5.25,5.31,5,5.06,991200,4.38
16-Feb-2000,5.09,5.12,5,5,459200,4.33
17-Feb-2000,5.12,5.16,4.88,5,461200,4.33
18-Feb-2000,5.03,5.06,4.88,5.03,185200,4.35
22-Feb-2000,5.05,5.12,4.94,5.06,354800,4.38
23-Feb-2000,5.19,5.44,5,5.44,222400,4.71
24-Feb-2000,5.56,5.62,4.56,5.5,606400,4.76
25-Feb-2000,5.5,5.56,5.38,5.44,197600,4.71
28-Feb-2000,5.53,5.56,5.06,5.06,230000,4.38
29-Feb-2000,5.31,5.62,5.06,5.31,185200,4.6
01-Mar-2000,0,5.62,5.25,5.31,271600,4.6
02-Mar-2000,0,6.19,5.56,6,652800,5.19
03-Mar-2000,0,6.62,5.88,6.44,488800,5.57
06-Mar-2000,0,6.75,6.19,6.38,287600,5.52
