Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,3.58,3.58,3.58,7200,1.85
04-Jan-1978,0,3.58,3.58,3.58,7200,1.85
05-Jan-1978,0,3.66,3.59,3.59,35200,1.86
06-Jan-1978,0,3.62,3.58,3.62,11200,1.87
09-Jan-1978,0,3.56,3.5,3.55,65600,1.84
10-Jan-1978,0,3.56,3.56,3.56,89600,1.84
11-Jan-1978,0,3.59,3.56,3.56,87200,1.84
12-Jan-1978,0,3.56,3.56,3.56,4000,1.84
13-Jan-1978,0,3.58,3.56,3.58,2400,1.85
16-Jan-1978,0,3.59,3.56,3.59,4800,1.86
17-Jan-1978,0,3.69,3.59,3.66,109600,1.9
18-Jan-1978,0,3.66,3.66,3.66,3200,1.9
19-Jan-1978,0,3.69,3.66,3.66,13600,1.9
20-Jan-1978,0,3.69,3.66,3.66,6400,1.9
23-Jan-1978,0,3.66,3.62,3.66,1600,1.9
24-Jan-1978,0,3.66,3.66,3.66,87200,1.9
25-Jan-1978,0,3.62,3.61,3.62,12000,1.87
26-Jan-1978,0,3.59,3.59,3.59,1600,1.86
27-Jan-1978,0,3.59,3.59,3.59,800,1.86
30-Jan-1978,0,3.61,3.56,3.61,7200,1.87
31-Jan-1978,0,3.58,3.5,3.5,86400,1.81
01-Feb-1978,0,3.5,3.5,3.5,800,1.81
02-Feb-1978,NaN,NaN,NaN,3.5,0,1.81
03-Feb-1978,0,3.53,3.47,3.47,12000,1.8
06-Feb-1978,NaN,NaN,NaN,3.47,0,1.8
07-Feb-1978,0,3.39,3.38,3.38,4000,1.75
08-Feb-1978,0,3.41,3.38,3.38,25600,1.75
09-Feb-1978,0,3.39,3.38,3.38,24000,1.75
10-Feb-1978,NaN,NaN,NaN,3.38,0,1.75
13-Feb-1978,0,3.36,3.34,3.34,10400,1.73
14-Feb-1978,0,3.34,3.34,3.34,12000,1.73
15-Feb-1978,0,3.34,3.33,3.33,4800,1.72
16-Feb-1978,0,3.34,3.33,3.33,43200,1.72
17-Feb-1978,0,3.36,3.34,3.36,2400,1.74
21-Feb-1978,0,3.41,3.36,3.36,25600,1.74
22-Feb-1978,0,3.38,3.33,3.33,24800,1.72
23-Feb-1978,0,3.34,3.3,3.3,18400,1.71
24-Feb-1978,0,3.28,3.27,3.28,15200,1.7
