Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,2.6,2.57,2.57,44200,1.13
04-Jan-1978,0,2.62,2.57,2.57,188200,1.13
05-Jan-1978,0,2.71,2.67,2.67,173800,1.17
06-Jan-1978,0,2.59,2.54,2.54,178600,1.12
09-Jan-1978,0,2.54,2.51,2.51,84000,1.1
10-Jan-1978,0,2.51,2.46,2.46,40000,1.08
11-Jan-1978,0,2.52,2.42,2.42,24700,1.06
12-Jan-1978,0,2.42,2.33,2.33,52900,1.02
13-Jan-1978,0,2.37,2.28,2.28,49800,1
16-Jan-1978,0,2.28,2.18,2.18,46300,0.96
17-Jan-1978,0,2.24,2.15,2.15,128800,0.94
18-Jan-1978,0,2.31,2.21,2.21,56200,0.97
19-Jan-1978,0,2.39,2.31,2.31,33000,1.01
20-Jan-1978,0,2.39,2.31,2.31,40900,1.01
23-Jan-1978,0,2.39,2.31,2.31,15400,1.01
24-Jan-1978,0,2.39,2.31,2.31,16900,1.01
25-Jan-1978,0,2.39,2.31,2.31,4800,1.01
26-Jan-1978,0,2.39,2.31,2.31,14500,1.01
27-Jan-1978,0,2.39,2.31,2.31,60000,1.01
30-Jan-1978,0,2.39,2.31,2.31,6600,1.01
31-Jan-1978,0,2.39,2.31,2.31,64900,1.01
01-Feb-1978,0,2.39,2.31,2.31,26400,1.01
02-Feb-1978,0,2.39,2.31,2.31,4800,1.01
03-Feb-1978,0,2.39,2.31,2.31,28000,1.01
06-Feb-1978,0,2.42,2.33,2.33,2400,1.02
07-Feb-1978,0,2.39,2.31,2.31,5500,1.01
08-Feb-1978,0,2.42,2.33,2.33,65800,1.02
09-Feb-1978,0,2.42,2.33,2.33,21600,1.02
10-Feb-1978,0,2.39,2.31,2.31,97800,1.01
13-Feb-1978,0,2.39,2.31,2.31,35200,1.01
14-Feb-1978,0,2.39,2.31,2.31,134300,1.01
15-Feb-1978,0,2.39,2.31,2.31,18600,1.01
16-Feb-1978,0,2.39,2.31,2.31,51100,1.01
17-Feb-1978,0,2.39,2.31,2.31,11400,1.01
21-Feb-1978,0,2.39,2.31,2.31,15400,1.01
22-Feb-1978,0,2.39,2.31,2.31,7200,1.01
23-Feb-1978,0,2.37,2.28,2.28,3400,1
24-Feb-1978,0,2.37,2.28,2.28,8200,1
27-Feb-1978,0,2.37,2.28,2.28,7200,1
28-Feb-1978,0,2.37,2.28,2.28,16800,1
01-Mar-1978,0,2.37,2.28,2.28,11400,1
02-Mar-1978,0,2.33,2.24,2.24,4800,0.98
03-Mar-1978,0,2.31,2.21,2.21,21700,0.97
06-Mar-1978,0,2.21,2.12,2.12,41800,0.93
07-Mar-1978,0,2.15,2.06,2.06,26400,0.9
08-Mar-1978,0,2.12,2.03,2.03,5500,0.89
09-Mar-1978,0,2.12,2.03,2.03,7200,0.89
10-Mar-1978,0,2.12,2.03,2.03,10300,0.89
13-Mar-1978,0,2.15,2.06,2.06,24700,0.9
14-Mar-1978,0,2.18,2.09,2.09,26500,0.92
15-Mar-1978,0,2.21,2.12,2.12,28000,0.93
16-Mar-1978,0,2.24,2.15,2.15,11400,0.94
17-Mar-1978,0,2.28,2.18,2.18,25600,0.96
20-Mar-1978,0,2.28,2.18,2.18,16800,0.96
21-Mar-1978,0,2.28,2.18,2.18,14500,0.96
22-Mar-1978,0,2.28,2.18,2.18,31200,0.96
23-Mar-1978,0,2.28,2.18,2.18,8200,0.96
27-Mar-1978,0,2.28,2.18,2.18,11400,0.96
28-Mar-1978,0,2.28,2.18,2.18,23400,0.96
29-Mar-1978,0,2.24,2.15,2.15,26400,0.94
30-Mar-1978,0,2.24,2.15,2.15,5500,0.94
31-Mar-1978,0,2.24,2.15,2.15,8200,0.94
03-Apr-1978,0,2.24,2.15,2.15,4000,0.94
04-Apr-1978,0,2.24,2.15,2.15,8800,0.94
05-Apr-1978,0,2.24,2.15,2.15,1600,0.94
06-Apr-1978,0,2.24,2.15,2.15,80800,0.94
07-Apr-1978,0,2.24,2.15,2.15,169700,0.94
10-Apr-1978,0,2.24,2.15,2.15,23200,0.94
11-Apr-1978,0,2.24,2.15,2.15,34600,0.94
12-Apr-1978,0,2.24,2.15,2.15,20200,0.94
13-Apr-1978,0,2.42,2.33,2.33,97800,1.02
14-Apr-1978,0,2.54,2.46,2.46,76000,1.08
17-Apr-1978,0,2.67,2.57,2.57,48000,1.13
18-Apr-1978,0,2.67,2.57,2.57,60000,1.13
19-Apr-1978,0,2.67,2.57,2.57,28000,1.13
20-Apr-1978,0,2.76,2.67,2.67,41800,1.17
21-Apr-1978,0,2.78,2.7,2.7,59400,1.19
24-Apr-1978,0,2.78,2.7,2.7,21700,1.19
25-Apr-1978,0,2.85,2.76,2.76,49600,1.21
26-Apr-1978,0,2.85,2.76,2.76,6600,1.21
27-Apr-1978,0,2.85,2.76,2.76,26500,1.21
28-Apr-1978,0,2.85,2.76,2.76,12100,1.21
01-May-1978,0,2.97,2.88,2.88,73000,1.27
02-May-1978,0,2.97,2.88,2.88,61600,1.27
03-May-1978,0,2.97,2.88,2.88,16800,1.27
04-May-1978,0,3.03,2.94,2.94,41800,1.29
05-May-1978,0,3.28,3.18,3.18,125500,1.4
08-May-1978,0,3.4,3.31,3.31,92200,1.45
09-May-1978,0,3.46,3.37,3.37,30400,1.48
10-May-1978,0,3.43,3.33,3.33,93700,1.46
11-May-1978,0,3.46,3.37,3.37,64900,1.48
12-May-1978,0,3.43,3.33,3.33,67300,1.46
15-May-1978,0,3.43,3.33,3.33,30400,1.46
16-May-1978,0,3.4,3.31,3.31,33600,1.45
17-May-1978,0,3.4,3.31,3.31,88900,1.45
18-May-1978,0,3.4,3.31,3.31,61000,1.45
19-May-1978,0,3.51,3.43,3.43,116900,1.51
22-May-1978,0,3.73,3.64,3.64,107200,1.6
23-May-1978,0,3.76,3.67,3.67,109000,1.61
24-May-1978,0,3.7,3.61,3.61,97000,1.59
25-May-1978,0,3.7,3.61,3.61,40900,1.59
26-May-1978,0,3.67,3.57,3.57,13600,1.57
30-May-1978,0,3.57,3.48,3.48,78400,1.53
31-May-1978,0,3.61,3.51,3.51,48000,1.54
01-Jun-1978,0,3.57,3.48,3.48,28000,1.53
02-Jun-1978,0,3.57,3.48,3.48,18600,1.53
05-Jun-1978,0,3.61,3.51,3.51,62500,1.54
06-Jun-1978,0,3.64,3.55,3.55,63100,1.56
07-Jun-1978,0,3.64,3.55,3.55,88900,1.56
08-Jun-1978,0,3.64,3.55,3.55,87400,1.56
09-Jun-1978,0,3.7,3.61,3.61,52900,1.59
12-Jun-1978,0,3.7,3.61,3.61,28000,1.59
13-Jun-1978,0,3.97,3.88,3.88,107200,1.7
14-Jun-1978,0,3.97,3.88,3.88,141700,1.7
15-Jun-1978,0,3.88,3.79,3.79,83200,1.66
16-Jun-1978,0,3.86,3.76,3.76,61600,1.65
19-Jun-1978,0,3.79,3.7,3.7,48100,1.63
20-Jun-1978,0,3.79,3.7,3.7,29800,1.63
21-Jun-1978,0,3.7,3.61,3.61,55200,1.59
22-Jun-1978,0,3.67,3.57,3.57,23400,1.57
23-Jun-1978,0,3.64,3.55,3.55,28000,1.56
26-Jun-1978,0,3.57,3.48,3.48,57600,1.53
27-Jun-1978,0,3.46,3.37,3.37,85800,1.48
28-Jun-1978,0,3.28,3.18,3.18,77500,1.4
29-Jun-1978,0,3.25,3.15,3.15,16800,1.38
30-Jun-1978,0,3.25,3.15,3.15,30400,1.38
03-Jul-1978,0,3.18,3.09,3.09,25600,1.36
05-Jul-1978,0,3.18,3.09,3.09,26400,1.36
06-Jul-1978,0,3.12,3.03,3.03,34600,1.33
07-Jul-1978,0,3.12,3.03,3.03,29800,1.33
10-Jul-1978,0,3.09,3,3,15400,1.32
11-Jul-1978,0,2.94,2.85,2.85,99400,1.25
12-Jul-1978,0,2.94,2.85,2.85,4800,1.25
13-Jul-1978,0,2.88,2.78,2.78,31200,1.22
14-Jul-1978,0,2.94,2.85,2.85,33600,1.25
17-Jul-1978,0,3.06,2.97,2.97,115900,1.3
18-Jul-1978,0,3.12,3.03,3.03,62500,1.33
19-Jul-1978,0,3.12,3.03,3.03,26400,1.33
20-Jul-1978,0,3.09,3,3,9700,1.32
21-Jul-1978,0,3.06,2.97,2.97,48000,1.3
24-Jul-1978,0,3.06,2.97,2.97,15400,1.3
25-Jul-1978,0,3.12,3.03,3.03,58300,1.33
26-Jul-1978,0,3.21,3.12,3.12,84000,1.37
27-Jul-1978,0,3.21,3.12,3.12,46600,1.37
28-Jul-1978,0,3.18,3.09,3.09,8200,1.36
31-Jul-1978,0,3.21,3.12,3.12,24700,1.37
01-Aug-1978,0,3.18,3.09,3.09,31200,1.36
02-Aug-1978,0,3.18,3.09,3.09,8800,1.36
03-Aug-1978,0,3.18,3.09,3.09,8200,1.36
04-Aug-1978,0,3.15,3.06,3.06,8200,1.34
07-Aug-1978,0,3.15,3.06,3.06,25600,1.34
08-Aug-1978,0,3.15,3.06,3.06,4000,1.34
09-Aug-1978,0,3.15,3.06,3.06,4800,1.34
10-Aug-1978,0,3.09,3,3,28000,1.32
11-Aug-1978,0,3.03,2.94,2.94,14500,1.29
14-Aug-1978,0,3.03,2.94,2.94,4000,1.29
15-Aug-1978,0,3.03,2.94,2.94,6600,1.29
16-Aug-1978,0,3.03,2.94,2.94,26400,1.29
17-Aug-1978,0,2.97,2.88,2.88,64200,1.27
18-Aug-1978,0,2.94,2.85,2.85,29800,1.25
21-Aug-1978,0,2.88,2.78,2.78,30400,1.22
22-Aug-1978,0,2.88,2.78,2.78,28000,1.22
23-Aug-1978,0,2.88,2.78,2.78,14500,1.22
24-Aug-1978,0,2.94,2.85,2.85,43200,1.25
25-Aug-1978,0,2.97,2.88,2.88,38500,1.27
28-Aug-1978,0,3.03,2.94,2.94,56200,1.29
29-Aug-1978,0,3.03,2.94,2.94,35200,1.29
30-Aug-1978,0,3.15,3.06,3.06,48100,1.34
31-Aug-1978,0,3.31,3.21,3.21,140800,1.41
01-Sep-1978,0,3.28,3.18,3.18,40000,1.4
05-Sep-1978,0,3.28,3.18,3.18,16900,1.4
06-Sep-1978,0,3.25,3.15,3.15,43300,1.38
07-Sep-1978,0,3.12,3.03,3.03,83200,1.33
08-Sep-1978,0,2.97,2.88,2.88,90600,1.27
11-Sep-1978,0,2.97,2.88,2.88,17800,1.27
12-Sep-1978,0,2.94,2.85,2.85,25600,1.25
13-Sep-1978,0,2.94,2.85,2.85,4800,1.25
14-Sep-1978,0,2.92,2.82,2.82,74500,1.24
15-Sep-1978,0,2.92,2.82,2.82,35200,1.24
18-Sep-1978,0,2.92,2.82,2.82,4000,1.24
19-Sep-1978,0,2.92,2.82,2.82,7200,1.24
20-Sep-1978,0,2.88,2.78,2.78,7200,1.22
21-Sep-1978,0,2.78,2.7,2.7,54400,1.19
22-Sep-1978,0,2.78,2.7,2.7,36100,1.19
25-Sep-1978,0,2.57,2.49,2.49,88000,1.09
26-Sep-1978,0,2.64,2.54,2.54,34600,1.12
27-Sep-1978,0,2.64,2.54,2.54,21700,1.12
28-Sep-1978,0,2.6,2.52,2.52,43200,1.11
29-Sep-1978,0,2.57,2.49,2.49,12100,1.09
02-Oct-1978,0,2.57,2.49,2.49,1600,1.09
03-Oct-1978,0,2.6,2.52,2.52,62500,1.11
04-Oct-1978,0,2.6,2.52,2.52,13000,1.11
05-Oct-1978,0,2.64,2.54,2.54,13600,1.12
06-Oct-1978,0,2.67,2.57,2.57,40000,1.13
09-Oct-1978,0,2.67,2.57,2.57,16900,1.13
10-Oct-1978,0,2.67,2.57,2.57,44200,1.13
11-Oct-1978,0,2.85,2.76,2.76,169700,1.21
12-Oct-1978,0,2.92,2.82,2.82,52000,1.24
13-Oct-1978,0,2.97,2.88,2.88,48100,1.27
16-Oct-1978,0,2.97,2.88,2.88,41800,1.27
17-Oct-1978,0,2.85,2.76,2.76,60000,1.21
18-Oct-1978,0,2.82,2.73,2.73,43200,1.2
19-Oct-1978,0,2.78,2.7,2.7,34600,1.19
20-Oct-1978,0,2.49,2.39,2.39,91300,1.05
23-Oct-1978,0,2.42,2.33,2.33,38500,1.02
24-Oct-1978,0,2.42,2.33,2.33,7200,1.02
25-Oct-1978,0,2.42,2.33,2.33,17800,1.02
26-Oct-1978,0,2.33,2.24,2.24,31900,0.98
27-Oct-1978,0,2.33,2.24,2.24,107200,0.98
30-Oct-1978,0,2.33,2.24,2.24,189500,0.98
31-Oct-1978,0,2.33,2.24,2.24,15400,0.98
01-Nov-1978,0,2.37,2.28,2.28,28000,1
02-Nov-1978,0,2.39,2.31,2.31,17800,1.01
03-Nov-1978,0,2.39,2.31,2.31,6600,1.01
06-Nov-1978,0,2.39,2.31,2.31,28800,1.01
07-Nov-1978,0,2.39,2.31,2.31,16800,1.01
08-Nov-1978,0,2.39,2.31,2.31,97800,1.01
09-Nov-1978,0,2.42,2.33,2.33,26500,1.02
10-Nov-1978,0,2.42,2.33,2.33,18600,1.02
13-Nov-1978,0,2.39,2.31,2.31,24700,1.01
14-Nov-1978,0,2.37,2.28,2.28,29800,1
15-Nov-1978,0,2.37,2.28,2.28,179900,1
16-Nov-1978,0,2.37,2.28,2.28,4800,1
17-Nov-1978,0,2.37,2.28,2.28,4000,1
20-Nov-1978,0,2.37,2.28,2.28,28800,1
21-Nov-1978,0,2.39,2.31,2.31,10300,1.01
22-Nov-1978,0,2.39,2.31,2.31,26400,1.01
24-Nov-1978,0,2.39,2.31,2.31,20200,1.01
27-Nov-1978,0,2.39,2.31,2.31,8800,1.01
28-Nov-1978,0,2.39,2.31,2.31,4800,1.01
29-Nov-1978,0,2.39,2.31,2.31,12100,1.01
30-Nov-1978,0,2.39,2.31,2.31,10300,1.01
01-Dec-1978,0,2.39,2.31,2.31,52000,1.01
04-Dec-1978,0,2.39,2.31,2.31,4000,1.01
05-Dec-1978,0,2.39,2.31,2.31,9700,1.01
06-Dec-1978,0,2.39,2.31,2.31,25600,1.01
07-Dec-1978,0,2.39,2.31,2.31,21700,1.01
08-Dec-1978,0,2.39,2.31,2.31,73000,1.01
11-Dec-1978,0,2.39,2.31,2.31,13000,1.01
12-Dec-1978,0,2.39,2.31,2.31,17800,1.01
13-Dec-1978,0,2.39,2.31,2.31,69700,1.01
14-Dec-1978,0,2.39,2.31,2.31,68200,1.01
15-Dec-1978,0,2.39,2.31,2.31,84700,1.01
18-Dec-1978,0,2.39,2.31,2.31,138500,1.01
19-Dec-1978,0,2.39,2.31,2.31,52800,1.01
