Date,Open,High,Low,Close,Volume,AdjClose
16-Sep-2013,42.5,44.48,42.5,44.48,27445,39.2
17-Sep-2013,44.47,44.51,44.47,44.51,1490,39.23
18-Sep-2013,44.11,44.46,44,44.46,4000,39.19
19-Sep-2013,44.2,44.25,43.95,43.95,23825,38.74
20-Sep-2013,43.76,43.78,43.4,43.4,8363,38.25
23-Sep-2013,43.2,43.29,43.1,43.22,3200,38.09
24-Sep-2013,43.65,44.58,43.65,44.03,36349,38.81
25-Sep-2013,44,45.81,44,45.81,3125,40.38
26-Sep-2013,46.2,46.38,44.13,44.47,8775,39.19
27-Sep-2013,44.23,44.49,44.05,44.15,9821,38.91
30-Sep-2013,43.85,45.97,43.75,45.52,1687953,40.12
01-Oct-2013,45.05,47.67,45,47.28,2222843,41.67
02-Oct-2013,47.02,47.19,45.56,46.93,1597732,41.36
03-Oct-2013,45.75,46.64,45.75,45.97,1056790,40.52
04-Oct-2013,45.98,46.36,45.58,46.09,984288,40.62
07-Oct-2013,45.52,46.04,45.3,45.3,1015806,39.93
08-Oct-2013,45.24,45.83,45.06,45.45,1008447,40.06
09-Oct-2013,45.44,45.83,45.01,45.31,915593,39.94
10-Oct-2013,45.48,46,45.36,45.99,812154,40.82
11-Oct-2013,46.12,46.42,45.9,46.31,385574,41.11
14-Oct-2013,45.89,46.37,45.71,46.27,559448,41.07
15-Oct-2013,46.25,46.52,45.66,45.67,825492,40.54
16-Oct-2013,46.15,46.36,45.73,46.35,587858,41.14
17-Oct-2013,45.9,46.26,45.38,45.82,693125,40.67
18-Oct-2013,45.91,46.82,45.82,46.78,591085,41.52
21-Oct-2013,46.57,47.32,46.18,47.24,686051,41.93
22-Oct-2013,47.18,47.42,46.87,47.03,425823,41.75
23-Oct-2013,47.01,47.25,46.83,47.04,294449,41.75
24-Oct-2013,47.06,47.62,47,47.51,407371,42.17
25-Oct-2013,47.76,47.76,47.11,47.33,241696,42.01
28-Oct-2013,47.46,47.46,47.12,47.25,308668,41.94
29-Oct-2013,47.24,47.76,47.21,47.37,410408,42.05
30-Oct-2013,47.63,47.63,46.95,47.25,630324,41.94
31-Oct-2013,47.4,47.52,46.92,47.09,631419,41.8
01-Nov-2013,47.4,47.49,46.75,47.41,391926,42.08
04-Nov-2013,47.73,47.73,47.04,47.12,499634,41.83
05-Nov-2013,47.12,47.29,46.74,46.93,390164,41.66
06-Nov-2013,47.4,47.63,46.83,46.96,305076,41.68
07-Nov-2013,47.05,47.29,46.77,46.78,369186,41.52
08-Nov-2013,46.72,47.53,46.5,47.42,283312,42.09
11-Nov-2013,47.23,47.73,47.11,47.67,470293,42.31
12-Nov-2013,47.5,47.98,47.43,47.68,402877,42.32
13-Nov-2013,47.59,48.69,47.2,48.69,348250,43.22
14-Nov-2013,48.49,48.94,48.4,48.51,272964,43.06
15-Nov-2013,48.29,49.1,48.24,48.9,524379,43.41
18-Nov-2013,48.75,49.02,48.34,48.42,377097,42.98
19-Nov-2013,48.43,48.83,48.28,48.72,448594,43.25
20-Nov-2013,48.67,49.06,48.27,48.35,254311,42.92
21-Nov-2013,47.55,49.05,47.55,49.02,179018,43.51
22-Nov-2013,48.9,49.18,48.71,48.77,173839,43.29
25-Nov-2013,48.67,48.69,48.33,48.38,203782,42.94
26-Nov-2013,48.33,49,48.19,48.8,531292,43.32
27-Nov-2013,48.67,48.74,48.12,48.43,449038,42.99
29-Nov-2013,48.39,48.77,48.39,48.63,176360,43.17
02-Dec-2013,48.22,49.09,48,48.88,350274,43.39
03-Dec-2013,46.34,47.34,40.21,41.71,3762528,37.02
04-Dec-2013,41.28,41.63,40.39,41.43,1511085,36.78
05-Dec-2013,40.44,41.45,40.44,41.39,945649,36.74
06-Dec-2013,41.57,41.87,41.33,41.57,733298,36.9
09-Dec-2013,41.57,41.75,41.34,41.57,800764,36.9
10-Dec-2013,41.5,43.8,41.45,42.42,1446831,37.65
11-Dec-2013,42.04,42.22,40.99,41.42,1078975,36.77
12-Dec-2013,40.18,41.24,40.18,40.6,892347,36.04
13-Dec-2013,41.49,43.78,41.49,43.14,1996148,38.29
16-Dec-2013,43.13,43.7,42.47,42.85,974240,38.04
17-Dec-2013,42.8,43.66,42.77,43.65,839779,38.75
18-Dec-2013,43.94,44.52,43.69,44.44,948968,39.45
19-Dec-2013,44.48,44.52,44.09,44.28,596795,39.3
20-Dec-2013,44.72,46.44,44.42,45.13,2321872,40.06
23-Dec-2013,45.11,45.81,45.11,45.31,617273,40.22
24-Dec-2013,44.93,46.18,44.9,45.94,384417,40.78
26-Dec-2013,45.65,46.62,45.51,46.24,482024,41.04
27-Dec-2013,46.16,46.66,45.56,46.51,480734,41.28
30-Dec-2013,46.26,46.72,46.15,46.42,495689,41.2
31-Dec-2013,46.42,46.83,46.37,46.49,483374,41.27
02-Jan-2014,46.08,46.62,45.98,46.25,819928,41.05
03-Jan-2014,46.6,47.12,46.33,46.94,895876,41.67
06-Jan-2014,46.9,46.97,46.24,46.4,853143,41.19
07-Jan-2014,46.24,47.8,46.11,47.51,1359930,42.17
08-Jan-2014,47.35,47.91,46.97,47.59,1635156,42.24
09-Jan-2014,47.88,48.27,47.58,47.8,870268,42.43
10-Jan-2014,47.38,48.19,47.29,47.77,650670,42.4
13-Jan-2014,47.03,47.58,46.4,46.51,577365,41.56
14-Jan-2014,46.57,47.06,46.56,46.82,662090,41.84
15-Jan-2014,47.18,47.59,46.78,47.44,672321,42.39
16-Jan-2014,47.25,47.35,46.45,46.74,722700,41.77
17-Jan-2014,46.46,46.79,45.74,46.49,868931,41.54
21-Jan-2014,46.5,46.99,45.97,46.38,630700,41.45
22-Jan-2014,46.27,46.31,45.85,46,802570,41.11
23-Jan-2014,45.61,46.15,45.41,45.93,880160,41.04
24-Jan-2014,45.83,45.9,44.78,45.48,1030339,40.64
27-Jan-2014,45.38,45.71,44.72,45.18,842706,40.37
28-Jan-2014,45.26,45.87,45.14,45.64,432821,40.79
29-Jan-2014,45.44,45.71,44.63,44.99,1015372,40.2
30-Jan-2014,45.75,45.75,44.97,45.27,544690,40.45
31-Jan-2014,44.82,45.74,44.8,45.34,566858,40.52
03-Feb-2014,45.11,45.68,43.83,44,923040,39.32
04-Feb-2014,44.1,44.46,43.83,44.37,1208224,39.65
05-Feb-2014,44.35,44.82,43.92,44.44,533871,39.71
06-Feb-2014,44.33,44.86,44.3,44.75,585899,39.99
07-Feb-2014,44.8,45,44.48,44.76,1386873,40
10-Feb-2014,44.55,44.9,44.51,44.89,381832,40.12
11-Feb-2014,44.78,45.25,44.59,45.03,288268,40.24
12-Feb-2014,45.03,45.25,44.53,44.69,399903,39.94
13-Feb-2014,44.31,45.32,44.31,45.3,421511,40.48
14-Feb-2014,45.36,45.46,44.92,45.36,215528,40.54
18-Feb-2014,45.14,46.13,45.14,46.07,368907,41.17
19-Feb-2014,45.73,46.11,45.38,45.53,769217,40.69
20-Feb-2014,45.46,45.94,45.26,45.73,291978,40.87
21-Feb-2014,45.99,45.99,45.46,45.51,572447,40.67
24-Feb-2014,45.41,45.64,44.98,45.05,601465,40.26
25-Feb-2014,45,45.26,44.76,44.94,906877,40.16
26-Feb-2014,44.94,45.32,44.76,45.04,633478,40.25
27-Feb-2014,45.02,45.34,44.62,44.65,553887,39.9
28-Feb-2014,44.66,45.07,44.36,44.66,556451,39.91
03-Mar-2014,44.2,44.79,43.78,44.67,481653,39.92
04-Mar-2014,44.79,45.34,44.36,45.27,370938,40.45
05-Mar-2014,45.23,45.23,44.5,44.8,465365,40.03
06-Mar-2014,44.92,44.97,44.36,44.43,403459,39.7
07-Mar-2014,44.46,44.62,43.91,44.39,689571,39.67
10-Mar-2014,44.13,44.66,43.93,44.12,475562,39.43
11-Mar-2014,44.31,44.41,43.06,43.2,916248,38.6
12-Mar-2014,42.88,43.3,42.61,42.8,771171,38.25
13-Mar-2014,42.78,43.16,42.34,42.4,863638,37.89
14-Mar-2014,42.21,42.79,42.17,42.23,833990,37.74
17-Mar-2014,42.37,42.8,42.36,42.49,594518,37.97
18-Mar-2014,42.48,42.98,42.38,42.89,828957,38.33
19-Mar-2014,43.01,43.19,42.48,42.63,534126,38.1
