Date,Open,High,Low,Close,Volume,AdjClose
21-Jun-1995,0,5.81,5.75,5.78,2113600,5.77
22-Jun-1995,0,11.56,11.5,11.56,237000,11.55
23-Jun-1995,0,11.56,11.5,11.5,148600,11.49
26-Jun-1995,0,11.56,11.5,11.5,161200,11.49
27-Jun-1995,0,11.56,11.5,11.5,91000,11.49
28-Jun-1995,0,11.56,11.5,11.5,94600,11.49
29-Jun-1995,0,11.56,11.5,11.5,47000,11.49
30-Jun-1995,0,11.56,11.5,11.5,118800,11.49
03-Jul-1995,0,11.56,11.5,11.5,53400,11.49
05-Jul-1995,0,11.62,11.5,11.5,86600,11.49
06-Jul-1995,0,11.56,11.44,11.5,136800,11.49
07-Jul-1995,0,11.5,11.44,11.44,64400,11.43
10-Jul-1995,0,11.62,11.5,11.56,624200,11.55
11-Jul-1995,0,11.62,11.56,11.62,857800,11.61
12-Jul-1995,0,11.62,11.38,11.56,173600,11.55
13-Jul-1995,0,11.5,11.19,11.31,237000,11.3
14-Jul-1995,0,11.31,11.19,11.31,29200,11.3
17-Jul-1995,0,11.44,11.19,11.31,50200,11.3
18-Jul-1995,0,11.56,11.38,11.5,146400,11.49
19-Jul-1995,0,11.5,11.25,11.31,95600,11.3
20-Jul-1995,0,11.69,11.38,11.69,291600,11.68
21-Jul-1995,0,11.62,11.5,11.56,29400,11.55
24-Jul-1995,0,11.56,11.5,11.5,29600,11.49
25-Jul-1995,0,11.56,11.44,11.44,46600,11.43
26-Jul-1995,0,11.5,11.44,11.5,49000,11.49
27-Jul-1995,0,11.56,11.44,11.5,40000,11.49
28-Jul-1995,0,11.56,11.5,11.5,29600,11.49
31-Jul-1995,0,11.5,11.44,11.5,14200,11.49
01-Aug-1995,0,11.56,11.5,11.56,40600,11.55
02-Aug-1995,0,11.56,11.5,11.56,42200,11.55
03-Aug-1995,0,11.62,11.56,11.62,51000,11.61
04-Aug-1995,0,11.75,11.56,11.69,89400,11.68
07-Aug-1995,0,11.81,11.69,11.69,68400,11.68
08-Aug-1995,0,11.81,11.69,11.69,44400,11.68
09-Aug-1995,0,11.75,11.62,11.62,63600,11.61
10-Aug-1995,0,11.69,11.56,11.62,12400,11.61
11-Aug-1995,0,11.69,11.56,11.62,13400,11.61
14-Aug-1995,0,11.69,11.62,11.62,100000,11.61
15-Aug-1995,0,11.75,11.62,11.75,78600,11.74
16-Aug-1995,0,11.81,11.69,11.81,31600,11.8
17-Aug-1995,0,11.75,11.62,11.62,47600,11.61
18-Aug-1995,0,11.75,11.62,11.62,20800,11.61
21-Aug-1995,0,11.75,11.69,11.75,148200,11.74
22-Aug-1995,0,11.75,11.62,11.75,32800,11.74
23-Aug-1995,0,11.75,11.62,11.62,23800,11.61
24-Aug-1995,0,11.75,11.56,11.56,353400,11.55
25-Aug-1995,0,11.69,11.62,11.69,161800,11.68
28-Aug-1995,0,11.69,11.56,11.69,56200,11.68
29-Aug-1995,0,11.69,11.62,11.69,26800,11.68
30-Aug-1995,0,11.75,11.62,11.75,38800,11.74
31-Aug-1995,0,11.75,11.62,11.69,41200,11.68
01-Sep-1995,0,11.81,11.69,11.81,43000,11.8
05-Sep-1995,0,12,11.75,11.94,80600,11.93
06-Sep-1995,0,12,11.88,11.94,87200,11.93
07-Sep-1995,0,12,11.88,11.88,91000,11.87
08-Sep-1995,0,12,11.88,11.88,43400,11.87
11-Sep-1995,0,12.06,11.88,11.94,44000,11.93
12-Sep-1995,0,12.38,11.94,12.31,286800,12.3
13-Sep-1995,0,12.56,11.88,12.5,240200,12.49
14-Sep-1995,0,12.88,12.38,12.81,200400,12.8
15-Sep-1995,0,12.88,12.44,12.56,148600,12.55
18-Sep-1995,0,12.62,12.38,12.5,88600,12.49
19-Sep-1995,0,12.56,11.88,12.5,52000,12.49
20-Sep-1995,0,12.44,12.31,12.38,87000,12.37
21-Sep-1995,0,12.44,12.12,12.19,100400,12.18
22-Sep-1995,0,12.25,12.06,12.19,97400,12.18
25-Sep-1995,0,12.44,12.12,12.38,68400,12.37
26-Sep-1995,0,12.38,12.25,12.38,68400,12.37
27-Sep-1995,0,12.44,12.19,12.44,62200,12.43
28-Sep-1995,0,12.44,12.38,12.44,38400,12.43
29-Sep-1995,0,12.5,12.38,12.44,51800,12.43
02-Oct-1995,0,12.44,12.31,12.44,48600,12.43
03-Oct-1995,0,12.31,12.25,12.25,50200,12.24
04-Oct-1995,0,12.44,12.31,12.44,36600,12.43
05-Oct-1995,0,12.44,12.38,12.44,29200,12.43
06-Oct-1995,0,12.44,12.31,12.38,20800,12.37
09-Oct-1995,0,12.44,12.25,12.31,32800,12.3
10-Oct-1995,0,12.38,12.25,12.38,35400,12.37
11-Oct-1995,0,12.44,12.31,12.44,36800,12.43
12-Oct-1995,0,12.44,12.38,12.44,29200,12.43
13-Oct-1995,0,12.44,12.25,12.44,49800,12.43
16-Oct-1995,0,12.44,12.38,12.44,26400,12.43
17-Oct-1995,0,12.44,12.38,12.38,34400,12.37
18-Oct-1995,0,12.44,12.38,12.44,47000,12.43
19-Oct-1995,0,12.44,12.38,12.44,21000,12.43
20-Oct-1995,0,12.44,12.31,12.38,21600,12.37
23-Oct-1995,0,12.44,12.38,12.44,22000,12.43
24-Oct-1995,0,12.5,12.38,12.5,38200,12.49
25-Oct-1995,0,12.44,12.31,12.44,24800,12.43
26-Oct-1995,0,12.84,12.31,12.84,46400,12.83
27-Oct-1995,0,12.5,12.38,12.5,20200,12.49
30-Oct-1995,0,12.5,12.44,12.5,19800,12.49
31-Oct-1995,0,12.5,12.31,12.38,32600,12.37
01-Nov-1995,0,12.44,12.38,12.38,26200,12.37
02-Nov-1995,0,12.44,12.31,12.31,35200,12.3
03-Nov-1995,0,12.38,12.31,12.38,25800,12.37
06-Nov-1995,0,12.38,12.25,12.25,37400,12.24
07-Nov-1995,0,12.31,12.25,12.31,18400,12.3
08-Nov-1995,0,12.31,12.12,12.19,27800,12.18
09-Nov-1995,0,12.12,12,12.06,27600,12.05
10-Nov-1995,0,12.06,11.94,12,48800,11.99
13-Nov-1995,0,12,11.88,11.94,67600,11.93
14-Nov-1995,0,11.94,11.75,11.81,126800,11.8
15-Nov-1995,0,11.88,11.75,11.81,30800,11.8
16-Nov-1995,0,11.88,11.81,11.88,29400,11.87
17-Nov-1995,0,11.88,11.56,11.81,67800,11.8
20-Nov-1995,0,11.88,11.81,11.88,22000,11.87
21-Nov-1995,0,11.88,11.75,11.88,37800,11.87
22-Nov-1995,0,11.88,11.75,11.75,45800,11.74
24-Nov-1995,0,11.88,11.75,11.81,7600,11.8
27-Nov-1995,0,11.88,11.69,11.88,45000,11.87
28-Nov-1995,0,12.19,11.81,12.12,45600,12.11
29-Nov-1995,0,12.56,12.19,12.5,58000,12.49
30-Nov-1995,0,12.5,12.31,12.44,52200,12.43
01-Dec-1995,0,12.5,12.44,12.5,63400,12.49
04-Dec-1995,0,12.5,12.38,12.5,41800,12.49
05-Dec-1995,0,12.5,12.38,12.5,54200,12.49
06-Dec-1995,0,12.75,12.5,12.62,132000,12.61
07-Dec-1995,0,12.75,12.56,12.75,29200,12.74
08-Dec-1995,0,12.81,12.62,12.75,30400,12.74
11-Dec-1995,0,12.94,12.81,12.94,35000,12.93
12-Dec-1995,0,12.94,12.81,12.94,34000,12.93
13-Dec-1995,0,13,12.88,13,35400,12.99
14-Dec-1995,0,13,12.81,12.81,31000,12.8
15-Dec-1995,0,13,12.75,13,32600,12.99
18-Dec-1995,0,13.19,12.88,12.94,57800,12.93
19-Dec-1995,0,13,12.81,12.94,18800,12.93
20-Dec-1995,0,12.94,12.62,12.94,47200,12.93
21-Dec-1995,0,12.94,12.69,12.94,20600,12.93
22-Dec-1995,0,13.12,13,13.06,14600,13.05
26-Dec-1995,0,13.12,13,13.12,15800,13.11
27-Dec-1995,0,13.31,13.12,13.19,24800,13.18
28-Dec-1995,0,13.25,13.12,13.25,12000,13.24
29-Dec-1995,0,13.38,13.19,13.25,46600,13.24
02-Jan-1996,0,13.31,13,13.19,34200,13.18
03-Jan-1996,0,13,12.69,13,28800,12.99
04-Jan-1996,0,13.12,13,13,19000,12.99
05-Jan-1996,0,13.06,12.81,13,23800,12.99
08-Jan-1996,0,13.19,13,13.19,16200,13.18
09-Jan-1996,0,13.25,12.75,12.75,128600,12.74
10-Jan-1996,0,12.88,12.69,12.69,30600,12.68
11-Jan-1996,0,12.75,12.62,12.62,68200,12.61
12-Jan-1996,0,12.75,12.5,12.69,70800,12.68
15-Jan-1996,0,13,12.75,12.94,24400,12.93
16-Jan-1996,0,13,12.94,13,39200,12.99
17-Jan-1996,0,13,12.81,12.81,30000,12.8
18-Jan-1996,0,12.69,12.56,12.69,49200,12.68
19-Jan-1996,0,12.75,12.62,12.75,90600,12.74
22-Jan-1996,0,13.06,12.69,12.88,120600,12.87
23-Jan-1996,0,12.94,12.75,12.88,302200,12.87
24-Jan-1996,0,12.88,12.81,12.88,51800,12.87
25-Jan-1996,0,12.88,12.81,12.88,60600,12.87
26-Jan-1996,0,13,12.88,12.94,42600,12.93
29-Jan-1996,0,13,12.81,12.94,32800,12.93
30-Jan-1996,0,13,12.94,13,52000,12.99
