Date,Open,High,Low,Close,Volume,AdjClose
05-Mar-1993,0,1.66,1.62,1.62,18987200,1.5
08-Mar-1993,0,1.72,1.62,1.64,6596000,1.52
09-Mar-1993,0,1.69,1.62,1.62,2745600,1.5
10-Mar-1993,0,1.69,1.62,1.62,1516800,1.5
11-Mar-1993,0,1.66,1.62,1.64,5412000,1.52
12-Mar-1993,0,1.66,1.62,1.62,2330400,1.5
15-Mar-1993,0,1.66,1.62,1.62,252800,1.5
16-Mar-1993,0,1.66,1.62,1.64,1011200,1.52
17-Mar-1993,0,1.66,1.62,1.62,643200,1.5
18-Mar-1993,0,1.66,1.62,1.62,800000,1.5
19-Mar-1993,0,1.66,1.62,1.62,3207200,1.5
22-Mar-1993,0,1.66,1.62,1.62,238400,1.5
23-Mar-1993,0,1.66,1.62,1.66,4865600,1.54
24-Mar-1993,0,1.75,1.62,1.66,1416000,1.54
25-Mar-1993,0,1.72,1.62,1.66,1510400,1.54
26-Mar-1993,0,1.69,1.62,1.62,633600,1.5
29-Mar-1993,0,1.66,1.62,1.62,162400,1.5
30-Mar-1993,0,1.66,1.62,1.62,204800,1.5
31-Mar-1993,0,1.72,1.62,1.69,2607200,1.56
01-Apr-1993,0,1.72,1.62,1.66,389600,1.54
02-Apr-1993,0,1.69,1.62,1.62,704800,1.5
05-Apr-1993,0,1.64,1.62,1.62,734400,1.5
06-Apr-1993,0,1.69,1.59,1.62,608000,1.5
07-Apr-1993,0,1.66,1.59,1.59,331200,1.47
08-Apr-1993,0,1.66,1.59,1.59,324800,1.47
12-Apr-1993,0,1.66,1.59,1.59,10400,1.47
13-Apr-1993,0,1.66,1.56,1.62,272800,1.5
14-Apr-1993,0,1.62,1.53,1.53,777600,1.42
15-Apr-1993,0,1.56,1.53,1.56,993600,1.44
16-Apr-1993,0,1.56,1.53,1.56,333600,1.44
19-Apr-1993,0,1.59,1.53,1.58,1332000,1.46
20-Apr-1993,0,1.59,1.53,1.59,336800,1.47
21-Apr-1993,0,1.59,1.53,1.59,52000,1.47
22-Apr-1993,0,1.59,1.53,1.53,58400,1.42
23-Apr-1993,0,1.59,1.53,1.58,326400,1.46
26-Apr-1993,0,1.59,1.53,1.53,255200,1.42
27-Apr-1993,0,1.59,1.53,1.56,549600,1.44
28-Apr-1993,0,1.59,1.53,1.53,39200,1.42
29-Apr-1993,0,1.59,1.53,1.53,67200,1.42
30-Apr-1993,0,1.59,1.53,1.55,188800,1.43
03-May-1993,0,1.59,1.53,1.53,64800,1.42
04-May-1993,0,1.66,1.56,1.59,154400,1.47
