Date,Open,High,Low,Close,Volume,AdjClose
20-Nov-1985,0,4.88,4.81,4.81,9597600,1.77
21-Nov-1985,0,4.94,4.91,4.91,3405600,1.81
22-Nov-1985,0,5.03,5,5,1866800,1.84
25-Nov-1985,0,4.97,4.94,4.94,1070800,1.82
26-Nov-1985,0,4.97,4.94,4.94,586000,1.82
27-Nov-1985,0,4.94,4.88,4.88,666800,1.8
29-Nov-1985,0,4.94,4.88,4.88,499200,1.8
02-Dec-1985,0,4.75,4.69,4.69,870400,1.73
03-Dec-1985,0,4.78,4.72,4.72,318800,1.74
04-Dec-1985,0,4.72,4.66,4.66,864400,1.72
05-Dec-1985,0,4.75,4.72,4.72,706000,1.74
06-Dec-1985,0,4.62,4.59,4.59,297600,1.69
09-Dec-1985,0,4.62,4.53,4.53,208000,1.67
10-Dec-1985,0,4.5,4.47,4.47,402000,1.65
11-Dec-1985,0,4.56,4.53,4.53,528400,1.67
12-Dec-1985,0,4.69,4.66,4.66,1074000,1.72
13-Dec-1985,0,4.75,4.72,4.72,270800,1.74
16-Dec-1985,0,4.84,4.81,4.81,615200,1.77
17-Dec-1985,0,4.81,4.78,4.78,1230000,1.76
18-Dec-1985,0,4.84,4.81,4.81,374800,1.77
19-Dec-1985,0,4.88,4.81,4.81,214000,1.77
20-Dec-1985,0,4.88,4.84,4.84,149600,1.78
23-Dec-1985,0,4.91,4.88,4.88,173600,1.8
24-Dec-1985,0,4.91,4.88,4.88,54000,1.8
26-Dec-1985,0,4.91,4.88,4.88,63200,1.8
27-Dec-1985,0,4.91,4.88,4.88,176000,1.8
30-Dec-1985,0,5,4.97,4.97,509600,1.83
31-Dec-1985,0,5,4.94,4.94,111600,1.82
02-Jan-1986,0,5,4.94,4.94,60400,1.82
03-Jan-1986,0,5,4.94,4.94,59600,1.82
06-Jan-1986,0,5.16,5.09,5.09,506800,1.87
07-Jan-1986,0,5.31,5.12,5.25,485600,1.93
08-Jan-1986,0,5.41,5.19,5.19,624400,1.91
09-Jan-1986,0,5.25,5.06,5.06,287600,1.86
10-Jan-1986,0,5.19,5.06,5.12,178000,1.89
13-Jan-1986,0,5.19,5.12,5.12,166800,1.89
14-Jan-1986,0,5.19,5.12,5.12,123600,1.89
15-Jan-1986,0,5.25,5.12,5.22,130800,1.92
16-Jan-1986,0,5.28,5.19,5.28,266400,1.94
17-Jan-1986,0,5.28,5.22,5.22,30400,1.92
20-Jan-1986,0,5.22,5.12,5.12,61600,1.89
21-Jan-1986,0,5.19,5.06,5.12,148000,1.89
22-Jan-1986,0,5.12,5.03,5.06,168000,1.86
23-Jan-1986,0,5.06,4.94,5.06,133200,1.86
24-Jan-1986,0,5.06,5,5,126400,1.84
27-Jan-1986,0,5.09,5,5.09,264400,1.87
28-Jan-1986,0,5.53,5.03,5.5,428000,2.03
29-Jan-1986,0,5.78,5.5,5.75,336000,2.12
30-Jan-1986,0,5.81,5.66,5.75,357600,2.12
31-Jan-1986,0,6.22,5.75,6.12,384400,2.25
03-Feb-1986,0,6.25,6.09,6.22,100000,2.29
04-Feb-1986,0,6.38,6.03,6.19,346400,2.28
05-Feb-1986,0,6.16,6.06,6.16,108400,2.27
06-Feb-1986,0,6.25,6.12,6.12,56800,2.25
07-Feb-1986,0,6.12,5.97,6.09,134000,2.24
10-Feb-1986,0,6.12,6.03,6.06,80800,2.23
11-Feb-1986,0,6.09,6.03,6.03,34800,2.22
12-Feb-1986,0,6.12,6.03,6.12,37200,2.25
13-Feb-1986,0,6.31,6.09,6.25,132000,2.3
14-Feb-1986,0,6.22,5.88,6.06,609600,2.23
18-Feb-1986,0,6.06,6,6,92800,2.21
19-Feb-1986,0,6.03,5.69,5.84,682000,2.15
20-Feb-1986,0,5.88,5.81,5.88,525600,2.17
21-Feb-1986,0,6.03,5.94,6,203200,2.21
24-Feb-1986,0,6.22,5.94,6.16,172800,2.27
25-Feb-1986,0,6.19,5.94,6,156000,2.21
26-Feb-1986,0,5.97,5.88,5.91,68800,2.18
27-Feb-1986,0,5.97,5.88,5.91,311600,2.18
28-Feb-1986,0,6,5.94,5.97,243600,2.2
03-Mar-1986,0,6,5.94,5.94,44000,2.19
04-Mar-1986,0,6,5.81,5.81,111200,2.14
05-Mar-1986,0,5.75,5.66,5.66,56000,2.08
06-Mar-1986,0,5.81,5.69,5.75,300000,2.12
07-Mar-1986,0,5.81,5.72,5.78,167200,2.13
10-Mar-1986,0,5.81,5.72,5.81,86800,2.14
