Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.2,1.15,1.15,76800,0.59
04-Jan-1978,0,1.15,1.14,1.15,72000,0.59
05-Jan-1978,0,1.14,1.12,1.12,48000,0.58
06-Jan-1978,0,1.14,1.12,1.13,268800,0.58
09-Jan-1978,0,1.12,1.12,1.12,139200,0.58
10-Jan-1978,0,1.1,1.06,1.06,96000,0.55
11-Jan-1978,0,1.07,1.05,1.07,16800,0.55
12-Jan-1978,0,1.06,1.06,1.06,7200,0.55
13-Jan-1978,NaN,NaN,NaN,1.06,0,0.55
16-Jan-1978,0,1.05,1.02,1.02,91200,0.53
17-Jan-1978,0,1.02,1.01,1.02,31200,0.53
18-Jan-1978,0,1.06,1.04,1.06,74400,0.55
19-Jan-1978,0,1.07,1.07,1.07,57600,0.55
20-Jan-1978,0,1.07,1.07,1.07,12000,0.55
23-Jan-1978,0,1.07,1.05,1.05,28800,0.54
24-Jan-1978,0,1.08,1.05,1.08,40800,0.56
25-Jan-1978,0,1.1,1.09,1.09,127200,0.56
26-Jan-1978,0,1.1,1.09,1.09,45600,0.56
27-Jan-1978,0,1.1,1.09,1.1,48000,0.57
30-Jan-1978,0,1.1,1.09,1.1,55200,0.57
31-Jan-1978,NaN,NaN,NaN,1.1,0,0.57
01-Feb-1978,0,1.12,1.1,1.12,50400,0.58
02-Feb-1978,0,1.14,1.12,1.14,19200,0.59
03-Feb-1978,0,1.16,1.15,1.16,100800,0.6
06-Feb-1978,0,1.16,1.16,1.16,2400,0.6
07-Feb-1978,0,1.16,1.16,1.16,81600,0.6
08-Feb-1978,0,1.16,1.16,1.16,4800,0.6
09-Feb-1978,0,1.15,1.14,1.14,12000,0.59
10-Feb-1978,0,1.13,1.12,1.13,16800,0.58
13-Feb-1978,0,1.16,1.13,1.16,7200,0.6
14-Feb-1978,NaN,NaN,NaN,1.16,0,0.6
15-Feb-1978,0,1.16,1.16,1.16,36000,0.6
16-Feb-1978,0,1.16,1.14,1.14,96000,0.59
17-Feb-1978,0,1.12,1.11,1.11,19200,0.57
21-Feb-1978,0,1.12,1.12,1.12,122400,0.58
22-Feb-1978,0,1.12,1.12,1.12,12000,0.58
23-Feb-1978,0,1.1,1.09,1.09,57600,0.56
24-Feb-1978,0,1.1,1.09,1.1,28800,0.57
27-Feb-1978,0,1.11,1.1,1.11,60000,0.57
28-Feb-1978,0,1.1,1.09,1.09,55200,0.56
01-Mar-1978,0,1.09,1.09,1.09,45600,0.56
02-Mar-1978,0,1.09,1.08,1.09,9600,0.56
03-Mar-1978,0,1.09,1.09,1.09,7200,0.56
06-Mar-1978,0,1.09,1.08,1.08,50400,0.56
07-Mar-1978,0,1.07,1.07,1.07,4800,0.55
08-Mar-1978,0,1.09,1.08,1.09,43200,0.56
09-Mar-1978,0,1.12,1.1,1.12,74400,0.58
10-Mar-1978,0,1.13,1.12,1.13,31200,0.58
