Date,Open,High,Low,Close,Volume,AdjClose
23-Jul-1999,0,21.5,18,19.75,9011000,19.75
26-Jul-1999,0,18.56,16.25,16.88,1603900,16.88
27-Jul-1999,0,17.31,16.38,16.38,757100,16.38
28-Jul-1999,0,16.5,16.25,16.38,445300,16.38
29-Jul-1999,0,16.44,16,16,402900,16
30-Jul-1999,0,16.25,15.94,16,373300,16
02-Aug-1999,0,17.25,16,16,278700,16
03-Aug-1999,0,16.75,15.94,16,326300,16
04-Aug-1999,0,16.12,14.75,15.25,700600,15.25
05-Aug-1999,0,15.06,11.75,13.25,978200,13.25
06-Aug-1999,0,14.31,13.38,13.56,252500,13.56
09-Aug-1999,0,13.75,12.94,13,224500,13
10-Aug-1999,0,13.12,12.5,12.69,304000,12.69
11-Aug-1999,0,12.94,12,12.38,123600,12.38
12-Aug-1999,0,13.12,12,12.75,517000,12.75
13-Aug-1999,0,14.62,12.62,14.5,487300,14.5
16-Aug-1999,0,15.31,13.38,15.12,356700,15.12
17-Aug-1999,0,15.81,14.25,15.62,721700,15.62
18-Aug-1999,0,16.62,14.62,14.69,800400,14.69
19-Aug-1999,0,16,14,15.88,470300,15.88
20-Aug-1999,0,16,15.06,15.5,418000,15.5
23-Aug-1999,0,15.25,14.25,14.56,293400,14.56
24-Aug-1999,0,15.12,14.25,14.44,174500,14.44
25-Aug-1999,0,14.5,13.44,13.5,65200,13.5
26-Aug-1999,0,13.25,11.56,13,269300,13
27-Aug-1999,0,14.62,12.94,13.75,139600,13.75
30-Aug-1999,0,13.88,13.19,13.19,103700,13.19
31-Aug-1999,0,13.88,12.5,12.94,82800,12.94
01-Sep-1999,0,13,12.62,13,73900,13
02-Sep-1999,0,14.12,12.38,13.44,113200,13.44
03-Sep-1999,0,14,13,13.5,138900,13.5
07-Sep-1999,0,15.75,13.25,15.19,556900,15.19
08-Sep-1999,0,15,14.25,14.5,199000,14.5
09-Sep-1999,0,16,14.38,15.12,203800,15.12
10-Sep-1999,0,16.5,14.88,15.38,91200,15.38
13-Sep-1999,0,16.25,15,15.56,52100,15.56
14-Sep-1999,0,15.62,15,15.12,56900,15.12
15-Sep-1999,0,15.31,14.88,15,56400,15
16-Sep-1999,0,15.75,14.5,15.38,58300,15.38
17-Sep-1999,0,15.62,15,15.5,77400,15.5
20-Sep-1999,0,16.5,15,15,112800,15
21-Sep-1999,0,15.5,14.5,14.88,106200,14.88
22-Sep-1999,0,15.12,14.12,15.12,33800,15.12
23-Sep-1999,0,15.38,14.5,14.75,259300,14.75
24-Sep-1999,0,15.31,14.62,14.62,48800,14.62
27-Sep-1999,0,15,14.38,14.75,108200,14.75
28-Sep-1999,0,15,14,14.25,423600,14.25
29-Sep-1999,0,14.75,14.12,14.69,187200,14.69
30-Sep-1999,0,16.12,14.62,15.88,217200,15.88
01-Oct-1999,0,15.88,15,15.38,112300,15.38
04-Oct-1999,0,15.88,15,15.75,90500,15.75
