Date,Open,High,Low,Close,Volume,AdjClose
19-Nov-2004,9.06,9.93,8.5,9.84,3906183,8.58
22-Nov-2004,9.9,11,9.51,9.62,727953,8.39
23-Nov-2004,9.5,9.75,8.76,9.38,505771,8.18
24-Nov-2004,9.5,10,9.5,9.78,319464,8.52
26-Nov-2004,9.3,9.95,9.25,9.8,65554,8.54
29-Nov-2004,10,10.1,9.46,9.8,130749,8.54
30-Nov-2004,9.8,9.99,9.31,9.88,194880,8.61
01-Dec-2004,9.5,10.22,9.5,9.99,209833,8.71
02-Dec-2004,10.03,11,9.97,10.85,337369,9.46
03-Dec-2004,10.99,11.35,10.58,11.14,288079,9.71
06-Dec-2004,11.39,11.68,11,11.13,192600,9.7
07-Dec-2004,11.38,11.38,10.64,10.91,195907,9.51
08-Dec-2004,10.96,11.2,10.51,10.9,78526,9.5
09-Dec-2004,10.8,10.96,10.53,10.81,40909,9.42
10-Dec-2004,10.71,10.71,10.15,10.41,86078,9.07
13-Dec-2004,10.1,10.97,9.88,10.33,77462,9
14-Dec-2004,10.85,10.85,10.1,10.23,29777,8.92
15-Dec-2004,10,10.45,9.9,10.05,191425,8.76
16-Dec-2004,9.85,10.18,9.85,10.01,108799,8.73
17-Dec-2004,9.9,10.15,9.32,9.5,418117,8.28
20-Dec-2004,9.9,9.9,9.04,9.3,173695,8.11
21-Dec-2004,9,9.76,9,9.47,81374,8.25
22-Dec-2004,9.37,9.69,9,9.61,49984,8.38
23-Dec-2004,9.6,9.9,9.59,9.76,29904,8.51
27-Dec-2004,9.72,9.79,9.46,9.72,71995,8.47
28-Dec-2004,9.63,9.73,9.22,9.5,58212,8.28
29-Dec-2004,9.4,9.65,9.4,9.5,80080,8.28
30-Dec-2004,9.33,9.61,9.3,9.39,33330,8.18
31-Dec-2004,9.39,9.55,9.25,9.3,52972,8.11
03-Jan-2005,9.31,9.45,8.8,8.87,91326,7.73
04-Jan-2005,8.73,9.05,8.59,8.65,105854,7.54
05-Jan-2005,8.62,8.64,8.1,8.3,76459,7.23
06-Jan-2005,8.25,8.69,8.15,8.24,29683,7.18
07-Jan-2005,8.15,8.58,8.1,8.25,17504,7.19
10-Jan-2005,8.16,8.16,7.6,7.8,75587,6.8
11-Jan-2005,7.64,7.96,7.15,7.22,52351,6.29
12-Jan-2005,7.3,7.3,6.4,6.6,112956,5.75
13-Jan-2005,6.77,6.77,6.12,6.23,346136,5.43
14-Jan-2005,6.1,6.42,6.06,6.28,109552,5.47
18-Jan-2005,6.43,6.43,6.21,6.29,102057,5.48
19-Jan-2005,6.42,6.43,6.25,6.34,60994,5.53
20-Jan-2005,6.19,6.89,6.19,6.85,112328,5.97
21-Jan-2005,6.99,7.79,6.82,7.66,197460,6.68
24-Jan-2005,7.49,8.06,7.49,7.92,126355,6.9
25-Jan-2005,8,8.27,7.5,7.84,124721,6.83
26-Jan-2005,7.85,8,7.3,7.77,42163,6.77
27-Jan-2005,7.58,8.04,7.34,7.66,42222,6.68
28-Jan-2005,7.24,8.37,7.24,7.62,68044,6.64
31-Jan-2005,7.7,7.75,7.25,7.38,68952,6.43
01-Feb-2005,7.29,7.8,7.29,7.5,136083,6.54
02-Feb-2005,7.6,7.78,7.33,7.57,83946,6.6
03-Feb-2005,7.5,7.52,7.3,7.35,131357,6.41
04-Feb-2005,7.37,7.66,7.15,7.57,107555,6.6
07-Feb-2005,7.65,7.65,7.15,7.52,92801,6.55
08-Feb-2005,7.61,7.62,7.3,7.62,149872,6.64
09-Feb-2005,7.65,7.72,7.01,7.09,38699,6.18
10-Feb-2005,7,7.4,6.9,6.91,18329,6.02
11-Feb-2005,6.91,7.61,6.91,7.17,37780,6.25
14-Feb-2005,7.17,7.6,7.17,7.52,26807,6.55
15-Feb-2005,7.43,7.6,7.25,7.36,34836,6.42
16-Feb-2005,7.24,7.61,7,7.14,32754,6.22
17-Feb-2005,6.89,7.19,6.85,6.96,30542,6.07
18-Feb-2005,6.93,7.25,6.25,6.48,165168,5.65
22-Feb-2005,6.35,6.82,6.16,6.45,267489,5.62
23-Feb-2005,6.29,6.56,6.25,6.36,51751,5.54
24-Feb-2005,6.25,6.4,6.2,6.37,65137,5.55
25-Feb-2005,6.25,6.7,6.25,6.53,134648,5.69
28-Feb-2005,6.96,6.96,6.3,6.39,65987,5.57
01-Mar-2005,6.28,6.5,6.27,6.44,45892,5.61
02-Mar-2005,6.28,6.5,6.28,6.34,68071,5.53
03-Mar-2005,6.67,6.67,6.22,6.38,29266,5.56
04-Mar-2005,6.52,6.62,6.2,6.62,245532,5.77
07-Mar-2005,6.78,6.9,6.78,6.8,70162,5.93
08-Mar-2005,7.05,7.6,7.05,7.44,596674,6.49
09-Mar-2005,7.57,8.25,7.23,8,137921,6.97
10-Mar-2005,8.2,8.28,7.44,7.92,57446,6.9
11-Mar-2005,7.5,8.36,7.5,8.28,164890,7.22
14-Mar-2005,8.34,8.42,7.63,8.4,139988,7.32
15-Mar-2005,8.45,8.75,8.01,8.67,67393,7.56
16-Mar-2005,8.74,8.75,8.06,8.29,27637,7.23
17-Mar-2005,8.42,8.6,8.09,8.51,51628,7.42
18-Mar-2005,8.64,8.7,8.21,8.68,45434,7.57
21-Mar-2005,8.7,8.75,8.32,8.57,28476,7.47
22-Mar-2005,8.5,8.65,8.02,8.64,58896,7.53
23-Mar-2005,8.64,9.15,8.45,9.12,106387,7.95
24-Mar-2005,9.14,9.24,8.97,9.2,16885,8.02
28-Mar-2005,9.16,9.29,8.46,9.23,104625,8.05
29-Mar-2005,9.09,9.28,8.75,8.79,19704,7.66
30-Mar-2005,8.92,8.92,8.5,8.5,30409,7.41
31-Mar-2005,8.6,8.83,8.07,8.83,111828,7.7
01-Apr-2005,8.99,9.03,8.25,8.86,104815,7.72
04-Apr-2005,8.86,9.08,8.49,9.08,21275,7.91
05-Apr-2005,9.08,9.1,8.94,9.1,31956,7.93
06-Apr-2005,9.01,9.1,8.87,8.87,22025,7.73
07-Apr-2005,8.9,9.1,8.9,9.1,8768,7.93
08-Apr-2005,9.08,9.1,8.48,8.48,13686,7.39
11-Apr-2005,8.54,8.61,8.26,8.32,208994,7.25
12-Apr-2005,8.17,8.74,8.14,8.64,11217,7.53
13-Apr-2005,8.55,8.66,8.48,8.54,4431,7.44
14-Apr-2005,8.39,8.64,7.88,7.91,92378,6.89
15-Apr-2005,7.9,8.12,7.62,7.83,182026,6.83
18-Apr-2005,7.69,7.94,7.52,7.85,43035,6.84
19-Apr-2005,7.95,8.29,7.95,8.29,46628,7.23
20-Apr-2005,8.2,8.21,7.91,7.91,95559,6.89
21-Apr-2005,7.87,8.42,7.87,8.22,39815,7.17
22-Apr-2005,8.32,8.32,7.11,7.26,49899,6.33
