Date,Open,High,Low,Close,Volume,AdjClose
15-Nov-2007,23,28.45,21.03,24.97,11770500,24.97
16-Nov-2007,25.3,25.98,23.5,24.96,1242850,24.96
19-Nov-2007,24.71,25.75,24.53,25.75,469500,25.75
20-Nov-2007,25.42,29.21,25.26,27.32,522200,27.32
21-Nov-2007,27,27.13,25.94,26.65,167500,26.65
23-Nov-2007,27.3,28.33,26.82,27.4,100700,27.4
26-Nov-2007,27.99,29.49,27.53,27.8,438300,27.8
27-Nov-2007,28.23,28.75,26.28,26.98,305800,26.98
28-Nov-2007,27.12,27.62,26.68,27.3,273600,27.3
29-Nov-2007,26.61,27.99,26.6,27.3,110563,27.3
30-Nov-2007,27.6,28.7,27.1,27.65,524000,27.65
03-Dec-2007,27.7,28.2,27.4,27.97,83600,27.97
04-Dec-2007,27.71,29.75,27.24,29.35,387400,29.35
05-Dec-2007,32.68,32.68,28.89,29.28,207200,29.28
06-Dec-2007,29,29.42,28.44,28.91,97700,28.91
07-Dec-2007,29.06,29.1,28.5,28.88,82500,28.88
10-Dec-2007,28.59,29.95,28.59,29,177803,29
11-Dec-2007,28.99,29.4,28.25,29,236200,29
12-Dec-2007,29.36,29.36,28.3,28.48,64700,28.48
13-Dec-2007,27.93,29,27.93,28.94,77925,28.94
14-Dec-2007,28.83,28.94,28.33,28.72,118200,28.72
17-Dec-2007,27.94,29.06,27.67,27.98,128601,27.98
18-Dec-2007,28,28.8,28,28.5,132400,28.5
19-Dec-2007,28.56,29.35,28.56,28.95,197600,28.95
20-Dec-2007,28.95,29.01,28.89,28.89,197800,28.89
21-Dec-2007,29.5,34.33,29.4,33.72,498600,33.72
24-Dec-2007,33.6,34.4,32.55,33.92,142000,33.92
26-Dec-2007,33.92,36,33.8,34.35,228300,34.35
27-Dec-2007,34.35,37.19,33.8,36.55,194600,36.55
28-Dec-2007,36.45,38.27,36,37.32,165900,37.32
31-Dec-2007,37.45,38.4,36,38.4,136200,38.4
02-Jan-2008,37.82,37.95,33.12,33.85,442900,33.85
03-Jan-2008,33.85,33.85,30.56,30.79,395900,30.79
04-Jan-2008,28.74,31,28.11,30.15,354079,30.15
07-Jan-2008,29.75,29.75,27.75,28.14,383000,28.14
08-Jan-2008,28,28.15,26.01,26.63,183900,26.63
09-Jan-2008,27.3,29.75,24.74,27.76,383400,27.76
10-Jan-2008,29.3,31.4,26.8,29.64,531428,29.64
11-Jan-2008,29.42,32.77,29.21,30.43,121900,30.43
14-Jan-2008,30.1,30.5,29.75,30.5,198300,30.5
15-Jan-2008,30.5,30.93,29.72,30.71,74200,30.71
16-Jan-2008,30.76,30.76,28.5,29.3,123681,29.3
17-Jan-2008,29.45,29.45,28.65,28.99,122305,28.99
18-Jan-2008,29.71,29.75,29,29.32,238900,29.32
22-Jan-2008,28.15,29.2,27.33,28.9,193000,28.9
23-Jan-2008,28.98,32.47,28.38,31.16,193100,31.16
24-Jan-2008,30.78,33,30.24,32.17,305000,32.17
25-Jan-2008,32.4,32.58,31.13,31.78,148700,31.78
28-Jan-2008,31.3,34,30.03,33.06,222500,33.06
29-Jan-2008,32.66,33.46,32.35,32.78,142507,32.78
30-Jan-2008,32.77,33,31,32.7,117300,32.7
31-Jan-2008,32.5,33,32.1,32.97,115400,32.97
01-Feb-2008,32.97,35.97,32.4,34.6,134600,34.6
04-Feb-2008,34.6,34.9,33,33.48,75300,33.48
05-Feb-2008,33.48,33.48,31.98,32.87,109100,32.87
06-Feb-2008,32.7,32.72,31.09,31.37,146000,31.37
07-Feb-2008,31.4,32,29.52,29.71,128000,29.71
08-Feb-2008,30.15,31.33,30.14,31.33,103315,31.33
11-Feb-2008,31.35,31.95,31,31.43,94586,31.43
12-Feb-2008,31.25,31.94,30.43,31.3,147800,31.3
13-Feb-2008,31.2,33.87,31.2,33.83,114200,33.83
