Date,Open,High,Low,Close,Volume,AdjClose
11-Dec-1996,0,9.19,7.72,9.03,6059600,9.03
12-Dec-1996,0,10.19,9.28,10.06,5861600,10.06
13-Dec-1996,0,10.09,9.66,9.75,1990000,9.75
16-Dec-1996,0,9.75,9.5,9.53,842800,9.53
17-Dec-1996,0,9.59,9.28,9.31,3103200,9.31
18-Dec-1996,0,9.44,9.19,9.34,2378400,9.34
19-Dec-1996,0,9.28,9.19,9.25,623200,9.25
20-Dec-1996,0,9.28,9.03,9.03,2113200,9.03
23-Dec-1996,0,9.06,9,9.03,218800,9.03
24-Dec-1996,0,9.09,9.06,9.09,94800,9.09
26-Dec-1996,0,9.09,9,9.03,2712800,9.03
27-Dec-1996,0,9.09,8.78,8.84,301200,8.84
30-Dec-1996,0,8.88,8.59,8.78,1443200,8.78
31-Dec-1996,0,8.56,8.09,8.41,11882800,8.41
02-Jan-1997,0,8.53,8.19,8.44,14133600,8.44
03-Jan-1997,0,8.84,8.47,8.81,9424800,8.81
06-Jan-1997,0,9.16,8.81,8.91,9226400,8.91
07-Jan-1997,0,9.06,8.69,8.75,7132800,8.75
08-Jan-1997,0,8.69,8.34,8.59,6491200,8.59
09-Jan-1997,0,8.72,8.34,8.34,7192000,8.34
10-Jan-1997,0,8.38,7.97,8.12,6168400,8.12
13-Jan-1997,0,8.34,7.91,8,5849200,8
14-Jan-1997,0,8.25,7.91,8.12,7431200,8.12
15-Jan-1997,0,8.81,7.97,8.78,7031200,8.78
16-Jan-1997,0,8.91,8.56,8.69,4194000,8.69
17-Jan-1997,0,9.03,8.5,9,4851200,9
20-Jan-1997,0,9,8.78,8.91,2029600,8.91
21-Jan-1997,0,9.78,8.91,9.69,7342400,9.69
22-Jan-1997,0,10.34,9.75,9.97,7867200,9.97
23-Jan-1997,0,10.19,9.72,9.75,3278000,9.75
24-Jan-1997,0,9.78,9.53,9.75,2544000,9.75
27-Jan-1997,0,9.84,9.56,9.66,2525200,9.66
28-Jan-1997,0,9.97,9.62,9.84,2884800,9.84
29-Jan-1997,0,10.12,9.88,9.97,3755600,9.97
30-Jan-1997,0,10,9.59,9.69,2138000,9.69
31-Jan-1997,0,9.78,9.28,9.47,3478000,9.47
03-Feb-1997,0,9.53,9.38,9.5,3301600,9.5
04-Feb-1997,0,9.5,9.38,9.38,3158400,9.38
05-Feb-1997,0,9.41,9.06,9.12,1776400,9.12
06-Feb-1997,0,9.09,8.91,8.97,1726000,8.97
07-Feb-1997,0,9.22,8.84,8.97,1913200,8.97
10-Feb-1997,0,9.19,8.97,9.06,1930400,9.06
11-Feb-1997,0,9.16,8.84,8.94,2329600,8.94
12-Feb-1997,0,9.12,8.84,8.91,2207600,8.91
13-Feb-1997,0,8.91,8.66,8.75,1995600,8.75
14-Feb-1997,0,8.84,8.66,8.75,2037600,8.75
18-Feb-1997,0,9.06,8.69,9.03,2211600,9.03
19-Feb-1997,0,9.06,8.81,8.88,3209600,8.88
20-Feb-1997,0,8.91,8.78,8.81,1781200,8.81
21-Feb-1997,0,8.84,8.72,8.78,966800,8.78
24-Feb-1997,0,9.06,8.62,9.03,2024000,9.03
25-Feb-1997,0,9,8.78,8.81,1786000,8.81
26-Feb-1997,0,8.88,8.62,8.75,1530800,8.75
27-Feb-1997,0,8.69,8.44,8.47,1914000,8.47
28-Feb-1997,0,8.38,8.22,8.25,2866400,8.25
03-Mar-1997,0,8.62,8.25,8.59,2954400,8.59
04-Mar-1997,0,8.91,8.59,8.69,2352400,8.69
05-Mar-1997,0,8.78,8.53,8.66,1615600,8.66
06-Mar-1997,0,8.88,8.62,8.75,2178000,8.75
07-Mar-1997,0,8.84,8.66,8.69,2266000,8.69
10-Mar-1997,0,8.94,8.69,8.88,1348000,8.88
11-Mar-1997,0,9.31,8.88,9.28,2273200,9.28
12-Mar-1997,0,9.38,9.22,9.28,2676800,9.28
13-Mar-1997,0,9.34,9.12,9.12,2035600,9.12
14-Mar-1997,0,9.31,8.97,9.16,1166800,9.16
17-Mar-1997,0,9.19,9.03,9.16,954800,9.16
18-Mar-1997,0,9.22,9.03,9.03,1180000,9.03
19-Mar-1997,0,9.19,9.03,9.06,1024800,9.06
20-Mar-1997,0,9.09,9.03,9.06,1435600,9.06
21-Mar-1997,0,9.16,9.03,9.06,968800,9.06
24-Mar-1997,0,9.06,8.84,8.91,972800,8.91
25-Mar-1997,0,9.09,8.88,9.09,1638400,9.09
26-Mar-1997,0,9.03,8.91,8.97,670800,8.97
27-Mar-1997,0,9,8.84,8.97,849200,8.97
31-Mar-1997,0,8.91,8.78,8.78,1062800,8.78
01-Apr-1997,0,8.88,8.75,8.84,1128000,8.84
02-Apr-1997,0,8.88,8.53,8.59,1439600,8.59
03-Apr-1997,0,8.59,8.44,8.5,1408800,8.5
04-Apr-1997,0,8.59,8.38,8.56,2416400,8.56
07-Apr-1997,0,8.78,8.53,8.59,1100400,8.59
08-Apr-1997,0,8.59,8.47,8.53,881600,8.53
09-Apr-1997,0,8.69,8.44,8.47,1446400,8.47
10-Apr-1997,0,8.47,8.34,8.34,539200,8.34
11-Apr-1997,0,8.31,8.16,8.25,1521200,8.25
14-Apr-1997,0,8.28,8.16,8.25,897200,8.25
15-Apr-1997,0,8.41,7.94,8.03,1690400,8.03
16-Apr-1997,0,8.22,7.09,7.62,4578400,7.62
17-Apr-1997,0,7.69,7.41,7.47,2419200,7.47
18-Apr-1997,0,7.56,7.44,7.56,3916000,7.56
21-Apr-1997,0,7.66,7.53,7.62,2410000,7.62
22-Apr-1997,0,7.69,7.56,7.59,3194800,7.59
23-Apr-1997,0,7.56,7.41,7.44,1142800,7.44
24-Apr-1997,0,7.47,7.31,7.41,1595600,7.41
25-Apr-1997,0,7.44,7.31,7.44,1168400,7.44
28-Apr-1997,0,7.44,7.31,7.34,2206400,7.34
29-Apr-1997,0,7.38,7.28,7.28,1318400,7.28
30-Apr-1997,0,7.31,7.16,7.22,3032800,7.22
01-May-1997,0,7.66,7.25,7.66,2767200,7.66
02-May-1997,0,8,7.59,8,3332800,8
05-May-1997,0,8.22,7.94,7.94,2475600,7.94
06-May-1997,0,7.84,7.72,7.72,1026800,7.72
07-May-1997,0,7.66,7.47,7.47,850000,7.47
08-May-1997,0,7.66,7.44,7.5,1531600,7.5
09-May-1997,0,7.66,7.44,7.66,2465600,7.66
12-May-1997,0,7.88,7.66,7.81,2482800,7.81
13-May-1997,0,7.97,7.78,7.91,2721600,7.91
14-May-1997,0,8.06,7.84,7.91,2880800,7.91
15-May-1997,0,7.88,7.72,7.88,2468400,7.88
16-May-1997,0,7.81,7.69,7.69,1733200,7.69
19-May-1997,0,7.78,7.53,7.53,2172800,7.53
20-May-1997,0,7.5,7.31,7.34,3474800,7.34
21-May-1997,0,7.53,7.31,7.5,2344000,7.5
22-May-1997,0,7.62,7.47,7.5,1821600,7.5
23-May-1997,0,7.56,7.41,7.53,1942800,7.53
