Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.77,1.72,1.72,25200,0.44
04-Jan-1978,0,1.77,1.72,1.72,801,0.44
05-Jan-1978,0,1.78,1.73,1.73,16200,0.44
06-Jan-1978,0,1.78,1.73,1.73,1800,0.44
09-Jan-1978,0,1.82,1.77,1.77,35001,0.45
10-Jan-1978,0,1.84,1.78,1.78,9801,0.45
11-Jan-1978,0,1.84,1.78,1.78,10800,0.45
12-Jan-1978,0,1.85,1.79,1.79,17001,0.45
13-Jan-1978,0,1.85,1.79,1.79,8001,0.45
16-Jan-1978,0,1.85,1.79,1.79,9000,0.45
17-Jan-1978,0,1.85,1.79,1.79,9000,0.45
18-Jan-1978,0,1.85,1.79,1.79,13401,0.45
19-Jan-1978,0,1.85,1.79,1.79,5400,0.45
20-Jan-1978,NaN,NaN,NaN,1.78,0,0.45
23-Jan-1978,0,1.85,1.79,1.79,6201,0.45
24-Jan-1978,0,1.85,1.79,1.79,13401,0.45
25-Jan-1978,0,1.85,1.79,1.79,18000,0.45
26-Jan-1978,0,1.85,1.79,1.79,2601,0.45
27-Jan-1978,0,1.85,1.79,1.79,11601,0.45
30-Jan-1978,0,1.85,1.79,1.79,9000,0.45
31-Jan-1978,0,1.85,1.79,1.79,40401,0.45
01-Feb-1978,0,1.85,1.79,1.79,33201,0.45
02-Feb-1978,0,1.85,1.79,1.79,35001,0.45
03-Feb-1978,0,1.84,1.78,1.78,17001,0.45
06-Feb-1978,0,1.82,1.77,1.77,5400,0.45
07-Feb-1978,NaN,NaN,NaN,1.75,0,0.44
08-Feb-1978,0,1.81,1.75,1.75,6201,0.44
09-Feb-1978,0,1.79,1.74,1.74,14400,0.44
10-Feb-1978,0,1.79,1.74,1.74,4401,0.44
13-Feb-1978,0,1.78,1.73,1.73,8001,0.44
14-Feb-1978,0,1.78,1.73,1.73,3600,0.44
15-Feb-1978,0,1.78,1.73,1.73,6201,0.44
16-Feb-1978,0,1.78,1.73,1.73,2601,0.44
17-Feb-1978,0,1.77,1.72,1.72,17001,0.44
21-Feb-1978,0,1.77,1.72,1.72,1800,0.44
22-Feb-1978,0,1.77,1.72,1.72,6201,0.44
23-Feb-1978,0,1.75,1.7,1.7,9801,0.43
24-Feb-1978,0,1.75,1.7,1.7,1800,0.43
27-Feb-1978,0,1.75,1.7,1.7,5400,0.43
28-Feb-1978,NaN,NaN,NaN,1.7,0,0.43
01-Mar-1978,0,1.75,1.7,1.7,9000,0.43
