Date,Open,High,Low,Close,Volume,AdjClose
13-May-2004,11.05,11.65,11,11.4,4695385,11.4
14-May-2004,11.45,11.59,10.29,11.15,1640058,11.15
17-May-2004,10.8,11,10.3,10.57,237150,10.57
18-May-2004,10.67,10.93,10.5,10.89,89550,10.89
19-May-2004,10.91,10.91,10.5,10.5,94262,10.5
20-May-2004,10.5,10.93,10.4,10.57,96993,10.57
21-May-2004,10.94,10.94,10.5,10.6,146223,10.6
24-May-2004,10.5,10.9,10.29,10.6,208241,10.6
25-May-2004,10.87,11.35,10.65,11.3,202844,11.3
26-May-2004,11.01,11.57,11.01,11.49,52829,11.49
27-May-2004,11.55,11.55,11.3,11.3,45581,11.3
28-May-2004,11.38,11.5,11.25,11.25,82310,11.25
01-Jun-2004,11.4,11.5,11.25,11.39,95636,11.39
02-Jun-2004,11.35,11.5,11.35,11.48,59034,11.48
03-Jun-2004,11.5,11.51,11.25,11.25,80595,11.25
04-Jun-2004,11.26,11.48,11.26,11.26,74454,11.26
07-Jun-2004,11.5,11.5,11.27,11.3,113654,11.3
08-Jun-2004,11.35,11.4,11.09,11.31,77010,11.31
09-Jun-2004,11.36,11.5,11.25,11.42,20743,11.42
10-Jun-2004,11.5,11.9,11.48,11.63,115896,11.63
14-Jun-2004,11.5,12,11,11.31,51597,11.31
15-Jun-2004,11.3,11.5,11.2,11.29,48873,11.29
16-Jun-2004,11.45,11.54,11.25,11.35,89258,11.35
17-Jun-2004,11.35,11.5,11.2,11.41,52291,11.41
18-Jun-2004,11.5,12.15,11.5,11.62,85811,11.62
21-Jun-2004,11.88,11.93,11.23,11.25,83144,11.25
22-Jun-2004,11.75,12,11.4,11.74,203962,11.74
23-Jun-2004,11.72,11.95,11.05,11.2,67133,11.2
24-Jun-2004,11.23,11.82,11.2,11.61,21154,11.61
25-Jun-2004,11.29,11.6,10.64,11.59,312172,11.59
28-Jun-2004,11.3,11.47,10.58,10.91,156594,10.91
29-Jun-2004,11.15,11.15,10.96,11.07,70503,11.07
