Date,Open,High,Low,Close,Volume,AdjClose
26-Oct-1993,0,10.25,10,10.12,5700,10.12
27-Oct-1993,0,10.25,10,10.12,5100,10.12
28-Oct-1993,0,10.12,10,10.12,8900,10.12
29-Oct-1993,0,10.12,10.12,10.12,800,10.12
01-Nov-1993,0,10.25,10,10.25,11200,10.25
02-Nov-1993,0,10.25,10,10.12,41900,10.12
03-Nov-1993,0,10.25,10.12,10.25,1500,10.25
04-Nov-1993,0,10.12,10,10,7100,10
05-Nov-1993,0,9.88,9.88,9.88,28400,9.88
08-Nov-1993,0,9.88,9.75,9.88,13700,9.88
09-Nov-1993,0,9.88,9.88,9.88,1500,9.88
10-Nov-1993,0,9.88,9.75,9.75,15800,9.75
11-Nov-1993,0,9.88,9.75,9.75,3400,9.75
12-Nov-1993,NaN,NaN,NaN,9.75,0,9.75
15-Nov-1993,NaN,NaN,NaN,9.75,0,9.75
16-Nov-1993,NaN,NaN,NaN,9.75,0,9.75
17-Nov-1993,NaN,NaN,NaN,9.75,0,9.75
18-Nov-1993,0,9.62,9.12,9.62,2800,9.62
19-Nov-1993,0,9.38,9.25,9.25,12200,9.25
22-Nov-1993,0,9.12,9,9,93200,9
23-Nov-1993,0,9.12,8.75,8.88,11400,8.88
24-Nov-1993,0,9,8.62,8.75,33400,8.75
26-Nov-1993,0,8.75,8.75,8.75,500,8.75
29-Nov-1993,0,8.88,8.5,8.88,25800,8.88
30-Nov-1993,0,9,8.75,8.88,185200,8.88
01-Dec-1993,0,9.38,8.88,9.38,20000,9.38
02-Dec-1993,0,9.38,9.12,9.38,10800,9.38
03-Dec-1993,0,9.62,9.25,9.62,146200,9.62
06-Dec-1993,0,10.12,9.62,10,46600,10
07-Dec-1993,0,9.88,9.62,9.88,3900,9.88
08-Dec-1993,0,10,9.75,9.88,11100,9.88
09-Dec-1993,0,10,9.88,10,7800,10
10-Dec-1993,0,10,9.75,9.88,3400,9.88
13-Dec-1993,0,9.88,9.62,9.75,4100,9.75
14-Dec-1993,0,9.88,9.5,9.62,13200,9.62
15-Dec-1993,0,9.62,9.38,9.5,10000,9.5
16-Dec-1993,0,9.5,9.25,9.38,11000,9.38
17-Dec-1993,0,9.5,9.25,9.5,19900,9.5
20-Dec-1993,0,9.75,9.5,9.75,21200,9.75
21-Dec-1993,0,9.75,9.5,9.62,16200,9.62
22-Dec-1993,0,9.5,9.25,9.5,17800,9.5
23-Dec-1993,0,9.62,9.25,9.25,4700,9.25
27-Dec-1993,0,9.25,9.12,9.12,2800,9.12
28-Dec-1993,0,9.25,9.12,9.25,5900,9.25
29-Dec-1993,0,9.38,9.12,9.25,9700,9.25
30-Dec-1993,0,9.75,9.12,9.75,8900,9.75
31-Dec-1993,0,9.88,9.5,9.75,11000,9.75
03-Jan-1994,0,9.88,9.62,9.62,19700,9.62
04-Jan-1994,0,9.75,9.75,9.75,132700,9.75
05-Jan-1994,0,9.75,9.75,9.75,21900,9.75
06-Jan-1994,0,10.62,9.75,10.5,252000,10.5
07-Jan-1994,0,10.75,10.38,10.75,170500,10.75
10-Jan-1994,0,11.25,10.62,10.88,103800,10.88
11-Jan-1994,0,10.88,10.62,10.75,12100,10.75
12-Jan-1994,0,10.88,10.75,10.88,32600,10.88
13-Jan-1994,0,10.88,10.62,10.62,57300,10.62
14-Jan-1994,0,10.75,10.5,10.5,37400,10.5
