Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,4.69,4.62,4.69,158400,0.95
04-Jan-1978,0,4.59,4.56,4.56,100000,0.92
05-Jan-1978,0,4.62,4.56,4.59,170000,0.93
06-Jan-1978,0,4.59,4.53,4.59,66400,0.93
09-Jan-1978,0,4.56,4.53,4.53,133200,0.91
10-Jan-1978,0,4.53,4.5,4.5,52800,0.91
11-Jan-1978,0,4.56,4.5,4.5,86800,0.91
12-Jan-1978,0,4.53,4.5,4.53,117600,0.91
13-Jan-1978,0,4.53,4.5,4.53,61600,0.91
16-Jan-1978,0,4.56,4.5,4.5,27200,0.91
17-Jan-1978,0,4.56,4.5,4.5,30800,0.91
18-Jan-1978,0,4.53,4.5,4.5,37200,0.91
19-Jan-1978,0,4.53,4.5,4.5,30400,0.91
20-Jan-1978,0,4.53,4.47,4.5,22400,0.91
23-Jan-1978,0,4.53,4.47,4.47,86800,0.9
24-Jan-1978,0,4.5,4.47,4.47,27200,0.9
25-Jan-1978,0,4.5,4.47,4.47,28400,0.9
26-Jan-1978,0,4.5,4.47,4.5,56400,0.91
27-Jan-1978,0,4.5,4.44,4.47,54800,0.9
30-Jan-1978,0,4.5,4.44,4.47,50000,0.9
31-Jan-1978,0,4.5,4.44,4.44,40800,0.9
01-Feb-1978,0,4.5,4.47,4.47,65200,0.9
02-Feb-1978,0,4.5,4.47,4.47,35600,0.9
03-Feb-1978,0,4.5,4.47,4.5,78400,0.91
06-Feb-1978,0,4.56,4.47,4.56,27600,0.92
07-Feb-1978,0,4.56,4.53,4.56,25200,0.92
08-Feb-1978,0,4.59,4.53,4.59,124400,0.93
09-Feb-1978,0,4.59,4.53,4.59,60000,0.93
10-Feb-1978,0,4.59,4.56,4.56,28000,0.92
13-Feb-1978,0,4.56,4.53,4.56,36800,0.92
14-Feb-1978,0,4.56,4.5,4.53,49200,0.91
15-Feb-1978,0,4.56,4.5,4.53,39200,0.91
16-Feb-1978,0,4.56,4.5,4.5,26800,0.91
17-Feb-1978,0,4.53,4.5,4.53,46000,0.91
21-Feb-1978,0,4.53,4.47,4.5,62800,0.91
22-Feb-1978,0,4.5,4.47,4.5,45200,0.91
23-Feb-1978,0,4.5,4.47,4.5,36400,0.91
24-Feb-1978,0,4.5,4.47,4.5,30800,0.91
27-Feb-1978,0,4.5,4.44,4.5,25200,0.91
28-Feb-1978,0,4.72,4.44,4.44,60000,0.9
01-Mar-1978,0,4.5,4.47,4.5,12400,0.91
02-Mar-1978,0,4.5,4.44,4.47,35200,0.9
03-Mar-1978,0,4.5,4.47,4.5,26800,0.91
06-Mar-1978,0,4.5,4.47,4.47,18000,0.9
07-Mar-1978,0,4.5,4.44,4.47,716800,0.9
08-Mar-1978,0,4.47,4.44,4.44,27600,0.9
09-Mar-1978,0,4.5,4.44,4.47,17200,0.9
10-Mar-1978,0,4.5,4.47,4.5,28400,0.91
13-Mar-1978,0,4.5,4.47,4.5,27200,0.91
14-Mar-1978,0,4.5,4.44,4.5,48000,0.91
15-Mar-1978,0,4.53,4.44,4.5,22800,0.91
16-Mar-1978,0,4.5,4.44,4.5,28400,0.91
17-Mar-1978,0,4.5,4.47,4.5,23200,0.91
20-Mar-1978,0,4.5,4.44,4.5,30000,0.91
21-Mar-1978,0,4.5,4.47,4.5,49600,0.91
22-Mar-1978,0,4.47,4.44,4.44,22000,0.9
23-Mar-1978,0,4.47,4.44,4.47,102000,0.9
27-Mar-1978,0,4.5,4.44,4.47,36000,0.9
28-Mar-1978,0,4.5,4.44,4.5,146400,0.91
29-Mar-1978,0,4.5,4.47,4.5,68400,0.91
30-Mar-1978,0,4.5,4.44,4.47,119200,0.9
31-Mar-1978,0,4.47,4.44,4.47,40000,0.9
03-Apr-1978,0,4.47,4.44,4.47,46000,0.9
04-Apr-1978,0,4.44,4.41,4.41,78800,0.89
05-Apr-1978,0,4.41,4.38,4.41,145200,0.89
06-Apr-1978,0,4.44,4.34,4.41,38400,0.89
07-Apr-1978,0,4.62,4.31,4.34,159600,0.88
10-Apr-1978,0,4.38,4.34,4.38,72800,0.88
11-Apr-1978,0,4.41,4.34,4.41,38800,0.89
12-Apr-1978,0,4.44,4.38,4.38,56800,0.88
13-Apr-1978,0,4.41,4.38,4.41,42000,0.89
14-Apr-1978,0,4.44,4.38,4.44,83600,0.9
17-Apr-1978,0,4.47,4.41,4.47,141200,0.9
18-Apr-1978,0,4.47,4.44,4.44,42800,0.9
19-Apr-1978,0,4.5,4.44,4.47,42000,0.9
20-Apr-1978,0,4.5,4.44,4.47,30400,0.9
21-Apr-1978,0,4.47,4.44,4.47,54000,0.9
24-Apr-1978,0,4.47,4.44,4.47,42000,0.9
25-Apr-1978,0,4.47,4.41,4.44,221600,0.9
26-Apr-1978,0,4.44,4.34,4.38,100000,0.88
27-Apr-1978,0,4.38,4.31,4.34,165200,0.88
28-Apr-1978,0,4.34,4.25,4.28,160400,0.86
01-May-1978,0,4.34,4.28,4.31,46400,0.87
02-May-1978,0,4.34,4.25,4.28,84400,0.86
03-May-1978,0,4.31,4.25,4.31,234400,0.87
04-May-1978,0,4.38,4.28,4.34,65600,0.88
