Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.72,1.59,1.59,21200,1.4
04-Jan-1978,0,1.72,1.59,1.59,21600,1.4
05-Jan-1978,0,1.69,1.56,1.56,54000,1.37
06-Jan-1978,0,1.66,1.53,1.53,58400,1.34
09-Jan-1978,0,1.62,1.5,1.5,28800,1.32
10-Jan-1978,0,1.56,1.44,1.44,50800,1.27
11-Jan-1978,0,1.5,1.38,1.38,32400,1.21
12-Jan-1978,0,1.53,1.41,1.41,6800,1.24
13-Jan-1978,0,1.5,1.38,1.38,8800,1.21
16-Jan-1978,0,1.5,1.38,1.38,18000,1.21
17-Jan-1978,0,1.47,1.34,1.34,12800,1.18
18-Jan-1978,0,1.56,1.44,1.44,83200,1.27
19-Jan-1978,0,1.59,1.47,1.47,16400,1.29
20-Jan-1978,NaN,NaN,NaN,1.47,0,1.29
23-Jan-1978,0,1.56,1.44,1.44,400,1.27
24-Jan-1978,0,1.56,1.44,1.44,28400,1.27
25-Jan-1978,0,1.62,1.5,1.5,31600,1.32
26-Jan-1978,0,1.62,1.5,1.5,4800,1.32
27-Jan-1978,0,1.62,1.5,1.5,24400,1.32
30-Jan-1978,0,1.62,1.5,1.5,28400,1.32
31-Jan-1978,0,1.69,1.56,1.56,49200,1.37
01-Feb-1978,0,1.69,1.56,1.56,9200,1.37
02-Feb-1978,0,1.69,1.56,1.56,23200,1.37
03-Feb-1978,0,1.69,1.56,1.56,16400,1.37
06-Feb-1978,0,1.72,1.59,1.59,25200,1.4
07-Feb-1978,0,1.72,1.59,1.59,13200,1.4
08-Feb-1978,0,1.69,1.56,1.56,38800,1.37
09-Feb-1978,0,1.72,1.59,1.59,48800,1.4
10-Feb-1978,0,1.69,1.56,1.56,13200,1.37
13-Feb-1978,0,1.66,1.53,1.53,22800,1.34
14-Feb-1978,0,1.62,1.5,1.5,56000,1.32
15-Feb-1978,0,1.62,1.5,1.5,40800,1.32
16-Feb-1978,0,1.62,1.5,1.5,40400,1.32
17-Feb-1978,0,1.62,1.5,1.5,71200,1.32
21-Feb-1978,0,1.62,1.5,1.5,91600,1.32
22-Feb-1978,0,1.56,1.44,1.44,24800,1.27
23-Feb-1978,0,1.56,1.44,1.44,3600,1.27
24-Feb-1978,0,1.56,1.44,1.44,14800,1.27
27-Feb-1978,0,1.56,1.44,1.44,4800,1.27
28-Feb-1978,0,1.47,1.34,1.34,26800,1.18
01-Mar-1978,0,1.53,1.41,1.41,12400,1.24
02-Mar-1978,0,1.5,1.38,1.38,6400,1.21
03-Mar-1978,0,1.5,1.38,1.38,7600,1.21
06-Mar-1978,0,1.5,1.38,1.38,19200,1.21
07-Mar-1978,0,1.41,1.28,1.28,32800,1.12
08-Mar-1978,0,1.41,1.28,1.28,6400,1.12
09-Mar-1978,0,1.41,1.28,1.28,12400,1.12
10-Mar-1978,0,1.44,1.31,1.31,3600,1.15
13-Mar-1978,0,1.44,1.31,1.31,3600,1.15
14-Mar-1978,0,1.31,1.19,1.19,17200,1.05
15-Mar-1978,0,1.31,1.19,1.19,30400,1.05
16-Mar-1978,0,1.31,1.19,1.19,121200,1.05
17-Mar-1978,0,1.31,1.19,1.19,20000,1.05
20-Mar-1978,0,1.31,1.19,1.19,53200,1.05
21-Mar-1978,0,1.31,1.19,1.19,11600,1.05
22-Mar-1978,0,1.34,1.22,1.22,36000,1.07
23-Mar-1978,0,1.41,1.28,1.28,34800,1.12
27-Mar-1978,0,1.44,1.31,1.31,13200,1.15
28-Mar-1978,0,1.56,1.44,1.44,22400,1.27
29-Mar-1978,0,1.56,1.44,1.44,17200,1.27
30-Mar-1978,0,1.66,1.53,1.53,41600,1.34
31-Mar-1978,0,1.56,1.44,1.44,32000,1.27
03-Apr-1978,0,1.56,1.44,1.44,2800,1.27
04-Apr-1978,0,1.56,1.44,1.44,10000,1.27
05-Apr-1978,0,1.53,1.41,1.41,12000,1.24
06-Apr-1978,0,1.53,1.41,1.41,6400,1.24
07-Apr-1978,0,1.5,1.38,1.38,13600,1.21
10-Apr-1978,0,1.47,1.34,1.34,14400,1.18
11-Apr-1978,0,1.44,1.31,1.31,20000,1.15
12-Apr-1978,0,1.44,1.31,1.31,16400,1.15
13-Apr-1978,0,1.44,1.31,1.31,10800,1.15
14-Apr-1978,0,1.44,1.31,1.31,25600,1.15
17-Apr-1978,0,1.44,1.31,1.31,13200,1.15
18-Apr-1978,0,1.41,1.28,1.28,21600,1.12
19-Apr-1978,0,1.41,1.28,1.28,18400,1.12
20-Apr-1978,0,1.41,1.28,1.28,34400,1.12
21-Apr-1978,0,1.41,1.28,1.28,70000,1.12
24-Apr-1978,0,1.44,1.31,1.31,7600,1.15
25-Apr-1978,0,1.41,1.28,1.28,25600,1.12
26-Apr-1978,0,1.5,1.38,1.38,86400,1.21
27-Apr-1978,0,1.53,1.41,1.41,84000,1.24
28-Apr-1978,0,1.56,1.44,1.44,29200,1.27
01-May-1978,0,1.56,1.44,1.44,50000,1.27
02-May-1978,0,1.5,1.38,1.38,38000,1.21
03-May-1978,0,1.5,1.38,1.38,21200,1.21
04-May-1978,0,1.53,1.41,1.41,60000,1.24
05-May-1978,0,1.53,1.41,1.41,52800,1.24
08-May-1978,0,1.56,1.44,1.44,100800,1.27
09-May-1978,0,1.81,1.69,1.69,160000,1.49
10-May-1978,0,1.91,1.78,1.78,156800,1.56
11-May-1978,0,1.88,1.75,1.75,127600,1.54
12-May-1978,0,1.84,1.72,1.72,101200,1.51
15-May-1978,0,1.84,1.72,1.72,29600,1.51
16-May-1978,0,1.84,1.72,1.72,47600,1.51
17-May-1978,0,1.84,1.72,1.72,62400,1.51
18-May-1978,0,1.88,1.75,1.75,64000,1.54
19-May-1978,0,1.91,1.78,1.78,62800,1.56
22-May-1978,0,1.91,1.78,1.78,154000,1.56
23-May-1978,0,1.81,1.69,1.69,74400,1.49
24-May-1978,0,1.75,1.62,1.62,29600,1.42
25-May-1978,0,1.75,1.62,1.62,42000,1.42
26-May-1978,0,1.75,1.62,1.62,55600,1.42
30-May-1978,0,1.75,1.62,1.62,48800,1.42
31-May-1978,0,1.78,1.66,1.66,30000,1.46
01-Jun-1978,0,1.78,1.66,1.66,19200,1.46
02-Jun-1978,0,1.78,1.66,1.66,22400,1.46
05-Jun-1978,0,1.78,1.66,1.66,6800,1.46
06-Jun-1978,0,1.78,1.66,1.66,76000,1.46
07-Jun-1978,0,1.72,1.59,1.59,32000,1.4
08-Jun-1978,0,1.72,1.59,1.59,35600,1.4
09-Jun-1978,0,1.72,1.59,1.59,14000,1.4
12-Jun-1978,0,1.72,1.59,1.59,32800,1.4
13-Jun-1978,0,1.72,1.59,1.59,40400,1.4
14-Jun-1978,0,1.78,1.66,1.66,67600,1.46
15-Jun-1978,0,1.75,1.62,1.62,86800,1.42
16-Jun-1978,0,1.72,1.59,1.59,32000,1.4
19-Jun-1978,0,1.56,1.44,1.44,32800,1.27
20-Jun-1978,0,1.66,1.53,1.53,32000,1.34
21-Jun-1978,0,1.62,1.5,1.5,13200,1.32
22-Jun-1978,0,1.56,1.44,1.44,32000,1.27
23-Jun-1978,0,1.53,1.41,1.41,36800,1.24
26-Jun-1978,0,1.53,1.41,1.41,18000,1.24
27-Jun-1978,0,1.5,1.38,1.38,17600,1.21
28-Jun-1978,0,1.47,1.34,1.34,16800,1.18
29-Jun-1978,0,1.47,1.34,1.34,19600,1.18
30-Jun-1978,0,1.47,1.34,1.34,38400,1.18
03-Jul-1978,0,1.47,1.34,1.34,17200,1.18
05-Jul-1978,0,1.44,1.31,1.31,45200,1.15
06-Jul-1978,0,1.47,1.34,1.34,44000,1.18
07-Jul-1978,0,1.38,1.25,1.25,96000,1.1
10-Jul-1978,0,1.34,1.22,1.22,37200,1.07
11-Jul-1978,0,1.38,1.25,1.25,26000,1.1
12-Jul-1978,0,1.47,1.34,1.34,124400,1.18
13-Jul-1978,0,1.47,1.34,1.34,19200,1.18
14-Jul-1978,0,1.53,1.41,1.41,48400,1.24
17-Jul-1978,0,1.53,1.41,1.41,19200,1.24
18-Jul-1978,0,1.53,1.41,1.41,20000,1.24
19-Jul-1978,0,1.47,1.34,1.34,54000,1.18
20-Jul-1978,0,1.56,1.44,1.44,60000,1.27
21-Jul-1978,0,1.66,1.53,1.53,58000,1.34
24-Jul-1978,0,1.69,1.56,1.56,186000,1.37
25-Jul-1978,0,1.78,1.66,1.66,92000,1.46
26-Jul-1978,0,1.72,1.59,1.59,96400,1.4
27-Jul-1978,0,1.69,1.56,1.56,28000,1.37
28-Jul-1978,0,1.66,1.53,1.53,73200,1.34
31-Jul-1978,0,1.66,1.53,1.53,15600,1.34
01-Aug-1978,0,1.62,1.5,1.5,30000,1.32
02-Aug-1978,0,1.62,1.5,1.5,99600,1.32
03-Aug-1978,0,1.62,1.5,1.5,76800,1.32
04-Aug-1978,0,1.62,1.5,1.5,26000,1.32
07-Aug-1978,0,1.62,1.5,1.5,37200,1.32
08-Aug-1978,0,1.62,1.5,1.5,44800,1.32
09-Aug-1978,0,1.59,1.47,1.47,27600,1.29
10-Aug-1978,0,1.59,1.47,1.47,38400,1.29
11-Aug-1978,0,1.62,1.5,1.5,22000,1.32
14-Aug-1978,0,1.62,1.5,1.5,45200,1.32
15-Aug-1978,0,1.66,1.53,1.53,34400,1.34
16-Aug-1978,0,1.69,1.56,1.56,94800,1.37
17-Aug-1978,0,1.75,1.62,1.62,95200,1.42
18-Aug-1978,0,1.72,1.59,1.59,46000,1.4
21-Aug-1978,0,1.56,1.44,1.44,154800,1.27
22-Aug-1978,0,1.59,1.47,1.47,57600,1.29
23-Aug-1978,0,1.59,1.47,1.47,33200,1.29
24-Aug-1978,0,1.59,1.47,1.47,23200,1.29
25-Aug-1978,0,1.62,1.5,1.5,59200,1.32
28-Aug-1978,0,1.56,1.44,1.44,93200,1.27
29-Aug-1978,0,1.59,1.47,1.47,16800,1.29
30-Aug-1978,0,1.59,1.47,1.47,28800,1.29
31-Aug-1978,0,1.62,1.5,1.5,44400,1.32
01-Sep-1978,0,1.62,1.5,1.5,74800,1.32
05-Sep-1978,0,1.62,1.5,1.5,20800,1.32
06-Sep-1978,0,1.62,1.5,1.5,82400,1.32
07-Sep-1978,0,1.66,1.53,1.53,48400,1.34
08-Sep-1978,0,1.66,1.53,1.53,29200,1.34
11-Sep-1978,0,1.69,1.56,1.56,30800,1.37
12-Sep-1978,0,1.66,1.53,1.53,67200,1.34
13-Sep-1978,0,1.72,1.59,1.59,87200,1.4
14-Sep-1978,0,1.66,1.53,1.53,70800,1.34
15-Sep-1978,0,1.66,1.53,1.53,50000,1.34
18-Sep-1978,0,1.62,1.5,1.5,51200,1.32
19-Sep-1978,0,1.59,1.47,1.47,30400,1.29
20-Sep-1978,0,1.5,1.38,1.38,42400,1.21
21-Sep-1978,0,1.53,1.41,1.41,28000,1.24
22-Sep-1978,0,1.59,1.47,1.47,43200,1.29
25-Sep-1978,0,1.59,1.47,1.47,10800,1.29
26-Sep-1978,0,1.59,1.47,1.47,14000,1.29
27-Sep-1978,0,1.56,1.44,1.44,19600,1.27
28-Sep-1978,0,1.56,1.44,1.44,8800,1.27
29-Sep-1978,0,1.56,1.44,1.44,1200,1.27
02-Oct-1978,0,1.56,1.44,1.44,11200,1.27
03-Oct-1978,0,1.56,1.44,1.44,8800,1.27
04-Oct-1978,0,1.56,1.44,1.44,8400,1.27
05-Oct-1978,0,1.53,1.41,1.41,18000,1.24
06-Oct-1978,0,1.53,1.41,1.41,7200,1.24
09-Oct-1978,0,1.5,1.38,1.38,32800,1.21
10-Oct-1978,0,1.47,1.34,1.34,26400,1.18
11-Oct-1978,0,1.44,1.31,1.31,12400,1.15
12-Oct-1978,0,1.5,1.38,1.38,19200,1.21
13-Oct-1978,0,1.53,1.41,1.41,36400,1.24
16-Oct-1978,0,1.56,1.44,1.44,15200,1.27
17-Oct-1978,0,1.5,1.38,1.38,10800,1.21
18-Oct-1978,0,1.5,1.38,1.38,14800,1.21
19-Oct-1978,0,1.38,1.25,1.25,57600,1.1
20-Oct-1978,0,1.31,1.19,1.19,36000,1.05
23-Oct-1978,0,1.19,1.06,1.06,73600,0.93
24-Oct-1978,0,1.16,1.03,1.03,29200,0.91
25-Oct-1978,0,1.19,1.06,1.06,46000,0.93
26-Oct-1978,0,1.12,1,1,44800,0.88
27-Oct-1978,0,1.12,1,1,37600,0.88
30-Oct-1978,0,1.06,0.94,0.94,69200,0.83
31-Oct-1978,0,1.06,0.94,0.94,56800,0.83
01-Nov-1978,0,1.03,0.91,0.91,22000,0.8
02-Nov-1978,0,0.97,0.84,0.84,116000,0.74
03-Nov-1978,0,1,0.88,0.88,244000,0.77
06-Nov-1978,0,1.03,0.91,0.91,59200,0.8
07-Nov-1978,0,1.03,0.91,0.91,49200,0.8
08-Nov-1978,0,1.06,0.94,0.94,25200,0.83
09-Nov-1978,0,1.12,1,1,56000,0.88
10-Nov-1978,0,1.16,1.03,1.03,32800,0.91
13-Nov-1978,0,1.31,1.19,1.19,98400,1.05
14-Nov-1978,0,1.28,1.16,1.16,20800,1.02
15-Nov-1978,0,1.28,1.16,1.16,15600,1.02
16-Nov-1978,0,1.28,1.16,1.16,18000,1.02
17-Nov-1978,0,1.34,1.22,1.22,35200,1.07
20-Nov-1978,0,1.34,1.22,1.22,112800,1.07
21-Nov-1978,0,1.34,1.22,1.22,106800,1.07
22-Nov-1978,0,1.34,1.22,1.22,71200,1.07
24-Nov-1978,0,1.34,1.22,1.22,800,1.07
27-Nov-1978,0,1.31,1.19,1.19,34800,1.05
28-Nov-1978,0,1.28,1.16,1.16,65600,1.02
29-Nov-1978,0,1.25,1.12,1.12,28400,0.98
30-Nov-1978,0,1.25,1.12,1.12,8800,0.98
01-Dec-1978,0,1.28,1.16,1.16,18800,1.02
04-Dec-1978,0,1.28,1.16,1.16,17200,1.02
05-Dec-1978,0,1.28,1.16,1.16,6000,1.02
06-Dec-1978,0,1.31,1.19,1.19,153200,1.05
07-Dec-1978,0,1.31,1.19,1.19,18000,1.05
08-Dec-1978,0,1.31,1.19,1.19,108800,1.05
11-Dec-1978,0,1.22,1.09,1.09,108400,0.96
12-Dec-1978,0,1.22,1.09,1.09,40000,0.96
13-Dec-1978,0,1.22,1.09,1.09,39200,0.96
14-Dec-1978,0,1.22,1.09,1.09,58000,0.96
15-Dec-1978,0,1.19,1.06,1.06,6400,0.93
18-Dec-1978,0,1.16,1.03,1.03,44000,0.91
19-Dec-1978,0,1.12,1,1,35600,0.88
20-Dec-1978,NaN,NaN,NaN,1,0,0.88
21-Dec-1978,0,1.19,1.06,1.06,162800,0.93
22-Dec-1978,0,1.19,1.06,1.06,28800,0.93
26-Dec-1978,0,1.19,1.06,1.06,45600,0.93
27-Dec-1978,0,1.12,1,1,187200,0.88
28-Dec-1978,0,1.12,1,1,40800,0.88
29-Dec-1978,0,1.44,1.31,1.31,246800,1.15
02-Jan-1979,0,1.44,1.31,1.31,86400,1.15
03-Jan-1979,0,1.44,1.31,1.31,23200,1.15
04-Jan-1979,0,1.44,1.31,1.31,90000,1.15
05-Jan-1979,0,1.56,1.44,1.44,96400,1.27
08-Jan-1979,0,1.62,1.5,1.5,37600,1.32
09-Jan-1979,0,1.69,1.56,1.56,87200,1.37
10-Jan-1979,0,1.75,1.62,1.62,74000,1.42
11-Jan-1979,0,1.91,1.78,1.78,133200,1.56
12-Jan-1979,0,1.81,1.69,1.69,101200,1.49
15-Jan-1979,0,1.81,1.69,1.69,30800,1.49
16-Jan-1979,0,1.78,1.66,1.66,65600,1.46
17-Jan-1979,0,1.69,1.56,1.56,40800,1.37
18-Jan-1979,0,1.69,1.56,1.56,26400,1.37
19-Jan-1979,0,1.69,1.56,1.56,38000,1.37
22-Jan-1979,0,1.69,1.56,1.56,27200,1.37
23-Jan-1979,0,1.69,1.56,1.56,51200,1.37
24-Jan-1979,0,1.62,1.5,1.5,50400,1.32
25-Jan-1979,0,1.72,1.59,1.59,41600,1.4
26-Jan-1979,0,1.72,1.59,1.59,4800,1.4
29-Jan-1979,0,1.69,1.56,1.56,30000,1.37
30-Jan-1979,0,1.62,1.5,1.5,35600,1.32
31-Jan-1979,0,1.62,1.5,1.5,29600,1.32
01-Feb-1979,0,1.44,1.31,1.31,128800,1.15
02-Feb-1979,0,1.41,1.28,1.28,17600,1.12
05-Feb-1979,0,1.38,1.25,1.25,28400,1.1
06-Feb-1979,0,1.38,1.25,1.25,32400,1.1
07-Feb-1979,0,1.38,1.25,1.25,48400,1.1
08-Feb-1979,0,1.38,1.25,1.25,28800,1.1
09-Feb-1979,0,1.41,1.28,1.28,90000,1.12
12-Feb-1979,0,1.5,1.38,1.38,97600,1.21
13-Feb-1979,0,1.47,1.34,1.34,61200,1.18
14-Feb-1979,0,1.5,1.38,1.38,36000,1.21
15-Feb-1979,0,1.59,1.47,1.47,72400,1.29
16-Feb-1979,0,1.62,1.5,1.5,157200,1.32
20-Feb-1979,0,1.66,1.53,1.53,66000,1.34
21-Feb-1979,0,1.62,1.5,1.5,18400,1.32
22-Feb-1979,0,1.59,1.47,1.47,14800,1.29
23-Feb-1979,0,1.56,1.44,1.44,20000,1.27
26-Feb-1979,0,1.53,1.41,1.41,11200,1.24
27-Feb-1979,0,1.47,1.34,1.34,20400,1.18
28-Feb-1979,0,1.44,1.31,1.31,7600,1.15
01-Mar-1979,0,1.44,1.31,1.31,2000,1.15
02-Mar-1979,0,1.44,1.31,1.31,8400,1.15
05-Mar-1979,0,1.47,1.34,1.34,400,1.18
06-Mar-1979,0,1.44,1.31,1.31,48400,1.15
07-Mar-1979,0,1.44,1.31,1.31,25200,1.15
08-Mar-1979,0,1.38,1.25,1.25,117600,1.1
09-Mar-1979,0,1.38,1.25,1.25,50000,1.1
12-Mar-1979,0,1.41,1.28,1.28,48000,1.12
13-Mar-1979,0,1.38,1.25,1.25,29600,1.1
14-Mar-1979,0,1.38,1.25,1.25,31200,1.1
15-Mar-1979,0,1.44,1.31,1.31,23600,1.15
16-Mar-1979,0,1.56,1.44,1.44,63200,1.27
19-Mar-1979,0,1.56,1.44,1.44,82400,1.27
20-Mar-1979,0,1.53,1.41,1.41,32800,1.24
21-Mar-1979,0,1.53,1.41,1.41,27200,1.24
22-Mar-1979,0,1.53,1.41,1.41,23200,1.24
23-Mar-1979,0,1.5,1.38,1.38,58800,1.21
26-Mar-1979,0,1.44,1.31,1.31,28000,1.15
27-Mar-1979,0,1.44,1.31,1.31,6800,1.15
28-Mar-1979,0,1.5,1.38,1.38,5600,1.21
29-Mar-1979,0,1.5,1.38,1.38,14400,1.21
30-Mar-1979,0,1.5,1.38,1.38,27200,1.21
02-Apr-1979,0,1.5,1.38,1.38,28400,1.21
03-Apr-1979,0,1.5,1.38,1.38,12400,1.21
04-Apr-1979,0,1.53,1.41,1.41,39200,1.24
05-Apr-1979,0,1.56,1.44,1.44,26000,1.27
06-Apr-1979,0,1.59,1.47,1.47,100800,1.29
09-Apr-1979,0,1.59,1.47,1.47,31200,1.29
10-Apr-1979,0,1.59,1.47,1.47,18400,1.29
11-Apr-1979,0,1.53,1.41,1.41,24000,1.24
12-Apr-1979,0,1.56,1.44,1.44,29600,1.27
16-Apr-1979,0,1.5,1.38,1.38,43200,1.21
17-Apr-1979,0,1.53,1.41,1.41,25600,1.24
18-Apr-1979,0,1.53,1.41,1.41,29600,1.24
19-Apr-1979,0,1.59,1.47,1.47,96000,1.29
20-Apr-1979,0,1.69,1.56,1.56,61200,1.37
23-Apr-1979,0,1.66,1.53,1.53,147200,1.34
24-Apr-1979,0,1.66,1.53,1.53,158400,1.34
25-Apr-1979,0,1.69,1.56,1.56,50800,1.37
26-Apr-1979,0,1.81,1.69,1.69,112800,1.49
27-Apr-1979,0,1.94,1.81,1.81,195600,1.59
30-Apr-1979,0,1.78,1.66,1.66,158400,1.46
01-May-1979,0,1.72,1.59,1.59,75600,1.4
02-May-1979,0,1.72,1.59,1.59,50800,1.4
03-May-1979,0,1.56,1.44,1.44,78000,1.27
04-May-1979,0,1.53,1.41,1.41,9600,1.24
07-May-1979,0,1.5,1.38,1.38,22000,1.21
08-May-1979,0,1.41,1.28,1.28,72000,1.12
09-May-1979,0,1.38,1.25,1.25,35600,1.1
10-May-1979,0,1.38,1.25,1.25,67200,1.1
11-May-1979,0,1.38,1.25,1.25,63600,1.1
