Date,Open,High,Low,Close,Volume,AdjClose
10-Feb-2005,17.5,18.01,17,17.75,12701300,17.75
11-Feb-2005,17.6,18.05,17.6,17.92,1738400,17.92
14-Feb-2005,17.8,18.3,17.7,17.9,1009500,17.9
15-Feb-2005,18,18.03,17.6,17.72,867300,17.72
16-Feb-2005,17.62,17.7,17.45,17.58,1585700,17.58
17-Feb-2005,17.58,18.19,17.5,18,278400,18
18-Feb-2005,17.9,18.8,17.9,18.65,436000,18.65
22-Feb-2005,18.66,18.66,17.77,18.1,230500,18.1
23-Feb-2005,18,18.24,17.96,18,184100,18
24-Feb-2005,17.75,18.15,17.7,18.07,267000,18.07
25-Feb-2005,18.13,18.37,18.01,18.15,366900,18.15
28-Feb-2005,18.12,18.22,17.75,18,426000,18
01-Mar-2005,18,18.2,17.75,17.8,461200,17.8
02-Mar-2005,17.8,17.93,17.78,17.82,120700,17.82
03-Mar-2005,17.88,17.88,17.65,17.75,164200,17.75
04-Mar-2005,17.75,18.1,17.69,18,436400,18
07-Mar-2005,17.95,18.07,17.82,17.96,242000,17.96
08-Mar-2005,17.9,18,17.8,18,208700,18
09-Mar-2005,17.9,17.9,17.6,17.72,314800,17.72
10-Mar-2005,17.7,17.7,17.55,17.6,175100,17.6
11-Mar-2005,17.5,18.51,17.5,18.5,328700,18.5
14-Mar-2005,18.2,18.25,17.87,18.25,206600,18.25
15-Mar-2005,18.1,18.1,17.63,17.63,150600,17.63
16-Mar-2005,17.55,17.65,17.15,17.28,556500,17.28
17-Mar-2005,17.4,17.68,17.33,17.59,339900,17.59
18-Mar-2005,17.6,18.35,17.59,18.2,370500,18.2
21-Mar-2005,18,18.1,17.4,18,394500,18
22-Mar-2005,17.9,17.95,17.45,17.5,194900,17.5
23-Mar-2005,17.48,17.99,17.48,17.87,115000,17.87
24-Mar-2005,18,18.15,17.8,17.99,370500,17.99
28-Mar-2005,17.95,17.98,17.56,17.9,77000,17.9
29-Mar-2005,17.75,18,17.57,18,545400,18
30-Mar-2005,18,18.04,17.63,18,412900,18
31-Mar-2005,17.95,18.28,17.54,17.65,1264900,17.65
01-Apr-2005,17.5,17.64,17.15,17.49,946600,17.49
04-Apr-2005,17.4,17.45,16.8,16.94,602300,16.94
05-Apr-2005,16.9,17,16.79,17,375200,17
06-Apr-2005,17,17.14,16.95,17.04,231500,17.04
