Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,1.27,1.23,1.24,516800,0.41
04-Jan-1978,0,1.23,1.22,1.23,187200,0.41
05-Jan-1978,0,1.24,1.21,1.21,192000,0.4
06-Jan-1978,0,1.2,1.18,1.18,334400,0.39
09-Jan-1978,0,1.18,1.15,1.16,230400,0.39
10-Jan-1978,0,1.17,1.15,1.16,475200,0.39
11-Jan-1978,0,1.17,1.16,1.17,131200,0.39
12-Jan-1978,0,1.17,1.16,1.16,72000,0.39
13-Jan-1978,0,1.18,1.16,1.18,48000,0.39
16-Jan-1978,0,1.17,1.16,1.16,238400,0.39
17-Jan-1978,0,1.18,1.16,1.17,136000,0.39
18-Jan-1978,0,1.17,1.16,1.16,84800,0.39
19-Jan-1978,0,1.17,1.16,1.17,91200,0.39
20-Jan-1978,0,1.17,1.16,1.17,72000,0.39
23-Jan-1978,0,1.17,1.16,1.16,321600,0.39
24-Jan-1978,0,1.19,1.16,1.19,163200,0.4
25-Jan-1978,0,1.19,1.16,1.17,108800,0.39
26-Jan-1978,0,1.18,1.16,1.18,89600,0.39
27-Jan-1978,0,1.17,1.16,1.16,73600,0.39
30-Jan-1978,0,1.17,1.16,1.16,78400,0.39
31-Jan-1978,0,1.17,1.16,1.16,38400,0.39
01-Feb-1978,0,1.16,1.14,1.16,209600,0.39
02-Feb-1978,0,1.19,1.16,1.17,176000,0.39
03-Feb-1978,0,1.19,1.17,1.17,124800,0.39
06-Feb-1978,0,1.18,1.16,1.17,262400,0.39
07-Feb-1978,0,1.17,1.16,1.17,41600,0.39
08-Feb-1978,0,1.2,1.18,1.2,97600,0.4
09-Feb-1978,0,1.2,1.2,1.2,105600,0.4
10-Feb-1978,0,1.2,1.2,1.2,59200,0.4
13-Feb-1978,0,1.21,1.2,1.21,46400,0.4
14-Feb-1978,0,1.22,1.2,1.22,89600,0.41
15-Feb-1978,0,1.21,1.2,1.21,180800,0.4
16-Feb-1978,0,1.2,1.18,1.19,97600,0.4
17-Feb-1978,0,1.18,1.17,1.17,89600,0.39
21-Feb-1978,0,1.18,1.16,1.18,286400,0.39
22-Feb-1978,0,1.16,1.15,1.15,126400,0.38
23-Feb-1978,0,1.16,1.15,1.16,65600,0.39
