Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,14.42,14.34,14.42,2400,4.65
04-Jan-1978,0,14.42,14.09,14.09,10300,4.55
05-Jan-1978,0,14.09,14.01,14.01,7800,4.52
06-Jan-1978,0,14.01,13.84,13.92,11100,4.49
09-Jan-1978,0,13.84,13.67,13.76,8700,4.44
10-Jan-1978,0,13.67,13.51,13.67,11200,4.41
11-Jan-1978,0,13.76,13.67,13.67,7200,4.41
12-Jan-1978,0,13.92,13.76,13.92,17100,4.49
13-Jan-1978,0,14.01,13.84,13.92,12100,4.49
16-Jan-1978,0,13.84,13.67,13.84,3600,4.47
17-Jan-1978,0,13.92,13.84,13.84,3900,4.47
18-Jan-1978,0,13.76,13.67,13.76,15700,4.44
19-Jan-1978,0,13.76,13.59,13.59,6400,4.39
20-Jan-1978,0,13.67,13.42,13.42,43600,4.33
23-Jan-1978,0,13.51,12.92,12.92,46600,4.17
24-Jan-1978,0,13.17,13.01,13.17,24900,4.25
25-Jan-1978,0,13.17,13.09,13.17,20200,4.25
26-Jan-1978,0,13.26,13.09,13.26,19300,4.28
27-Jan-1978,0,13.42,13.26,13.42,28900,4.33
30-Jan-1978,0,13.42,13.34,13.42,14700,4.33
31-Jan-1978,0,13.51,13.34,13.51,19500,4.36
01-Feb-1978,0,13.51,13.26,13.51,17200,4.36
02-Feb-1978,0,13.67,13.42,13.67,10500,4.41
03-Feb-1978,0,13.76,13.59,13.67,11800,4.41
06-Feb-1978,0,13.84,13.76,13.84,3300,4.47
07-Feb-1978,0,14.01,13.84,14.01,10500,4.52
08-Feb-1978,0,14.17,13.84,14.01,34500,4.52
09-Feb-1978,0,14.09,13.92,14.01,10000,4.52
10-Feb-1978,0,14.17,13.92,13.92,7000,4.49
13-Feb-1978,0,14.01,13.84,14.01,4800,4.52
14-Feb-1978,0,14.26,14.09,14.09,7600,4.55
15-Feb-1978,0,14.01,14.01,14.01,3100,4.52
16-Feb-1978,0,14.17,14.01,14.09,4300,4.55
17-Feb-1978,0,14.17,14.01,14.01,4200,4.52
21-Feb-1978,0,14.09,13.76,13.76,48700,4.44
22-Feb-1978,0,13.76,13.76,13.76,1500,4.44
23-Feb-1978,0,13.84,13.67,13.76,9400,4.44
24-Feb-1978,0,13.84,13.67,13.67,17800,4.41
27-Feb-1978,0,13.76,13.59,13.67,3100,4.41
28-Feb-1978,0,13.76,13.67,13.67,2100,4.41
01-Mar-1978,0,13.67,13.59,13.67,7000,4.41
02-Mar-1978,0,13.67,13.59,13.59,4800,4.39
03-Mar-1978,0,13.67,13.59,13.59,7900,4.39
06-Mar-1978,0,13.67,13.51,13.59,3900,4.39
07-Mar-1978,0,13.59,13.51,13.59,3000,4.39
08-Mar-1978,0,13.59,13.34,13.59,233700,4.39
09-Mar-1978,0,13.67,13.51,13.67,3400,4.41
10-Mar-1978,0,14.01,13.76,14.01,30100,4.52
13-Mar-1978,0,14.01,13.76,13.76,13000,4.44
14-Mar-1978,0,13.92,13.84,13.84,10600,4.47
15-Mar-1978,0,13.92,13.67,13.84,19900,4.47
16-Mar-1978,0,13.84,13.76,13.84,16000,4.47
17-Mar-1978,0,13.92,13.76,13.84,8200,4.47
20-Mar-1978,0,14.01,13.84,14.01,32700,4.52
21-Mar-1978,0,14.01,13.92,13.92,15700,4.49
22-Mar-1978,0,14.01,13.84,14.01,34000,4.52
23-Mar-1978,0,14.01,13.84,13.92,6600,4.49
27-Mar-1978,0,14.17,14.01,14.17,12400,4.57
28-Mar-1978,0,14.17,14.09,14.17,5100,4.57
29-Mar-1978,0,14.17,14.01,14.01,25200,4.52
30-Mar-1978,0,14.09,13.92,14.01,6400,4.52
31-Mar-1978,0,14.01,13.84,13.92,8400,4.49
03-Apr-1978,0,13.92,13.67,13.76,39900,4.44
04-Apr-1978,0,13.84,13.76,13.84,1900,4.47
05-Apr-1978,0,13.92,13.84,13.92,16900,4.49
06-Apr-1978,0,14.01,13.92,14.01,4500,4.52
07-Apr-1978,0,14.01,13.92,14.01,10600,4.52
10-Apr-1978,0,14.01,13.92,14.01,4300,4.52
11-Apr-1978,0,14.01,13.84,14.01,6700,4.52
12-Apr-1978,0,14.09,14.01,14.01,10800,4.52
13-Apr-1978,0,14.01,13.84,14.01,19500,4.52
14-Apr-1978,0,14.09,13.92,14.01,29400,4.52
17-Apr-1978,0,14.09,13.92,13.92,9000,4.49
18-Apr-1978,0,14.09,13.92,14.01,4900,4.52
19-Apr-1978,0,14.09,13.92,14.01,4600,4.52
20-Apr-1978,0,14.09,13.92,14.01,21000,4.52
21-Apr-1978,0,14.09,13.92,14.01,5100,4.52
24-Apr-1978,0,14.09,13.92,13.92,9100,4.49
25-Apr-1978,0,14.09,13.84,13.92,16800,4.49
26-Apr-1978,0,14.01,13.92,14.01,9900,4.52
27-Apr-1978,0,14.09,13.92,13.92,9700,4.49
28-Apr-1978,0,13.92,13.84,13.84,12300,4.47
01-May-1978,0,13.92,13.76,13.76,6900,4.44
02-May-1978,0,13.84,13.67,13.67,12300,4.41
03-May-1978,0,13.51,13.26,13.26,10600,4.28
04-May-1978,0,13.26,13.09,13.17,8700,4.25
05-May-1978,0,13.17,13.09,13.17,5400,4.25
08-May-1978,0,13.26,13.01,13.09,10600,4.23
09-May-1978,0,13.17,13.09,13.17,5200,4.25
10-May-1978,0,13.26,13.09,13.09,11500,4.23
11-May-1978,0,13.09,12.84,12.92,95400,4.17
12-May-1978,0,13.01,12.84,13.01,7200,4.2
15-May-1978,0,13.09,13.01,13.09,3700,4.23
16-May-1978,0,13.26,12.92,13.01,17700,4.2
17-May-1978,0,13.09,13.01,13.09,5700,4.23
18-May-1978,0,13.09,13.01,13.01,4200,4.2
19-May-1978,0,13.09,12.92,13.01,22200,4.2
22-May-1978,0,13.17,13.01,13.17,20700,4.25
23-May-1978,0,13.09,12.92,12.92,5700,4.17
24-May-1978,0,13.01,12.92,12.92,2200,4.17
25-May-1978,0,13.09,13.01,13.09,4800,4.23
26-May-1978,0,13.09,13.01,13.01,5800,4.2
30-May-1978,0,13.01,12.84,13.01,9700,4.2
31-May-1978,0,13.09,12.92,13.01,10300,4.2
01-Jun-1978,0,13.01,13.01,13.01,5100,4.2
02-Jun-1978,0,13.01,13.01,13.01,52000,4.2
05-Jun-1978,0,13.09,13.01,13.09,26400,4.23
06-Jun-1978,0,13.17,13.01,13.01,92100,4.2
07-Jun-1978,0,13.09,12.92,13.09,19600,4.23
08-Jun-1978,0,13.09,12.92,13.09,17500,4.23
09-Jun-1978,0,13.09,12.92,13.09,21400,4.23
12-Jun-1978,0,13.17,12.92,13.09,10600,4.23
13-Jun-1978,0,13.09,13.01,13.01,13200,4.2
14-Jun-1978,0,13.09,12.92,12.92,11500,4.17
15-Jun-1978,0,13.17,12.92,13.01,45900,4.2
16-Jun-1978,0,13.17,13.01,13.17,10800,4.25
19-Jun-1978,0,13.17,13.01,13.17,15300,4.25
20-Jun-1978,0,13.17,12.92,13.01,22800,4.2
21-Jun-1978,0,13.09,12.84,13.01,14400,4.2
22-Jun-1978,0,13.09,12.84,12.92,7300,4.17
23-Jun-1978,0,13.09,13.01,13.09,6000,4.23
26-Jun-1978,0,13.09,13.01,13.01,14400,4.2
27-Jun-1978,0,13.09,13.01,13.09,25200,4.23
28-Jun-1978,0,13.01,12.92,13.01,2500,4.2
29-Jun-1978,0,13.17,12.92,13.09,6600,4.23
30-Jun-1978,0,13.17,13.09,13.17,4500,4.25
03-Jul-1978,0,13.17,13.09,13.17,5700,4.25
05-Jul-1978,0,13.51,13.26,13.34,7200,4.31
06-Jul-1978,0,13.42,13.17,13.17,15300,4.25
07-Jul-1978,0,13.34,13.09,13.17,8100,4.25
10-Jul-1978,0,13.34,13.26,13.34,10200,4.31
11-Jul-1978,0,13.42,13.34,13.42,36100,4.33
12-Jul-1978,0,13.67,13.42,13.67,35700,4.41
13-Jul-1978,0,13.67,13.42,13.51,12100,4.36
14-Jul-1978,0,13.67,13.51,13.51,8400,4.36
17-Jul-1978,0,13.59,13.51,13.59,6000,4.39
18-Jul-1978,0,13.59,13.51,13.51,5200,4.36
19-Jul-1978,0,13.67,13.51,13.67,34200,4.41
20-Jul-1978,0,13.67,13.59,13.59,9600,4.39
21-Jul-1978,0,13.76,13.59,13.76,4800,4.44
24-Jul-1978,0,13.76,13.67,13.67,4600,4.41
25-Jul-1978,0,13.76,13.67,13.76,8100,4.44
26-Jul-1978,0,13.92,13.67,13.92,10300,4.49
27-Jul-1978,0,14.09,13.92,14.01,28800,4.52
28-Jul-1978,0,14.34,14.09,14.26,42400,4.6
31-Jul-1978,0,14.34,14.17,14.34,12600,4.63
01-Aug-1978,0,14.34,14.09,14.17,16000,4.57
02-Aug-1978,0,14.09,13.92,13.92,8800,4.49
03-Aug-1978,0,14.09,13.76,13.92,12700,4.49
04-Aug-1978,0,14.09,13.84,14.01,47800,4.52
07-Aug-1978,0,14.17,14.09,14.09,28800,4.55
08-Aug-1978,0,14.26,14.09,14.17,15300,4.57
09-Aug-1978,0,14.34,14.17,14.26,18600,4.6
10-Aug-1978,0,14.26,14.17,14.17,12400,4.57
11-Aug-1978,0,14.26,14.09,14.17,15100,4.57
14-Aug-1978,0,14.26,14.17,14.26,8400,4.6
