Date,Open,High,Low,Close,Volume,AdjClose
02-Nov-1993,0,0.97,0.91,0.92,1780000,0.77
03-Nov-1993,0,0.97,0.84,0.89,1123200,0.74
04-Nov-1993,0,0.89,0.84,0.84,225600,0.7
05-Nov-1993,0,0.89,0.84,0.88,96000,0.73
08-Nov-1993,0,0.89,0.84,0.84,329600,0.7
09-Nov-1993,0,0.89,0.84,0.89,380800,0.74
10-Nov-1993,0,0.91,0.86,0.89,309600,0.74
11-Nov-1993,0,0.91,0.86,0.86,126400,0.72
12-Nov-1993,0,0.91,0.84,0.91,76000,0.76
15-Nov-1993,0,0.91,0.84,0.84,19200,0.7
16-Nov-1993,0,0.84,0.84,0.84,72000,0.7
17-Nov-1993,0,0.91,0.84,0.84,56000,0.7
18-Nov-1993,0,0.88,0.84,0.84,200000,0.7
19-Nov-1993,0,0.91,0.84,0.84,193600,0.7
22-Nov-1993,0,0.91,0.84,0.91,111200,0.76
23-Nov-1993,0,0.88,0.84,0.84,124000,0.7
24-Nov-1993,0,0.84,0.84,0.84,4000,0.7
26-Nov-1993,0,0.84,0.84,0.84,25600,0.7
29-Nov-1993,0,0.84,0.84,0.84,97600,0.7
30-Nov-1993,0,0.91,0.84,0.84,147200,0.7
01-Dec-1993,0,0.9,0.84,0.9,84000,0.75
02-Dec-1993,0,0.91,0.84,0.84,365600,0.7
03-Dec-1993,0,0.91,0.84,0.84,416800,0.7
06-Dec-1993,0,0.91,0.84,0.84,150400,0.7
07-Dec-1993,0,0.88,0.84,0.88,112000,0.73
08-Dec-1993,0,0.91,0.84,0.91,732000,0.76
09-Dec-1993,0,0.91,0.84,0.91,128000,0.76
10-Dec-1993,0,0.88,0.84,0.84,167200,0.7
13-Dec-1993,0,0.84,0.84,0.84,104000,0.7
14-Dec-1993,0,0.84,0.84,0.84,24000,0.7
15-Dec-1993,0,0.91,0.84,0.84,563200,0.7
16-Dec-1993,0,0.84,0.84,0.84,138400,0.7
17-Dec-1993,0,0.88,0.84,0.84,39200,0.7
20-Dec-1993,0,0.88,0.81,0.88,135200,0.73
21-Dec-1993,0,0.83,0.83,0.83,16000,0.69
22-Dec-1993,0,0.88,0.83,0.83,79200,0.69
23-Dec-1993,0,0.88,0.83,0.83,32800,0.69
27-Dec-1993,NaN,NaN,NaN,0.83,0,0.69
28-Dec-1993,0,0.88,0.81,0.81,8800,0.68
29-Dec-1993,0,0.81,0.81,0.81,8800,0.68
30-Dec-1993,0,0.86,0.81,0.86,50400,0.72
31-Dec-1993,0,0.88,0.81,0.86,385600,0.72
03-Jan-1994,0,0.84,0.81,0.83,17600,0.69
04-Jan-1994,0,0.88,0.81,0.88,16800,0.73
05-Jan-1994,0,0.88,0.83,0.88,26400,0.73
06-Jan-1994,0,0.88,0.81,0.88,24000,0.73
07-Jan-1994,0,0.88,0.88,0.88,33600,0.73
10-Jan-1994,0,0.88,0.84,0.86,434400,0.72
11-Jan-1994,0,0.88,0.86,0.88,35200,0.73
12-Jan-1994,0,0.88,0.84,0.86,64000,0.72
13-Jan-1994,0,0.88,0.84,0.86,64000,0.72
14-Jan-1994,0,0.91,0.84,0.84,85600,0.7
17-Jan-1994,0,0.91,0.84,0.84,56000,0.7
18-Jan-1994,0,0.84,0.84,0.84,58400,0.7
19-Jan-1994,0,0.91,0.84,0.86,45600,0.72
