Date,Open,High,Low,Close,Volume,AdjClose
16-Jun-2010,37,37,34.6,34.61,62900,34.05
17-Jun-2010,34.25,34.55,33.8,34,21700,33.45
18-Jun-2010,34.25,34.5,34.25,34.5,300,33.95
21-Jun-2010,34.31,34.75,33.5,33.75,12000,33.21
22-Jun-2010,33.85,33.85,32.3,32.3,81870,31.78
23-Jun-2010,32.17,32.27,31.74,32.27,7260,31.75
24-Jun-2010,32.47,34.24,31.98,32,420240,31.49
25-Jun-2010,32.25,32.95,32.08,32.51,562333,31.99
28-Jun-2010,32.71,32.71,32.1,32.25,361700,31.73
29-Jun-2010,32,32,30.07,30.31,818809,29.82
30-Jun-2010,30.25,31.15,30.15,30.83,7171103,30.33
01-Jul-2010,30.4,31.03,29.22,29.31,2811483,28.84
02-Jul-2010,29.5,29.96,28.88,29.02,3081062,28.55
06-Jul-2010,29.61,29.61,28.01,28.18,2271437,27.73
07-Jul-2010,28.51,29.63,27.9,29.54,2222356,29.07
08-Jul-2010,29.95,31.09,29.91,30.3,2271411,29.81
09-Jul-2010,30.32,31.21,30.09,30.44,1732721,29.95
12-Jul-2010,30.44,30.44,30,30.19,1356308,29.7
13-Jul-2010,30.39,30.67,30.33,30.47,1379902,29.98
14-Jul-2010,30.25,30.57,30.02,30.47,896484,29.98
15-Jul-2010,30.42,30.61,29.69,30.53,1659982,30.04
16-Jul-2010,30.22,30.54,29.25,29.72,1342544,29.24
19-Jul-2010,29.86,30.32,29.55,29.8,1046405,29.32
20-Jul-2010,29.51,30.51,29.11,30.43,1201607,29.94
21-Jul-2010,30.56,30.56,29.39,29.72,861512,29.24
22-Jul-2010,30.01,30.37,29.81,30.02,852835,29.54
23-Jul-2010,29.99,29.99,29.05,29.27,662492,28.8
26-Jul-2010,29.18,29.6,28.95,29.58,888827,29.1
27-Jul-2010,30.2,31,29.51,30.16,1705730,29.68
28-Jul-2010,30.42,31.01,30.35,30.91,1706632,30.41
29-Jul-2010,31.49,33.16,31.34,32.5,3203176,31.98
30-Jul-2010,32.41,35.15,31.68,34.42,2745767,33.87
02-Aug-2010,34.31,34.32,33.62,33.9,1547370,33.35
03-Aug-2010,33.97,34.79,33.4,34.56,805883,34
04-Aug-2010,34.61,34.99,34.24,34.9,833481,34.34
05-Aug-2010,34.71,35.06,34.3,34.89,605487,34.33
06-Aug-2010,34.83,34.83,33.01,33.97,1409697,33.42
09-Aug-2010,34.08,34.46,33.14,34.3,554221,33.75
10-Aug-2010,34.21,34.28,33.39,33.61,852991,33.07
11-Aug-2010,32.92,32.92,31.57,31.78,860216,31.27
12-Aug-2010,31.5,31.5,30.06,30.89,1094844,30.39
13-Aug-2010,30.75,31.25,29.92,30.14,1841342,29.66
16-Aug-2010,30.07,30.63,29.63,30.32,935629,29.83
17-Aug-2010,30.64,31.93,30.29,31.6,1117356,31.09
18-Aug-2010,31.42,31.9,30.79,31.5,980416,31.01
19-Aug-2010,31.29,31.46,30.76,31.34,442005,30.86
20-Aug-2010,30.93,31.37,30.77,31.01,724259,30.53
23-Aug-2010,31.09,31.48,30.58,31.17,497884,30.69
24-Aug-2010,30.66,30.93,30.33,30.65,893521,30.18
25-Aug-2010,30.55,30.9,30.16,30.54,758713,30.07
26-Aug-2010,30.71,31.04,30.16,30.41,1206199,29.94
27-Aug-2010,30.62,30.68,29.76,30.38,730669,29.91
30-Aug-2010,30.34,30.61,29.44,29.45,736597,28.99
31-Aug-2010,29.21,29.72,28.57,28.93,1402367,28.48
01-Sep-2010,29.5,30.8,29.3,30.76,929198,30.28
02-Sep-2010,30.84,31.55,30.33,31.31,546176,30.83
03-Sep-2010,31.68,31.85,31.11,31.75,617129,31.26
07-Sep-2010,31.47,31.74,31.25,31.31,378754,30.83
08-Sep-2010,30.85,31.3,30.26,30.55,874344,30.08
09-Sep-2010,30.76,31.03,30,30.08,383748,29.62
10-Sep-2010,30.08,30.22,29.83,30.07,986777,29.61
13-Sep-2010,30.49,30.49,29.01,29.76,1569612,29.3
14-Sep-2010,29.78,29.85,29.27,29.76,937873,29.3
15-Sep-2010,29.62,29.89,29.4,29.87,463364,29.41
16-Sep-2010,29.61,30.07,29.51,29.7,872759,29.24
17-Sep-2010,29.86,30.16,29.06,29.19,2999853,28.74
20-Sep-2010,29.31,30,28.85,29.77,834512,29.31
21-Sep-2010,29.7,29.71,28.65,29.24,1686989,28.79
22-Sep-2010,29.36,29.58,28.99,29.3,1443446,28.85
23-Sep-2010,29.17,29.48,29.07,29.3,1345495,28.85
24-Sep-2010,29.54,29.73,29.24,29.34,1139463,28.89
27-Sep-2010,29.3,29.5,29.13,29.17,616764,28.72
28-Sep-2010,29.15,29.88,28.74,29.84,569886,29.38
29-Sep-2010,29.81,30.05,29.61,29.88,887035,29.42
30-Sep-2010,29.94,30.75,29.81,30.14,951226,29.67
01-Oct-2010,30.29,30.89,30.21,30.35,1063105,29.88
04-Oct-2010,30.32,30.48,29.94,30.04,560073,29.58
05-Oct-2010,30.23,30.57,30.19,30.39,898056,29.92
06-Oct-2010,30.39,30.82,30.15,30.79,1242135,30.31
07-Oct-2010,30.82,30.98,30.23,30.45,778705,29.98
08-Oct-2010,30.46,30.72,30.29,30.35,967050,29.88
11-Oct-2010,30.28,30.43,30.1,30.2,508218,29.73
12-Oct-2010,30.08,30.18,29.54,29.68,1136509,29.22
13-Oct-2010,29.86,30.6,29.69,30.49,1629003,30.02
14-Oct-2010,30.38,30.8,30.15,30.53,1097935,30.06
15-Oct-2010,30.65,31.19,30.45,31.15,1338027,30.67
18-Oct-2010,31.09,32,30.97,31.87,1076488,31.38
19-Oct-2010,31.25,31.67,30.71,31.48,1201600,30.99
20-Oct-2010,31.6,32,31.34,31.62,798339,31.13
21-Oct-2010,31.62,32.24,31.05,31.78,584668,31.29
22-Oct-2010,31.92,31.92,31.42,31.8,469079,31.31
25-Oct-2010,31.98,32.04,31.38,31.45,439185,30.96
