Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,0,3.88,3.81,3.84,140800,3.36
04-Jan-1978,0,3.81,3.75,3.81,109600,3.33
05-Jan-1978,0,3.88,3.72,3.72,173600,3.26
06-Jan-1978,0,3.69,3.66,3.66,797600,3.2
09-Jan-1978,0,3.66,3.41,3.5,297600,3.06
10-Jan-1978,0,3.5,3.31,3.34,51200,2.92
11-Jan-1978,0,3.34,3.25,3.25,60000,2.84
12-Jan-1978,0,3.31,3.19,3.19,140000,2.79
13-Jan-1978,0,3.28,3.22,3.25,72800,2.84
16-Jan-1978,0,3.28,3.25,3.28,33600,2.87
17-Jan-1978,0,3.34,3.25,3.34,112800,2.92
18-Jan-1978,0,3.5,3.38,3.5,111200,3.06
19-Jan-1978,0,3.53,3.47,3.47,436000,3.04
20-Jan-1978,0,3.47,3.44,3.47,24800,3.04
23-Jan-1978,0,3.47,3.34,3.34,70400,2.92
24-Jan-1978,0,3.31,3.25,3.31,150400,2.9
25-Jan-1978,0,3.34,3.28,3.34,12000,2.92
26-Jan-1978,0,3.28,3.22,3.25,231200,2.84
27-Jan-1978,0,3.41,3.25,3.34,66400,2.92
30-Jan-1978,0,3.5,3.34,3.44,48800,3.01
31-Jan-1978,0,3.47,3.44,3.47,60800,3.04
01-Feb-1978,0,3.5,3.44,3.5,40000,3.06
02-Feb-1978,0,3.59,3.53,3.56,84000,3.12
03-Feb-1978,0,3.66,3.59,3.62,40800,3.17
06-Feb-1978,0,3.66,3.59,3.62,28000,3.17
07-Feb-1978,0,3.69,3.62,3.69,53600,3.23
08-Feb-1978,0,3.72,3.56,3.56,236000,3.12
09-Feb-1978,0,3.69,3.59,3.69,284000,3.23
10-Feb-1978,0,3.72,3.66,3.66,35200,3.2
13-Feb-1978,0,3.66,3.56,3.56,28800,3.12
14-Feb-1978,0,3.56,3.44,3.44,44000,3.01
15-Feb-1978,0,3.47,3.38,3.38,86400,2.96
16-Feb-1978,0,3.38,3.31,3.31,136800,2.9
17-Feb-1978,0,3.38,3.31,3.34,33600,2.92
21-Feb-1978,0,3.44,3.28,3.41,70400,2.98
22-Feb-1978,0,3.5,3.38,3.5,397600,3.06
23-Feb-1978,0,3.5,3.44,3.5,27200,3.06
24-Feb-1978,NaN,NaN,NaN,3.5,0,3.06
27-Feb-1978,0,3.56,3.44,3.44,208800,3.01
28-Feb-1978,0,3.53,3.47,3.5,13200,3.06
01-Mar-1978,0,3.53,3.47,3.5,22000,3.06
02-Mar-1978,0,3.53,3.44,3.5,211600,3.06
03-Mar-1978,0,3.53,3.47,3.53,150800,3.09
06-Mar-1978,0,3.56,3.5,3.53,36800,3.09
07-Mar-1978,0,3.59,3.53,3.56,47600,3.12
08-Mar-1978,0,3.72,3.59,3.66,78400,3.2
09-Mar-1978,0,3.66,3.59,3.62,32000,3.17
10-Mar-1978,0,3.62,3.56,3.56,68400,3.12
13-Mar-1978,0,3.62,3.56,3.56,90400,3.12
14-Mar-1978,0,3.5,3.44,3.47,70400,3.04
15-Mar-1978,0,3.5,3.41,3.44,20000,3.01
16-Mar-1978,0,3.47,3.41,3.47,66800,3.04
17-Mar-1978,0,3.47,3.41,3.47,38800,3.04
20-Mar-1978,0,3.5,3.41,3.41,117200,2.98
21-Mar-1978,0,3.47,3.41,3.44,50400,3.01
22-Mar-1978,0,3.44,3.38,3.38,189200,2.96
23-Mar-1978,0,3.38,3.28,3.31,66800,2.9
27-Mar-1978,0,3.38,3.28,3.28,108400,2.87
28-Mar-1978,0,3.38,3.25,3.38,180400,2.96
29-Mar-1978,0,3.38,3.25,3.25,151200,2.84
30-Mar-1978,0,3.28,3.19,3.19,930400,2.79
31-Mar-1978,0,3.19,3.06,3.16,407600,2.77
03-Apr-1978,0,3.19,3.12,3.19,87600,2.79
04-Apr-1978,0,3.25,3.19,3.22,66400,2.82
05-Apr-1978,0,3.25,3.22,3.25,28800,2.84
06-Apr-1978,0,3.28,3.22,3.25,502800,2.84
07-Apr-1978,0,3.25,3.19,3.19,36400,2.79
10-Apr-1978,0,3.19,3.12,3.19,26000,2.79
11-Apr-1978,0,3.22,3.16,3.19,322400,2.79
12-Apr-1978,0,3.38,3.25,3.38,79200,2.96
13-Apr-1978,0,3.38,3.28,3.38,119200,2.96
14-Apr-1978,0,3.53,3.38,3.47,168000,3.04
17-Apr-1978,0,3.56,3.41,3.41,224400,2.98
18-Apr-1978,0,3.5,3.41,3.47,48800,3.04
19-Apr-1978,0,3.47,3.38,3.44,114000,3.01
20-Apr-1978,0,3.5,3.31,3.31,108800,2.9
21-Apr-1978,0,3.5,3.34,3.5,30400,3.06
24-Apr-1978,0,3.59,3.44,3.59,205200,3.14
25-Apr-1978,0,3.75,3.59,3.62,319200,3.17
26-Apr-1978,0,3.69,3.5,3.53,55600,3.09
27-Apr-1978,0,3.62,3.47,3.56,574000,3.12
28-Apr-1978,0,3.59,3.5,3.53,119600,3.09
01-May-1978,0,3.59,3.47,3.53,98800,3.09
02-May-1978,0,3.62,3.47,3.56,134000,3.12
03-May-1978,0,3.62,3.53,3.62,88000,3.17
04-May-1978,0,3.75,3.53,3.72,198000,3.26
05-May-1978,0,4.16,3.72,3.97,327600,3.47
08-May-1978,0,4.12,3.94,3.97,184400,3.47
09-May-1978,0,4.06,3.94,3.97,334400,3.47
10-May-1978,0,4.06,3.97,3.97,122400,3.47
11-May-1978,0,4.12,4.03,4.12,142800,3.61
12-May-1978,0,4.16,4.06,4.12,410400,3.61
15-May-1978,0,4.25,4.16,4.22,161200,3.69
16-May-1978,0,4.22,4.16,4.19,89200,3.67
17-May-1978,0,4.22,4.06,4.19,185600,3.67
18-May-1978,0,4.16,3.97,4,54000,3.5
19-May-1978,0,4.09,3.81,4.06,264000,3.55
22-May-1978,0,4.31,4.09,4.25,144000,3.72
23-May-1978,0,4.34,4.19,4.34,117600,3.8
24-May-1978,0,4.44,4.19,4.44,177600,3.89
25-May-1978,0,4.41,4.25,4.38,444800,3.83
26-May-1978,0,4.62,4.38,4.59,187600,4.02
30-May-1978,0,4.53,4.34,4.44,120800,3.89
31-May-1978,0,4.56,4.47,4.5,331600,3.94
01-Jun-1978,0,4.5,4.41,4.5,26400,3.94
02-Jun-1978,0,4.5,4.25,4.34,94000,3.8
05-Jun-1978,0,4.44,4.28,4.44,31600,3.89
06-Jun-1978,0,4.47,4.28,4.34,49200,3.8
07-Jun-1978,0,4.34,4.09,4.34,161200,3.8
08-Jun-1978,0,4.41,4.31,4.41,144800,3.86
09-Jun-1978,0,4.5,4.38,4.44,125600,3.89
12-Jun-1978,0,4.44,4.38,4.41,97200,3.86
13-Jun-1978,NaN,NaN,NaN,4.41,0,3.86
14-Jun-1978,NaN,NaN,NaN,4.41,0,3.86
15-Jun-1978,0,6.81,6.47,6.5,2086400,5.69
16-Jun-1978,0,6.44,6.28,6.38,1064800,5.58
19-Jun-1978,0,6.38,6.28,6.28,238800,5.5
20-Jun-1978,0,6.5,6.25,6.31,574000,5.52
21-Jun-1978,0,6.31,6.12,6.22,471600,5.44
22-Jun-1978,0,6.19,6,6.12,324000,5.36
23-Jun-1978,0,6.34,6.09,6.22,600800,5.44
26-Jun-1978,0,5.72,5.38,5.59,1107200,4.89
27-Jun-1978,0,5.97,5.69,5.97,269200,5.22
28-Jun-1978,0,6.22,6,6.09,232800,5.33
29-Jun-1978,0,6.16,6,6.06,182400,5.3
30-Jun-1978,0,6.06,5.91,6,123600,5.25
03-Jul-1978,0,5.72,5.5,5.53,358800,4.84
05-Jul-1978,0,5.94,5.5,5.94,1252400,5.2
06-Jul-1978,0,5.97,5.88,5.91,290800,5.17
07-Jul-1978,0,5.97,5.75,5.88,600000,5.15
10-Jul-1978,0,5.94,5.81,5.88,222400,5.15
11-Jul-1978,0,6.06,5.91,6,658000,5.25
12-Jul-1978,0,6,5.91,5.97,586800,5.22
13-Jul-1978,0,6,5.81,6,490000,5.25
14-Jul-1978,0,6,5.81,5.97,311600,5.22
17-Jul-1978,0,5.91,5.59,5.75,345200,5.03
18-Jul-1978,0,5.78,5.69,5.75,1864400,5.03
19-Jul-1978,0,5.75,5.66,5.69,392400,4.98
20-Jul-1978,0,6.16,5.72,6.06,3276700,5.3
21-Jul-1978,0,5.88,5.56,5.75,1680800,5.03
24-Jul-1978,0,5.84,5.72,5.84,276400,5.11
25-Jul-1978,0,5.41,5.16,5.25,1071200,4.59
26-Jul-1978,0,5.69,5.22,5.56,1063600,4.87
27-Jul-1978,0,5.81,5.56,5.72,469600,5.01
28-Jul-1978,0,5.78,5.66,5.72,270400,5.01
31-Jul-1978,0,5.75,5.62,5.66,162400,4.95
01-Aug-1978,0,5.5,5.41,5.41,532800,4.73
02-Aug-1978,0,5.59,5.38,5.59,222400,4.89
03-Aug-1978,0,5.72,5.5,5.5,436000,4.81
04-Aug-1978,0,5.5,5.41,5.47,156800,4.79
07-Aug-1978,0,5.56,5.41,5.44,96000,4.76
08-Aug-1978,0,5.5,5.44,5.44,92000,4.76
09-Aug-1978,0,5.53,5.47,5.53,227600,4.84
10-Aug-1978,0,5.72,5.53,5.66,185200,4.95
11-Aug-1978,0,5.72,5.62,5.66,96400,4.95
14-Aug-1978,0,5.81,5.69,5.75,172800,5.03
15-Aug-1978,0,5.84,5.75,5.75,160800,5.03
16-Aug-1978,0,5.81,5.72,5.72,184800,5.01
17-Aug-1978,0,5.84,5.69,5.69,166000,4.98
18-Aug-1978,0,5.81,5.69,5.69,57600,4.98
21-Aug-1978,0,5.75,5.66,5.72,63200,5.01
22-Aug-1978,0,5.78,5.69,5.69,55200,4.98
23-Aug-1978,0,5.78,5.69,5.69,39600,4.98
24-Aug-1978,0,5.69,5.59,5.62,191600,4.92
25-Aug-1978,0,5.72,5.5,5.53,113200,4.84
28-Aug-1978,0,5.69,5.53,5.56,39200,4.87
29-Aug-1978,0,5.56,5.47,5.56,240800,4.87
30-Aug-1978,0,5.97,5.59,5.88,912000,5.15
31-Aug-1978,0,6,5.88,6,191200,5.25
01-Sep-1978,0,6.22,5.97,6.19,218400,5.42
05-Sep-1978,0,6.22,5.94,6.12,181200,5.36
06-Sep-1978,0,6.19,5.97,6.06,74000,5.3
07-Sep-1978,0,6.03,5.81,5.81,84400,5.08
08-Sep-1978,0,6,5.81,5.88,58000,5.15
11-Sep-1978,0,5.88,5.69,5.69,63200,4.98
12-Sep-1978,0,5.75,5.59,5.66,107600,4.95
13-Sep-1978,0,5.62,5.56,5.59,218000,4.89
14-Sep-1978,0,5.72,5.56,5.62,110800,4.92
15-Sep-1978,0,5.75,5.59,5.69,143200,4.98
18-Sep-1978,0,5.72,5.56,5.62,78000,4.92
