Date,Open,High,Low,Close,Volume,AdjClose
11-Jun-1981,0,2.88,2.75,2.75,12400,2.28
12-Jun-1981,0,2.88,2.81,2.81,38700,2.33
15-Jun-1981,0,2.88,2.81,2.81,38800,2.33
16-Jun-1981,0,2.88,2.75,2.75,55100,2.28
17-Jun-1981,0,2.88,2.75,2.75,29800,2.28
18-Jun-1981,0,2.88,2.81,2.81,25100,2.33
19-Jun-1981,0,2.88,2.81,2.81,8900,2.33
22-Jun-1981,0,2.88,2.75,2.75,18000,2.28
23-Jun-1981,0,2.88,2.75,2.75,171200,2.28
24-Jun-1981,0,2.81,2.75,2.75,37300,2.28
25-Jun-1981,0,2.81,2.75,2.75,12300,2.28
26-Jun-1981,0,2.81,2.75,2.75,53900,2.28
29-Jun-1981,0,2.75,2.62,2.62,13800,2.17
30-Jun-1981,0,2.75,2.62,2.62,19700,2.17
01-Jul-1981,0,2.75,2.62,2.62,17600,2.17
02-Jul-1981,0,2.75,2.62,2.62,46100,2.17
06-Jul-1981,0,2.75,2.62,2.62,7300,2.17
07-Jul-1981,0,2.75,2.5,2.5,20100,2.07
08-Jul-1981,0,2.75,2.56,2.56,19200,2.12
09-Jul-1981,0,2.75,2.56,2.56,26500,2.12
10-Jul-1981,0,2.75,2.56,2.56,10100,2.12
13-Jul-1981,0,2.75,2.56,2.56,3900,2.12
14-Jul-1981,0,2.62,2.5,2.5,13100,2.07
15-Jul-1981,0,2.62,2.5,2.5,4900,2.07
16-Jul-1981,0,2.75,2.62,2.62,64700,2.17
17-Jul-1981,0,2.88,2.75,2.75,34600,2.28
20-Jul-1981,0,3.25,3.12,3.12,102800,2.59
21-Jul-1981,0,3.25,3.06,3.06,33500,2.54
22-Jul-1981,0,3.62,3.5,3.5,77300,2.9
23-Jul-1981,0,3.75,3.62,3.62,37800,3
24-Jul-1981,0,4.12,4,4,48400,3.32
27-Jul-1981,0,4.5,4.38,4.38,29500,3.64
28-Jul-1981,0,4.25,4.12,4.12,52000,3.42
29-Jul-1981,0,4.12,4,4,25800,3.32
30-Jul-1981,0,4,3.88,3.88,14100,3.22
