Date,Open,High,Low,Close,Volume,AdjClose
28-May-1993,0,8296.88,8203.12,8296.88,9299,5603.05
01-Jun-1993,0,8718.75,8296.88,8718.75,2200,5887.95
02-Jun-1993,0,8812.5,8531.25,8625,1622,5824.64
03-Jun-1993,0,8625,8390.62,8437.5,487,5698.02
04-Jun-1993,0,8484.38,8296.88,8484.38,940,5729.68
07-Jun-1993,0,8484.38,8156.25,8156.25,321,5508.08
08-Jun-1993,0,8250,8156.25,8250,518,5571.39
09-Jun-1993,0,8250,8156.25,8203.12,339,5539.74
10-Jun-1993,0,8250,8203.12,8250,517,5571.39
11-Jun-1993,0,8250,8109.38,8156.25,795,5508.08
14-Jun-1993,0,8156.25,7828.12,7828.12,275,5286.49
15-Jun-1993,0,7828.12,7734.38,7734.38,279,5223.19
16-Jun-1993,0,7687.5,7500,7546.88,418,5096.56
17-Jun-1993,0,7781.25,7593.75,7687.5,296,5191.53
18-Jun-1993,0,8015.62,7781.25,7968.75,158,5381.46
21-Jun-1993,0,8062.5,7921.88,7968.75,98,5381.46
22-Jun-1993,0,8109.38,7921.88,8109.38,303,5476.43
23-Jun-1993,0,8062.5,8015.62,8015.62,157,5413.11
24-Jun-1993,0,7921.88,7687.5,7781.25,110,5254.84
25-Jun-1993,0,7734.38,7640.62,7640.62,207,5159.87
28-Jun-1993,0,7828.12,7640.62,7687.5,286,5191.53
29-Jun-1993,0,7687.5,7453.12,7546.88,149,5096.56
30-Jun-1993,0,7640.62,7453.12,7640.62,682,5159.87
01-Jul-1993,0,7593.75,7453.12,7453.12,163,5033.25
02-Jul-1993,0,7406.25,7218.75,7218.75,420,4874.97
06-Jul-1993,0,7171.88,6890.62,6984.38,340,4716.7
07-Jul-1993,0,7218.75,7031.25,7125,842,4811.66
08-Jul-1993,0,7171.88,6937.5,6937.5,976,4685.04
09-Jul-1993,0,6937.5,6796.88,6890.62,467,4653.38
12-Jul-1993,0,7171.88,6890.62,7125,191,4811.66
13-Jul-1993,0,7218.75,7125,7171.88,199,4843.32
14-Jul-1993,0,7171.88,7125,7125,177,4811.66
15-Jul-1993,0,7125,6937.5,6937.5,69,4685.04
16-Jul-1993,0,7031.25,6937.5,7031.25,35,4748.35
19-Jul-1993,0,7031.25,6937.5,6937.5,71,4685.04
20-Jul-1993,0,6984.38,6890.62,6937.5,218,4685.04
21-Jul-1993,0,6984.38,6890.62,6890.62,253,4653.38
22-Jul-1993,0,6937.5,6843.75,6843.75,139,4621.73
23-Jul-1993,0,6984.38,6843.75,6984.38,45,4716.7
26-Jul-1993,0,7125,6937.5,7125,384,4811.66
27-Jul-1993,0,7406.25,7171.88,7406.25,206,5001.59
28-Jul-1993,0,7453.12,7406.25,7406.25,47,5001.59
29-Jul-1993,0,7593.75,7453.12,7593.75,324,5128.22
30-Jul-1993,0,7593.75,7546.88,7546.88,85,5096.56
02-Aug-1993,0,7640.62,7593.75,7593.75,46,5128.22
03-Aug-1993,0,7640.62,7546.88,7593.75,294,5128.22
04-Aug-1993,0,7593.75,7453.12,7453.12,143,5033.25
05-Aug-1993,0,7500,7453.12,7453.12,19,5033.25
06-Aug-1993,0,7546.88,7500,7500,222,5064.9
09-Aug-1993,0,7546.88,7406.25,7453.12,24,5033.25
10-Aug-1993,0,7453.12,7359.38,7406.25,218,5001.59
11-Aug-1993,0,7406.25,7125,7125,204,4811.66
12-Aug-1993,0,7218.75,7125,7218.75,561,4874.97
13-Aug-1993,0,7218.75,7125,7125,498,4811.66
16-Aug-1993,0,7171.88,7125,7171.88,116,4843.32
17-Aug-1993,0,7265.62,7171.88,7265.62,79,4906.62
18-Aug-1993,0,7406.25,7312.5,7406.25,153,5001.59
19-Aug-1993,0,7687.5,7406.25,7687.5,710,5191.53
20-Aug-1993,0,7734.38,7640.62,7734.38,19,5223.19
23-Aug-1993,0,8203.12,7781.25,8203.12,397,5539.74
24-Aug-1993,0,8203.12,7968.75,8156.25,425,5508.08
25-Aug-1993,0,8250,8109.38,8109.38,321,5476.43
26-Aug-1993,0,8156.25,7875,7921.88,137,5349.81
27-Aug-1993,0,8015.62,7921.88,8015.62,175,5413.11
30-Aug-1993,0,8062.5,7921.88,8062.5,92,5444.77
31-Aug-1993,0,8250,8109.38,8250,474,5571.39
01-Sep-1993,0,8203.12,8109.38,8203.12,214,5539.74
02-Sep-1993,0,8203.12,8109.38,8156.25,197,5508.08
03-Sep-1993,0,8156.25,8156.25,8156.25,19,5508.08
07-Sep-1993,0,8203.12,8156.25,8156.25,253,5508.08
08-Sep-1993,0,8109.38,8015.62,8015.62,281,5413.11
09-Sep-1993,0,7875,7828.12,7828.12,205,5286.49
10-Sep-1993,0,7781.25,7171.88,7312.5,485,4938.28
13-Sep-1993,0,7218.75,7078.12,7171.88,876,4843.32
14-Sep-1993,0,7125,6984.38,7031.25,521,4748.35
15-Sep-1993,0,7078.12,6984.38,7031.25,855,4748.35
