Date,Open,High,Low,Close,Volume,AdjClose
27-Jul-1995,0,7.16,6.9,7.16,7682301,4.77
28-Jul-1995,0,7.49,7.03,7.45,1040499,4.96
31-Jul-1995,0,7.66,7.37,7.62,676599,5.07
01-Aug-1995,0,7.66,7.41,7.45,1104501,4.96
02-Aug-1995,0,7.58,7.41,7.45,902100,4.96
03-Aug-1995,0,7.49,7.41,7.43,145899,4.95
04-Aug-1995,0,7.62,7.41,7.53,226701,5.01
07-Aug-1995,0,7.74,7.53,7.74,252000,5.15
08-Aug-1995,0,7.74,7.66,7.74,466401,5.15
09-Aug-1995,0,7.74,7.66,7.7,289500,5.12
10-Aug-1995,0,7.7,7.58,7.66,96099,5.1
11-Aug-1995,0,7.62,7.53,7.53,45600,5.01
14-Aug-1995,0,7.53,7.41,7.41,242301,4.93
15-Aug-1995,0,7.49,7.41,7.45,113799,4.96
16-Aug-1995,0,7.45,7.33,7.41,201801,4.93
17-Aug-1995,0,7.58,7.33,7.53,151101,5.01
18-Aug-1995,0,7.87,7.62,7.87,122199,5.24
21-Aug-1995,0,8.12,7.74,8.12,209001,5.4
22-Aug-1995,0,8.24,8.03,8.24,366699,5.48
23-Aug-1995,0,8.45,8.16,8.16,677199,5.43
24-Aug-1995,0,8.2,7.89,7.91,255600,5.26
25-Aug-1995,0,8.08,7.91,8.03,95799,5.34
28-Aug-1995,0,8.12,7.95,8.01,220701,5.33
29-Aug-1995,0,8.12,8.03,8.08,274500,5.38
30-Aug-1995,0,8.16,8.03,8.08,146199,5.38
31-Aug-1995,0,8.16,8.08,8.16,18000,5.43
01-Sep-1995,0,8.16,8.08,8.16,19500,5.43
05-Sep-1995,0,8.24,8.08,8.24,77799,5.48
06-Sep-1995,0,8.32,8.2,8.28,288600,5.51
07-Sep-1995,0,8.28,8.16,8.2,88299,5.46
08-Sep-1995,0,8.2,8.2,8.2,600,5.46
11-Sep-1995,0,8.28,8.16,8.28,46200,5.51
12-Sep-1995,0,8.28,8.16,8.26,108699,5.5
13-Sep-1995,0,8.32,8.2,8.32,24600,5.54
14-Sep-1995,0,8.32,8.2,8.2,129699,5.46
15-Sep-1995,0,8.32,8.2,8.2,49500,5.46
18-Sep-1995,0,8.24,8.12,8.12,135999,5.4
19-Sep-1995,0,8.16,8.12,8.16,96999,5.43
20-Sep-1995,0,8.16,8.12,8.16,152001,5.43
21-Sep-1995,0,8.16,8.12,8.12,271500,5.4
22-Sep-1995,0,8.2,8.12,8.2,36900,5.46
25-Sep-1995,0,8.28,8.12,8.28,105699,5.51
26-Sep-1995,0,8.28,8.2,8.28,78099,5.51
27-Sep-1995,0,8.24,8.08,8.2,191601,5.46
28-Sep-1995,0,8.2,8.03,8.2,136299,5.46
29-Sep-1995,0,8.2,8.03,8.12,53799,5.4
02-Oct-1995,0,8.03,7.99,8.03,85599,5.34
03-Oct-1995,0,7.95,7.7,7.7,422799,5.12
04-Oct-1995,0,7.83,7.7,7.7,540501,5.12
05-Oct-1995,0,7.83,7.66,7.66,358299,5.1
06-Oct-1995,0,7.78,7.66,7.66,44400,5.1
09-Oct-1995,0,7.83,7.7,7.83,6900,5.21
10-Oct-1995,0,7.78,7.62,7.74,560400,5.15
11-Oct-1995,0,7.83,7.74,7.83,21900,5.21
12-Oct-1995,0,7.95,7.87,7.91,41400,5.26
13-Oct-1995,0,8.24,7.95,8.24,33600,5.48
16-Oct-1995,0,8.45,8.28,8.28,99399,5.51
17-Oct-1995,0,8.57,8.45,8.57,57699,5.7
18-Oct-1995,0,8.62,8.53,8.62,229701,5.74
19-Oct-1995,0,8.66,8.53,8.66,57699,5.76
20-Oct-1995,0,8.66,8.57,8.66,39300,5.76
23-Oct-1995,0,8.66,8.45,8.45,122499,5.62
24-Oct-1995,0,9.41,8.62,9.28,750501,6.18
25-Oct-1995,0,9.37,9.24,9.28,336300,6.18
26-Oct-1995,0,9.2,8.95,8.99,156201,5.98
27-Oct-1995,0,9.16,8.99,9.1,54399,6.06
30-Oct-1995,0,9.16,9.03,9.12,69699,6.07
31-Oct-1995,0,9.2,9.03,9.03,63099,6.01
01-Nov-1995,0,9.07,8.95,8.95,91599,5.96
02-Nov-1995,0,9.07,8.95,8.95,24000,5.96
03-Nov-1995,0,9.07,8.91,8.91,36600,5.93
06-Nov-1995,0,8.99,8.82,8.82,55599,5.87
07-Nov-1995,0,8.74,8.62,8.74,51399,5.82
08-Nov-1995,0,8.78,8.74,8.78,9900,5.84
09-Nov-1995,0,8.78,8.7,8.78,20700,5.84
10-Nov-1995,0,8.78,8.66,8.78,107199,5.84
13-Nov-1995,0,8.78,8.62,8.64,17100,5.75
14-Nov-1995,0,8.78,8.57,8.66,249201,5.76
15-Nov-1995,0,8.66,8.66,8.66,600,5.76
16-Nov-1995,0,8.66,8.53,8.53,262200,5.68
17-Nov-1995,0,8.66,8.53,8.57,139299,5.74
20-Nov-1995,0,8.66,8.53,8.66,101199,5.8
21-Nov-1995,0,8.74,8.57,8.74,208701,5.85
22-Nov-1995,0,8.78,8.7,8.7,68799,5.83
24-Nov-1995,0,8.82,8.7,8.82,46800,5.91
27-Nov-1995,0,8.91,8.74,8.91,42300,5.97
28-Nov-1995,0,8.91,8.74,8.91,47400,5.97
29-Nov-1995,0,9.16,8.99,9.16,47100,6.13
30-Nov-1995,0,9.16,8.99,9.16,36300,6.13
01-Dec-1995,0,9.24,9.07,9.24,37500,6.19
04-Dec-1995,0,9.37,9.07,9.37,44100,6.28
05-Dec-1995,0,9.45,9.24,9.32,96099,6.24
06-Dec-1995,0,9.62,9.32,9.62,214101,6.44
07-Dec-1995,0,9.87,9.57,9.78,71499,6.55
08-Dec-1995,0,10.03,9.66,9.99,99099,6.69
11-Dec-1995,0,10.28,10.03,10.16,160701,6.8
12-Dec-1995,0,11.03,10.28,10.95,296100,7.33
13-Dec-1995,0,10.95,10.66,10.74,295800,7.19
14-Dec-1995,0,10.74,10.49,10.53,227001,7.05
15-Dec-1995,0,10.61,10.32,10.36,130299,6.94
18-Dec-1995,0,10.43,10.24,10.24,34800,6.86
19-Dec-1995,0,10.2,10.07,10.07,242901,6.74
20-Dec-1995,0,10.16,9.89,9.95,25500,6.66
21-Dec-1995,0,9.95,9.74,9.74,64299,6.52
22-Dec-1995,0,9.82,9.74,9.74,410799,6.52
26-Dec-1995,0,9.91,9.74,9.82,188901,6.58
27-Dec-1995,0,9.91,9.82,9.91,36900,6.64
28-Dec-1995,0,10.03,9.87,9.99,209301,6.69
29-Dec-1995,0,10.11,10.11,10.11,4200,6.77
02-Jan-1996,0,10.32,9.95,10.32,19500,6.91
03-Jan-1996,0,10.36,10.24,10.36,16800,6.94
04-Jan-1996,0,10.36,10.24,10.26,11100,6.87
05-Jan-1996,0,10.36,10.28,10.36,71499,6.94
08-Jan-1996,0,10.28,10.28,10.28,600,6.88
09-Jan-1996,0,10.28,10.24,10.28,12000,6.88
10-Jan-1996,0,10.24,10.2,10.2,31200,6.83
11-Jan-1996,0,10.28,10.16,10.2,53799,6.83
12-Jan-1996,0,10.16,10.07,10.07,41400,6.74
15-Jan-1996,0,10.07,10.07,10.07,3900,6.74
16-Jan-1996,0,10.49,10.32,10.49,78699,7.03
17-Jan-1996,0,10.61,10.32,10.49,58599,7.03
18-Jan-1996,0,10.61,10.41,10.53,12300,7.05
19-Jan-1996,0,10.53,10.41,10.41,58599,6.97
22-Jan-1996,0,10.57,10.57,10.57,900,7.08
23-Jan-1996,0,10.57,10.41,10.57,29400,7.08
24-Jan-1996,0,10.49,10.32,10.32,66099,6.91
25-Jan-1996,0,10.41,10.24,10.24,33900,6.86
26-Jan-1996,0,10.28,10.07,10.07,46800,6.74
29-Jan-1996,0,10.2,9.95,9.99,45000,6.69
30-Jan-1996,0,9.99,9.82,9.99,76599,6.69
31-Jan-1996,0,9.99,9.99,9.99,12000,6.69
01-Feb-1996,0,9.99,9.82,9.82,48900,6.58
02-Feb-1996,0,9.99,9.82,9.82,58899,6.58
05-Feb-1996,0,9.99,9.82,9.95,28200,6.66
06-Feb-1996,0,9.99,9.82,9.82,61899,6.58
07-Feb-1996,0,9.99,9.82,9.82,52599,6.58
08-Feb-1996,0,9.91,9.74,9.91,24300,6.64
09-Feb-1996,0,9.91,9.82,9.82,220701,6.58
12-Feb-1996,0,9.91,9.74,9.74,90699,6.52
13-Feb-1996,0,9.91,9.74,9.74,42300,6.52
14-Feb-1996,0,9.91,9.74,9.74,7500,6.52
15-Feb-1996,0,9.78,9.74,9.74,9300,6.57
16-Feb-1996,0,9.82,9.74,9.76,122199,6.58
20-Feb-1996,0,9.91,9.91,9.91,5700,6.68
21-Feb-1996,0,9.91,9.78,9.78,15900,6.6
22-Feb-1996,0,9.74,9.74,9.74,9600,6.57
23-Feb-1996,0,9.91,9.74,9.82,10800,6.62
26-Feb-1996,0,9.66,9.66,9.66,3300,6.51
27-Feb-1996,0,9.57,9.24,9.32,78399,6.28
28-Feb-1996,0,9.37,9.2,9.24,6619200,6.23
29-Feb-1996,0,9.49,9.24,9.32,614700,6.28
01-Mar-1996,0,9.45,9.28,9.28,326100,6.26
04-Mar-1996,0,9.45,9.28,9.28,418299,6.26
05-Mar-1996,0,9.37,9.28,9.37,593400,6.32
06-Mar-1996,0,9.37,9.28,9.28,294600,6.26
07-Mar-1996,0,9.37,9.28,9.28,114099,6.26
08-Mar-1996,0,9.32,8.95,8.95,283200,6.04
11-Mar-1996,0,9.12,8.95,9.12,239601,6.15
12-Mar-1996,0,9.12,8.95,8.95,68499,6.04
13-Mar-1996,0,9.07,8.91,8.95,93699,6.04
14-Mar-1996,0,9.2,8.95,9.16,110799,6.18
15-Mar-1996,0,9.28,9.12,9.18,52299,6.19
18-Mar-1996,0,9.41,9.12,9.37,100599,6.32
19-Mar-1996,0,9.49,9.24,9.41,174501,6.35
20-Mar-1996,0,9.41,9.24,9.24,34200,6.23
21-Mar-1996,0,9.41,9.24,9.41,35100,6.35
22-Mar-1996,0,9.41,9.24,9.24,52599,6.23
25-Mar-1996,0,9.41,9.24,9.24,42300,6.23
26-Mar-1996,0,9.41,9.24,9.24,129099,6.23
27-Mar-1996,0,9.37,9.24,9.24,20400,6.23
28-Mar-1996,0,9.32,9.16,9.16,182301,6.18
29-Mar-1996,0,9.32,9.16,9.16,94299,6.18
01-Apr-1996,0,9.32,9.16,9.16,106899,6.18
02-Apr-1996,0,9.32,9.16,9.24,129999,6.23
03-Apr-1996,0,9.49,9.24,9.41,160401,6.35
