Date,Open,High,Low,Close,Volume,AdjClose
23-Mar-2004,18.5,19.61,18.12,19.47,5282164,19.47
24-Mar-2004,19.33,19.5,18.97,19.45,504954,19.45
25-Mar-2004,19.35,19.44,19.1,19.35,209701,19.35
26-Mar-2004,19.45,19.45,19.15,19.39,293125,19.39
29-Mar-2004,19.2,19.6,19.2,19.24,153521,19.24
30-Mar-2004,19.3,19.62,19,19.48,124029,19.48
31-Mar-2004,19.6,20.95,19.31,20.94,248321,20.94
01-Apr-2004,20.85,21.7,20.12,21.55,112126,21.55
02-Apr-2004,22.01,22.01,21.01,21.3,92204,21.3
05-Apr-2004,21.2,21.4,20.7,20.94,53864,20.94
06-Apr-2004,20.7,21.41,20.7,20.75,55144,20.75
07-Apr-2004,20.72,21.17,20.7,20.71,22018,20.71
08-Apr-2004,20.65,21.22,20.65,20.65,13789,20.65
12-Apr-2004,20.65,20.8,20.55,20.55,118871,20.55
13-Apr-2004,20.55,20.8,20.55,20.75,127326,20.75
14-Apr-2004,20.63,20.7,20.5,20.65,78703,20.65
15-Apr-2004,20.49,20.6,19.85,19.91,55638,19.91
16-Apr-2004,19.8,20.9,19.8,20.73,58687,20.73
19-Apr-2004,20.3,20.88,20.25,20.8,43960,20.8
20-Apr-2004,20.8,21,20.25,20.74,88737,20.74
21-Apr-2004,20.49,20.8,20.49,20.8,8294,20.8
22-Apr-2004,20.58,21.79,20.58,21.79,31655,21.79
23-Apr-2004,21,22.2,21,22.2,22248,22.2
26-Apr-2004,22.2,23.2,22.18,23.14,19735,23.14
27-Apr-2004,23.2,23.2,22.78,22.8,34715,22.8
28-Apr-2004,22.95,22.95,22.75,22.75,84071,22.75
29-Apr-2004,22.9,23.35,22.7,22.71,69835,22.71
30-Apr-2004,22.75,23.9,22.75,23.53,29442,23.53
03-May-2004,23.22,24.02,22.75,24.02,33612,24.02
04-May-2004,24.05,24.05,22.75,23.78,10821,23.78
05-May-2004,24,24,23.61,23.79,24921,23.79
06-May-2004,23.5,24.26,23.5,24.23,26442,24.23
07-May-2004,24.26,25.35,24.22,24.55,57018,24.55
10-May-2004,25.1,25.1,23.55,24.5,69212,24.5
11-May-2004,24.5,25,23.51,23.7,13938,23.7
12-May-2004,23.7,25,23.7,23.97,20701,23.97
13-May-2004,24.18,24.18,23.25,23.25,7775,23.25
14-May-2004,23.81,23.81,23.07,23.8,11246,23.8
17-May-2004,23.74,23.95,23.5,23.94,35007,23.94
18-May-2004,24,24.31,23.09,24.14,41336,24.14
19-May-2004,23.82,25.11,23.82,25.11,10246,25.11
20-May-2004,24.88,25.04,24.4,24.65,20853,24.65
21-May-2004,24.65,25.09,24.22,24.5,28872,24.5
24-May-2004,24.37,24.85,23.8,24.85,21110,24.85
25-May-2004,24.22,25.05,24.2,25.01,14036,25.01
26-May-2004,24.98,25.41,24.27,24.29,28188,24.29
27-May-2004,25,25.05,24.1,24.21,13469,24.21
28-May-2004,24.58,25.1,24.57,25.05,99594,25.05
01-Jun-2004,25.3,26.74,25.05,26,50410,26
02-Jun-2004,26.99,26.99,26.14,26.87,10942,26.87
03-Jun-2004,26.74,26.75,26,26.75,15813,26.75
04-Jun-2004,26.75,26.75,25.15,25.38,74551,25.38
07-Jun-2004,25.25,25.79,25.25,25.36,14079,25.36
08-Jun-2004,26,26,25.2,25.4,3817,25.4
09-Jun-2004,25.51,25.51,25.22,25.22,10152,25.22
10-Jun-2004,25.45,25.45,25.16,25.18,14234,25.18
14-Jun-2004,25.4,25.4,24.2,24.2,18847,24.2
15-Jun-2004,24.3,24.45,24.1,24.45,11684,24.45
16-Jun-2004,25.3,25.3,24.12,25.25,23788,25.25
17-Jun-2004,25.24,25.24,25.03,25.03,18825,25.03
18-Jun-2004,25.19,25.19,24.56,25.04,22437,25.04
21-Jun-2004,25.03,25.23,24.99,25.16,8295,25.16
22-Jun-2004,25.24,25.25,24.38,25.25,9610,25.25
23-Jun-2004,25.25,25.25,24.13,25.25,122553,25.25
24-Jun-2004,25.24,25.24,24.09,24.85,68745,24.85
25-Jun-2004,24.45,25.23,18.73,23.35,435216,23.35
28-Jun-2004,23.89,23.89,21.4,23.04,186417,23.04
29-Jun-2004,22.9,23.74,22.9,23.57,76378,23.57
30-Jun-2004,23.45,24.05,23.45,23.75,96986,23.75
01-Jul-2004,23.99,24.9,23.96,24.9,97559,24.9
02-Jul-2004,24.85,25.03,24.4,24.99,37739,24.99
06-Jul-2004,25.05,25.25,24.42,25.15,27144,25.15
07-Jul-2004,25,25.13,24.83,24.92,10261,24.92
08-Jul-2004,24.84,25.18,23.97,24.02,13041,24.02
09-Jul-2004,25.04,25.04,23.84,24.06,9333,24.06
12-Jul-2004,24.35,24.39,23.8,24.39,29811,24.39
13-Jul-2004,24.21,24.21,23.96,23.99,43062,23.99
14-Jul-2004,23.94,25.25,23.94,24.05,18270,24.05
15-Jul-2004,23.95,24.35,23.95,23.98,11991,23.98
16-Jul-2004,23.95,24.34,23.94,24.01,9550,24.01
19-Jul-2004,24,24.68,24,24.68,10031,24.68
20-Jul-2004,24.15,24.52,24.1,24.43,10415,24.43
21-Jul-2004,24.3,24.6,24.1,24.27,8783,24.27
22-Jul-2004,24.2,24.4,24,24.06,11407,24.06
23-Jul-2004,24.1,24.25,24,24.05,18361,24.05
26-Jul-2004,24.04,24.04,23.6,24.03,30559,24.03
27-Jul-2004,24.06,24.51,24.06,24.2,5698,24.2
28-Jul-2004,24.69,25,24.31,25,49727,25
29-Jul-2004,24.51,24.82,24.17,24.65,6725,24.65
30-Jul-2004,25.04,25.17,24.75,24.98,75131,24.98
02-Aug-2004,24.75,24.75,24.05,24.25,10116,24.25
03-Aug-2004,24.04,24.65,24.02,24.3,4134,24.3
04-Aug-2004,24.06,24.39,23.84,24.21,20000,24.21
05-Aug-2004,24.04,24.53,24.04,24.27,12390,24.27
06-Aug-2004,24.08,24.24,24.08,24.2,7945,24.2
