Date,Open,High,Low,Close,Volume,AdjClose
03-Jan-1978,NaN,NaN,NaN,0.32,0,0.32
04-Jan-1978,0,0.32,0.32,0.32,5601,0.32
05-Jan-1978,0,0.33,0.33,0.33,5601,0.33
06-Jan-1978,0,0.33,0.32,0.33,61200,0.33
09-Jan-1978,0,0.47,0.34,0.44,534600,0.44
10-Jan-1978,0,0.45,0.43,0.45,237399,0.45
11-Jan-1978,0,0.49,0.43,0.49,642801,0.49
12-Jan-1978,0,0.49,0.47,0.49,264801,0.49
13-Jan-1978,0,0.48,0.47,0.48,134001,0.48
16-Jan-1978,0,0.51,0.49,0.5,751800,0.5
17-Jan-1978,0,0.51,0.49,0.49,258999,0.49
18-Jan-1978,0,0.51,0.49,0.5,743601,0.5
19-Jan-1978,0,0.55,0.5,0.55,818199,0.55
20-Jan-1978,0,0.57,0.55,0.56,416799,0.56
23-Jan-1978,0,0.55,0.5,0.54,618600,0.54
24-Jan-1978,0,0.54,0.51,0.51,419400,0.51
25-Jan-1978,0,0.55,0.52,0.54,472800,0.54
26-Jan-1978,0,0.54,0.52,0.52,174000,0.52
27-Jan-1978,0,0.53,0.5,0.53,240399,0.53
30-Jan-1978,0,0.52,0.52,0.52,18801,0.52
31-Jan-1978,0,0.52,0.47,0.49,509400,0.49
01-Feb-1978,0,0.52,0.49,0.51,388401,0.51
02-Feb-1978,0,0.52,0.51,0.51,309201,0.51
03-Feb-1978,0,0.52,0.51,0.51,116001,0.51
06-Feb-1978,0,0.51,0.51,0.51,48600,0.51
07-Feb-1978,0,0.52,0.51,0.52,85401,0.52
08-Feb-1978,0,0.53,0.52,0.53,119001,0.53
09-Feb-1978,0,0.53,0.52,0.52,73200,0.52
10-Feb-1978,0,0.52,0.51,0.52,85401,0.52
13-Feb-1978,0,0.52,0.51,0.52,237399,0.52
14-Feb-1978,0,0.51,0.5,0.51,134001,0.51
15-Feb-1978,0,0.51,0.5,0.5,97401,0.5
16-Feb-1978,0,0.5,0.49,0.49,283401,0.49
17-Feb-1978,0,0.5,0.49,0.5,125400,0.5
21-Feb-1978,0,0.51,0.49,0.51,55200,0.51
22-Feb-1978,0,0.5,0.5,0.5,12000,0.5
23-Feb-1978,0,0.5,0.49,0.5,137601,0.5
24-Feb-1978,0,0.51,0.49,0.51,54201,0.51
27-Feb-1978,0,0.51,0.5,0.51,43200,0.51
28-Feb-1978,0,0.51,0.49,0.49,43200,0.49
01-Mar-1978,0,0.52,0.5,0.52,212199,0.52
02-Mar-1978,0,0.52,0.51,0.52,230601,0.52
03-Mar-1978,0,0.52,0.51,0.51,113400,0.51
06-Mar-1978,0,0.52,0.51,0.51,54201,0.51
07-Mar-1978,0,0.51,0.51,0.51,24600,0.51
08-Mar-1978,0,0.51,0.49,0.49,218799,0.49
09-Mar-1978,0,0.52,0.5,0.52,121800,0.52
10-Mar-1978,0,0.52,0.51,0.52,167601,0.52
13-Mar-1978,0,0.52,0.52,0.52,64800,0.52
14-Mar-1978,0,0.53,0.52,0.53,94800,0.53
15-Mar-1978,0,0.53,0.52,0.53,155601,0.53
16-Mar-1978,0,0.53,0.53,0.53,34200,0.53
17-Mar-1978,0,0.53,0.53,0.53,60600,0.53
20-Mar-1978,0,0.53,0.53,0.53,64800,0.53
21-Mar-1978,0,0.53,0.52,0.53,55200,0.53
22-Mar-1978,0,0.54,0.53,0.53,252801,0.53
23-Mar-1978,0,0.53,0.52,0.53,54201,0.53
27-Mar-1978,0,0.52,0.51,0.51,79401,0.51
28-Mar-1978,0,0.52,0.51,0.52,82800,0.52
29-Mar-1978,0,0.53,0.52,0.53,52401,0.53
30-Mar-1978,0,0.53,0.53,0.53,109800,0.53
31-Mar-1978,0,0.52,0.52,0.52,30000,0.52
03-Apr-1978,0,0.52,0.51,0.51,101001,0.51
04-Apr-1978,0,0.52,0.51,0.52,167601,0.52
05-Apr-1978,0,0.53,0.52,0.53,139401,0.53
06-Apr-1978,0,0.53,0.52,0.53,43200,0.53
07-Apr-1978,0,0.53,0.53,0.53,64800,0.53
10-Apr-1978,0,0.52,0.51,0.51,116001,0.51
11-Apr-1978,0,0.51,0.51,0.51,66600,0.51
12-Apr-1978,0,0.51,0.5,0.5,149601,0.5
13-Apr-1978,0,0.53,0.51,0.53,255399,0.53
14-Apr-1978,0,0.54,0.53,0.54,186201,0.54
17-Apr-1978,0,0.54,0.52,0.52,61200,0.52
18-Apr-1978,0,0.53,0.51,0.52,121401,0.52
19-Apr-1978,0,0.56,0.52,0.56,528399,0.56
20-Apr-1978,0,0.56,0.51,0.52,716601,0.52
21-Apr-1978,0,0.53,0.52,0.53,133401,0.53
24-Apr-1978,0,0.53,0.52,0.52,97200,0.52
25-Apr-1978,0,0.52,0.51,0.51,137601,0.51
26-Apr-1978,0,0.52,0.51,0.52,54201,0.52
27-Apr-1978,0,0.52,0.51,0.52,76800,0.52
28-Apr-1978,0,0.51,0.51,0.51,194601,0.51
01-May-1978,0,0.51,0.5,0.51,116001,0.51
02-May-1978,0,0.51,0.5,0.5,64800,0.5
03-May-1978,0,0.52,0.5,0.51,167601,0.51
04-May-1978,0,0.53,0.51,0.52,158400,0.52
05-May-1978,0,0.53,0.52,0.53,339801,0.53
08-May-1978,0,0.53,0.53,0.53,60600,0.53
09-May-1978,0,0.53,0.52,0.52,24600,0.52
10-May-1978,0,0.53,0.52,0.53,113400,0.53
11-May-1978,0,0.53,0.52,0.52,46200,0.52
12-May-1978,0,0.53,0.53,0.53,243201,0.53
15-May-1978,0,0.53,0.53,0.53,78600,0.53
16-May-1978,0,0.53,0.51,0.51,140400,0.51
17-May-1978,0,0.52,0.5,0.51,537600,0.51
18-May-1978,0,0.52,0.51,0.52,101001,0.52
19-May-1978,0,0.53,0.52,0.53,42201,0.53
22-May-1978,0,0.53,0.52,0.52,125400,0.52
23-May-1978,0,0.52,0.52,0.52,79401,0.52
24-May-1978,0,0.52,0.52,0.52,91800,0.52
25-May-1978,0,0.52,0.52,0.52,61200,0.52
26-May-1978,0,0.52,0.51,0.51,24201,0.51
30-May-1978,0,0.52,0.51,0.52,119001,0.52
31-May-1978,0,0.53,0.52,0.53,48801,0.53
01-Jun-1978,0,0.52,0.51,0.51,52401,0.51
02-Jun-1978,0,0.52,0.51,0.52,36201,0.52
05-Jun-1978,0,0.52,0.51,0.52,66600,0.52
06-Jun-1978,0,0.53,0.52,0.52,188001,0.52
07-Jun-1978,0,0.53,0.52,0.53,283401,0.53
08-Jun-1978,0,0.53,0.53,0.53,137601,0.53
09-Jun-1978,0,0.53,0.53,0.53,116001,0.53
12-Jun-1978,0,0.53,0.52,0.53,66600,0.53
13-Jun-1978,0,0.54,0.52,0.53,84801,0.53
14-Jun-1978,0,0.43,0.41,0.42,1680399,0.42
15-Jun-1978,0,0.43,0.41,0.42,454800,0.42
16-Jun-1978,0,0.45,0.42,0.44,319599,0.44
19-Jun-1978,0,0.45,0.41,0.41,174000,0.41
20-Jun-1978,0,0.42,0.41,0.41,146001,0.41
21-Jun-1978,0,0.43,0.42,0.43,175800,0.43
22-Jun-1978,0,0.43,0.41,0.42,121401,0.42
23-Jun-1978,0,0.43,0.42,0.42,115200,0.42
26-Jun-1978,0,0.43,0.41,0.42,90801,0.42
27-Jun-1978,0,0.41,0.4,0.4,149601,0.4
28-Jun-1978,0,0.41,0.39,0.4,152400,0.4
29-Jun-1978,0,0.4,0.39,0.39,309999,0.39
30-Jun-1978,0,0.39,0.35,0.36,334401,0.36
03-Jul-1978,0,0.39,0.36,0.38,121401,0.38
05-Jul-1978,0,0.4,0.39,0.4,109800,0.4
06-Jul-1978,0,0.4,0.4,0.4,64800,0.4
07-Jul-1978,0,0.41,0.41,0.41,119001,0.41
10-Jul-1978,0,0.41,0.41,0.41,18801,0.41
11-Jul-1978,0,0.41,0.4,0.4,131400,0.4
12-Jul-1978,0,0.41,0.4,0.41,109200,0.41
13-Jul-1978,0,0.41,0.39,0.4,170400,0.4
14-Jul-1978,0,0.39,0.39,0.39,16200,0.39
17-Jul-1978,0,0.4,0.39,0.39,54201,0.39
18-Jul-1978,0,0.4,0.4,0.4,322401,0.4
19-Jul-1978,0,0.4,0.4,0.4,42201,0.4
20-Jul-1978,0,0.4,0.39,0.4,46200,0.4
21-Jul-1978,0,0.4,0.4,0.4,174000,0.4
24-Jul-1978,0,0.4,0.4,0.4,267399,0.4
25-Jul-1978,0,0.41,0.4,0.41,24600,0.41
26-Jul-1978,0,0.41,0.4,0.4,89001,0.4
27-Jul-1978,0,0.4,0.4,0.4,60600,0.4
28-Jul-1978,0,0.41,0.4,0.41,225201,0.41
31-Jul-1978,0,0.41,0.4,0.41,200001,0.41
01-Aug-1978,0,0.41,0.4,0.4,102801,0.4
02-Aug-1978,0,0.45,0.4,0.45,424800,0.45
03-Aug-1978,0,0.49,0.47,0.47,671001,0.47
04-Aug-1978,0,0.47,0.47,0.47,400599,0.47
07-Aug-1978,0,0.48,0.47,0.47,97200,0.47
08-Aug-1978,0,0.47,0.47,0.47,152400,0.47
09-Aug-1978,0,0.47,0.47,0.47,279801,0.47
10-Aug-1978,0,0.47,0.47,0.47,28200,0.47
11-Aug-1978,0,0.47,0.47,0.47,107001,0.47
14-Aug-1978,0,0.47,0.47,0.47,70401,0.47
15-Aug-1978,0,0.47,0.47,0.47,119001,0.47
16-Aug-1978,0,0.47,0.45,0.45,73200,0.45
17-Aug-1978,0,0.45,0.45,0.45,67401,0.45
18-Aug-1978,0,0.45,0.45,0.45,134001,0.45
21-Aug-1978,0,0.45,0.43,0.44,133401,0.44
22-Aug-1978,0,0.45,0.44,0.45,36201,0.45
23-Aug-1978,0,0.45,0.43,0.45,246801,0.45
24-Aug-1978,0,0.45,0.45,0.45,218601,0.45
25-Aug-1978,0,0.45,0.45,0.45,267201,0.45
28-Aug-1978,0,0.45,0.45,0.45,109800,0.45
29-Aug-1978,0,0.47,0.45,0.45,48801,0.45
30-Aug-1978,0,0.47,0.45,0.47,224199,0.47
31-Aug-1978,0,0.47,0.47,0.47,249399,0.47
01-Sep-1978,0,0.47,0.45,0.45,97200,0.45
05-Sep-1978,0,0.47,0.45,0.47,228399,0.47
06-Sep-1978,0,0.47,0.47,0.47,52401,0.47
07-Sep-1978,0,0.49,0.47,0.48,158400,0.48
08-Sep-1978,0,0.5,0.48,0.5,236601,0.5
11-Sep-1978,0,0.51,0.49,0.51,321399,0.51
12-Sep-1978,0,0.52,0.51,0.51,134001,0.51
13-Sep-1978,0,0.52,0.51,0.51,175800,0.51
14-Sep-1978,0,0.51,0.49,0.51,174000,0.51
15-Sep-1978,0,0.51,0.5,0.5,131400,0.5
18-Sep-1978,0,0.51,0.49,0.49,61200,0.49
19-Sep-1978,0,0.48,0.47,0.47,192000,0.47
20-Sep-1978,0,0.48,0.47,0.47,12600,0.47
21-Sep-1978,0,0.48,0.47,0.47,42201,0.47
22-Sep-1978,0,0.48,0.47,0.48,61200,0.48
25-Sep-1978,0,0.47,0.47,0.47,64800,0.47
26-Sep-1978,0,0.48,0.47,0.47,97401,0.47
27-Sep-1978,0,0.47,0.47,0.47,12600,0.47
28-Sep-1978,0,0.47,0.47,0.47,18801,0.47
29-Sep-1978,NaN,NaN,NaN,0.47,0,0.47
02-Oct-1978,0,0.47,0.47,0.47,64800,0.47
03-Oct-1978,0,0.49,0.48,0.49,28200,0.49
04-Oct-1978,0,0.48,0.47,0.47,72801,0.47
05-Oct-1978,0,0.48,0.48,0.48,18801,0.48
06-Oct-1978,0,0.48,0.47,0.47,64800,0.47
09-Oct-1978,0,0.48,0.47,0.47,36801,0.47
10-Oct-1978,0,0.47,0.47,0.47,91800,0.47
11-Oct-1978,0,0.47,0.47,0.47,21801,0.47
12-Oct-1978,0,0.47,0.47,0.47,42201,0.47
13-Oct-1978,0,0.47,0.47,0.47,152400,0.47
16-Oct-1978,0,0.47,0.47,0.47,24201,0.47
17-Oct-1978,0,0.47,0.44,0.47,134001,0.47
18-Oct-1978,0,0.45,0.45,0.45,36201,0.45
19-Oct-1978,0,0.45,0.44,0.44,109800,0.44
20-Oct-1978,0,0.44,0.43,0.43,36201,0.43
23-Oct-1978,0,0.44,0.43,0.44,24600,0.44
24-Oct-1978,0,0.45,0.45,0.45,46200,0.45
25-Oct-1978,0,0.45,0.44,0.44,24201,0.44
26-Oct-1978,0,0.43,0.42,0.42,60600,0.42
27-Oct-1978,0,0.41,0.4,0.4,89001,0.4
30-Oct-1978,0,0.4,0.36,0.39,188001,0.39
31-Oct-1978,0,0.39,0.35,0.35,48600,0.35
01-Nov-1978,0,0.39,0.35,0.36,295401,0.36
02-Nov-1978,0,0.38,0.36,0.36,175800,0.36
03-Nov-1978,0,0.39,0.36,0.39,303399,0.39
06-Nov-1978,0,0.39,0.39,0.39,40401,0.39
07-Nov-1978,0,0.39,0.39,0.39,40401,0.39
08-Nov-1978,NaN,NaN,NaN,0.39,0,0.39
09-Nov-1978,0,0.39,0.39,0.39,67401,0.39
10-Nov-1978,0,0.39,0.39,0.39,16200,0.39
13-Nov-1978,0,0.39,0.39,0.39,24201,0.39
14-Nov-1978,0,0.39,0.36,0.36,36201,0.36
15-Nov-1978,0,0.36,0.36,0.36,30000,0.36
16-Nov-1978,0,0.36,0.36,0.36,12000,0.36
17-Nov-1978,0,0.38,0.36,0.36,36801,0.36
20-Nov-1978,0,0.36,0.35,0.36,40401,0.36
21-Nov-1978,0,0.36,0.35,0.35,30801,0.35
22-Nov-1978,0,0.35,0.35,0.35,12000,0.35
24-Nov-1978,0,0.36,0.35,0.36,18801,0.36
27-Nov-1978,0,0.39,0.36,0.39,21801,0.39
28-Nov-1978,0,0.39,0.39,0.39,18801,0.39
29-Nov-1978,0,0.39,0.38,0.38,24201,0.38
30-Nov-1978,0,0.38,0.38,0.38,30000,0.38
01-Dec-1978,0,0.39,0.38,0.39,58401,0.39
04-Dec-1978,0,0.39,0.39,0.39,18801,0.39
05-Dec-1978,0,0.4,0.39,0.4,30000,0.4
06-Dec-1978,0,0.41,0.4,0.4,36201,0.4
07-Dec-1978,0,0.4,0.4,0.4,12000,0.4
08-Dec-1978,0,0.4,0.4,0.4,12600,0.4
11-Dec-1978,0,0.4,0.4,0.4,30801,0.4
12-Dec-1978,0,0.4,0.4,0.4,58401,0.4
13-Dec-1978,0,0.4,0.39,0.39,36801,0.39
14-Dec-1978,0,0.4,0.39,0.39,133401,0.39
15-Dec-1978,0,0.39,0.39,0.39,5601,0.39
18-Dec-1978,0,0.39,0.39,0.39,40401,0.39
19-Dec-1978,0,0.39,0.38,0.39,102801,0.39
20-Dec-1978,0,0.38,0.38,0.38,36201,0.38
21-Dec-1978,0,0.4,0.38,0.4,186201,0.4
22-Dec-1978,0,0.39,0.39,0.39,201,0.39
26-Dec-1978,0,0.39,0.39,0.39,12000,0.39
27-Dec-1978,0,0.4,0.39,0.39,116001,0.39
28-Dec-1978,0,0.4,0.39,0.39,224199,0.39
29-Dec-1978,0,0.4,0.39,0.39,42201,0.39
02-Jan-1979,0,0.39,0.39,0.39,30801,0.39
03-Jan-1979,0,0.4,0.39,0.4,109200,0.4
04-Jan-1979,0,0.4,0.4,0.4,21801,0.4
05-Jan-1979,0,0.4,0.4,0.4,18801,0.4
